"name","size_clean","components","size","isolates","avg_degree_clean","viewcount_clean","gini_clean","no_clusters","modularity","avg_degree","viewcount","gini","hub10_distance","avg_sentiment"
"5g_covid",549,408,99,390,0.604735883424408,61879189,NA,8,0.595243055555556,2.42424242424242,18542753,0.84744211699001,3.64,-0.185489898989899
"9_11_building_7",587,316,252,309,2.73594548551959,237432731,NA,9,0.349255479189925,6.20634920634921,208600921,0.924157230992592,1.4,-0.107662301587302
"ab_workout",504,47,455,44,9.73412698412698,2675899239,NA,11,0.546543428943645,10.7604395604396,2664570462,0.825957164641021,1.54,-0.0643969230769231
"adrenochrome",562,239,314,228,2.8932384341637,22936703,0.958191554686472,10,0.42770836896118,5.10191082802548,20063547,0.967336507947113,1.68,-0.029962101910828
"antifa",547,199,334,191,2.6508226691042,138575945,0.840200453223478,14,0.377171608358127,4.20359281437126,108648757,0.812851015216211,1.5,-0.188850898203593
"autism",576,92,473,83,9.64930555555556,653335989,NA,9,0.365821731427623,11.6871035940803,472792683,0.876082136847441,1.32,0.0468536997885835
"baby_formula",574,94,475,88,15.0766550522648,237599138,NA,6,0.28345593764482,18.1894736842105,40625938,0.902457275256913,1.3,-0.160395368421053
"blockchain",501,71,428,68,8.52295409181637,177063498,NA,8,0.41673953161765,9.95327102803738,146903002,0.868353338803648,1.22,0.0400682242990654
"chemtrails",582,245,333,242,2.8213058419244,97533094,NA,12,0.455942504209586,4.87087087087087,92035165,0.945377798984415,1.78,-0.00842732732732733
"climate_change",546,74,471,72,8.13553113553114,377668527,NA,12,0.369290766078392,9.42250530785563,318486715,0.851932950270516,1.34,-0.0745564755838641
"critical_race_theory",550,110,433,104,7.32,69633385,0.865640119782205,11,0.295626513745994,9.25635103926097,66231303,0.860681313084439,1.32,-0.385928868360277
"death_elvis_presley",572,100,467,94,7.59440559440559,791181121,NA,8,0.280815125189679,9.2762312633833,600961114,0.961793522473839,1.2,-0.274015203426124
"derek_chauvin",585,100,473,93,9.13162393162393,114847304,NA,6,0.335013718882018,11.2093023255814,109284065,0.744167424506747,1.46,-0.282427061310782
"dominion_voting_system",520,173,342,170,3.56923076923077,38379980,NA,9,0.276278087218397,5.36842105263158,25742495,0.953391396524094,1.6,-0.131305847953216
"filter_bubbles",575,395,136,380,1.42260869565217,141128621,NA,6,0.421261525877454,5.26470588235294,6342847,0.921447913426468,2.06,0.00261617647058824
"game_theory",544,70,461,63,16.7720588235294,2353515255,NA,9,0.424525090401652,19.648590021692,2312904339,0.559258509294346,1.2,-0.0653164859002169
"gas_prices",544,58,487,57,9.04411764705882,86636996,NA,7,0.418434495246718,10.1026694045175,68059221,0.871358663959119,1.48,-0.0864655030800821
"great_replacement_theory",556,200,355,197,4.57553956834532,82533339,0.947067595958442,10,0.306360754259798,7.15492957746479,76581541,0.949515170361387,1.3,0.244741126760563
"how_to_draw",515,115,376,102,8.52815533980583,2607770508,NA,6,0.397256809996516,11.4574468085106,1893777121,0.774822678963674,1.18,0.177673404255319
"is_earth_flat",569,105,456,98,9.8804920913884,627423608,NA,11,0.238806686449038,12.2719298245614,557082623,0.839395147674531,1,-0.0237640350877193
"johnny_depp_amber_heard_trial",363,37,325,35,8.99173553719008,690765088,NA,7,0.395903564738548,10.0307692307692,661045532,0.699701254597421,1.34,-0.0634107692307692
"machine_learning",521,44,476,41,8.33397312859885,305515731,0.888300104573515,14,0.398350694444445,9.11344537815126,275318766,0.877896923887854,1.14,0.0696063025210084
"minecraft",412,91,299,80,5.70873786407767,2314196709,NA,9,0.497418070761233,7.58528428093646,2108329539,0.725544689592705,1.52,0.0349729096989967
"monkeypox_virus",561,129,433,128,4.75222816399287,28271151,0.957400724631672,9,0.256853028905868,6.15704387990762,25113752,0.950721925661966,1.56,-0.00171801385681293
"nanotechnology",570,116,450,112,7.92280701754386,131006557,0.96326792182512,10,0.311821170642772,10.0088888888889,92332837,0.946475951049732,1.2,0.0376673333333333
"nft",534,108,387,95,6.70037453183521,319254964,0.815569202685214,11,0.563995991883086,8.85271317829457,197310079,0.780510631610561,1.12,0.0247640826873385
"pizzagate",552,314,229,307,1.65579710144928,361014165,NA,11,0.4161637808023,3.89519650655022,250993689,0.987535441718169,1.72,-0.107327510917031
"plandemic",570,398,138,385,0.950877192982456,42046782,0.976085664854082,12,0.447980116222082,3.04347826086957,26216144,0.94682619267803,2,-0.0350768115942029
"pokemon_go",554,42,510,39,12.8158844765343,1858350032,NA,11,0.382661236328591,13.9058823529412,1013820353,0.933425202634677,1.16,0.0620752941176471
"power_tools",573,227,292,199,3.08551483420593,611808397,NA,13,0.503378882432397,5.37671232876712,71574366,0.83776744145611,1.7,0.129242808219178
"qanon",579,204,372,199,3.90673575129534,132953960,NA,15,0.384909369756041,6.05376344086022,115634250,0.752104939902324,1.2,-0.161656720430108
"roe_v_wade",537,72,464,69,11.0614525139665,110223939,NA,9,0.295492984542212,12.7931034482759,103259849,0.771505522708423,1.1,0.0849099137931034
"tourette_syndrome",497,83,412,79,9.25150905432596,297334968,NA,9,0.294661598931559,11.1456310679612,280807107,0.90846181458376,1.04,0.00435364077669903
"transgender",546,196,302,172,4.15750915750916,675559231,NA,11,0.578342731238728,7.01986754966887,395431204,0.8274628321947,2.54,-0.00737781456953642
"urban_gardening",583,183,392,175,3.71183533447684,186642192,NA,11,0.468677715606918,5.46938775510204,179673393,0.924180799418543,1.5,0.101680102040816
"vaccine_mandate",548,117,424,110,4.60948905109489,71561383,0.786235707980332,11,0.436296346968544,5.91509433962264,56038564,0.77801669202525,2.12,-0.052236320754717
"van_life_us",575,121,433,108,4.96695652173913,1925134438,0.904580429533741,14,0.414767041681864,6.45727482678984,415832870,0.807261300186049,1.3,0.0529646651270208
"vintage_jewelry",576,86,481,78,7.84722222222222,31216842,NA,9,0.472378400450116,9.34719334719335,8032313,0.857129154454016,1.48,0.0898515592515593
"warrior_cats",576,24,553,23,14.6527777777778,221939297,NA,8,0.470094513952917,15.2622061482821,221730300,0.848688466054403,1.48,0.0183629294755877
"wordle",489,22,453,19,12.1635991820041,76269175,0.92405660012819,9,0.33066585938388,12.8300220750552,69928513,0.935768900149715,1,0.0981086092715232
