video_id,title,description,date,fav_count,url
1f8yoFFdkcY,10 MIN BEGINNER AB WORKOUT // No Equipment | Pamela Reif,"Ohhhh yes - a BEGINNER ab workout! ♥︎ / Werbung

If you have a hard time keeping up with my super intense ""10min Ab Workout"" and ""10min Sixpack Workout""... THIS ONE IS FOR YOU :)

Everybody starts somewhere and my other workouts require suuuper strong core muscles. That's why I really wanted to create an ab workout, that is suitable for beginners - while still being super effective.

And listen.. it even includes BREAKS! :D
(If you feel like it's too easy with the breaks though: just continue the last exercise during the break & jump into the new movement one once I start with it as well)

My mom tried this workout and said, that it's 100% manageable for her .. although she usually isn't so much into working out. That means: no excuses for you. GIVE IT A TRY ♥︎

__

No Equipment necessary and not much space needed :) The video is in full length which means you can just follow whatever I’m doing 30s for each exercise. There is a small break included and you can have a look at what exercise is up next.

I recommend switching up your workouts to give your muscles enough time to recover and to hit them from different angles.
I have more workouts that are suitable for beginners! Check out my
- 20min Full Body Workout,
- Good Morning Workout,
- 10min Cool Down Routine or my
- 10min Sexy Arm Workout

__

▸ You can always find ALL SONGS in my workout playlist. I update it weekly & it's available on Spotify, Apple Music, etc. ♥︎
http://wmg.click/GetActive

1. ""In Your Eyes"" by Robin Schulz feat. Alida
2. ""Mambo"" by  Nikki Vianna
3. ""Not So Bad"" by Yves V, Ilkay Sencan feat. Emie
4. ""Birthday"" by Anne-Marie

__

➞ Instagram http://www.instagram.com/pamela_rf/
➞ Food Account http://www.instagram.com/pamgoesnuts/

__

Contact (business inquiries):
pamela_reif@icloud.com

__
unterstützt durch Warner Music Germany

Disclaimer:
When joining me for this workout video, you need to take some precautions as your health and safety is the most important. To avoid any injury or harm, you need to check your health with your doctor before exercising. By performing any fitness exercises without supervision like with this video, you are performing them at your own risk. See a fitness professional to give you advice on your exercise form. Pamela Reif will not be responsible or liable for any injury or harm you sustain as a result of this video.",2020-02-16T08:00:00Z,64189596,https://www.youtube.com/watch?v=1f8yoFFdkcY
Cnmy08JgakM,"15 MIN TOTAL CORE/AB WORKOUT (No Equipment, No Repeats)","15 min INTENSE ab workout you can do anywhere & is equipment free! Work on toning your core at home with this killer abs workout with no repeats!
#AbWorkout #HomeWorkout #Fitness
👉🏼 DOWNLOAD YOUR MADFIT APP FREE TRIAL HERE: https://madfit.app.link/e/store

⭐️ DO THIS WARM UP FIRST: http://bit.ly/2riv8T6
⭐️ APARTMENT FRIENDLY WARM UP: https://youtu.be/CSrBaHX3HxQ
⭐️ DO THIS COOL DOWN AFTER (15 min): http://bit.ly/2YO55PP
⭐️ COOL DOWN (5 min): https://bit.ly/3hqWdbf

👉🏼THE MAT I USE (Exercise 6X4): http://gorillamats.com?aff=19  (MADFIT10 for 10% off)

✘ I N S T A G R A M: @madfit.ig
✘ T W I T T E R: @maddielymburner
✘ F A C E B O O K: facebook.com/madfit.ig
✉ C O N T A C T (business inquiries): madfit95@gmail.com",2021-09-15T17:08:35Z,1955432,https://www.youtube.com/watch?v=Cnmy08JgakM
AnYl6Nk9GOA,10 MIN AB WORKOUT // No Equipment | Pamela Reif,"inspired by my most popular ""Sixpack Workout"" - the NEW VERSION! // Werbung

Whenever I meet people who workout with my videos & ask them which one they like most they ALWAYS say: ""your Sixpack Workout!"".
After 1.5 years it might be time for a new one then haha!

MY OPINION: burns even more, makes me sweat more and gives me such a good feeling in my abs! Maybe it's also because I'm not as ""used"" to this exercise combination yet. In any way: you should definitely give it a try :)

▸ Would love to hear which one you prefer - the old or the new one?

__

No Equipment necessary, no breaks (you're used to it by now I guess) and not much space needed :) If you need a break tho - take it! Just don't quit!

The video is in full length which means you can just follow whatever I’m doing 30s for each exercise.

I recommend switching up your workouts to give your muscles enough time to recover and to hit them from different angles. If you want to challenge your muscles in another way: check out my Good Morning Workout, 20min Booty Workout, Sexy Arm Trainings or the Calorie Burn Session!

__

▸ You can always find ALL SONGS in my workout playlist. I update it weekly & it's available on Spotify, Apple Music, etc. ♥︎
http://wmg.click/GetActive

1. ""Thing For You"" by David Guetta & Martin Solveig
2. ""Stay"" by  David Guetta & RAYE
3. ""Lips Don’t Lie"" by Ally Brooke & A Boogie Wit da Hoodie
4. ""Go Somewhere"" by KREAM & RANI

__

➞ Instagram http://www.instagram.com/pamela_rf/
➞ Food Account http://www.instagram.com/pamgoesnuts/

__
unterstützt durch Warner Music Germany

Disclaimer:
When joining me for this workout video, you need to take some precautions as your health and safety is the most important. To avoid any injury or harm, you need to check your health with your doctor before exercising. By performing any fitness exercises without supervision like with this video, you are performing them at your own risk. See a fitness professional to give you advice on your exercise form. Pamela Reif will not be responsible or liable for any injury or harm you sustain as a result of this video.",2019-10-20T07:00:00Z,76225787,https://www.youtube.com/watch?v=AnYl6Nk9GOA
8AAmaSOSyIA,20 MIN TOTAL CORE/AB WORKOUT (At Home No Equipment),"20 min INTENSE ab workout you can do anywhere & is equipment free! Work on toning your core at home with this killer abs workout!
⭐️SHOP MY COOKBOOKS!: https://goo.gl/XHwUJg

⭐️DO THIS WARM UP FIRST: http://bit.ly/2riv8T6
⭐️DO THIS COOL DOWN AFTER: http://bit.ly/2YO55PP

⭐️WORKOUTS TO PAIR WITH THIS ONE:
10 min Toned Upper Body: https://bit.ly/2QOsLRx
12 min Fat Burning HIIT: https://bit.ly/2QKUeUk
15 min Booty Burn: https://bit.ly/3abNd6H
20 min Full Body: https://bit.ly/39llkaP

👉🏼SUBSCRIBE TO MY MAIN CHANNEL (what i eat, recipes, vlogs): https://goo.gl/WTpDQk

📷 GEAR I USE:
👉🏼THE MAT I USE (Exercise 6X4): http://gorillamats.com?aff=19  (MADFIT10 for 10% off)
CAMERA: https://goo.gl/rVQzXd
42.5mm LENS: https://goo.gl/oLRc2u
TRIPOD: https://goo.gl/ihp5br
MICROPHONE: https://goo.gl/fPzkRN
GOPRO: https://goo.gl/D6eMwL

✘ I N S T A G R A M: @madfit.ig
✘ T W I T T E R: @maddielymburner
✘ F A C E B O O K: facebook.com/madfit.ig
✉ C O N T A C T (business inquiries): madfit95@gmail.com",2020-03-27T13:30:00Z,6088721,https://www.youtube.com/watch?v=8AAmaSOSyIA
2pLT-olgUJs,Get Abs in 2 WEEKS | Abs Workout Challenge,"Abs Abs Abs! Everyone seems to be asking for a QUICK and short schedule, so I put together a 2 weeks schedule to help you get closer to those defined abs and to lose weight. A 2 weeks program is easier to commit to, and you can always do it again after you finish it!

Enjoy the abs workout guys!

✚✚✚ TRY THE NEW 2020 2 weeks shred ✚✚✚
https://www.chloeting.com/program/2020/two-weeks-shred-challenge.html

☆2019 - 2 Weeks Shred Challenge☆
Find schedule here: chloeting.com/program
EP#1 - 13 Mins HIIT Workout - https://youtu.be/2MoGxae-zyo
EP#2 - Abs in 2 weeks - THIS VIDEO
EP#3 - Arms & Core - https://youtu.be/3Pr6n-nKfMA
EP#4 - Lower Body - https://youtu.be/I9nG-G4B5Bs

☆Help Subtitle this video☆
http://www.youtube.com/timedtext_video?ref=share&v=https://youtu.be/2pLT-olgUJs

☆Sponsor this channel☆
https://www.youtube.com/chloeting/join
☆Sub to my 2nd channel☆
https://www.youtube.com/channel/UCBrcDabYtwbR1VIhwH5efZA?sub_confirmation=1

☆My Instagram links☆
https://www.instagram.com/chloe_t/
https://www.instagram.com/itschloeting/

☆Music by☆
Dylan Locke - Johnny Johnny Instrumental
https://spoti.fi/3tIzSMZ
https://www.youtube.com/user/RadialCreations

Track: Ascence - Places Like That [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/jmpRflEHdqs
Free Download / Stream: http://ncs.io/PlacesLikeThat

Track: Dominic Strike - Heartbeat
Music Provided by Magic Records
Listen To The Original: https://youtu.be/Mc_f1j5u0y4
Free Download: https://fanlink.to/o9ha

Party in Backyard - Bitch Lasagna Instrumental

#abs #absworkout #chloeting

IMPORTANT DISCLAIMER: Please note that all of my videos are titled according to SEO best practices for content discoverability. Unfortunately this may mean that video titles are subjective and shouldn't be seen as absolute truth. As an example, targeting fat reduction is not scientifically proven but a video title might suggest otherwise. When following any of my videos, please take precaution to exercise in a safe environment, and I highly suggest seeing a health and fitness professional to give you advice on your exercise form and dietary needs. Every person is unique and there is no one size fits all solution to health or fitness. I am not a medical professional and your health and safety is the utmost importance.",2019-08-12T11:45:00Z,460176620,https://www.youtube.com/watch?v=2pLT-olgUJs
8PwoytUU06g,COMPLETE 20 MIN ABS WORKOUT (From Home),"Follow along with Chris Heria as he does a Complete 20 Min Abs Workout. Watch as he shows you how to get a super-effective AB workout using different positions and flections in only 20 minutes not only to get you shredded but to build your 6 pack ABS.

Find out How to start working out the best way for beginners with Chris Heria and the Heria Pro App. & for more workouts by Chris Heria visit heriapro.com and download the HERIA Pro App in the App Store!

GET THIS WORKOUT ON YOUR PHONE: https://share.heriapro.com/share/n1qDM3zr3U5gBrht5

Follow us:

@chrisheria
https://www.instagram.com/chrisheria/

soundcloud:
https://soundcloud.com/chrisheria

Instagram: @chrisheria
                    @weightvest
                    @heria.shop
                    @heriapro


DOWNLOAD HERIA PRO APP to have Chris Heria as your trainer in your pocket.: http://heria.pro/


SHOP HERIA APPAREL:
https://chrisheria.com


JOIN OUR EVENTS:
 http://thenx.com/blog/events/ (currently updating)


BUY A HERIA WEIGHTVEST:
https://chrisheria.com/collections/equipment/products/i-strong-heria-strong-i-weight-vest


FOLLOW CHRIS HERIA MUSIC ON SOUNDCLOUD/SPOTIFY
https://soundcloud.com/chrisheria
https://open.spotify.com/artist/62qifOWqESHtTVSZrlKRtt


JOIN OUR EVENTS:
 http://thenx.com/blog/events/ (currently updating)


check out my main YOUTUBE CHANNEL AND SUBSCRIBE:
https://www.youtube.com/officialthenxstudios",2021-10-14T18:00:02Z,5684006,https://www.youtube.com/watch?v=8PwoytUU06g
vOiP3kfFlrE,10 MIN KILLER SIXPACK - super hard ab workout / No Equipment I Pamela Reif,"a HARDCORE routine, this video is NO JOKE! ♥︎ Do we kill our sixpack or get a killer sixpack with this one? Tell me after those 10min haha! / Werbung

My gosh, we filmed this routine 3x because of several camera errors. My body was shaaaakingggggg.

▸ for lower abs, upper abs & side abs
▸ advanced level
▸ 100% suitable for men

1. make sure to keep your LOWER BACK flat on the mat. Only lower your legs as far as possible, so your lower back is not lifting off the mat.
2. lay your head on the mat, if that's more comfy. Make sure to still tilt your pelvis & activate your lower abs if you rest your head.
3. THINK ABOUT YOUR ABS. It's about the mind muscle connection! Lift your legs with the strength of your abs, not your thighs.

This was recorded in Sweden last week :) unfortunately you can’t see anything of the landscape because all of those takes had errors :( But on a positive note: The lighting in this Swedish gym made my abs pop haha!!!

__

No Equipment necessary, no breaks and not much space needed :) If you need a break tho - take it! Just don't quit!

The video is in full length which means you can just follow whatever I’m doing 30s for each exercise.
__

➞ my Pam App ♥︎ Free workout plans (11 versions, different fitness levels), lot of recipes & tips:
https://www.pam-app.de/app

▸ 2 of those FREE WORKOUT PLANS are on my Instagram Channel.
Lose Weight & Focus on a Bubble Butt. Check out the Highlight ""Workout Plans"" for that.

➞ Instagram http://www.instagram.com/pamela_rf/
➞ Food Account http://www.instagram.com/pamgoesnuts/

▸ Use the hashtag #PamelaReif if you want to share your transformation or training on Instagram :) I always check the posts!

__

▸ You can always find ALL SONGS in my workout playlist. I update it weekly & it's available on Spotify, Apple Music, etc. ♥︎
http://wmg.click/GetActive

1. Ofenbach - Be Mine
2. Galantis - No Money
3. Clean Bandit ft. Demi Lovato – Solo
4. Galantis x David Guetta x Little Mix - Heartbreak Anthem


__

Business Contact:
pamela_reif@icloud.com

__
unterstützt durch Warner Music Germany

Disclaimer:
When joining me for this workout video, you need to take some precautions as your health and safety is the most important. To avoid any injury or harm, you need to check your health with your doctor before exercising. By performing any fitness exercises without supervision like with this video, you are performing them at your own risk. See a fitness professional to give you advice on your exercise form. Pamela Reif will not be responsible or liable for any injury or harm you sustain as a result of this video.",2021-06-23T03:00:13Z,14637146,https://www.youtube.com/watch?v=vOiP3kfFlrE
QfMlHzgzBwQ,10 MIN INTENSE ABS - No Equipment,"Try this KILLER 10 min sixpack abs workout! This is a quick and efficient workout that targets the ENTIRE core. Trust me, you will feel the burn with this one 🔥
#HomeWorkout #AbsWorkout #Fitness

👉🏼 DOWNLOAD YOUR MADFIT APP FREE TRIAL HERE: https://madfit.app.link/e/store

⭐️ DO THIS WARM UP FIRST: http://bit.ly/2riv8T6
⭐️ APARTMENT FRIENDLY WARM UP: https://youtu.be/CSrBaHX3HxQ
⭐️ DO THIS COOL DOWN AFTER (5 min): https://bit.ly/3zywpCu

👉🏼THE MAT I USE (Exercise 6X4): http://gorillamats.com?aff=19  (MADFIT10 for 10% off)

✘ I N S T A G R A M: @madfit.ig
✘ T W I T T E R: @maddielymburner
✘ F A C E B O O K: facebook.com/madfit.ig
✉ C O N T A C T (business inquiries): madfit95@gmail.com",2022-01-27T20:28:08Z,1213184,https://www.youtube.com/watch?v=QfMlHzgzBwQ
uCKgK6qDdrU,THE BEST LOWER ABS WORKOUT (10 min Lower Belly Burn),"This 10 min lower abs workout is one of my new favourites! You can do this workout AT HOME with NO EQUIPMENT. Get ready to feel the burn in your lower belly 🔥
👉🏼 DOWNLOAD YOUR MADFIT APP FREE TRIAL HERE: https://madfit.app.link/e/store

⭐️ DO THIS WARM UP FIRST: http://bit.ly/2riv8T6
⭐️ APARTMENT FRIENDLY WARM UP: https://youtu.be/CSrBaHX3HxQ
⭐️ DO THIS COOL DOWN AFTER (5 min): https://bit.ly/3zywpCu

👉🏼THE MAT I USE (Exercise 6X4): http://gorillamats.com?aff=19  (MADFIT10 for 10% off)

✘ I N S T A G R A M: @madfit.ig
✘ T W I T T E R: @maddielymburner
✘ F A C E B O O K: facebook.com/madfit.ig
✉ C O N T A C T (business inquiries): madfit95@gmail.com",2022-02-28T20:17:03Z,833883,https://www.youtube.com/watch?v=uCKgK6qDdrU
54x6yjnzLms,10 MIN LOWER AB WORKOUT / No Equipment I Pamela Reif,"train that stubborn lower part of your belly ♥︎  / Werbung

One of the most requested videos ever!
I never wanted to do it because most people advertise their videos like ""LOSE LOWER BELLY FAT"". But we (hopefully) all know: you won't burn only fat in this specific place by training it.

STILL: having strong lower abs is very beneficial. It keeps your core tight, prevents back pain, makes your belly look flatter because you can ""hold it in"" better and: if you lose that fat, you will also see your Ab Lines!

Please, please, please make sure:
▸ to keep your LOWER BACK FLAT ON THE MAT. This is essential for your health & essential for training your lower abs. If you don't keep it flat on the mat, you will not train your lower abs. Only move your legs downwards as far as possible (for example during a leg lift). If that means you only have a small range of motion: FINE. You will improve over time.
▸ you can lay your head on the mat, if that's more comfortable. This makes it ever harder for the lower abs! I tend to lift my head after some minutes, because I otherwise feel my lower back lifting off the mat.
▸ it's about the mind muscle connection! Think about your abs & lift and lower your legs with the strength of your abs, not your thighs.

Hope you enjoy this routine! It's short, hard & effective ♥︎

__

No Equipment necessary, no breaks (you're used to it by now I guess) and not much space needed :) If you need a break tho - take it! Just don't quit!

The video is in full length which means you can just follow whatever I’m doing 30s for each exercise.
__
▸  my Pam App ♥︎ Free workout plans, recipes & tips:
Apple: https://apps.apple.com/app/pam/id1540604002
Android: https://play.google.com/store/apps/details?id=com.openreply.pam

▸ you can find FREE WORKOUT PLANS on my Instagram Channel. 30min, 45min and Beginner Friendly combinations. Check out the Highlight Bubble ""Workout Plans"" for that.

➞ Instagram http://www.instagram.com/pamela_rf/

▸ use #PamelaReif if you want me to see your workout pics and videos!

__

▸ You can always find ALL SONGS in my workout playlist. I update it weekly & it's available on Spotify, Apple Music, etc. ♥︎
http://wmg.click/GetActive

1. David Guetta & MORTEN feat. Lanie Gardner - Dreams 0:00 - 3:16
2. Robin Schulz feat. KIDDO -  All We Got (Ofenbach Remix) 3:17 - 5:21
3. VINAI feat. VAMERO - Rise Up 5:22 - 8:23
4. HUGEL - Can't Love Myself (feat. Mishaal & LPW) 8:24 - 10:40

__

➞ Instagram http://www.instagram.com/pamela_rf/
➞ Food Account http://www.instagram.com/pamgoesnuts/
__

Business Contact:
pamela_reif@icloud.com

__
unterstützt durch Warner Music Germany

Disclaimer:
When joining me for this workout video, you need to take some precautions as your health and safety is the most important. To avoid any injury or harm, you need to check your health with your doctor before exercising. By performing any fitness exercises without supervision like with this video, you are performing them at your own risk. See a fitness professional to give you advice on your exercise form. Pamela Reif will not be responsible or liable for any injury or harm you sustain as a result of this video.",2020-12-15T05:00:00Z,23340743,https://www.youtube.com/watch?v=54x6yjnzLms
