video_id,title,description,date,fav_count,url
6FwktojgS6Q,Elvis Presley&#39;s Death Story,"On August 16th, 1977, Elvis Presley died at his Memphis home at the age of 42 years old. In this episode, we’re going to show you a video reconstruction of Elvis Presley's death scene. You'll also learn why Elvis Presley died and what caused Elvis's death.

Elvis’s drug addiction had been developing since early 1960's. That’s when he started abusing substances to cope with an exhaustive concert schedule. Elvis’s death was similar to the deaths of Michael Jackson and Heath Ledger — we had reviewed their cases in previous episodes.

________________________________________

* Need an animated video for yourself or your business?
https://www.how-it-was.com

* Follow us on Instagram:
https://www.instagram.com/howitwasofficial

* Follow us on Facebook:
https://www.facebook.com/howitwasofficial

________________________________________

Contents of This Video:
00:00​ - Elvis Presley is watching TV in his bedroom in Graceland
00:53​ - Elvis complains to Ginger Alden about his tooth pain
01:06 - Elvis goes to the bathroom to read a book
01:16 - Elvis's date of death and age at death
01:20 - Elvis's becoming a rock-and-roll superstar
02:00 - Why Elvis Presley's appearance changed so much?
02:30 - Elvis Presley's diet and eating habits
03:03 - What killed Elvis Presley
03:15 - Elvis Presley is developing an addiction to sedatives
04:00 - Elvis's tight concert schedule before his death
04:35 - Was anyone trying to help Elvis combat his addiction?
04:45 - Elvis surrounds himself with the ""Yes"" people
05:04 - Elvis pays his staff members 
05:20 - Dr. Nick is assisting Elvis Presley and prescribes him all kinds of drugs
05:40 - A precise story of Elvis Presley's death
06:35 - Elvis is reading the book ""The Scientific Search for the Face of Jesus""
06:55 - Ginger Alden finds Elvis Presley's dead body in his bathroom in Graceland
07:05 - The official cause of Elvis Presley's death
07:18 - The unofficial cause of Elvis Presley's death
07:34 - Outro",2021-10-26T21:58:56Z,300312,https://www.youtube.com/watch?v=6FwktojgS6Q
8hOJFqawlPU,Who killed Elvis Presley? A special investigation | 60 Minutes Australia,"When Elvis Presley died in 1977, the official explanation was a heart attack but this 1979 special investigation reveals a massive coverup by police and medical authorities. 

WATCH more of 60 Minutes Australia: https://www.60minutes.com.au 
LIKE 60 Minutes Australia on Facebook: https://www.facebook.com/60Minutes9 
FOLLOW 60 Minutes Australia on Twitter: https://twitter.com/60Mins 
FOLLOW 60 Minutes Australia on Instagram: https://www.instagram.com/60minutes9

For forty years, 60 Minutes have been telling Australians the world’s greatest stories. Tales that changed history, our nation and our lives. Reporters Liz Hayes, Allison Langdon, Tara Brown, Charles Wooley, Liam Bartlett and Tom Steinfort look past the headlines because there is always a bigger picture. Sundays are for 60 Minutes.",2018-10-16T11:00:01Z,2635543,https://www.youtube.com/watch?v=8hOJFqawlPU
7pswciaJHA4,The Sad True Story Of Elvis Presley&#39;s Last Days,"From his first appearance in 1956 on The Ed Sullivan Show, Elvis Presley embodied rock and roll. His career spawned hit after hit and elevated a simple country boy to the most popular musician on the planet.

Presley sold millions of records and sold out concerts to screaming fans. But behind the scenes, Presley was a deeply troubled man. As the years went by, he sunk into opiate addiction and neglected his health. He would die at just 42.

Subscribe to The Story Behind https://is.gd/hixAAr

Music by Epidemic Sound: https://www.epidemicsound.com/",2019-04-14T18:28:17Z,1855239,https://www.youtube.com/watch?v=7pswciaJHA4
uMWAfbPSzYY,1977 SPECIAL REPORT: &quot;THE FUNERAL OF ELVIS PRESLEY&quot;,"Thousands of fans converged on Memphis in the days following Elvis Presley's death, so many that President Carter ordered 300 National Guard troops to the area to maintain order. All city buildings in Memphis immediately lowered their flags to half-staff. Elvis was embalmed at the Memphis Funeral Home and returned to Graceland on August 17, 1977, where a public viewing of the casket, ordered by Elvis' father Vernon was set up in the foyer. Over 30,000 fans were let in.

Elvis Presley's funeral, held on the 18th, was a modest affair, though attended by stars such as his ""Viva Las Vegas"" co-star Ann-Margret, James Brown, and actor George Hamilton. Held in Graceland's living room, it lasted from 2:00 to 4:00 p.m. Wooddale Church of Christ pastor C.W. Bradley led the sermon, which also featured a testimonial from comedian Jackie Kahane, who often opened Elvis' shows.

Other Elvis tour vets -—J.D. Sumner and the Stamps, the Statesmen, and Kathy Westmoreland — performed some of Elvis' favorite hymns including ""Heavenly Father.""",2019-12-13T21:35:24Z,3281036,https://www.youtube.com/watch?v=uMWAfbPSzYY
9gz5wI07Doo,"Elvis Presley: News Report of his death - August 16, 1977","News breaks of the death of Elvis Presley.

Elvis Aaron Presley (January 8, 1935 – August 16, 1977), also known simply as Elvis, was an American singer, dancer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"". His energized interpretations of songs and sexually provocative performance style, combined with a singularly potent mix of influences across color lines during a transformative era in race relations, led him to great success—and initial controversy.

Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African-American music to a wider audience. Presley, on rhythm acoustic guitar, and accompanied by lead guitarist Scotty Moore and bassist Bill Black, was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. In 1955, drummer D. J. Fontana joined to complete the lineup of Presley's classic quartet and RCA Victor acquired his contract in a deal arranged by Colonel Tom Parker, who would manage him for more than two decades. Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number-one hit in the United States. With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.",2018-06-06T04:53:25Z,386337,https://www.youtube.com/watch?v=9gz5wI07Doo
-Acs4iWERZ4,Elvis Rare Funeral Footage,,2018-10-09T06:46:54Z,2235900,https://www.youtube.com/watch?v=-Acs4iWERZ4
hRqzwJJyJkg,Elvis Presley Autopsy,,2021-12-28T19:46:07Z,340161,https://www.youtube.com/watch?v=hRqzwJJyJkg
GLguz8Fmirc,The Day Elvis Presley Died 📀,"This is the story from Joe Esposito, Elvis tour manager that ran upstairs in response to Ginger's call. 
Read Ginger's book
https://amzn.to/2tQM7ZX
Pickup Elvis greatest hits https://amzn.to/2thNRMv
Checkout Linda Thompson book on Elvis called A little thing called life.
Available on Amazon .https://amzn.to/2MI225k

Please subscribe to my channel and share the real story.",2011-10-17T15:27:08Z,714946,https://www.youtube.com/watch?v=GLguz8Fmirc
lFF1wEBBrtI,Fans React To His Death | This Is Elvis | Warner Archive,"This Is Elvis (1981) #WarnerArchive #WarnerBros #ThisIsElvis

Acclaimed producer David Wolper brings us the first fully authorized look at the man behind the myth. This definitive biography of the legendary entertainment icon combines captivating performances and documentary footage, with sequences of actors playing Presley at various stages of his life. Including 38 of Presley's greatest hits.

Directed By Malcolm Leo, Andrew Solt
Starring Elvis Presley, David Scott, Paul Boensch III

Subscribe to watch more Warner Archive videos: https://www.youtube.com/c/warnerarchive?sub_confirmation=1

FOLLOW WARNER ARCHIVE ON SOCIAL
Facebook: https://www.facebook.com/warnerarchive
Instagram: https://www.instagram.com/warnerarchive
Twitter: https://twitter.com/warnerarchive

ABOUT WARNER ARCHIVE
Warner Archive Collection is a branch of Warner Bros home entertainment that releases classic films and TV that were previously unreleased. Thousands of Films, TV movies and series on Blu-ray and DVD direct from the studio. WAC started as a MOD (manufactured on demand) eCommerce business in 2009 and have released over 2,500 titles spanning from the 1920s to present with distribution outlets that now include wholesale, licensee, and retail partners. Available at https://amzn.to/3gQeRvx.

Warner Archive
https://www.youtube.com/c/warnerarchive/featured",2017-08-16T16:17:12Z,173500,https://www.youtube.com/watch?v=lFF1wEBBrtI
JgZ7liA4zd4,"☆ELVIS: STATE FUNERAL OF THE KING,1977 ☆ 2 DAYS AFTER EP&#39;s DEATH | Please Subscribe for Updates","---PLEASE SUBSCRIBE--- King of music and US Army veteran Elvis Presley was given the honour of a state funeral. An estimated 500,000 people as well as 1000 Police officers lined the streets of Memphis as his hearse drove by.
Such a grand and public funeral was a truly fitting final tribute to the King.
This video is some of the most amazing footage from that day- in one scene a grief-stricken woman runs in front of the hearse and has to be pulled out of the way by a policeman. Another incredible scene shows all the Memphis police saluting Elvis as the hearse drives slowly past.

Small tips are always appreciated🙏 just look for the SUPER THANKS button under all my videos. Or you can sponsor me monthly and become a valued MEMBER of the J.R. as Elvis family. This will get you access to exclusive perks:
https://www.youtube.com/channel/UCRpoMYZq4C3bQrKSnC71mIw/join
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=HSZ7-OH23ag
[⁴ᴷ] --COMPLETE UPSTAIRS TOUR-- ELVIS' GRACELAND 2nd Floor & SCENE OF DEATH: The Clearest Look EVER!
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=WBeczWE0eZA
ELVIS SAYS ""F%CK YOU"" TO A HATER IN AUDIENCE- Las Vegas, Aug 30 1974 | 3am Show
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=rMDFnzHguLM
ELVIS: ""THEY SAID I WAS STRUNG OUT ON HEROIN!!!"" -RAW & UNCUT- Onstage Drugs Speech & Paternity Suit
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=pWkXfNAlXoI
Elvis' Autopsy Report: The TRUTH AT LAST | Why It Will NEVER Be Released To The Public
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=XOv0iCFzfzo
ELVIS SPEAKS! He Gives EXACT Reason For Divorcing Priscilla --FULL & UNCUT VERSION--
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=xxvARmQn-yc
ELVIS' INCREDIBLE TCB RING on Display @ The O2, London | Massive Gold, Diamond & Onyx Masterpiece
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=TPFs4D0Kt2o
PRISCILLA PRESLEY: Shattered Beauty | The TRUE Tragic Ending of Elvis' Ex-Wife: BOTCHED SURGERY!
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=1OGvmdNopqk
BENJAMIN KEOUGH BURIED AT GRACELAND: PICTURES | Elvis' Grandson Rests With King
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=bznhr7sguQc
✅UPDATED: INSIDE BENJAMIN KEOUGH'S FUNERAL | Open Coffin & Decorated With Cherry Blossoms
◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇◇
ALSO WATCH: https://www.youtube.com/watch?v=hSP1xJTirZ0
THE 3 HUGE CHANGES MADE TO GRACELAND WHEN LISA MARIE VISITS | Bonus: Rare Film of Elvis' Cousin!",2012-05-10T10:51:41Z,10126177,https://www.youtube.com/watch?v=JgZ7liA4zd4
eQYAQeuqnS4,Disturbing Details Found In Elvis Presley&#39;s Postmortem Report,"To die-hard fans, Elvis Presley is still the king of rock 'n' roll — despite having died way back in 1977. And while the near-mythical musician's celebrated career is worth a deep dive of its own, it's his tragic passing at the age of 42 that continues to confuse fans. Why? Well, simply put, a slew of details regarding his death have been kept from Presley's adoring public.

For whatever reason, the musician's father Vernon Presley requested that his son's autopsy remain sealed until 2027, the 50th anniversary of his son's death. Still, a publicly available medical examiner's report was completed, and, while it doesn't shed as much light as a formal autopsy report, it does provide some insight into the final moments of a legend. These are disturbing details found in Elvis Presley's postmortem report.

#Elvis #TheKing #RockAndRoll

Read full article: https://www.grunge.com/647658/disturbing-details-found-in-elvis-presleys-autopsy-report/",2022-06-11T10:00:30Z,338884,https://www.youtube.com/watch?v=eQYAQeuqnS4
