video_id,title,description,date,fav_count,url
t4QQTfIvzv4,10 Reasons Why Van Life SUCKS,"Save up to $15 off your TurboTax purchase using my link https://go.magik.ly/ml/1fq9y/

Sometimes, Van Life sucks. In this video, I break down the top 10 reasons why I sometimes struggle with this lifestyle and things you might consider before moving onto the road full-time.

0:05 sometimes van life sucks
0:54 overnight parking
3:00 space
3:55 shower and bathroom
4:37 lack of normalcy
5:30 i got pulled over
7:17 legal stuff
8:20 taxes
9:42 lack of convenience
11:00 lack of privacy
12:44 mail + shipping
13:41 wifi + internet
13:12 breakdowns + maintenance
15:44 the truth about #vanlife

Links to ALL my favorite photography, road life & camping essentials  🛒  I get a small kickback when you purchase using these links, thanks for your support :)  https://christianschaffer.art/faq-gear 

Business Inquiries: info(at)christianschaffer.art
Website: https://christianschaffer.art/
Instagram: https://www.instagram.com/christianschaffer
Twitter: https://twitter.com/ChristianSchafR

Music is from MUSICBED 🎶  Elevate your videos with record-label quality songs: http://share.mscbd.fm/christianschaffer

**My van is a 2019 Ram ProMaster 1500 High Roof, 136"" WB with 37K miles** 🚐

FTC Disclaimer: This video is sponsored by @TurboTax  Some links above are affiliate links from which I get a small commission, which does not affect you as a customer at all, but helps me keep on making videos for you guys! All opinions are my own

#TurboTaxLive #selfemployed #MagicLinks",2022-03-13T14:00:16Z,2009179,https://www.youtube.com/watch?v=t4QQTfIvzv4
XlBUfZYzeM8,Living RENT FREE in NYC - The Van Dwellings of New York City #VANLIFE WINTER,"In todays video we visit with Rob as he walks us through Van Alley in Brooklyn New York. The high rent prices in New York City have been forcing many to move into self converted DIY camper vans. There are many that come and go as they find alternative living spaces other than their van dwellings. This rent free living can also be difficult as the winter months come. 

#vandwelling
#campervan

Follow Rob on YouTube
https://www.youtube.com/channel/UCLWo17OYQ_Jjh0JrPNRLz4Q

Follow New Jersey Outdoor Adventures on Instagram
https://www.instagram.com/nyc_vanlife

About New Jersey Outdoor Adventures -

New Jersey Outdoor Adventures YouTube channel is about vanlife , camper vans, Van builders, DIY conversions and RV walk through tours in and around New Jersey.

New videos every Saturday at 10am eastern. Please subscribe for more awesome video tours. https://www.youtube.com/newjerseyoutdooradventures?sub_confirmation=1

Follow New Jersey Outdoor Adventures on Instagram
https://www.instagram.com/patrick_njoa

Facebook For New Jersey Outdoor Adventures
https://www.facebook.com/newjerseyoutdooradventures/

NJOA Merchandise
https://www.youtube.com/channel/UCZ4P6JaFzImeSWPAr3gGGCQ/store

NJOA TikTok
https://www.tiktok.com/@njoutdooradventures

Thumbnail Art by 
http://www.motivedezign.com/",2021-11-21T14:00:08Z,1604038,https://www.youtube.com/watch?v=XlBUfZYzeM8
ZR7Z74UY2TY,VAN LIFE | A Day in The Life | MEXICO,"We have been traveling in our van in Mexico for nearly 5 months. Today we bring you along on the adventure to show you what a typical travel day looks like for us!

SUBSCRIBE to our channel & to join our community! 
https://www.youtube.com/c/MaxLeeandOccy

Follow us on INSTAGRAM!  @maxandlee_

Become a Patreon!
https://www.patreon.com/MaxandLee

WHERE DO WE GET OUR MUSIC??
http://share.mscbd.fm/maxandlee ⬅️
⬆️Get a 30-day free trial for the best music for your videos!

Want to EDIT like us?? This is what we use!   https://bit.ly/2Px8tfk  

WHO WE ARE:
We are Max & Lee + Occy. We are new to the YouTube world and stoked to be here. We are about living small with the world as our backyard. We love adventure and we want to bring you along with us! Follow us as we continue our travels, through Mexico and into Central America.

Music:
enjoy ur coffee by a u x @auxofficial
Music provided by Free Music for Vlogs youtu.be/ox0So3zx-bs

The moment I wake up by a u x @auxofficial
Music provided by Free Music for Vlogs youtu.be/5U-xVQVE1N8

Vibe With Me by Joakim Karud @joakimkarud
Music provided by Free Music for Vlogs youtu.be/XURcm5qllIQ

Soul by Dj Quads @aka-dj-quads
Music provided by Free Music for Vlogs youtu.be/Govo0Hu1l5A

Just My Imagination by KSMK @imkosmik
Music provided by Free Music for Vlogs youtu.be/tCppBIAJD9g

Last Summer by Ikson @ikson
Music provided by Free Music for Vlogs youtu.be/ZGPs5vi6pBY

Emotions by Simon More @user-73416670
Music provided by Free Music for Vlogs youtu.be/Ik5MhP1bRQY",2018-05-10T02:48:34Z,17877675,https://www.youtube.com/watch?v=ZR7Z74UY2TY
puNieGCEAZo,How living in a van changed our lives (USA Road Trip Documentary),"After living, working, and traveling full-time together in the tiniest little van for an entire year, both of our lives have been forever changed. Our darling van saw 38 states, drove over 30,000 miles across the entire US, and housed us through sunshine, rainfall, snowfall, and high-speed wind. What an incredibly wild year it was. It was both the most exciting year of our lives, while also being the most challenging. 

Thank you all for being a huge support to what we do and for choosing to be a part of our journey. This past year in the van will certainly be one to remember, and we can’t wait for the start of chapter two (full-time international travel) starting tomorrow, when our flight takes off for our first country abroad post-pandemic. Thank you for taking the time to watch through this documentary, and we will see you in eight days with our first international video!

Follow along to see where we head next.

WE HAVE NEW MERCH!
VISIT OUR WEBSITE + STORE: www.chadandclaire.com


BACKDOOR KITCHEN RECIPES (CLAIRE'S DIGITAL COOKBOOK):
https://chadandclaire.com/shop/p/clairesdigitalcookbook

170+ USA VAN LIFE PARKING SPOTS (PLUS OUR ENTIRE USA ROUTE): 
https://chadandclaire.com/shop/p/1-year-of-parking-spots

Subscribe to our YouTube channel: https://www.youtube.com/channel/UCJul...
Follow us on Instagram: https://www.instagram.com/chadandclaire/
Support us on Patreon: https://www.patreon.com/chadandclaire
Email us for inquiries: contact@chadandclaire.com

OUR GEAR
Main Camera - https://amzn.to/2JW0mZF 
Wide Lens - https://amzn.to/3hRMnAB 
Zoom Lens - https://amzn.to/35kYhh7
Tripod - https://amzn.to/38ubGFX 
Microphone - https://amzn.to/36qTuLn 
Drone - https://amzn.to/3bg0XAB 
Waterproof Camera - https://amzn.to/35hUnWf",2021-07-21T13:00:20Z,53367,https://www.youtube.com/watch?v=puNieGCEAZo
loiARpb_cOU,Our Campervan Is Destroyed | Scariest Day Of Van Life,"Scariest Day Of Van Life | Our Near-Death Experience

This was the scariest day of vanlife by far. Our US vanlife dream is over for now in the most dramatic fashion. We need to take some time to process what happened but we won't give up on our dreams of living in a van in the US.

www.patreon.com/travelbeans

Be sure to hit that notification bell to be notified of future content coming soon! 🔔

⭐ Come Say Hello!
▹Facebook: https://facebook.com/TravelBeans
▹Instagram: https://instagram.com/travel_beans 

⭐ EQUIPMENT WE USE:
Our Drone: https://geni.us/beansdrone
Our Camera: https://geni.us/beanscamera
Our Lenses: 
Wide - https://geni.us/beansmainlens
Tight - https://geni.us/beanslonglens
Microphone - https://geni.us/beansmic
GoPro - https://geni.us/beansgopro
Small Tripod - https://geni.us/beanstripod1
Big Tripod - https://geni.us/beanstripod2
Laptop - https://geni.us/beanslaptop

⭐ SERVICES WE USE:
▹Where We Find Our Music (Epidemic Sound) - http://share.epidemicsound.com/travelbeans
▹Helpful YouTube Tools (TubeBuddy) - https://www.tubebuddy.com/TRAVELBEANS

▹Teach English Online & Earn Money - https://www.cambly.com/en/tutors?referralCode=emma145

▹Travel + Medical Insurance For Nomads (SafetyWing) *Now Includes COVID-19 Coverage*
Nomad Insurance: https://www.safetywing.com/?referenceID=24739299
Remote Health: https://safetywing.com/remote-health?referenceID=24739299

▹SkyRoam Personal WiFi - https://www.skyroam.com/?rfsn=2382845.b5fb86

NOTE: Some of these may be affiliate links, which means when you buy something we may receive a small commission. There is no additional charge to you, and it really helps to support us - so thank you! :)

⭐ About Travel Beans:
Welcome to the official Travel Beans YouTube channel! On this channel, you’ll find a variety of travel and vlog content, in which you’ll see us in places like Thailand, Japan, USA, Slovenia, and more.

In 2017 we left home with just £500 in our bank account and a dream to make a sustainable travel lifestyle happen! We are now living our dream as digital nomads and want to inspire you to create your own story, whatever it may be!

After 5 years of aimless, yet enjoyable, backpacking around the world we found ourselves in New York City battling with depression. At this point, we decided to go home and confront this problem head-on. After 6 tough months at home we decided to go away again, but this time with a goal in mind.. to turn travel into a lifestyle.

Our time spent battling depression has influenced our outlook on life dramatically! We are now traveling the world in search of what makes us happy. In our vlogs, we talk openly and honestly about our travel experiences, the digital nomad life and depression. We hope our videos can help to inspire you to create a life that makes you happy!

⭐ Make sure to Subscribe to our channel for more videos like this one! ⭐",2022-05-30T15:00:22Z,934421,https://www.youtube.com/watch?v=loiARpb_cOU
gWpeNZQ9dUs,VAN TOUR AFTER 2 YEARS FULL-TIME VAN LIFE,"We've lived in our DIY camper van with a murphy bed for almost 2 years of full-time van life. So we wanted to show you a tour of our van has held up after all that time and almost 50k miles of travel.

Life is good.

——————————————————

Need help with your van build or like our layout? We've got you covered!: https://bit.ly/vanbuildguide

——————————————————

We participate in the Amazon Influencer Program and others affiliate programs listed below. We earn affiliate commissions from Amazon and other retailers for qualifying purchases associated with our Amazon storefront and all links listed below.

We've curated a list of items that will make your rv, bus, or van conversion so much better!: https://Amazon.com/shop/Tioaventurabus 

The best windows covers for sprinter vans: https://bit.ly/2ECuRRH

——————————————————

Business or brand wanting to work together?
✉  Email Us: Jenna@TheStation.io

——————————————————

Follow us on Instagram for behind the scenes content: https://www.instagram.com/tioaventuravan/

Twitter: https://twitter.com/tioaventura

Inspired? Support our work: https://www.patreon.com/TioAventura

Heard our Podcast?:

Apple: https://apple.co/3dp7JTj
Spotify: https://spoti.fi/2WJd5Tu

——————————————————

We're Mariajosé and Chase. In 2018 we sold our house in Nashville, Tennessee, moved into our self-converted school bus  #buslife and took off traveling the United States. We sold our bus, bought a new-to-us Sprinter Van #vanlife and we're doing it all over again. If you're new to our channel, subscribe & stick around. We're excited to have you here. If you enjoy our videos please let us know, give us a like and drop a comment down below. If our videos just aren't for you, we understand and hope you find what you're looking for somewhere else! 

#vanlife #vantour #murphybed",2022-01-09T14:00:17Z,377362,https://www.youtube.com/watch?v=gWpeNZQ9dUs
ZqNDsBjdS4M,Top Van Life Travel Spots in the USA!,"Top VanLife Travel Spots... From 7 months of Full Time Travel in our van! Our ""Farewell USA"" Travel Series has come to an end... this video recaps our favorite destinations we have traveled in our van over the past 6 months! Next up for us is ""Van Vida En Mexico""... a Van Life Travel Series to Mexico! 
------------------------------------------------------------

If you would like to help support our journey... keep fuel in the tank and the wheels turning so that the videos keep coming... you can visit our Patreon Page to learn more: https://www.patreon.com/SnowAndCurt

--------------------------------------------------------------
We retired early and sold everything we own to become fulltime van life travelers! After and 8 month van build, we hit the road in our DIY Sprinter Van to start our 10 year journey around the world. 

In addition to our Travel Series, you can tour our van in our Van Tour Video on our channel... We also have several ""Tech Talk' videos about our van build. Plus, we started a ""Van Life Series"" playlist so that you can see videos specifically about actually living in a van! 

-----------------------------------------------------------

OUR VLOG EQUIPMENT:

Camera Gimble
https://www.amazon.com/dp/B07VFL54V7/...

Cell Phone Gimble
https://www.amazon.com/dp/B07BGSPZ3L/...

Vlog Camera
https://www.amazon.com/dp/B07MV3P7M8/...

You can also go straight to our Amazon Store, if you click through and make a purchase, we will make a small commission. We will never promote something that we do not believe in and use ourselves. 

https://www.amazon.com/shop/snowandcurt

--------------------------------------------------------------------------------------

-~-~~-~~~-~~-~-
Please watch: ""Ep 15 -  OUR VANLIFE STORY"" 
https://www.youtube.com/watch?v=GUN2LtgvhSU
-~-~~-~~~-~~-~-
-------------------------------------------------------------
JOIN OUR MEMBERSHIP PAGE
To see behind the scenes action and help keep the wheels turning, head over to our YouTube Membership Page and JOIN. 
https://www.youtube.com/channel/UCyrjbkxt4kBuVJJuqVTkylw/join
-------------------------------------------------------------
SEE SOMETHING YOU LIKE IN OUR VAN? 
Chances are you can find it in our Amazon Store. FYI... If you shop through our links, we will make a small commission, which is much appreciated! 
https://www.amazon.com/shop/snowandcurt?ref=cm_sw_em_r_inf_own_snowandcurt_dp_2vFBlimcgwjcT
--------------------------------------------------------------
LIKE OUR MUSIC? 
We get it at Epideminc Sound. Here is a link to our Fav Van Lif Traveler Tunes:
https://www.epidemicsound.com/playlist/6a9vimoh50lhx2jqoazmctz9cez466c2

If you decide to join Epidemic Sound, Here is a Referral Link to save us a bit of cash towards one month of our subscription (THANKS):
https://www.epidemicsound.com/referral/to9wvg/
----------------------------------------------------------------",2019-12-29T21:24:23Z,17947,https://www.youtube.com/watch?v=ZqNDsBjdS4M
ibs8k6DwNEo,The Simple Life. | Van Life in Ecuador,"Ever wanted your life to be just a little more simple? Are you prepared to give up some creature comforts to achieve this?
Join us for a day in our lives as we live in our self converted van in Ecuador! 
Van Life SOUTH AMERICA Ep.04

MUSIC used in this video;
1. The sun is coming by Felipe Baldomir
2. Changing and healing by Felipe Baldomir
Check out his channel here! 
https://www.youtube.com/channel/UC06tlgTzbYkNrxnbTb4B9uw

Become a PATRON and get:
-exclusive access to extended videos (inc bloopers)
-early access to videos
-prioritised response to comments
-behind the scenes info
PATRONS https://www.patreon.com/MaxandLee

-OR- 
Send us a one time donation via PayPal
helloleeandmax@gmail.com

For more travel updates follow our instagram @maxandlee_

Want to EDIT like us?? This is what we use!   https://bit.ly/2Px8tfk  

WHERE DO WE GET OUR MUSIC??
http://share.mscbd.fm/maxandlee ⬅️
⬆️Get a 30-day free trial for the best music for your videos!

LINKS TO OUR GEAR 
Drone - https://amzn.to/2RSZtiX
Sony RX100 V with accessorie - https://amzn.to/2C59hmW
Camera Gimbal - https://amzn.to/2MRxAJd
Photography Camera - https://amzn.to/2Dyv4TQ
Polaroid camera - https://amzn.to/2ROl5gi
12v Dometic Fridge - https://amzn.to/2ohGvFD
Maxxair Fan - https://amzn.to/2PbSW1l
Renogy 200 Watt 12V Solar Starter Kit - https://amzn.to/2Iw66Cr
6v Deep Cycle Batteries - https://amzn.to/2wnwICB
Bestek 400W inverter - https://amzn.to/2ok6SLo
6 Inch Memory Foam Mattress - https://amzn.to/2N2QiuH
Lagun table leg - https://amzn.to/2AXTQub
Black out curtains - https://amzn.to/2OBn4Cz
Cabinet Door Gas Struts (x4) - https://amzn.to/2Kob8mm
Portable stove - https://amzn.to/2MUJUs4
Aquatainer - https://amzn.to/2PM3nJZ
12v Water Pump - https://amzn.to/2N0lsFM
Solar Shower - https://amzn.to/2N02SNZ
Roof Seal Paint - https://amzn.to/2wuFs9c
Rivet Nut Tool - https://amzn.to/2C3Ebf4
Bamboo Utensils - https://amzn.to/2DygJa4

#livelifeoutside #vanlife #southamerica",2019-03-31T16:37:42Z,6011990,https://www.youtube.com/watch?v=ibs8k6DwNEo
qo_gZUXmy0k,Why I Quit Vanlife,"Vanlife or #vanlife was an incredible experience and I would recommend it to anyone with even the slightest of interest in the lifestyle to give it a try it. I learned a lot about myself and also had a great time doing it. However, it was time for a change and I'm diving in to this next chapter with nothing but commitment. 

Thanks for watching!

Please support the channel if you are able: 

T-Shirts available on TeeSpring:
https://teespring.com/stores/captain-gnarkill-warehouse

PayPal:
https://www.paypal.me/captaingnarkill

Join on Patreon for a dollar a month:
https://www.patreon.com/captaingnarkill


Please subscribe to the channel. Its free for you and helps me a lot.
https://www.youtube.com/captaingnarkill/?sub_confirmation=1


Shop the wonderful world of Amazon here:
https://amzn.to/2wHC0vN
DISCLAIMER: This is an affiliate link


Things in my van that make vanlife better & easier:

12 Volt Refrigerator:
https://amzn.to/2N3BLUe

6"" Memory Foam Mattress:
https://amzn.to/3qj3A9z

Solar Panels 100W:
https://amzn.to/3rWE1eR

Solar Batteries AGM 155AH:
https://amzn.to/37eCMj5

Solar Charge Controller:
https://amzn.to/3jQYf6L

Solar 8awg wire:
https://amzn.to/3agc6k0

Maxxair Roof Vent Fan:
https://amzn.to/2N1Q4bK

Diesel Parking Heater Complete Kit:
https://amzn.to/2Zesew1

7 Gallon Water Container w/ Spout:
https://amzn.to/2ZetsHx

Best Camping Chair Ever:
https://amzn.to/3air4WJ

Dish Washer / Shower Sprayer Thing:
https://amzn.to/3rPewvQ

Trasharoo Trash Can:
https://amzn.to/3pgH7bB



Send Mail:
Jk, mail is no longer a thing. Heres what happened to that:
https://www.youtube.com/watch?v=VKTaakrtEa0


Follow me on IG:
@CaptainGnarkill




Music:

Music by Epidemic Sound (http://www.epidemicsound.com)

#vanlife #vanliving #livinginavan",2021-06-23T17:54:30Z,972642,https://www.youtube.com/watch?v=qo_gZUXmy0k
BPDPSL9PlDU,Living Your Best Life in a Van,"""How Bob Wells Lives His Best Life in a Van."" Bob Wells lives in a refurbished van. After hitting a new low in the wake of a divorce, with no money to lean on, Bob found a new lease on life when he hit the road in his van for the last ten years, reaching celebrity status from his popular YouTube channel where he shares how-to’s and inspiration for the van-dwelling set. 

How Bob Wells Lives His Best Life in a Van | American Nomads, Ep. 1

Learn more about ""Independent Lens"":
http://www.pbs.org/independentlens
Like us on Facebook: https://www.facebook.com/independentlens
Follow us on Twitter: https://twitter.com/IndependentLens
Follow us on Instagram: https://www.instagram.com/independentlens/
Bob Wells's YouTube Channel: https://www.youtube.com/cheaprvliving
Executive Producers
Sally Jo Fifer
Lois Vossen
 
Director & Producer
Ben Wu
David Usui
 
Cinematography
Ben Wu
David Usui
 
Editor
David Usui

Sound Mix
Dan McHugh
 
VP of Production 
Royd Chung
 
Senior Manager, Short-Form Content                        
Pamela Torno
 
Supervising Producer                  
Clare Chambers 

Consulting Producer
David Casey
  
Associate Producer 
Susan Cohen

Legal Counsel
Kathleen Conkey, Law Offices of Kathleen Conkey
 
Production Accountant
Ameena Din
 
Special thanks to:

KC Colter
Carolyn Merriman
Bob Wells
Cheap RV Living (www.cheaprvliving.com)


ITVS Contributing Staff

Senior VP of Content
Jim Sommers

VP of Content
Noland Walker

VP of Marketing & Communication
Lisa Tawil

Senior Counsel Business & Legal Affairs
Noah Wald

Senior Creative Director
Louise Cousins

Senior Director of Marketing
Daniel Ross

Senior Content Manager
Aldo Mora-Blanco

Post Production Supervisor
Joanna Goldfarb

Art Director
Michael Silva

Assistant Editor
Michael Steve

AMERICAN NOMADS is a co-production of LOST & FOUND FILMS and INDEPENDENT TELEVISION SERVICE (ITVS), with funding provided by the CORPORATION FOR PUBLIC BROADCASTING (CPB)
This program was produced by LOST & FOUND FILMS, which is solely responsible for its content.
© 2019 Lost & Found Films, Inc. All Rights Reserved.",2020-01-14T18:00:02Z,132140,https://www.youtube.com/watch?v=BPDPSL9PlDU
