video_id,title,description,date,fav_count,url
9rWnKThfL-A,My Vintage Jewelry Collection (Organizing My Vintage Jewelry Box),"Hello Lovelies
Today I will be organizing all of my Vintage Jewelry
I recently picked up this pretty vintage jewelry box and wanted to organize it with all of my vintage jewelry. Let me know which items are your favorite in the comments below.

Vintage Doll Cosmetics:
https://www.vintagedollcosmetics.com
Foundation:
https://rstyle.me/+vtSYqZw06Zrallc4cT0FFw
Concealer:
https://rstyle.me/+Hb87f3CxlqYrYmyU_4bUSw
Blush:
https://rstyle.me/+KYH4D0SkQHyR15Psti9-JQ
Face Cream:
https://rstyle.me/+lRZTEZ03lnSJtGkXJbq90w
Eye Cream:
https://rstyle.me/+MNbbCiTVK2I4Fh03X6G9xw
Mascara:
https://rstyle.me/+HzfwDuFuyIq9ygo0EW4wOw
Powder:
https://rstyle.me/+f-jrN7W3wkbGB6ndR7xhrA
https://rstyle.me/+sePSf4cOM01KBGUThG32dw
Perfume:
https://rstyle.me/+3_vGYpeaHTV41IdVs_YIxQ
Earrings:
https://rstyle.me/+FSFqMp3aSmoRzZ89HRYmCQ
Blog:
https://www.laurajaneatelier.com

Join this channel to get access to perks:
https://www.youtube.com/channel/UCM4hiMCyAEMxibzIYrOKD5Q/join

#vintagejewelry #laurajaneatelier #vintagehaul",2021-10-10T17:00:04Z,16888,https://www.youtube.com/watch?v=9rWnKThfL-A
EvDTmLuac_M,Vintage Jewelry: The Top 10 MOST WANTED ART DECO Vintage jewelry Pieces!,"The top 10 most wanted Art Deco vintage jewelry pieces!  Learn how to identify the good Art Deco vintage jewelry from an expert! Find out what rare Art Deco jewelry pieces will always keep their value. I show you antique jewelry pieces from my personal vintage jewelry collection! Here's how to identify high value vintage jewelry! I explain why they are rare, why they are valuable, and how to train your eye to identify vintage Art Deco jewelry! SHOP:  https://shophudsonvintage.com
#VintageJewelryIdentification!

♥︎  TEXT ME:  917-809-7250  For Live Auction Alerts
♥︎  GALAXY SHOP:  973-949-0785  https://shopgalaxy.com/hudson-vintage/profile
♥︎ SELL OR CONSIGN: hudsonvintage@me.com SUBJECT: Help!
♥︎  MEMBERSHIP PATREON:
 https://www.patreon.com/hudsonvintage
♥︎  MEMBERSHIP YOUTUBE:  https://www.youtube.com/channel/UCZBYmN6psJwd2S_8-WxtUHA/join
♥︎ SOCIAL MEDIA:
Facebook: https://www.facebook.com/hudsonvintageny/
Instagram:  https://www.instagram.com/hudsonvintage/
♥︎ FRIEND MAIL
Hudson Vintage
P.O. BOX 526
Blairstown NJ
07825
♥︎ CONTACT ME:
Email: hudsonvintage@me.com
TEXT: 917-809-7250
♥︎ JOIN this channel to get access to perks:
https://www.youtube.com/channel/UCZBYmN6psJwd2S_8-WxtUHA/join

MOST POPULAR VIDEO
https://www.tubebuddy.com/quicknav/mostpopular/UCZBYmN6psJwd2S_8-WxtUHA

LAST WEEK'S UPLOAD:
https://www.tubebuddy.com/quicknav/latest/UCZBYmN6psJwd2S_8-WxtUHA

CHANNEL INTRO:
https://www.youtube.com/channel/UCZBYmN6psJwd2S_8-WxtUHA?sub_confirmation=1

EMAIL: hudsonvintage@me.com
TEXT: 917-809-7250

As an Amazon Associate I earn from qualifying purchases



0:00 HUDSON VINTAGE
1:09 FLAPPER NECKLACE
3:45 SAUTOIR
4:22 RHINESTONES
5:37 CHOKERS
7:41 EGYPTIAN REVIVAL
9:35 MESH
10:50 GEOMETRICS
12:59 ROCK CRYSTAL
14:06 FIGURAL PINS
14:53 DRESS CLIPS
15:39 COCKTAIL RINGS
17:01 BONUSES",2020-09-28T16:00:05Z,41846,https://www.youtube.com/watch?v=EvDTmLuac_M
ltbNbEbfGrM,Opening an 1800&#39;s Jewelry Box! estate sale finds!,Today I visited an estate sale and bought this 1800's Jewelry box! let's get it home and see what's inside!,2022-01-21T14:34:25Z,2900821,https://www.youtube.com/watch?v=ltbNbEbfGrM
tR_9zzuDn-s,THRIFTING For VINTAGE JEWELRY With An Expert!!,"How to  thrift for vintage jewelry!  How does a vintage jewelry expert thrift for jewelry?  Very carefully!  The answer is be picky, do your research, and the first three rules, condition, condition, condition!  Or~ just keep an expert like me in your back pocket!

♥︎ SELL OR CONSIGN: hudsonvintage@me.com SUBJECT: Help!
♥︎  TEXT ME:  917-809-7250  For Live Auction Alerts
♥︎  GALAXY SHOP:  973-949-0785  https://shopgalaxy.com/hudson-vintage/profile
♥︎  MEMBERSHIP PATREON:
 https://www.patreon.com/hudsonvintage
♥︎  MEMBERSHIP YOUTUBE:  https://www.youtube.com/channel/UCZBYmN6psJwd2S_8-WxtUHA/join
♥︎ SOCIALS:
Facebook: https://www.facebook.com/hudsonvintageny/
Instagram:  https://www.instagram.com/hudsonvintage/
♥︎ AMAZON:  https://www.amazon.com/shop/hudsonvintage
♥︎ FRIEND MAIL
Hudson Vintage
P.O. BOX 526
Blairstown NJ
07825
♥︎ CONTACT ME:
EMAIL: hudsonvintage@me.com
TEXT:  917-809-7250
♥︎ JOIN this channel to get access to perks:
https://www.youtube.com/channel/UCZBYmN6psJwd2S_8-WxtUHA/join

I am a vintage jewelry expert and have a vast collection of vintage jewelry and clothes. I have been a source for movies and TV,  (the last being ""The Irishman"").  I make videos on creating personal style with modern clothes we buy everyday, and adding vintage finds and thrifted treasure!  I'm a long time vintage professional. I've been a high-end NY vintage shop owner,  and my personal collection remains a source closet for designers and wardrobe directors. I make new videos every week (or almost every week) subscribe now to see them all!   xo ~D Hudson Vintage

MOST POPULAR VIDEO
https://www.tubebuddy.com/quicknav/mostpopular/UCZBYmN6psJwd2S_8-WxtUHA

LAST WEEK'S UPLOAD:
https://www.tubebuddy.com/quicknav/latest/UCZBYmN6psJwd2S_8-WxtUHA

CHANNEL INTRO:
https://www.youtube.com/channel/UCZBYmN6psJwd2S_8-WxtUHA?sub_confirmation=1

EMAIL: hudsonvintage@me.com

As an Amazon Associate I earn from qualifying purchases",2020-09-19T14:15:02Z,15896,https://www.youtube.com/watch?v=tR_9zzuDn-s
bwBdh58FSWY,Vintage Jewelry Bag Unbagging! Vintage Sterling Jewelry Haul !,pretty happy with the bag some old items and very vintage . could’ve done without the rock and the stem for the pipe but otherwise it’s not too bad. I love the other Sterling items I picked up! thank you for watching subscribing and commenting!! ￼,2022-03-06T01:47:36Z,26216,https://www.youtube.com/watch?v=bwBdh58FSWY
iV2Occ49swI,Vintage Jewelry Haul and Vintage Jewelry Bag Unbagging!,Love love love Selro now to find matching earrings! Some pretty cute stuff in the bags found sterling and some really beautiful rhinestones I really wish I was more crafty but I plan on passing it on to someone who is! Hope you’ll join us for the auction tonight on princess casseroles channel. If you need to get in touch with me just email me at vintage.discoveries21@gmail.com,2022-07-06T14:08:49Z,3376,https://www.youtube.com/watch?v=iV2Occ49swI
khT0BYLvcs4,"Valuing Vintage Jewelry: Gemstones, Rings, Bracelets and Watches by Dr. Lori","Watch to see how valuing vintage jewelry can help you get bargain #ThriftStoreFinds when #shopping. Don't miss #howto identify gemstones, rings, bracelets, watches and other pieces of #jewelry. Ph.D. Antiques Appraiser Dr. Lori shows secrets to value cameo rings, Art Deco pendants, costume jewelry pins and much more. Don't let these jewelry pieces sell at your estate sale or auction. Valuing vintage jewelry gemstones like sapphires, emeralds, diamonds, and rubies are featured.

Ask Dr. Lori to appraise your antique and vintage jewelry, estate sale purchase or thrift store find. Attend her antiques appraisal events near you or submit photos on Dr. Lori's website.",2020-07-12T21:00:11Z,204090,https://www.youtube.com/watch?v=khT0BYLvcs4
o58xe5TYf3Y,Vintage Jewelry: Back from the Dead pt 1,"Vintage jewelry is hugely popular, but how do we choose the right stone for the right piece? In this video I break down the features of a few challenging jewelry mounts and the thought process of hunting for suitable gemstones.

Interested in learning more about investing in gemstones and gemology? Explore more at:

www.gemshepherd.com",2021-09-24T06:30:09Z,5709,https://www.youtube.com/watch?v=o58xe5TYf3Y
3XiTnDDrIOQ,Vintage Jewelry Haul !!,"mm lots of delicious vintage jewelry lol , huge amber pieces , sterling and vintage goodness !",2022-03-01T01:39:01Z,9290,https://www.youtube.com/watch?v=3XiTnDDrIOQ
VsLJtNHZdx0,Vintage Jewelry Identification Necklaces,"Vintage jewelry identification necklaces. Today I will be sharing what I look for when shopping for vintage and antique necklaces. I will be sharing information that I use for determining or estimating the age of a necklace, along with the different types of resources that can be helpful.

Antique brooch identification
https://youtu.be/fatBpvSkdVg

Carol Duplaise jewelry
https://youtu.be/F-GGl8s11yE",2021-10-15T12:24:10Z,4930,https://www.youtube.com/watch?v=VsLJtNHZdx0
