PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.01809807,0.032255877,0.041007996,0.16469155,0.03202979,0.25522074,0.047495455,0.036897786,OCA4F1_4X4I
0.06206368,0.10565119,0.112420164,0.29983371,0.05786019,0.2952517,0.0765103,0.0939436,YaOoy8gdFvQ
0.24925825,0.032111578,0.07284323,0.16126166,0.028736332,0.3522159,0.13745339,0.06091253,lgXqRSyyHOU
0.34768504,0.063925564,0.098215945,0.071792565,0.08347887,0.16476315,0.13745339,0.03835532,f279f-Y-O-w
0.10604666,0.047795538,0.05445114,0.49666658,0.050791286,0.35434914,0.15976663,0.052014913,bytUz7T3eHI
0.12127194,0.04696341,0.04134432,0.12265741,0.023688776,0.3678927,0.06012806,0.07568288,Gi5dOvlMCgE
0.08759607,0.21836257,0.08623715,0.36039943,0.18437764,0.41532844,0.018187003,0.13747786,45U8b4gX-kY
0.022175232,0.041078337,0.054575253,0.13960263,0.037524894,0.33248124,0.073313765,0.0894322,EJIKaE3DMrY
0.0056538647,0.037809465,0.030608943,0.09353119,0.028602285,0.34486228,0.26132804,0.07210511,7OVT3N5_4to
0.09213939,0.045822307,0.100503385,0.30072588,0.03664954,0.41851437,0.18154536,0.07652937,kxPWXVFopjQ
0.017342318,0.03415517,0.054864164,0.09544949,0.033616494,0.502464,0.11085691,0.04065479,EVykkeXnVTg
0.04933301,0.033090662,0.034699365,0.08717489,0.026682135,0.23660246,0.029125832,0.042718146,D7W5759sOVA
0.03544064,0.13268313,0.18605971,0.5575199,0.12158883,0.23068178,0.076110736,0.03771561,INIKQVMyKGE
0.089140706,0.010253281,0.015181661,0.030847766,0.035701577,0.22236235,0.052935857,0.0117108645,hBQm4UIugXc
0.32396343,0.8838033,0.17442624,0.16442859,0.5894869,0.34317377,0.8457076,0.19759454,VWsgzQMkLsA
0.06511568,0.027312092,0.054204557,0.060025793,0.028756583,0.21444705,0.22977416,0.026557915,FZIhU_MhB2I
0.16711299,0.03561209,0.03664623,0.27438104,0.039280307,0.31669766,0.13521013,0.035767652,lP1jlLN0Lgo
0.12343158,0.093854815,0.12099164,0.24186845,0.05061555,0.47801012,0.07970683,0.12969226,_o2C_KujcB4
0.069523446,0.020805512,0.018145239,0.041535735,0.018599555,0.18025266,0.06252546,0.030006668,MDzvP0-zuwE
0.009206957,0.043658786,0.12970805,0.29378712,0.06094674,0.3454071,0.1580154,0.040441316,SZqlbWSUi_8
0.34297007,0.44038382,0.16924453,0.43254727,0.32447264,0.36315313,0.18253209,0.5117523,zzBLWA-khVg
0.025691448,0.025748642,0.08151287,0.11105625,0.03175229,0.35688278,0.17759849,0.0366435,RJoBIMB5h2c
0.07759481,0.01713817,0.020818757,0.03966295,0.03752168,0.26584986,0.08689302,0.024097683,40xa6aeUrnk
0.196321,0.01716158,0.02211251,0.048892274,0.026218796,0.28696012,0.059328925,0.018799916,xdKkR8myrJY
0.011875354,0.035392046,0.0507261,0.12025209,0.039112173,0.35381112,0.1539292,0.04994091,5F3lKtxNNLo
0.056801032,0.034564827,0.047314007,0.07240833,0.028759336,0.2218124,0.0789077,0.05594917,9lOEAB6jiEI
0.25478035,0.0987883,0.2690722,0.31605408,0.14447452,0.40950483,0.08796701,0.18364926,MH8zPY1CsYY
0.14325263,0.03476877,0.041948777,0.15661667,0.03358222,0.24214245,0.0253489,0.041316435,7G64shnTb0I
0.3921133,0.025395319,0.06449559,0.095507205,0.047426634,0.19570091,0.13476147,0.02741822,fS4OiNzdPAw
0.0019189888,0.043981146,0.05339312,0.23682801,0.052731395,0.38583577,0.044748597,0.06691582,sXzf3ctMTx4
0.123629354,0.015793437,0.018191103,0.06911845,0.01851735,0.27409983,0.039598234,0.018618964,3dGe2FXOQOw
0.095107675,0.08589727,0.11322005,0.2340624,0.108703345,0.34266874,0.036336336,0.056326468,PPbS9OcWVGg
0.26537752,0.1317724,0.13064633,0.34546113,0.117112055,0.29305753,0.08796701,0.08100251,7h3TgNN8UdU
