PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,video_id
0.094675526,0.3930556,0.09900121,0.15852633,0.11794081,0.13903792,0.11091421,0.19035281,PK_iBYSqEsc
0.09666666,0.24776225,0.07483576,0.49207804,0.12631269,0.09974497,0.10405702,0.5998812,7ZiMG84hws0
0.03793112,0.3237558,0.08245407,0.1070493,0.11021292,0.105833575,0.058418177,0.12192228,Xhv5qbjICB4
0.2624505,0.23566172,0.1915687,0.11553718,0.20009461,0.09126334,0.14253904,0.1751558,9U82qnmyaig
0.0198837,0.35791185,0.022325173,0.2096361,0.007531641,0.05640789,0.029266642,0.006934843,qXYpqJvjekM
0.15705214,0.4420365,0.13579203,0.37038723,0.08170467,0.12560718,0.12294926,0.27456263,oCPVNLLo-mI
0.16308892,0.24420303,0.2596737,0.51160645,0.15976663,0.09408229,0.16209958,0.41298217,FeasKVBFySw
0.11837606,0.30032858,0.14106974,0.33787796,0.13017663,0.10692375,0.14904605,0.27115774,ZnneC0tviTE
0.19992882,0.3696594,0.19049037,0.38802114,0.08689302,0.14731848,0.15679047,0.39753383,OQk5Qw8hHGA
0.06176756,0.33640218,0.15497883,0.27504554,0.12180476,0.048831664,0.04555541,0.44802442,4LFZA0Rx1gg
0.058475703,0.23167545,0.05259109,0.085432306,0.06132676,0.07063305,0.06639302,0.26343685,vzInIjD6nKw
0.021609113,0.20406221,0.047574602,0.2597244,0.08330294,0.05067251,0.038726933,0.08311779,SMDkvJRHaNM
0.1125553,0.24158707,0.17433925,0.32916862,0.10461388,0.062177677,0.084587194,0.35638168,uO9wpQ6b2Yw
0.14297594,0.3258741,0.25858703,0.7223167,0.15859914,0.05217934,0.10086169,0.2821268,3HbD_Q6kmh8
0.123544894,0.2460014,0.24302034,0.20664117,0.09333697,0.088719755,0.1211243,0.040152904,Y2erDTPtsBI
0.08123502,0.19047898,0.12344608,0.10641473,0.077709,0.05620884,0.081911765,0.08196009,EEogeIIOJzU
0.10010872,0.26640204,0.14575212,0.392259,0.07850813,0.08935987,0.1226106,0.28839105,ieIFtjnBfJU
0.08767118,0.29706475,0.12582755,0.49593326,0.13700475,0.07094872,0.09584834,0.10999225,GySgEL4NRFY
0.034825128,0.30325428,0.03714263,0.115131564,0.04818217,0.0943105,0.056792885,0.14129496,VAkTbyENZ5s
0.21776035,0.2846604,0.39348102,0.26577222,0.12309273,0.07064732,0.15738238,0.1639004,K0Cxfc5Whqk
0.021376826,0.16140696,0.024209443,0.02853897,0.059728492,0.01408064,0.010565339,0.30780974,bEAwYkvZ5og
0.071537934,0.2334166,0.13918224,0.4267479,0.21804169,0.05484306,0.085843235,0.41907933,sBciZFE8lAw
0.335492,0.31485406,0.45375386,0.5270948,0.20376207,0.08891587,0.16912577,0.55764985,i4CAwjfY-dU
0.084961265,0.36513576,0.16759838,0.44215316,0.22422299,0.07199546,0.05565239,0.1957758,itBC228XSh4
0.15633611,0.23455371,0.1526637,0.15079594,0.1580154,0.059773676,0.083145075,0.27260262,ZXcsBLcVc5o
0.15091065,0.2645706,0.10722818,0.08948406,0.06492286,0.05233593,0.05275553,0.17706144,Z7JJbEMJONE
0.1839722,0.2646127,0.117532976,0.19995508,0.1539292,0.16033296,0.18195298,0.2746272,5mq8xwitqFc
0.30015343,0.42178643,0.15887171,0.26463285,0.33859563,0.17833966,0.22688475,0.23374635,dsxc3vHmisY
0.1448457,0.26213884,0.30788976,0.6362142,0.16413476,0.075359434,0.14940783,0.20093597,VveRmJpFW6o
0.16507924,0.46763924,0.2785728,0.3021896,0.22982925,0.07969127,0.11007838,0.03562792,56OhXUuY2RE
0.052890815,0.2514123,0.059624042,0.27654415,0.09279997,0.058354273,0.052199572,0.29412284,SnwYYF_gK1s
0.13577442,0.3302687,0.30403414,0.6238585,0.09602194,0.12510131,0.15429613,0.13836516,QbRk3WAIhVQ
0.07508159,0.29518864,0.072907284,0.25706366,0.1423886,0.05105479,0.0463938,0.19320971,dV466B8VVtw
0.2599439,0.32317027,0.44083393,0.36919022,0.16275369,0.15912835,0.25425717,0.12178077,8WNk674LZrI
0.100747146,0.3710544,0.10144663,0.18721056,0.10763696,0.15575756,0.111558445,0.14249332,JnLcUxV1dPo
0.033715356,0.26094142,0.030793415,0.0793386,0.01561861,0.032131672,0.022550264,0.32773304,nLqFZNfTmU4
0.023676353,0.24069682,0.022624752,0.09455426,0.045778666,0.031033909,0.021883577,0.20349294,NbA89YbWoL8
0.045180675,0.21754326,0.07590588,0.20976624,0.104076885,0.035243552,0.044029642,0.27663562,bn64AyrHe4Q
0.09939819,0.3225123,0.215734,0.4427558,0.089577995,0.0819785,0.10281372,0.27450314,5WmBt6BBUzs
0.10507054,0.50292504,0.2952249,0.50331056,0.16275369,0.106033705,0.12547742,0.17189796,eRVUvgJpi50
0.076775044,0.27756077,0.113095984,0.18259403,0.040284947,0.048517514,0.055432793,0.07096656,0ZqP8moItcc
0.11804362,0.34304363,0.15462826,0.1875662,0.08850401,0.060955133,0.084174864,0.17081241,9HpEAddV2FQ
0.04373311,0.2623137,0.06141916,0.16330254,0.048525527,0.09274375,0.07409734,0.2622813,mY7F4xMcE4s
0.061092347,0.25584286,0.094597265,0.11264275,0.018881164,0.06316391,0.055237316,0.48255354,Mb4MNe1vk70
0.18461908,0.37193844,0.11738744,0.24616146,0.03753809,0.19393046,0.18955965,0.12041792,igIIkjp5vhU
0.049430072,0.26056993,0.03881339,0.05267855,0.13146462,0.03643313,0.03956731,0.026832215,Qd4hB_s-GzA
0.091607116,0.27847514,0.074500635,0.09984662,0.030155903,0.090836905,0.085398175,0.020245953,ZkWln7_88jg
0.050319083,0.2809621,0.065492906,0.35355294,0.085282035,0.034086585,0.04660384,0.29247972,Df-o5TKv0C0
0.030915992,0.30182892,0.03918871,0.3858702,0.034791227,0.030476872,0.029676966,0.16289249,mO6tpdbcWDA
0.08263752,0.1894477,0.16604017,0.13278042,0.056931525,0.057447914,0.07918918,0.12957713,yRUhDDZsw8s
0.1629767,0.412418,0.08469555,0.14079654,0.03187269,0.102874346,0.11026806,0.13455737,WosblHoWh1g
0.042657394,0.24435204,0.061213188,0.0998839,0.13790205,0.03277483,0.03361913,0.1656017,nVd5w6mLlKI
0.13245067,0.28848335,0.20200996,0.2993597,0.05613239,0.15601122,0.19180293,0.18588147,DYBhgEm3j7A
0.07500362,0.24241748,0.07580093,0.6818562,0.20522906,0.017530307,0.046059262,0.6498416,I0Nt6hCJAw0
0.073106945,0.40850517,0.06296165,0.08949608,2.8200267e-05,0.070860505,0.05826631,0.0067028566,KbTII7mKXGI
0.0982511,0.3036003,0.10766043,0.14353958,0.08290337,0.13268849,0.12626469,0.1493102,Mamvq7LWqRU
0.09936469,0.40295547,0.14162865,0.5139072,0.18154536,0.14453009,0.1318596,0.082855776,Atbrn4k55lA
0.31453142,0.41951433,0.3267755,0.28818458,0.1621016,0.14915256,0.23401588,0.51832414,nKog6z2kywo
0.045830004,0.3179996,0.077147655,0.45813125,0.022213135,0.106550656,0.10669807,0.19981611,75SoOmgKuk4
0.13032041,0.24573098,0.17336848,0.6091151,0.18746567,0.08564166,0.13880107,0.18442382,2oP1oGva0JY
0.06216353,0.28074044,0.10320603,0.18628827,0.055333257,0.18446276,0.1558332,0.08493297,-YBOZYcBg68
0.028878603,0.39179152,0.04891352,0.1109162,0.045778666,0.12407417,0.07138299,0.08038353,YCtfQJAepfU
0.1169917,0.51466995,0.28424186,0.32457298,0.13431281,0.118887104,0.08574636,0.1971881,mdHfINfUwgY
0.04513063,0.24081525,0.082489066,0.12290447,0.20376207,0.049616855,0.044511396,0.44765493,AqRjqmqn5rE
0.049560957,0.3936115,0.13410056,0.3895209,0.012217224,0.062033452,0.052199356,0.026232213,ToaKCzD4RaY
0.073645644,0.33980173,0.11243271,0.11082987,0.03994159,0.059489112,0.08006826,0.082782164,3ZkFN_-Edkc
0.08562848,0.40852717,0.088736214,0.19071013,0.11536485,0.14988138,0.12048806,0.117643096,4LUDXpMhkNk
0.12849268,0.51549685,0.19271167,0.37387782,0.1024659,0.14116718,0.1216573,0.0705085,W9RxNcni2x4
0.047028832,0.36870167,0.06431008,0.2516587,0.2712817,0.107532285,0.0638142,0.45216432,gy9zM2Kf57A
0.057471685,0.2930123,0.08533381,0.19589198,0.045091953,0.081437565,0.07405348,0.1114959,M26-B44qQIs
0.08233736,0.20629713,0.14002816,0.112790704,0.0789077,0.06185677,0.08402304,0.1885903,ymTbyNADycU
0.12423077,0.43032646,0.17373626,0.15889284,0.040284947,0.12676999,0.1098935,0.27853993,-YdGz8HWd7M
0.08876041,0.17377207,0.192474,0.23065075,0.08330294,0.05505305,0.08748596,0.1121052,u88FgVN3d1k
0.05899577,0.37407386,0.04457139,0.17348392,0.049898956,0.0749637,0.057946987,0.09008677,L7h7u2uj_Xg
0.13604394,0.56625533,0.12161623,0.2786628,0.13251819,0.22929125,0.16402905,0.044446982,SXvAxgrPj8M
0.081361525,0.4487194,0.1288613,0.32429516,0.13082063,0.09148383,0.10020148,0.14536294,Vgx8Uwo-Vxc
0.09730721,0.2787795,0.15072744,0.15188357,0.045091953,0.07388585,0.06884533,0.10048423,qed9gmfCh7A
0.16270109,0.30029207,0.15602438,0.19266324,0.087430015,0.0640578,0.10047098,0.05836035,bMq1PiUbf-M
0.06703679,0.2849922,0.12781139,0.47392428,0.09816993,0.048705343,0.0652833,0.088867635,Xd7tqpwdlpQ
0.24470657,0.38496122,0.28890067,0.35563877,0.12953265,0.17881574,0.17675981,0.19305025,ZR6ndyfs6sI
0.023346622,0.26234922,0.02555239,0.15123379,0.09387396,0.043468203,0.023737911,0.0791338,RMkz0VbM7gw
0.009431735,0.34896553,0.013226839,0.047344495,0.0022907294,0.055258807,0.023198511,0.009230409,XaueSvBTZ-8
0.09651683,0.3392296,0.12544237,0.215127,0.16827796,0.07884325,0.09660943,0.12131029,eaNHuwGAG1I
0.027317638,0.215616,0.037643716,0.0860453,0.00843405,0.063749515,0.041383978,0.102684364,C-VNjYXU-CE
0.04085274,0.3577808,0.041999158,0.06637346,0.0034534482,0.037187867,0.03383292,0.20356531,Su3g506sqdo
0.033525985,0.3339552,0.03577582,0.08911353,0.055333257,0.020557571,0.026558165,0.020103635,nnYN9F0HEUU
0.025029046,0.29234856,0.030232143,0.0894529,0.02517722,0.05186332,0.025896957,0.10514871,Am7sb4OKwiM
0.14029992,0.23633383,0.18522535,0.25442508,0.10031791,0.08951983,0.116926745,0.158926,OmL9F-TSIes
0.021329558,0.22521019,0.038682368,0.06047799,0.02655065,0.05564674,0.031985193,0.13105069,AfK2h07yd9k
0.1620235,0.23364244,0.27351683,0.18089107,0.14508054,0.071118385,0.13958156,0.37457004,CVSiCN7Sg3I
0.016216151,0.18278278,0.026550187,0.034924276,0.04406188,0.020193288,0.016296702,0.26888487,d0z2LNEqKe8
0.06731794,0.44208407,0.08013667,0.23027718,0.10634898,0.13168587,0.062235467,0.28021252,iDNVM5BOdZE
0.07662646,0.3651445,0.084319904,0.11213576,0.0032972621,0.07897682,0.08639201,0.07061003,l5Yp9f2hGGk
0.11176503,0.317832,0.14285055,0.16875376,0.103539884,0.09194531,0.1086457,0.13213705,MBytxAhYL70
0.1595712,0.3375665,0.22121894,0.4224532,0.08420804,0.12522185,0.13708939,0.17624503,FQn9f1LA5es
0.07508572,0.35653454,0.057781663,0.17668767,0.087430015,0.102154836,0.08582357,0.20227993,kTZslHOM3Sk
0.065087326,0.3505384,0.07988435,0.19707389,0.070516795,0.0807125,0.07820854,0.14967844,JSMFZxjrZe8
0.11741527,0.41423652,0.17285807,0.29091555,0.044405237,0.066466965,0.0908407,0.005000001,tImTkBHtxKo
0.08701372,0.29409128,0.112980634,0.3165837,0.047495455,0.08035076,0.1009284,0.07030904,LSD3_8UVRpg
0.17819309,0.46377477,0.23094256,0.47963676,0.14373457,0.16422904,0.15343778,0.16967866,bWorDrTC0Qg
