PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.07273865,0.022046927,0.20099929,0.040760025,0.23687592,0.03830476,0.008954669,0.03791318,1f8yoFFdkcY
0.07633388,0.04704898,0.09287463,0.058725197,0.3424523,0.04527406,0.089577995,0.05085468,Cnmy08JgakM
0.062459268,0.018653126,0.18237811,0.071390904,0.22324896,0.032265797,0.010759487,0.03190418,AnYl6Nk9GOA
0.09414293,0.059232935,0.13186799,0.09927374,0.33179182,0.05075608,0.035649624,0.07615439,8AAmaSOSyIA
0.2900923,0.18152475,0.6044746,0.09934352,0.5141365,0.21239886,0.05653196,0.22479896,2pLT-olgUJs
0.13663208,0.11977378,0.25862482,0.06355014,0.42179453,0.08106643,0.06012806,0.12439874,8PwoytUU06g
0.21514256,0.15100738,0.10814326,0.2816876,0.40856725,0.103938974,0.23365098,0.14398088,vOiP3kfFlrE
0.057105724,0.029822826,0.07046186,0.1321299,0.23579685,0.03849539,0.046465382,0.034325596,QfMlHzgzBwQ
0.04918995,0.043583237,0.6003176,0.3324514,0.36353642,0.04516423,0.28021416,0.05867086,uCKgK6qDdrU
0.07932948,0.017681893,0.046682674,0.108294114,0.22688355,0.026069093,0.12953265,0.03530182,54x6yjnzLms
0.13585171,0.085431635,0.5237904,0.21442427,0.347544,0.12537523,0.0042690868,0.122377925,cbCt69XAUKA
0.065071635,0.026373534,0.09040131,0.046077196,0.41605967,0.030251741,0.119228795,0.03586941,9p7-YC91Q74
0.07331833,0.081705846,0.24163418,0.073292464,0.35721815,0.08084659,0.023117077,0.060883503,uUKAYkQZXko
0.054369926,0.061067656,0.30805674,0.12313865,0.48250344,0.05692531,0.01263372,0.05910883,zzD80vCLq0Y
0.05526169,0.028501263,0.2861542,0.0746992,0.24412186,0.04658603,0.037023053,0.0458116,P1mInEK7BEU
0.06558122,0.039738495,0.28080684,0.07419511,0.25623295,0.060244247,0.011870144,0.0523715,yEllr_kIV4I
0.09492782,0.01910014,0.07901621,0.072028734,0.28487548,0.024052013,0.033761155,0.030371737,Goo0g_zmFBY
0.12906139,0.08060979,0.19333926,0.08956004,0.35982603,0.07917753,0.055333257,0.105609976,zXITzjuRXYo
