PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.08859033,0.076563396,0.08414657,0.024486735,0.13082063,0.041949168,0.46258876,0.05643677,m6kFCNsnQpQ
0.18317565,0.12221826,0.12991442,0.063877404,0.19716066,0.08813817,0.503705,0.13081,UAeAKitFdJo
0.5130132,0.6507735,0.21839303,0.42740923,0.21109697,0.17474647,0.31021857,0.23530124,xZRnil8wi58
0.25117713,0.08330955,0.14257947,0.08218362,0.1550967,0.09986719,0.4720142,0.08187938,SbEOTZPgTvw
0.32292506,0.32950464,0.12433408,0.0847929,0.06252546,0.07678486,0.30473664,0.052975487,-7o3bVInA2A
0.30778664,0.08155044,0.49198994,0.5757265,0.20742953,0.7289069,0.50391525,0.7611835,G1y38N4LQiU
0.13097373,0.17132379,0.20147593,0.13531387,0.0014143519,0.16371849,0.36942402,0.2627224,rN6GOxTy3b4
0.45344925,0.038325995,0.22522536,0.09679433,0.021380141,0.122673154,0.4902837,0.09919794,9twiJbZ9-nQ
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,QDRh5PS5Ynw
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,jb9-eq40MAU
0.08720836,0.15642217,0.1693332,0.059347518,0.016937515,0.10282057,0.27842578,0.085433364,vZVu3Syj1c4
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,jFDPIsCg05g
0.17220044,0.09035004,0.36442637,0.10297369,0.014716201,0.20539561,0.46221623,0.1489966,vo2FLlvP6PY
0.14200823,0.15544023,0.21336147,0.11052271,0.009787662,0.14980224,0.3847481,0.16169685,xwx8tTbStJw
0.096468404,0.18958643,0.153144,0.07097242,0.022945397,0.08913714,0.28598803,0.09088794,yWooLeUI474
0.15082408,0.048715666,0.17258741,0.14219584,0.22598907,0.14809518,0.42117846,0.14349216,9Om51NLL4UI
0.099983975,0.0053152945,0.09364917,0.11238617,0.0042864406,0.08337144,0.35594946,0.09606778,lnWs5I95MH4
