PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.036851373,0.17863739,0.028021367,0.018503381,0.025299236,0.02268149,0.1739807,0.062225066,Ro6r6Rqzqds
0.44509158,0.30288574,0.25118834,0.5383298,0.154276,0.827773,0.32965294,0.49337104,YZIIpQ8hQyY
0.355017,0.78184956,0.30947208,0.23163192,0.09527037,0.1659882,0.25837278,0.5627426,kUu46J_OHQ4
0.06971766,0.47880593,0.25836405,0.15936685,0.053051397,0.07696607,0.26110056,0.26695064,tIK17paHe4U
0.086087525,0.0892875,0.11115984,0.15233792,0.16205002,0.14925219,0.45089024,0.14410482,hTkywyKV-9U
0.12695669,0.54132915,0.1118395,0.090044275,0.037311547,0.054608423,0.20850682,0.100137696,iwj-4RphglU
0.29261994,0.18415597,0.3743394,0.26764703,0.072010346,0.16899322,0.33615872,0.36715052,7TJOjAKL7Qs
0.06851897,0.16590847,0.04542421,0.023014877,0.02994767,0.029654572,0.1390754,0.08410881,3xtLXDTxJsA
0.14014533,0.061628636,0.06032815,0.022299834,0.052490767,0.041981395,0.21473986,0.26950416,bgwS_FMZ3nQ
0.31639808,0.4563938,0.33425355,0.23886077,0.078688234,0.14869109,0.3435463,0.46995792,cMGvbgogaDU
0.16827796,0.6958666,0.38995388,0.25081316,0.062053807,0.113386855,0.30787233,0.3216293,iNfTPG7nVrg
0.15976663,0.37952143,0.20774962,0.31279898,0.05211769,0.0837823,0.2776892,0.25311342,A8pfc6zoWcc
0.11407687,0.5529882,0.0857182,0.05709353,0.24278566,0.13637835,0.2955412,0.11522792,g0BKdRywTcg
0.029640866,0.03282083,0.16309333,0.08213927,0.02392494,0.03942548,0.20709372,0.060911246,ONgS-1yNjWY
0.16827796,0.6965465,0.5506009,0.4071461,0.157985,0.214936,0.45349383,0.32917786,kmpqnxpYUqA
0.089577995,0.28217027,0.058596477,0.11888209,0.028308026,0.053860854,0.20872055,0.09449936,EHIKEHCXfjU
0.112788886,0.26398426,0.04186757,0.021255722,0.02979478,0.027739929,0.2683755,0.17146185,af5o-4eI9PA
0.20669603,0.3300446,0.4889644,0.29303113,0.07372035,0.14774607,0.38132638,0.761619,aTRbiBrXhWA
0.12051678,0.39402938,0.24551336,0.10590579,0.078509554,0.17471646,0.17851527,0.38457254,rBYXC7w3ajw
0.06971766,0.49261615,0.13760853,0.0783497,0.02094359,0.017272878,0.1782057,0.03552351,IjDLXxtRzag
0.040284947,0.14413199,0.19139887,0.06158859,0.13382114,0.08255484,0.3415563,0.42770845,yziRK7j0Zpw
0.09118898,0.7279288,0.0064062523,0.013530143,0.08459232,0.01035462,0.18447413,0.006083879,cy1eRCYS08w
0.53430706,0.83212227,0.7423126,0.6027518,0.16302201,0.40750897,0.3658311,0.8855721,JuSNYVj6Ts8
0.1334155,0.37506044,0.09127294,0.058340576,0.05633378,0.06461057,0.290152,0.23739153,AF81RV-T6_I
0.14956708,0.18275036,0.09753897,0.039145134,0.048848227,0.03763418,0.2829624,0.22233184,YsNPwgmeM_0
0.355017,0.57289684,0.24062283,0.24415068,0.18973957,0.23846714,0.3788489,0.8469333,TUmOcTkKzhY
0.14597784,0.64920366,0.2452827,0.50523305,0.18100648,0.3094478,0.30833027,0.27851826,3KeITz_JYQE
0.06132676,0.25899535,0.116993725,0.04749938,0.05764548,0.07041518,0.329621,0.32185316,3YNgPNJpS1w
0.1884524,0.19511005,0.29974946,0.22668423,0.12978315,0.1459258,0.47604406,0.698431,g62He0p0iwM
0.11665283,0.27061707,0.2683013,0.14245126,0.050001707,0.10859119,0.32603955,0.5678557,bwE620VkaD0
0.058929358,0.43708423,0.31489742,0.30631933,0.09387144,0.17779893,0.28291297,0.24608003,43DGI3yvGSo
0.15276173,0.450362,0.1527424,0.10113681,0.07439789,0.10555476,0.3637602,0.5551547,_iraAfWBXzk
0.2712817,0.3330286,0.17749283,0.44737086,0.03940499,0.07797792,0.3587772,0.50873697,4XWSuwqD-ps
0.118584804,0.2989893,0.19908106,0.14427271,0.15180497,0.14980896,0.31138775,0.40795615,K8klHKVfL8Q
0.10031791,0.13996083,0.028691074,0.02146494,0.019717336,0.019972704,0.17686726,0.03876256,VhfhOINUS10
0.34466723,0.65749073,0.6880894,0.40380988,0.1616544,0.28163522,0.3635391,0.36208817,0ThtCIKL7qo
0.36553472,0.4290905,0.2846646,0.68962836,0.09676374,0.22500761,0.38984153,0.7157422,kyryMkx7awk
