PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.18876997,0.31282446,0.1710401,0.26527658,0.38480082,0.06789611,0.14060335,0.320012,tEBsTX2OVgI
0.123191535,0.22151671,0.15568043,0.19619513,0.24591099,0.055912416,0.27585703,0.40284002,TJuwhCIQQTs
0.1181116,0.19719158,0.043718524,0.18241233,0.40290004,0.030113498,0.27040696,0.2030316,0Pp8jcQ97pY
0.2962794,0.5915052,0.44805592,0.35022894,0.31923887,0.15280028,0.4226354,0.56152314,y4vurv9usYA
0.13004021,0.58523935,0.013466713,0.3681962,0.31895489,0.15194158,0.27023855,0.3380223,Tbes1mm2VgM
0.14290014,0.24277419,0.16551583,0.2876027,0.254081,0.08142106,0.47433493,0.37551656,j3PrAqJ-H9k
0.06062234,0.14460136,0.04543531,0.39694235,0.11662966,0.10993603,0.44753546,0.38179922,cF2dhWWUyQ4
0.09325597,0.24814373,0.11600884,0.20171796,0.3165341,0.033993784,0.2844123,0.24074754,ZpoYOgjJ7T8
0.06832111,0.15165111,0.111500904,0.16314077,0.24434735,0.027577871,0.14873493,0.11544479,lbXjW-cX9kQ
0.11562102,0.30774435,0.06492286,0.18779561,0.1363285,0.0635007,0.2982244,0.24352436,Fzqrm4ScWzs
0.2063208,0.312252,0.1256687,0.2955115,0.44252032,0.060615636,0.27060995,0.4421911,DZXjJVrm1Jw
0.47547224,0.6439107,0.34388447,0.32903728,0.48936516,0.27498612,0.2760943,0.70029736,QHpFC1hB4AU
0.22685006,0.4111052,0.29261994,0.18816817,0.47903955,0.06457244,0.38779187,0.3199638,JPO-uOPK5RI
0.09270941,0.23553696,0.018464668,0.2622844,0.34184855,0.040609073,0.33265555,0.37039423,OdvFuVAypp0
0.14405274,0.34072036,0.28825936,0.2012328,0.33685046,0.051927682,0.537888,0.3068363,EfPgjjhAoa4
0.1155067,0.41603696,0.13835071,0.3405159,0.30592495,0.065678835,0.15459804,0.6245627,AYnZm8DEke4
0.11594908,0.22114728,0.058929358,0.16615562,0.24846356,0.03155517,0.402852,0.14604628,hl0R7tDWLrc
0.14121427,0.2888909,0.08555053,0.20704515,0.3018771,0.069471,0.13497032,0.22499144,IApo5TBR7jc
0.09079939,0.28883588,0.09924392,0.27221334,0.2995995,0.04536868,0.067359686,0.4191337,FJ7iPn39i08
0.08752849,0.21240838,0.004685583,0.24893235,0.20065601,0.062684745,0.32716396,0.26821503,pSGVb60-BSw
0.13088821,0.30744115,0.10031791,0.20207655,0.21613902,0.0425338,0.21053797,0.2570114,OCYjZdI0WCc
0.027327541,0.13349265,0.23540631,0.2265053,0.070530064,0.034497198,0.30546772,0.03557381,4m9dHSd3X6c
0.07450824,0.17532197,0.0741129,0.27550665,0.20732912,0.08594389,0.18708386,0.3175689,1m45BT5NFbI
0.09938729,0.19755441,0.08850401,0.2183843,0.25382352,0.05312822,0.32256287,0.3436113,JxpEQY-yiOk
0.037554964,0.16322023,0.18647896,0.17245327,0.1097664,0.028674178,0.2922925,0.15775564,CfU8-kJZR70
0.16460828,0.41170788,0.055333257,0.16217923,0.29786247,0.061245747,0.26398772,0.07517104,RBB_81ao7uo
0.20405124,0.39222452,0.05613239,0.21611238,0.36036354,0.06321289,0.31725612,0.5215094,FCejya1WWC8
0.33545163,0.31052122,0.089577995,0.30533105,0.3237503,0.14360976,0.2983968,0.5588491,tmokkN5cRMI
0.30912638,0.30494502,0.025692256,0.31228408,0.43223947,0.16212006,0.1397979,0.4446641,JYPeOm5A8XQ
0.14297153,0.29151657,0.059728492,0.18489517,0.31565356,0.054321725,0.29015443,0.24817118,275TqUelUX0
0.09256692,0.17543523,0.04818217,0.15634981,0.23256436,0.032917973,0.1766387,0.113163725,4mh75_u0uR8
0.097029164,0.15669596,0.019019997,0.32979843,0.24213092,0.13730593,0.13098596,0.31732285,2v33Hm3WswY
0.21219815,0.29666334,0.41950125,0.19997424,0.35084176,0.08288629,0.2114278,0.33568743,FrsDDZycjfY
0.1506576,0.37651998,0.060527626,0.17231813,0.35769528,0.051969256,0.20520179,0.20637794,Zx62-79XXno
0.23504126,0.31661126,0.008850546,0.2756214,0.44990614,0.10876103,0.3776596,0.29549298,7pN6ydLE4EQ
0.19884327,0.5661451,0.28923595,0.2518994,0.44784543,0.07337809,0.28299773,0.43647173,RcSCi-XDyeU
0.103815384,0.2074204,0.33600304,0.21054651,0.18260524,0.11719321,0.466281,0.020702349,P6pCh0tHa7Q
0.12996326,0.18261094,0.15684792,0.228185,0.23514755,0.055597167,0.1844136,0.3345823,4b7oNLSR_yQ
0.077431045,0.15133242,0.09065199,0.16340844,0.17418475,0.034763414,0.33312798,0.112998925,8OW32QczJsw
0.08567313,0.1864583,0.012703137,0.27338943,0.23547053,0.057379853,0.29705387,0.2693568,dUbsyd8Fnyw
0.15403818,0.37712097,0.019575324,0.24716668,0.3037715,0.058324426,0.5166064,0.26083213,o8mhr1PcZ4Q
0.25116497,0.39370513,0.34388447,0.20094107,0.42607015,0.07756782,0.17558867,0.33754748,i97C2OEia3Q
0.17358656,0.41090247,0.0055185757,0.40453672,0.29896435,0.10115761,0.2611352,0.5702331,CZYqa9rOkDQ
0.14030425,0.4388095,0.355017,0.22592594,0.42798698,0.056586545,0.70844597,0.29964116,iWWF5nN7fUA
0.16829155,0.4262435,0.21980777,0.14430559,0.30346766,0.058253333,0.34548566,0.11586497,1be8NSAt-XA
0.21275271,0.3979654,0.12631269,0.4817911,0.40758777,0.13847913,0.19214246,0.5047894,ugvB87zzWVs
0.15346868,0.3567653,0.05852979,0.12534538,0.2694947,0.040861275,0.19424748,0.10970385,PGwBWMN4-Po
0.111962974,0.2816466,0.04818217,0.12538275,0.14735933,0.027633842,0.1766387,0.03759156,d4G0HTIUBlI
0.11814629,0.42423892,0.17759849,0.32828465,0.22556037,0.07608401,0.22327329,0.55600685,1CNY6BbtgS8
0.31096634,0.42582566,0.26589394,0.4046569,0.3227032,0.45939833,0.43405554,0.31656376,0PHisBzsn6k
0.102204025,0.17448242,0.064523295,0.17497046,0.24509953,0.049774293,0.17598324,0.17628285,YtvP5A5OHpU
0.16439804,0.39867994,0.22979778,0.25255588,0.34769395,0.06621877,0.12751435,0.61102253,hwaaphuStxY
0.0710279,0.23477952,0.08367105,0.22465017,0.16692081,0.049296737,0.43886304,0.31326163,xZcLW64hNCs
0.1895061,0.40993515,0.16275369,0.27274498,0.41948047,0.0738308,0.29818696,0.38222355,Y6yiLIfDb2o
