PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,video_id
0.029557146,0.29392016,0.12888865,0.10567378,0.11474288,0.1938367,0.058863614,0.033545423,VhQYdADfCVE
0.041830387,0.231973,0.058130227,0.08409922,0.060735915,0.037084837,0.17608045,0.04071157,4FNpOm6jNKA
0.06356263,0.32383737,0.078108564,0.16367854,0.048674036,0.051765095,0.21692032,0.049184207,gGIsHA1UIQk
0.037641764,0.2607014,0.016243355,0.189944,0.03427623,0.051769268,0.35769412,0.022534562,h2f5bh5bRhg
0.06191927,0.19532193,0.03599298,0.15539134,0.13243245,0.1273669,0.19179326,0.085730664,v0cfWrZELUg
0.06019419,0.35376933,0.08689302,0.09765207,0.24860452,0.16638345,0.28485215,0.12466154,Gu8rLQdEbFI
0.048396673,0.38620204,0.070516795,0.28156894,0.070738815,0.17356962,0.055858064,0.06956091,7DmNbYeTYzU
0.059295677,0.32098058,0.058130227,0.1214307,0.07962277,0.049714327,0.19214658,0.04846894,nWb-A9vrj88
0.1353685,0.3493097,0.050242316,0.5149852,0.11191766,0.13896911,0.19350253,0.14034706,OkyHxcRDRjo
0.10726757,0.32873383,0.02517722,0.23745385,0.094997376,0.12331284,0.2120645,0.08448384,cTF4Oij9Dto
0.17112726,0.59176826,0.008503466,0.71003413,0.24917753,0.13917314,0.035181712,0.17154647,YzNO9TDrU50
0.12083804,0.3573179,0.13790205,0.36948842,0.16186874,0.33804852,0.5680319,0.1339317,v3f7ILy-0fE
0.08923684,0.31371897,0.11794081,0.22718327,0.12812935,0.11349953,0.29713804,0.10013397,KY_auO8rmU0
0.07717511,0.27710065,0.08581903,0.16909033,0.10729725,0.114137955,0.20784758,0.105595194,1CLu6C9CfCs
0.20764329,0.40827748,0.16482529,0.4577133,0.14409351,0.11682112,0.11497619,0.19208957,2DJG7lVa5Xg
0.07720621,0.34653592,0.06851897,0.13014652,0.07240052,0.08926208,0.16486591,0.06149049,nL7TxdAT5CI
0.09032972,0.28878018,0.3093897,0.12400803,0.2055684,0.106062114,0.5155467,0.11953079,0r7GHBmnvCs
0.17934135,0.4458293,0.2712817,0.49711725,0.078086324,0.16188502,0.29141927,0.14941359,AGvZd0RhafM
0.030577889,0.20717722,0.10763696,0.05961017,0.018727865,0.025638567,0.4328849,0.023638189,utoST3q9G8Q
0.33305946,0.42569908,0.06971766,0.32149282,0.15227558,0.13324037,0.17717874,0.20761268,hsZDiz0mxiw
0.10655948,0.23263101,0.022351967,0.12930034,0.12525086,0.1029328,0.24551284,0.13762042,FIfbshpv3h8
0.032925006,0.22864437,0.048525527,0.07473861,0.084735624,0.09043358,0.2836889,0.038186863,OR9tKleuOGQ
0.14559983,0.32900646,0.23277332,0.09767159,0.08417417,0.04010595,0.096848466,0.086336985,qUaw761pVaE
0.030813845,0.2000128,0.074912034,0.0591015,0.069211766,0.055879213,0.2064716,0.03864524,Oh008JpcnFs
0.15658759,0.32601523,0.02054715,0.36656386,0.11960526,0.15950362,0.19028668,0.13021776,nv9ATCAME6E
0.046055444,0.23056774,0.062925026,0.12963599,0.078221306,0.08429963,0.2707903,0.06263031,6KsOO3GxlI4
0.035544507,0.26572305,0.05413456,0.30873063,0.098289944,0.118274525,0.38938043,0.060317196,OOVozuhyI7A
0.033892095,0.20529649,0.1024659,0.059021186,0.06582861,0.14609855,0.36118278,0.038991846,ArOnt16f1uQ
0.07869987,0.21838665,0.040971663,0.12845299,0.10330176,0.113012195,0.43766513,0.10494304,-ufc8XkLmjs
0.049670998,0.32015586,0.035306264,0.24582258,0.10952298,0.15985389,0.6260781,0.060019318,25n-68-sF24
0.16315016,0.404696,0.19042583,0.47996756,0.29284203,0.16228679,0.56120306,0.22778746,uKphrLPWy8E
0.12996405,0.39081004,0.2712817,0.60475844,0.14622976,0.22245726,0.38212267,0.14343424,3sxob3R7h7E
0.022321746,0.19479303,0.06851897,0.041914493,0.021073148,0.020642038,0.27827567,0.01824686,naYIb4DyIAI
0.03857667,0.19048196,0.038911518,0.07524629,0.025507549,0.03724723,0.17234838,0.028719446,btsUzJ90yTE
0.038780514,0.21180159,0.04234509,0.006192973,0.012129877,0.0055179787,0.16736884,0.0052426434,FNsBRqt_ak8
