PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,video_id
0.055836387,0.04371738,0.03990294,0.030126272,0.024833864,0.032074414,0.14520264,0.1757932,SSo_EIwHSd4
0.3520332,0.07789986,0.05604215,0.042396728,0.031701013,0.06645989,0.041863866,0.3385231,yubzJw0uiE4
0.23805358,0.055930268,0.03640084,0.030346803,0.055732824,0.0474408,0.22171701,0.3034451,hYip_Vuv8J0
0.044063497,0.04447869,0.013199447,0.017361848,0.010134743,0.019741872,0.065978535,0.26162335,M576WGiDBdQ
0.13145909,0.12138738,0.094578356,0.18865015,0.09065199,0.11827445,0.16858925,0.40556678,KQ7rn3oi-Pc
0.05569033,0.052016273,0.020908415,0.022676185,0.0186035,0.032221645,0.06495127,0.22440492,qOVAbKKSH10
0.058943003,0.054555546,0.017042767,0.01670631,0.018187003,0.02358971,0.08493395,0.35408312,gyMwXuJrbJQ
0.049904555,0.04869019,0.03474412,0.02721837,0.040628307,0.038236536,0.089382894,0.19477612,kHybf1aC-jE
0.118244514,0.021455538,0.09592817,0.060647346,0.029640866,0.028789952,0.5680319,0.20959885,pSTNhBlfV_s
0.0998036,0.05478538,0.025654344,0.0308831,0.0056574075,0.027918153,0.22570443,0.3773041,EH6vE97qIP4
0.1327823,0.112860985,0.13629328,0.229948,0.030670939,0.18143278,0.0782082,0.39116433,3xGLc-zz9cA
0.052667245,0.04541803,0.038585242,0.04248202,0.017909339,0.04425815,0.084210716,0.19880614,2yJqjTiwpxM
0.06277679,0.054632545,0.038104918,0.02746616,0.018325835,0.041586597,0.06088451,0.18226767,QphJEO9ZX6s
0.041718446,0.036468055,0.019871682,0.013144583,0.0142302895,0.018352175,0.04340313,0.1927201,bBC-nXj3Ng4
0.14252882,0.068256035,0.14238259,0.23608683,0.14104263,0.10033655,0.1688978,0.34062672,V_SW9LjPUC0
0.36300403,0.14038919,0.14266182,0.093398444,0.017076347,0.1495247,0.09892068,0.33518702,3DTa7J6Oads
0.11520381,0.09797931,0.045515075,0.025745556,0.078108564,0.05620397,0.12050989,0.39307243,YrHCD7nx29o
0.095183425,0.030466372,0.04920556,0.039676584,0.04818217,0.029885553,0.27774572,0.220409,Pl8OlkkwRpc
0.15643282,0.12635659,0.04266788,0.030482676,0.031357653,0.092775084,0.052027285,0.27229536,w7HDA8gUbpQ
0.091654316,0.04507215,0.022978561,0.024845032,0.017423427,0.03565254,0.13896962,0.23095702,8Ee_OhLKv6E
0.06695198,0.060373086,0.040380158,0.032103874,0.014993866,0.048166808,0.08807678,0.18129934,93E_GzvpMA0
0.17159729,0.058571097,0.080787964,0.05291925,0.055732824,0.046295214,0.1107201,0.2525327,r43LhSUUGTQ
0.27310944,0.12231542,0.07716179,0.049626887,0.029125832,0.075169735,0.09271818,0.45719847,GqWc-6ibbio
0.5302342,0.026683519,0.085239,0.083800234,0.054534122,0.047194015,0.20601115,0.3217157,RplnSVTzvnU
0.26646852,0.08273601,0.03645061,0.043116543,0.007878721,0.060842436,0.08138549,0.30235735,G7OWIorSgwU
0.18496217,0.07152815,0.026913859,0.022663461,0.09279997,0.03154692,0.11694156,0.35698214,NKgXEq2VKwY
0.081261314,0.029915629,0.035509434,0.02230729,0.019852988,0.027917856,0.17554413,0.15454756,VA-46Goc0e4
0.17299671,0.1342235,0.05274353,0.08391636,0.008364634,0.15961994,0.08790433,0.3346975,cshgMRGcc3s
0.13859545,0.16246396,0.09105178,0.04520387,0.02792408,0.064306214,0.046982244,0.39655545,_160oMzblY8
0.29777727,0.11810833,0.057505805,0.044298008,0.0063862763,0.08130635,0.0070233624,0.5108663,QCvL-DWcojc
0.35790458,0.03085194,0.04418733,0.051153217,0.08635602,0.041668087,0.08995856,0.34111854,JPGNvKy6DTA
0.1740299,0.05464892,0.08377707,0.08739152,0.023117077,0.05753041,0.12506177,0.21889903,qF7dkrce-mQ
0.17879085,0.047787763,0.05130471,0.060668588,0.1710401,0.050437644,0.14541137,0.3331976,GVN0Ddr3xig
0.29321936,0.04749696,0.077291034,0.028684808,0.031014297,0.036052644,0.022456592,0.33452433,k53LUZxUF50
0.16264337,0.11519807,0.037101407,0.028857432,0.019297661,0.09749207,0.0783942,0.32546535,zGDTt9Q3vyM
0.052820418,0.03446948,0.024500687,0.017728608,0.012703137,0.028404778,0.07005546,0.15870553,GgaUyrq8-gY
0.21062283,0.047289502,0.029294722,0.016853753,0.029640866,0.03615146,0.018116815,0.19620357,X06TQOOBrhM
0.2880421,0.034356076,0.0522611,0.043166474,0.02054715,0.040735893,0.0069593918,0.29733568,PKhAmNWME5M
0.2970439,0.16439769,0.2671074,0.47200453,0.02809576,0.39020053,0.07005546,0.28184924,euj4zcpdrWA
0.3781541,0.04051646,0.081676275,0.04303424,0.014716201,0.04635592,0.13533896,0.25358024,DA49Dh1-NPY
0.16942172,0.079843625,0.089051574,0.070884086,0.02262963,0.07172087,0.18844755,0.23749673,uGPC9wNTBbw
0.28749436,0.10610506,0.08674408,0.048416205,0.02792408,0.076797165,0.15053433,0.2405217,YJyXfjbBmc8
0.344382,0.15931669,0.121149115,0.106023714,0.0253489,0.14139576,0.053245425,0.42768976,5auv_xrvoJk
0.4446446,0.17747906,0.12842011,0.13410129,0.0021952824,0.14359802,0.0018903143,0.3767447,P6vYyqHG54Y
0.17797093,0.05098587,0.037467014,0.047034234,0.044405237,0.07323378,0.1247698,0.23156095,dn1QsirJ8gk
0.6119892,0.06207083,0.07687113,0.0810488,0.00042083478,0.093103014,0.17119141,0.37477955,jB2hbGb-0_s
0.26427457,0.19508936,0.1311951,0.06689603,0.033246122,0.1584732,0.12569031,0.28113917,tz6oNl8ojiA
0.13660613,0.050174113,0.023025176,0.015672224,0.012078391,0.024397222,0.5680319,0.32404843,hyje-Jy_-rU
0.0649755,0.04237107,0.032794196,0.015852578,0.028610796,0.02360424,0.32305592,0.16240805,OwnFf5oZil8
0.28253946,0.061145857,0.055635057,0.051030584,0.017145762,0.06992052,0.07004628,0.25245884,FDfqs4Bx-MM
0.10248115,0.058059298,0.051896382,0.044313118,0.0100653265,0.036069576,0.14947891,0.3509338,ipwxYa-F1uY
0.1546643,0.0589882,0.04078715,0.048140813,0.024490505,0.047429476,0.11945108,0.2932984,roO0tIpYk6Q
0.053635586,0.029863395,0.022214334,0.017899288,0.016798683,0.016210647,0.11841028,0.20273598,5x7OXCKKJiI
0.25702482,0.056835447,0.08140288,0.1461162,0.010204159,0.067573644,0.039329402,0.19180822,coQ5dg8wM2o
0.21996847,0.06285985,0.037559327,0.027950795,0.0112454,0.050042182,0.14409533,0.49605584,e0z3rVoIzb4
0.27329597,0.043851137,0.036974546,0.028986976,0.042001735,0.038460847,0.16776673,0.20366517,8o9QxMxhTp8
0.04634562,0.023094455,0.0458099,0.024853569,0.015826859,0.013894427,0.11277041,0.17952318,MKwa-BqnJDg
0.126938,0.051494736,0.054228142,0.024059692,0.021102477,0.038805302,0.068703555,0.21251081,e8NKbusx-Nc
0.052852966,0.035037193,0.030442681,0.019598858,0.09709594,0.022634272,0.061256405,0.19762702,MBCeuieZGwM
0.04962706,0.03362613,0.032450166,0.013004131,0.0253489,0.026122343,0.17885515,0.14983286,rO2LSBDekvE
0.18747064,0.054972276,0.13075407,0.045835465,0.028439116,0.040147435,0.1408143,0.28675142,sIxlWKGQKkQ
0.31753534,0.08990779,0.10996432,0.057644043,0.025520578,0.057974778,0.048256308,0.36131108,rWTwcySGvrE
0.051329404,0.066721715,0.038955186,0.019632785,0.026722329,0.030120898,0.13547729,0.23588648,2rgbOv_ab4c
0.07816783,0.03331719,0.029476998,0.022626745,0.014855034,0.02769319,0.10654291,0.20525198,AFdV530ZkWA
0.4507743,0.15075247,0.086014636,0.06571711,0.07850813,0.07424728,0.041262012,0.32340086,UqQMSVfugFA
0.12570651,0.09830381,0.13681002,0.3010573,0.105704986,0.16587003,0.105974324,0.33797768,Axtrr6RT7xo
0.23577721,0.12865137,0.07167529,0.074503504,0.028439116,0.09597732,0.07752427,0.3804831,A6WBZFs7fPA
0.24433489,0.16260159,0.12193337,0.12038301,0.104076885,0.15214732,0.17258275,0.31691593,Voc1kfo9vXc
0.38023123,0.07970188,0.09795928,0.07274904,4.4469652e-05,0.070575446,0.06841914,0.4662171,H-Z5ZYq6zio
0.3350823,0.08915091,0.088228844,0.03631296,0.0069416044,0.053697024,0.13312818,0.44063783,u5HgPV54z_I
0.36523724,0.06927883,0.13014114,0.10095753,0.021102477,0.09456416,0.1427349,0.23948249,Dh7OyB5lJ08
0.1307971,0.044477835,0.03958897,0.032289725,0.023632111,0.03708443,0.08365484,0.3279003,YpS0zoJ9wCU
0.01667544,0.010810084,0.008359057,0.0089455,0.009718247,0.0066887545,0.09333567,0.14622074,2iF73cybTBs
0.33996662,0.046633743,0.043896966,0.043661147,0.031014297,0.0437358,0.011484112,0.32401904,RT7x0lQvSLk
0.12428901,0.08289069,0.1376606,0.10519099,0.01999182,0.09840932,0.10060211,0.2051549,ZbHLNinXy9E
0.44610408,0.14634773,0.12204543,0.12714542,0.062125895,0.12781648,0.19096397,0.4058488,P2izCyFt_d0
0.27089188,0.044900034,0.033603583,0.022887336,0.04234509,0.03330628,0.20108001,0.19559212,3_CYeEL9hwI
0.06662144,0.03266186,0.02388835,0.03142761,0.18549223,0.025391081,0.13709895,0.2892733,sDNN0uH2Z3o
0.22607426,0.16257057,0.116876066,0.07972316,0.03856816,0.081012815,0.4017693,0.4587955,OFL2DsiU3uc
0.29795626,0.08582403,0.11696735,0.048429415,0.032731086,0.07594336,0.066657275,0.30424312,jMihd-gqb6I
0.070866294,0.035467643,0.06802791,0.04832771,0.018881164,0.029482814,0.067062534,0.2730773,vjwBfVRQPt4
0.39456332,0.090588726,0.14248852,0.17197953,0.025520578,0.11623884,0.049751524,0.3548487,My14yOFlbmk
0.21265897,0.1635902,0.114697665,0.07011548,0.011453647,0.09039287,0.022714071,0.35585183,0O2E9bCpKDk
0.33280239,0.10714295,0.1391879,0.15650614,0.089577995,0.14713876,0.102555774,0.33222786,WnEYakUxsHU
