PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,video_id
0.011535656,0.14687516,0.076375365,0.30680913,0.22550184,0.12110179,0.1541806,0.10806014,e20vaAtncsM
0.1441231,0.029469188,0.15378174,0.3116519,0.06176826,0.06622776,0.10071511,0.17726722,wpSRp_R0J9A
0.44559523,0.043375164,0.053028695,0.16541074,0.04648461,0.055276625,0.048072677,0.08764187,LfHcjIxMg4E
0.119928814,0.023460433,0.06820667,0.3538859,0.049782228,0.037399508,0.033473153,0.064499296,vBHild0PiTE
0.3967535,0.04680874,0.0461847,0.3237921,0.022179209,0.036603622,0.023195205,0.084800005,bkcK-l0p_qM
0.19803919,0.03770977,0.13440743,0.4712685,0.21828556,0.2753197,0.1163295,0.5451516,GCHCi511sho
0.30018577,0.05493369,0.07323195,0.266107,0.05631571,0.04030304,0.07431824,0.08277022,iyW_-tHf0Qw
0.0913458,0.029984225,0.054494385,0.34341174,0.057553556,0.08645472,0.040432066,0.09710489,T6zS0heuw4I
0.041420612,0.014299706,0.16448204,0.34385726,0.088976115,0.09434948,0.18176591,0.2309636,dzeThbb05UE
0.07858614,0.051737156,0.06105714,0.32887542,0.19249062,0.31596848,0.12745123,0.21456145,SUKPCeSCN-k
0.34267405,0.015410362,0.020998722,0.18031162,0.020909332,0.016744355,0.01778026,0.03737904,9Bopcme_Sz8
0.38273022,0.014785618,0.027340407,0.20675291,0.032497115,0.023008626,0.023403019,0.049008526,5bpQ9-IQffw
0.42918727,0.1414913,0.04113845,0.42867985,0.203925,0.23646574,0.15022884,0.27798316,c8SwOnmDSQ0
0.3667648,0.10461388,0.06171961,0.2466913,0.060093403,0.067383975,0.05920257,0.10236285,iftua6lS7vI
0.3468753,0.0813051,0.22649388,0.5860999,0.3801514,0.33862606,0.34584174,0.41248506,hF1akWl1k68
0.26760408,0.014716201,0.037723552,0.1586644,0.020846074,0.020240825,0.03369725,0.053246185,ZonPvpgcBc0
0.1573312,0.052136723,0.06940131,0.27628526,0.061139606,0.07575917,0.09164348,0.2878957,epa6WxEw1Xk
0.11396639,0.012841969,0.056487087,0.18569481,0.031581458,0.042041596,0.046309095,0.06547726,x8QiMkG1In4
0.045311965,0.046122026,0.110855706,0.40568674,0.08160012,0.22552496,0.08391769,0.25405726,CEii1_kEoZs
0.14755854,0.052136723,0.030657511,0.28380683,0.04087311,0.034551114,0.01789341,0.037978884,qRuaR_O2t-4
0.32449514,0.024318827,0.07076936,0.32603002,0.031747386,0.06366176,0.041350204,0.10524063,EDvS-lPPBGs
0.16964662,0.09816993,0.23515618,0.4552426,0.2239824,0.17564045,0.20035137,0.28734002,tEowIZi1jEU
0.14284714,0.036679696,0.062065937,0.32235426,0.024565998,0.03734614,0.028638054,0.06960461,5okhEqd5t_w
0.00790427,0.2835225,0.052155875,0.3374921,0.29568043,0.13440065,0.1600895,0.6881043,hFqBbCpc3DU
0.024381727,0.09870692,0.088057235,0.3699357,0.10237408,0.056150906,0.104492225,0.09546571,IqATQtwOY34
0.08737719,0.013466713,0.06679082,0.23440574,0.046166368,0.06261694,0.06343005,0.28355834,JZB9uG7bUT8
0.00038275242,0.20376207,0.17128575,0.43062183,0.68785954,0.24645288,0.4825833,0.2945495,_DZHEuUfzJs
0.17957424,0.014577369,0.043435305,0.28448558,0.029514525,0.045828413,0.031197656,0.07379437,One2rMI8chY
0.0005579882,0.08447654,0.13842034,0.43436503,0.27299947,0.118612066,0.22829005,0.16679077,Abi8Mqyeyys
0.0018657958,0.05653196,0.15631206,0.48992237,0.2977923,0.2651302,0.2293475,0.5115324,PZ-rOwANsq4
