PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,video_id
0.11863293,0.090114996,0.061892323,0.09754515,0.1625058,0.19462533,0.30031958,0.057809222,HHf8t982RWY
0.020482212,0.035134587,0.024325846,0.016794471,0.18992305,0.26046294,0.20646836,0.02232764,dcBXmj1nMTQ
0.03212683,0.022213135,0.028210927,0.029258994,0.13588254,0.21197091,0.21822505,0.02781558,LxgMdjyw8uw
0.09506865,0.05373499,0.06717355,0.09570559,0.18427144,0.31359673,0.24912617,0.096048884,G4H1N_yXBiA
0.03263353,0.045091953,0.09206016,0.02579998,0.22201258,0.23383519,0.45897627,0.055489495,dIsjcG7hTmo
0.067156315,0.049898956,0.06292415,0.044095516,0.2176808,0.22738558,0.28933877,0.045396563,uynhvHZUOOo
0.11813433,0.077709,0.08145023,0.1460619,0.20101923,0.3870538,0.28955826,0.12161425,EtW2rrLHs08
0.047162157,0.019297661,0.05053134,0.025563048,0.14348023,0.25108343,0.25256905,0.049384836,febBRv2Vftk
0.08101907,0.023632111,0.061433464,0.10916784,0.14048734,0.11934992,0.27800208,0.055104326,-Vm_gabtIA8
0.20473875,0.16620636,0.13225655,0.10727206,0.14395115,0.26522952,0.37465265,0.09721196,ZAB3plABtnU
0.0153412325,0.023803791,0.027204294,0.047424886,0.08018861,0.03900351,0.2536064,0.02232832,yiw6_JakZFc
0.09823339,0.026207292,0.053303007,0.12560244,0.2571815,0.08110901,0.1997514,0.07528825,5FHlzGOsueE
0.16218385,0.118584804,0.08072406,0.07287891,0.13182226,0.12304492,0.23352613,0.07461289,nExh4k83tVo
0.057109535,0.016729267,0.058146242,0.05748829,0.1412227,0.097176485,0.18380275,0.065594584,ifrHogDujXw
0.13452943,0.22988434,0.17309605,0.16546229,0.116313085,0.1976575,0.5346359,0.1295554,9PbxMoqt6x8
0.088355415,0.04818217,0.10250295,0.067794,0.109634936,0.40943024,0.33205858,0.08965473,wCIeAqusDuk
0.38127953,0.03461955,0.2167881,0.16922587,0.12695856,0.58153343,0.6416785,0.15389812,qFixRRbIjYg
0.09771885,0.09709594,0.051933035,0.09016027,0.22469644,0.2544877,0.2516327,0.07095459,1_Ow4sU2p4w
0.09525877,0.15276173,0.028035723,0.09377769,0.1477954,0.2587999,0.33898872,0.034716878,heIZzpDA0mY
0.033392277,0.02124131,0.033625,0.03177197,0.1526246,0.057605658,0.26711962,0.02599963,mdqR9gJN4NM
0.21958393,0.19535941,0.14594354,0.13392583,0.19347025,0.3149163,0.34684902,0.14198995,QK7g6pgaC7I
0.064817704,0.012772553,0.016862085,0.03264705,0.07684358,0.07087805,0.18677133,0.031949684,QPDndldl5CI
0.09808169,0.022213135,0.025073534,0.07983155,0.18226343,0.23869494,0.22576062,0.03477513,tcj9IGY6Etg
0.04888098,0.028267438,0.06214815,0.028377546,0.08347205,0.2544631,0.2751735,0.054022968,g6H9Q8wB4h8
