PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.13431056,0.44447938,0.18339077,0.123736724,0.40026176,0.16604944,0.2646056,0.43236387,svj_6w0EUz4
0.047407907,0.32376784,0.047787383,0.111500904,0.1175262,0.03556515,0.20944495,0.085213,_gdxrkwpPKc
0.0778897,0.26292044,0.04754562,0.07690986,0.11650314,0.044103004,0.321262,0.09084182,EICp1vGlh_U
0.05727912,0.56520987,0.047591507,0.06652113,0.1302247,0.049806442,0.22730026,0.098312214,8h5fdMS07ug
0.038335864,0.44002202,0.083983816,0.18549223,0.3090446,0.12722175,0.2059195,0.15583956,4JbdKWsHeLI
0.045840643,0.47619888,0.027488315,0.08501353,0.0802916,0.026920555,0.30039763,0.094982214,n4TAQF6ocLU
0.058758326,0.45994157,0.049518112,0.10634898,0.15750381,0.09228334,0.3873861,0.2193729,dwgsbZ1MsAE
0.096280344,0.26910368,0.11061357,0.14418322,0.35901752,0.12362717,0.36685795,0.25056565,miVlHcdjaWM
0.045209434,0.26329824,0.08364257,0.16151784,0.25680405,0.09017165,0.22781448,0.14990541,57kVvE97nI4
0.06799517,0.3241572,0.057691712,0.085282035,0.16065365,0.052920226,0.19056435,0.14771774,cfmpnGV0IGc
0.08438808,0.23517519,0.05820511,0.049212243,0.16071066,0.060022738,0.2991374,0.10651833,drqhlcJCqw8
0.08062228,0.28690743,0.09244079,0.10634898,0.23770514,0.10852313,0.29500034,0.1628085,mmRO3J6IJC8
0.064998284,0.5680319,0.077378295,0.10699297,0.19897123,0.076335125,0.18422617,0.17037402,X2gQeV18mOk
0.13163278,0.5680319,0.06388225,0.059728492,0.14744359,0.06145573,0.4007178,0.20976235,ryGQ45RBBhg
0.07398647,0.4335108,0.068964124,0.09870692,0.20849809,0.073191896,0.27995488,0.44846734,0yHuCjQ5pUA
0.054786235,0.411346,0.07957836,0.13610743,0.17099234,0.07825542,0.22021048,0.16145235,Y2esl0yVFXE
0.07514465,0.81010646,0.048340987,0.12760067,0.13062032,0.04766689,0.32845834,0.32478517,wQRibSsdgQY
0.2063301,0.48713428,0.15333524,0.1689685,0.36068186,0.16249318,0.48256096,0.5683781,6ofjZH80y3g
0.069030516,0.28169572,0.0733898,0.13521013,0.18055017,0.059509702,0.22823109,0.33441138,WOqxuVVbTrQ
0.08328712,0.33983922,0.05262943,0.09709594,0.13907629,0.056085702,0.2659094,0.089543246,In6NVLANvLc
0.089109294,0.6203062,0.15196216,0.1550967,0.27221015,0.13347553,0.29722917,0.19501592,TkUs6B9DE_k
0.15224278,0.2815617,0.11809573,0.10828095,0.24973366,0.07406775,0.45029512,0.3772749,2LJ8nBgEA2Q
0.050374914,0.3715947,0.046916056,0.103539884,0.13246539,0.042424157,0.19672514,0.1390807,2rDu_VUpoJ8
0.051494177,0.27347627,0.06361609,0.13700475,0.16524549,0.06835449,0.21569204,0.12475033,R_5Ls0eylh0
