PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.15800971,0.17903426,0.25595248,0.82151127,0.03487358,0.27774665,0.15246986,0.1227908,6FwktojgS6Q
0.13291612,0.13334627,0.24150333,0.7860652,0.038846206,0.31096715,0.14552918,0.35713065,8hOJFqawlPU
0.039960872,0.050714232,0.125625,0.14655152,0.03981754,0.24715135,0.034791227,0.063385144,7pswciaJHA4
0.10797919,0.10211844,0.108407795,0.15472801,0.105420806,0.3664841,0.05653196,0.013991391,uMWAfbPSzYY
0.059770744,0.06075551,0.045994416,0.36071622,0.06487199,0.3894889,0.048868883,0.4508169,9gz5wI07Doo
0.16065674,0.12717097,0.11236087,0.16310719,0.16621727,0.29444343,0.09602194,0.27887952,-Acs4iWERZ4
0.06057399,0.044159476,0.06388071,0.1167408,0.06985868,0.20234713,0.010204159,0.27420464,hRqzwJJyJkg
0.15930583,0.14670485,0.15690638,0.3667245,0.17909779,0.31368166,0.25676212,0.1946953,GLguz8Fmirc
0.11185539,0.092840925,0.113644704,0.59955305,0.04994855,0.27392069,0.17449278,0.2893991,lFF1wEBBrtI
0.21752554,0.17863241,0.46437815,0.8908898,0.1370295,0.54058963,0.065721996,0.16274546,JgZ7liA4zd4
0.03106487,0.039578967,0.105326384,0.21213031,0.023280919,0.22245002,0.1464265,0.09969485,eQYAQeuqnS4
0.18832691,0.22214149,0.3180708,0.39129716,0.13402213,0.3559971,0.25219622,0.009873624,penkruUXjvo
0.14705265,0.21438034,0.18726173,0.53060675,0.09815382,0.34574538,0.027065687,0.12880376,4svkR46CesI
0.31369555,0.4216492,0.6350989,0.9570354,0.092316,0.3799491,0.5149511,0.28940418,fSOTJcUob0A
0.13355516,0.22184104,0.10996686,0.5574684,0.050235715,0.3179362,0.17173064,0.4485029,KsNgHpYOaUg
0.05156973,0.035086676,0.036097735,0.076735616,0.068705335,0.20932253,0.008815838,0.107765675,kezAqHaDg2E
0.13119084,0.17745556,0.24404798,0.43988055,0.12650162,0.43664628,0.08796701,0.18095855,_Eluqg6yNFw
0.08583046,0.10799265,0.068194345,0.09870357,0.09193599,0.34728214,0.0729142,0.20311049,MR3RT9-2E8w
0.18646151,0.12387516,0.14704087,0.7150533,0.07774783,0.199796,0.2286382,0.37781686,8eraNZHM1to
0.13675827,0.10217262,0.12423959,0.75781196,0.035382852,0.27455136,0.060527626,0.547626,5YVnP00RdHg
0.025830649,0.024754224,0.026310738,0.062349565,0.044958133,0.25735933,0.015410362,0.27903357,TkLKIaNgDdI
0.071617804,0.0388085,0.078981124,0.13746145,0.11668474,0.34179723,0.12695669,0.35172245,gLviYFq3IFA
0.22091405,0.3023568,0.42842004,0.8763936,0.14158572,0.43331027,0.22069082,0.29799676,3Uzjp85iClk
0.2005114,0.21244667,0.33710453,0.82345974,0.13318346,0.52815336,0.20376207,0.12553266,HSZ7-OH23ag
