PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.42865673,0.04979392,0.41739437,0.03461955,0.1048046,0.048577856,0.18503793,0.07641385,YE24PEPxBgI
0.31332374,0.035572454,0.12085158,0.010481823,0.048978236,0.1048893,0.056067888,0.2616362,QtjY-SsjBZY
0.24203278,0.103609405,0.7546135,0.112144895,0.12149242,0.031823054,0.18065095,0.22990978,ijayrVdrgNo
0.4355784,0.20231098,0.86500275,0.14777246,0.2988927,0.06499301,0.4096905,0.37965426,Q0tEGo7ueNs
0.3708916,0.08348862,0.6079533,0.0789077,0.08709061,0.08606449,0.1271908,0.63276905,JvpZm0QAKLc
0.29019713,0.0813744,0.3251042,0.026035614,0.07375908,0.17191081,0.15093997,0.33725205,bkLgBdzu-78
0.27887356,0.026518106,0.052892193,0.013119632,0.027754342,0.028234214,0.05171034,0.024924835,hDgY3w-nIFc
0.17268313,0.045122672,0.17056479,0.011870144,0.08953768,0.024973186,0.14266756,0.19953105,zXAXgSVvH8Q
0.26767465,0.06286674,0.1955456,0.14866976,0.103936054,0.046422232,0.21513653,0.17476074,gPFWLP9_R3k
0.2947657,0.21845916,0.82345974,0.16965903,0.22040711,0.0719516,0.31769753,0.2618953,jUQu5TlgLjY
0.30411536,0.040019274,0.11200786,0.034104515,0.040809702,0.03498959,0.1331637,0.092232965,1r-u7FNUtXQ
0.5013984,0.15900218,0.4826745,0.009440582,0.056493662,0.19757234,0.17690209,0.12650692,G4PrvVfa6dE
0.17408833,0.03238883,0.062443137,0.0495556,0.025373124,0.033083476,0.06658075,0.22609401,FVGlTtyDQfY
0.48255026,0.16943826,0.570112,0.07131593,0.09098768,0.22305654,0.28186172,0.36364833,jMiewX97mWY
0.5859601,0.1568872,0.49345005,0.1609341,0.1472468,0.46788502,0.27749956,0.19975086,R53p6s4oWKU
