PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,video_id
0.06463443,0.07371333,0.10979631,0.27057433,0.23941368,0.060275525,0.07511596,0.069485076,1aP7FE0ws0s
0.050253488,0.030155903,0.1118198,0.41808933,0.14895174,0.13379972,0.08222743,0.07576715,46CAKyyObls
0.17910859,0.065721996,0.2606012,0.40130228,0.18294217,0.15718277,0.087481886,0.10429323,DQw5NtBPll4
0.0666677,0.038053125,0.1560934,0.4756973,0.2856208,0.16541283,0.12041008,0.08191994,Q7kPSzYsR6Y
0.117172115,0.02655065,0.23816228,0.5647393,0.16926247,0.11962589,0.055148058,0.069734536,nJESuhKk_zM
0.0640078,0.12888865,0.050492436,0.17852516,0.74521595,0.02239216,0.06469396,0.21526824,CSJKzhvx8nU
0.07992134,0.0471521,0.14227675,0.25400293,0.27324924,0.08376934,0.07016683,0.057753403,lH-m_-kzvvo
0.0675386,0.009093502,0.12550081,0.3043274,0.17565961,0.064176336,0.048530404,0.047628302,0IICuw38zE4
0.062373135,0.014022041,0.17722446,0.38312066,0.18439311,0.14344135,0.092163034,0.06754243,YLIS68YfMYU
0.16746351,0.1710401,0.26305506,0.4125614,0.20261405,0.0693916,0.054388054,0.14281754,v62C-riEZ0I
0.09333349,0.1510105,0.18507,0.3367094,0.30299944,0.135028,0.13784263,0.09906519,cHhiDXrk5Do
0.070823275,0.02792408,0.04345703,0.21868755,0.26994735,0.028540537,0.021265946,0.025392182,HCWMHTl9ux4
0.1246261,0.1019289,0.20746766,0.278256,0.29138607,0.13075393,0.11975548,0.0952654,hnxDJKheI44
0.11461192,0.08290337,0.24989004,0.45813692,0.31430137,0.13554941,0.12024288,0.11478579,dWgWP-EU-Gw
0.15073924,0.031529333,0.2729261,0.3743398,0.17199004,0.11537681,0.11323355,0.09697057,cIEuYflHuTc
0.064008616,0.14193995,0.32293144,0.4672193,0.29804856,0.13534869,0.07939275,0.051341996,QtWP0KDx2hA
