PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.19276348,0.24907166,0.5260117,0.00032344298,0.18647896,0.20773342,0.3064026,0.10891502,B8ofWFx525s
0.09547114,0.14731549,0.26701382,0.17289253,0.13386416,0.17652987,0.2828663,0.10468196,pT-k1kDIRnw
0.017207587,0.025373552,0.051943175,0.17661978,0.04543531,0.016549984,0.2161845,0.039445095,Zk1o2BpC79g
0.09994291,0.09864826,0.07367079,0.10631714,0.06851897,0.11252987,0.21958688,0.06683352,doWZHFnVPQ8
0.045766875,0.09862908,0.2781212,0.052757856,0.1731117,0.13532016,0.28886396,0.1417828,jtVIDBs60S8
0.06807244,0.09598424,0.19211017,0.13207144,0.049898956,0.062617674,0.36477786,0.1273741,JT2kxvmhhkA
0.120267816,0.15064862,0.08650985,0.0004941927,0.2008281,0.1354371,0.25730398,0.07473203,4w48Ip-KPRs
0.05318329,0.042109396,0.048252698,0.13297912,0.14328592,0.14327398,0.24926953,0.038162973,eaolE1blpWk
0.14921798,0.08054945,0.30261347,0.24445647,0.03994159,0.0783272,0.26312283,0.08089202,prx9bxzns3g
0.10622519,0.13982458,0.31077716,0.025629435,0.011175984,0.103230916,0.2705372,0.08598727,dOkTadfd4Mw
0.029679127,0.029537408,0.23365854,0.12205215,0.020130653,0.019168446,0.35157412,0.052988213,1z2kiU13Axc
0.06737548,0.066194214,0.30432016,0.059924413,0.049898956,0.04526516,0.27348977,0.09827627,bTbZ2oqZ5jM
0.16964824,0.15356728,0.10432515,0.12750028,0.11536485,0.13741578,0.36346912,0.1524054,ouzPhoSSGYw
0.038673807,0.026388835,0.06027586,0.07890455,0.09763293,0.052073706,0.27921095,0.040768106,O5RRvqWk1N8
0.09266381,0.034630086,0.42381495,0.040905476,0.03358948,0.0398066,0.39791647,0.041815657,GA9NO8jDSl0
0.095797785,0.05393313,0.076390006,0.14146036,0.05852979,0.04485215,0.19103743,0.06320865,3PR9e5AXgMQ
