PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,video_id
0.11626371,0.2013389,0.23997414,0.108345255,0.51833665,0.18154536,0.14683665,0.71562696,oi_UIEC8HpA
0.21786375,0.660731,0.27022055,0.15165126,0.32786912,0.22598907,0.7532383,0.22264464,P3yAkg9v5VY
0.03814418,0.020671649,0.030867323,0.12606788,0.3262528,0.03221605,0.025551138,0.22062276,_2jULayKYTs
0.039126016,0.026706671,0.021733796,0.093625106,0.4965349,0.18647896,0.017850026,0.06303643,D6PmM76el7k
0.100292474,0.35702753,0.13288526,0.34468582,0.37959152,0.21362646,0.16722503,0.14826426,_tB153oukBA
0.09865743,0.15422937,0.16804065,0.32832378,0.2863623,0.28923595,0.101130016,0.11358163,xzKw6_E74Lo
0.03805006,0.029550036,0.013506884,0.14815557,0.27629668,0.0495556,0.024547055,0.049858086,DduGAca6hZU
0.057796493,0.20844708,0.14613767,0.2883165,0.4500951,0.28972426,0.054674234,0.2815819,IRm_sSERdYo
0.18515694,0.3627127,0.21860617,0.37507716,0.44778672,0.24242763,0.30747128,0.82425493,ETj8kP0rj0o
0.065216824,0.09660502,0.1195081,0.066318676,0.43071166,0.06332459,0.07073587,0.42518365,AQOWwS-HHyA
0.17524298,0.5669776,0.27597782,0.7079002,0.49074522,0.34388447,0.43828544,0.24089456,6ZWKpAxGwo4
0.13496915,0.044831596,0.05835521,0.14445205,0.63464415,0.18647896,0.042061865,0.13952151,1zZZBB9-Nm8
0.06480464,0.22749348,0.046747457,0.13333547,0.21913263,0.15743166,0.11113599,0.057684578,XsEYtaL241c
0.102368265,0.106383234,0.04598729,0.28300515,0.37451002,0.24242763,0.103414744,0.5458394,4vczeQsaWSA
0.040796153,0.017099213,0.021846158,0.23170458,0.21838345,0.06332459,0.024245033,0.06448769,z-uOvB72RGw
0.04450879,0.015378978,0.020963624,0.12810995,0.22483477,0.045778666,0.02431387,0.065144286,nZWl62FVN6U
0.2224897,0.26308164,0.32247457,0.03313593,0.50452614,0.09548495,0.24850824,0.4516573,QNPGTGCJkdY
0.11436901,0.3161302,0.085376084,0.4909633,0.47700986,0.10461388,0.11946146,0.26725838,fg7pRNI1PGE
0.022878127,0.012186841,0.017884308,0.41196108,0.24902308,0.0681194,0.010703534,0.046639644,suy3NmrZaVs
0.042366296,0.021678478,0.031291317,0.19904317,0.23943584,0.07251463,0.029419221,0.062049184,aL8sWlFT3mo
0.10488672,0.12866275,0.1802098,0.051098887,0.4914065,0.11794081,0.13179009,0.30139542,XiuE-Wt7qik
0.048739787,0.025430832,0.037854835,0.029023414,0.3602578,0.12244874,0.030390037,0.073930204,wBEAjjioZFI
0.041186098,0.078966215,0.116939865,0.14565758,0.43495914,0.27194336,0.043079533,0.24725407,8X9npKC0yXQ
0.05579565,0.04610443,0.07788628,0.07528781,0.43655604,0.0334178,0.03607716,0.26208177,sdiDslg4oSY
0.13828498,0.071666524,0.099849895,0.18020134,0.35005006,0.007392809,0.114772506,0.13680041,wvZtYgIIe2E
0.11125544,0.017872408,0.03148303,0.11160883,0.31456897,0.018048171,0.026244286,0.0674964,MHS-htjGgSY
0.07723905,0.1627673,0.1653343,0.3046746,0.36199734,0.15684792,0.13884896,0.6275041,CtmtEgSADgs
0.14579888,0.13260232,0.13489479,0.03587856,0.40289307,0.11407687,0.12924738,0.14680535,N-I7ktbVVVg
0.08122416,0.05877771,0.15522659,0.1506854,0.450827,0.0825038,0.05240255,0.28045115,q1CrYYF58RA
0.14768091,0.2665384,0.31946212,0.44351342,0.3966664,0.20009461,0.22968577,0.31792444,54KyOW0naRE
0.13934782,0.14076246,0.19807395,0.043174163,0.5350148,0.064523295,0.13163996,0.3969389,qU1Yv58EXcc
0.038355503,0.020359902,0.014887634,0.0487232,0.41199392,0.059728492,0.018023089,0.097211026,Lzf1Pg9kfu4
0.03240464,0.018624542,0.020511212,0.14385465,0.31087723,0.0131890485,0.020780208,0.062540755,75DlnMlMgIQ
0.14372617,0.082696326,0.08282006,0.18940404,0.3991377,0.15568043,0.104520515,0.17950183,T6P9TCdWE64
0.04823929,0.06799597,0.037607472,0.1142686,0.3862486,0.20963,0.043945327,0.16668895,o8p1G-yWxGw
0.02890305,0.078790516,0.13972193,0.16067785,0.26039338,0.11343288,0.021390004,0.10358468,iT6eMorkX78
0.06659664,0.039304003,0.03837062,0.19385473,0.34382373,0.11536485,0.047121473,0.08541745,hfgKdbdVt1I
0.056950327,0.17948909,0.14458922,0.5680319,0.3755178,0.23277332,0.1616113,0.7629257,zZQGIXH68KA
0.03671046,0.085054666,0.10315967,0.017627662,0.393203,0.058130227,0.04789544,0.54865235,gDO7oDvL8aE
0.13522092,0.49188468,0.37309378,0.18316348,0.5212915,0.34388447,0.23586985,0.43876556,_0fX0WNMMUo
0.05990223,0.043133866,0.072158866,0.1946856,0.3193924,0.08290337,0.040587004,0.26191145,nTlmIA1tERA
0.028798567,0.08596011,0.037866637,0.1180181,0.31973037,0.20596254,0.04196913,0.06740937,_ygN8HLCaJg
0.021030702,0.014517631,0.016772073,0.08623786,0.1875264,0.015757442,0.011866806,0.04306414,9uDUv1TpGxI
0.2457037,0.1748409,0.2397998,0.38309565,0.38746113,0.13835071,0.17232136,0.35637403,bqY0_ZeHs8k
0.06425458,0.055080555,0.11266986,0.12295572,0.44604635,0.1668969,0.050800655,0.24548161,gmGUpyhjoGk
0.03189888,0.021162037,0.019765744,0.15806687,0.31599548,0.033932835,0.022559132,0.070795715,pG_7qwnVqyE
0.10076982,0.14710991,0.14576238,0.3248953,0.3366021,0.04406188,0.11155985,0.16214652,YtIVjzOHG0Y
0.034762155,0.076991156,0.04165188,0.13611947,0.39954066,0.04406188,0.026681526,0.077569395,wt7NbMF2vVI
0.16093597,0.033167582,0.055903267,0.13981381,0.41157004,0.03049926,0.05272238,0.092857175,7szPBZxBIg4
0.25380063,0.18622825,0.19390252,0.10395793,0.6069125,0.1884524,0.19178991,0.342232,B28ebjEdMTw
0.2574713,0.32719898,0.43147105,0.45118636,0.46014234,0.2590451,0.35885185,0.7608427,_shya2aE75M
0.02992774,0.012805821,0.017238459,0.26772043,0.25930494,0.037881445,0.01479693,0.049786616,3Bxf2o27ykM
0.048006997,0.032041907,0.03592319,0.12264306,0.3646059,0.04268845,0.033017218,0.08814901,z3hI5r0yRoU
0.04211729,0.019528052,0.023260161,0.027815213,0.2900936,0.020269485,0.023804853,0.05540287,9t_h3yKntww
0.07669005,0.037967835,0.06283037,0.11485459,0.24834469,0.06012806,0.066619575,0.31897107,0bFs6ZiynSU
0.078882605,0.067068234,0.0724444,0.26348117,0.5521205,0.20596254,0.047704417,0.11041034,-dGkkMdIwOc
0.10877398,0.349994,0.11345972,0.12110578,0.37700498,0.17518331,0.2021188,0.2276817,8yUxDFBGsB8
0.050020285,0.03426798,0.044652972,0.11138388,0.31700128,0.03736641,0.030923184,0.09004916,_3DHGXgZ-_s
0.058650114,0.09070173,0.059529576,0.5446059,0.40356997,0.2590451,0.0586265,0.13711445,xTNSe1GBjUQ
0.06765501,0.07558049,0.12759295,0.119370066,0.45347285,0.12824467,0.06414688,0.25131455,fkzhS1qoM8c
0.568673,0.5149934,0.20778179,0.18040688,0.6354711,0.29021257,0.50690824,0.8587846,Q1KowXSwKZI
0.07157451,0.11263372,0.15185598,0.0995704,0.43860626,0.18549223,0.10459568,0.24781877,D6adSwNj868
0.07216425,0.20688845,0.19680037,0.18436745,0.46914512,0.22157386,0.15068725,0.32153422,VDZ85Jeu9LY
0.031748027,0.02622448,0.049787268,0.16739924,0.27457136,0.027580723,0.0207826,0.06198793,W-HNhJ1gagU
0.03203191,0.008874841,0.012445959,0.229623,0.23781613,0.008642297,0.012614828,0.036344312,o9L4Hibsc4o
0.065937124,0.06612462,0.11672807,0.08442031,0.500862,0.31714454,0.06407864,0.2449575,H8MGJ4I0mkA
