PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.028610796,0.12253278,0.11260037,0.32272753,0.13719901,0.2430335,0.26181507,0.62382644,GVc6Euwy-g4
0.019852988,0.055919323,0.12536232,0.2871668,0.042084765,0.12559786,0.3738504,0.5083748,oJdWbJp-9I4
0.1008549,0.090946354,0.1350855,0.34345937,0.061837215,0.12382706,0.30574128,0.19101079,Zg_CIVgHTCo
0.08796701,0.189633,0.16399646,0.3097295,0.12830941,0.40933013,0.42104733,0.78793883,AGe1x786mHk
0.03753809,0.08702164,0.05955949,0.22330268,0.042241704,0.19296972,0.26890454,0.66833556,ziYak1cIJQc
0.013050216,0.018895328,0.035712678,0.2639288,0.017974403,0.06258922,0.26454705,0.12972458,pXx_0mN5Kn4
0.024833864,0.090349495,0.06687544,0.44069,0.13229051,0.08090979,0.18855916,0.3968263,PX9WJasHpG4
0.08501353,0.047452208,0.07540893,0.25852916,0.034437254,0.13918264,0.12833162,0.33331326,y57ka2koMh0
0.0131890485,0.026615437,0.048410278,0.20032075,0.017560184,0.088580035,0.118627764,0.20164752,LMKxOFY3qpQ
0.02929751,0.017031044,0.019252734,0.2522739,0.027705677,0.024506913,0.05374812,0.13654914,s__YT_0d8ZY
0.015826859,0.025433805,0.034799762,0.2506507,0.035995476,0.03986851,0.14583877,0.13912569,s8yp53T45kM
0.020269485,0.10249281,0.07234405,0.22661738,0.082729064,0.12070993,0.19709793,0.5684718,NmJt9BMe1YU
0.11536485,0.026288629,0.01847442,0.2712371,0.030686209,0.024848005,0.28625417,0.287263,yGrt6MTTqCQ
0.05653196,0.054393385,0.044247203,0.23616797,0.046555877,0.10074023,0.5680319,0.3296341,4oFXn1uj6b4
0.015688026,0.04467004,0.03931845,0.2697044,0.042390887,0.05610745,0.17533599,0.29378745,YO6JBg5Irnk
0.021102477,0.063958906,0.08075843,0.32544214,0.056076836,0.10791586,0.20152123,0.37030345,md-B0ioXprI
0.020269485,0.115165666,0.1369334,0.35683393,0.14353424,0.19869082,0.27720672,0.4863826,T85qy0aXK2k
0.018048171,0.026750978,0.03803666,0.3012739,0.027944556,0.06703197,0.18039723,0.18320788,eKKeaoHONWQ
0.030155903,0.06481187,0.07651957,0.28124294,0.05942256,0.11339973,0.20464961,0.44998094,PSb8FcZ_-pQ
0.026207292,0.026431032,0.02357903,0.22853321,0.031933222,0.022445964,0.20888174,0.07890938,hFk6DgQfh8s
0.01631277,0.050778013,0.029262256,0.22938843,0.022994205,0.0369937,0.368361,0.13596521,7anFsay6ors
0.0753116,0.039805554,0.058479205,0.34347072,0.051155776,0.119029455,0.10906652,0.26698327,7F44eSgDtj0
0.025692256,0.12147439,0.11907067,0.26024044,0.07567861,0.29597554,0.18622777,0.5257783,54IVdcMDgNo
0.31682462,0.84531164,0.64262056,0.4211698,0.28758773,0.5237286,0.58519334,0.5523017,A5SKmZxVwnA
0.029469188,0.069370225,0.055750854,0.3904896,0.10913874,0.06389543,0.13553242,0.23114413,SytZ_xPo6z8
0.055732824,0.14285754,0.1517193,0.26740423,0.07259289,0.3147244,0.11110885,0.5424227,WuPpHQIhHfM
0.01193956,0.042115603,0.04437832,0.20250987,0.04894554,0.0622958,0.096613385,0.2619606,ePIimSKn_vk
0.0121478075,0.015399148,0.024499534,0.1907962,0.017425776,0.018620806,0.045677766,0.11601405,taJ7_YJjzcw
0.012078391,0.083024085,0.08212005,0.18711096,0.03428868,0.111879915,0.19360304,0.46126202,78q8mgTfCfI
0.032559406,0.03419293,0.0663328,0.42985415,0.06906729,0.13127092,0.08209101,0.24745761,FDmnv0e77wg
0.012217224,0.029304123,0.024513518,0.29621884,0.03917443,0.047342744,0.17084502,0.1025027,shNpRzE-HKU
0.015479778,0.01613977,0.03165595,0.2365617,0.017569846,0.030349575,0.0902936,0.21198912,vEDNOHKH93A
0.028610796,0.059867397,0.058418524,0.19442706,0.047223717,0.15294527,0.29528585,0.35406026,uN1zbJ6Ckeg
0.03204437,0.03725612,0.11648496,0.29855844,0.036811735,0.10226338,0.17448306,0.16225766,1UiIwCE1yW4
0.01631277,0.093491055,0.11725831,0.2744257,0.06706519,0.11608422,0.13559577,0.3345359,_ZH2fCWzCN4
0.040971663,0.07406443,0.1103175,0.21845149,0.043522134,0.114219055,0.1432428,0.31547517,eQK9fL1Ed9s
0.10828095,0.01717407,0.062329233,0.31898275,0.025330646,0.0872412,0.28935015,0.19027667,cr0BS-rKM54
