PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,video_id
0.10331684,0.06055432,0.09121074,0.04473864,0.2642034,0.062689655,0.051374685,0.022213135,pyUQP-R48yg
0.17929171,0.1589021,0.13482213,0.09351425,0.27986875,0.031224508,0.048276495,0.09333697,8KB62ySUVcE
0.34698522,0.117734045,0.5669531,0.06591297,0.28738806,0.040006544,0.061631095,0.1473238,xj1xDfJ3D_o
0.6494217,0.45740572,0.4149035,0.27369702,0.30902752,0.082848676,0.17129436,0.22990796,FUripP2c5dE
0.13876052,0.1298567,0.21012586,0.052053344,0.41251594,0.058354035,0.045274705,0.10300289,AXTys4QQvlo
0.16419637,0.041366357,0.13170673,0.029685033,0.29760635,0.04983451,0.032401953,0.025692256,WjuxxBRP-hM
0.037938844,0.20217063,0.16628137,0.06557876,0.3292178,0.04286564,0.051448833,0.11021292,yQ4IuoJL8g0
0.012453403,0.12233242,0.23962429,0.06956801,0.40112802,0.15536289,0.1089346,0.07011723,3J4r74YlCZE
0.18939641,0.341662,0.16043048,0.09764115,0.2615004,0.058633108,0.06949199,0.31693128,AYG6iKt6Owo
0.12712434,0.05503945,0.19600056,0.07327667,0.47556758,0.17595844,0.077286415,0.015688026,9QPyPy3ifwg
0.10435464,0.13964283,0.27194226,0.062828355,0.4000585,0.06518385,0.06686382,0.23365098,1XX88B9QR_Q
0.13048165,0.081739806,0.1084959,0.05089139,0.2937945,0.07112964,0.053118803,0.04406188,_kSigGDhlXA
0.32527778,0.24713162,0.68003774,0.09468514,0.36229032,0.040776946,0.06973982,0.16758743,xF63xhZ-X4w
0.1304657,0.06929285,0.10095296,0.022042438,0.3281645,0.0628807,0.026018087,0.05493369,UrFWkoGMbi0
0.283828,0.29465586,0.6101832,0.1764825,0.36810786,0.10546446,0.11096338,0.17173064,3kqf5hgRwqw
0.43897226,0.110275656,0.44166958,0.09489837,0.40138376,0.059731018,0.06819812,0.086087525,IOn_gL3HpJo
0.0070984215,0.12125352,0.19192737,0.04137554,0.28810972,0.031275783,0.038889993,0.06971766,vnBduzGRtHU
0.033321775,0.111830704,0.11268884,0.05515837,0.35035816,0.053653315,0.03934813,0.043718524,I2mx-hZQWF0
0.46857744,0.3212336,0.5636519,0.35130897,0.22760378,0.09841954,0.2828791,0.20522906,4PfZlxhvdkM
0.8026303,0.68645906,0.41861373,0.8301602,0.4180221,0.13504031,0.49883497,0.5810591,IoHVnWmHhFU
0.4482146,0.5259318,0.6956589,0.33388782,0.3856844,0.08175988,0.17843895,0.28923595,SOahJtcq91c
0.27721938,0.024614,0.34619582,0.028060002,0.2866879,0.030736616,0.017869188,0.064523295,sB7TsLfHLGM
0.71774614,0.68797934,0.3264467,0.3889289,0.29175648,0.10103983,0.21218431,0.39230084,eidisPTsMyE
0.062344406,0.14656489,0.29822242,0.04480951,0.29354864,0.05596573,0.05218598,0.020408317,V2spdl5OUj4
0.19172627,0.24450785,0.29265723,0.26359293,0.500582,0.2127419,0.18028776,0.055333257,gAMBsFUnGb0
0.18554313,0.15104821,0.27917033,0.06386166,0.37296095,0.04452337,0.05867939,0.101391904,CxUoWEGojwc
0.06949902,0.11177588,0.6034077,0.07314176,0.30438086,0.025772668,0.04220396,0.17449278,aVA0-XgN80A
0.6287694,0.7614976,0.76733565,0.44497326,0.51773673,0.21430385,0.3082626,0.28825936,hLX0I0XiYoE
0.109243624,0.08418055,0.38305637,0.04752598,0.29802054,0.035795983,0.07506133,0.19239926,Cjlte4xVu_Q
0.048214406,0.033359997,0.05232961,0.021411376,0.23463817,0.036412608,0.028294157,0.046465382,ixF6pDTInak
0.722318,0.48931825,0.11745455,0.3387539,0.24982424,0.05127495,0.14507368,0.23014031,OjBGADt2jdY
0.6172057,0.47246417,0.041332126,0.4387444,0.21672189,0.050822392,0.12228704,0.2459383,IvI2YJA1pm8
0.38983926,0.15071897,0.21696614,0.13573033,0.41860652,0.21114747,0.13295878,0.089577995,4fRSLY7ZYO0
0.10180764,0.043305397,0.08076299,0.02793763,0.2806171,0.055608414,0.037215896,0.017631676,nEQxv0OQ4Y4
0.115821764,0.6350989,0.22188231,0.34007293,0.3412833,0.07555861,0.18957919,0.28923595,wubP6CIKAc4
0.1357988,0.18433549,0.8393977,0.1974156,0.3475442,0.02410553,0.088853724,0.15859914,674kFkrggZ4
0.70809436,0.7261412,0.31940833,0.660731,0.42567706,0.090491705,0.21856262,0.39206567,k3bWN0MiYKA
0.5294315,0.050486572,0.23669551,0.024903243,0.307486,0.06177467,0.03204582,0.015340946,mc2TAjeok10
0.6835888,0.48575628,0.53639585,0.28610262,0.33677766,0.13909486,0.18665004,0.44670263,v5Y3DGzWAzw
0.019549847,0.1360081,0.45391768,0.10510023,0.43496686,0.05065085,0.05763698,0.03994159,rZVlqVrz9Bc
0.114695914,0.06544995,0.14499724,0.051229645,0.59340435,0.28716835,0.08490521,0.015549194,zD5ayknDVJc
0.06202575,0.03718143,0.08744873,0.020270545,0.32920325,0.05979921,0.028075421,0.017006932,I3-7fJX7m3M
0.081438094,0.14036697,0.14797343,0.069241986,0.47438106,0.058009043,0.05103864,0.119228795,Qtv74QgJibE
0.026500713,0.29186106,0.4445266,0.17779166,0.4409647,0.09859177,0.10092428,0.21804169,sefo_-QZZ9k
0.5680319,0.25775358,0.8763936,0.15460253,0.38979965,0.10326528,0.1510474,0.13476147,LQQAhvnhPWg
0.0945719,0.054957416,0.15823777,0.06792692,0.37189555,0.059729457,0.06863799,0.05253629,L07RcsSLt4s
0.20063856,0.1449656,0.16862862,0.028547218,0.3251428,0.052827854,0.04173319,0.039598234,iEB7CiEuk44
0.8147743,0.80377114,0.337425,0.50011533,0.35373473,0.13666658,0.36056635,0.41256893,lcChIH7l5zE
0.06975725,0.033718646,0.057361487,0.03471005,0.43814558,0.057696346,0.02425866,0.012425472,E4v097IOr9A
0.18602464,0.026496038,0.12470952,0.025887275,0.2757803,0.029420462,0.022806019,0.018464668,maxEnHrG9wQ
0.6311331,0.6100483,0.24976073,0.353982,0.31216177,0.2141604,0.2693265,0.34388447,CqSylNeHjI0
0.454271,0.023620369,0.30282274,0.029247643,0.26106358,0.0152063845,0.016783765,0.089041,rHoerys1jw8
0.4440127,0.11814754,0.28597555,0.12788004,0.28600726,0.08085704,0.14842194,0.09709594,o5MNSTY8HpY
0.45873362,0.061137892,0.5036304,0.049754985,0.29666218,0.039398503,0.05155671,0.08290337,zUSlOmu15jE
0.33132473,0.19165196,0.71204126,0.16831885,0.3154335,0.120001346,0.21318479,0.1884524,sJ32nkEV1zw
0.80792975,0.27564234,0.37071666,0.11361223,0.23823483,0.027560854,0.083819315,0.07251463,4WVKsNNASUY
0.65040326,0.3897743,0.6409846,0.22385198,0.446547,0.1726588,0.1678624,0.26132804,fe2b09H-TfI
0.11358089,0.01589308,0.040492687,0.015175147,0.32289973,0.020589013,0.01139585,0.018187003,XmEvn5j0z7Q
0.18522783,0.08485035,0.054747198,0.037955076,0.19614755,0.02018733,0.018645113,0.046465382,LOhjHwrk5Nc
0.27660942,0.2669383,0.76272553,0.39126426,0.5202501,0.14564298,0.21956296,0.25676212,UhJvV4qSC3U
0.440231,0.04472595,0.5819444,0.03467944,0.29905722,0.041558754,0.049038716,0.10515087,SCs_1WT2LzU
0.37593427,0.30921412,0.42649102,0.21285875,0.25169787,0.098155044,0.17085354,0.14193995,7deTQz2YMxI
0.026428785,0.107267715,0.104392685,0.055539723,0.29092747,0.036834866,0.039407752,0.0765103,Y5VXExIHrZM
0.07128842,0.30978182,0.6390797,0.22418392,0.38464984,0.101259954,0.1616747,0.22986074,2Md3wAZSVb4
0.11605824,0.3054078,0.60909665,0.21452159,0.448599,0.06855129,0.1419835,0.19535941,jwhnYTwDxU4
0.33276895,0.7997585,0.5045947,0.49548084,0.39459386,0.13202947,0.24780014,0.5024423,XNJLpsAAGDo
0.44732913,0.12358357,0.5070222,0.17432253,0.38421273,0.15553427,0.14250147,0.26589394,mE4UhROjVxM
0.81549376,0.57836527,0.36064953,0.48877147,0.34052068,0.061030626,0.14350304,0.15042676,qwB-BJgza0o
0.46885762,0.2666007,0.8908898,0.141716,0.32868502,0.07728508,0.16123703,0.13146462,PQKgDFA96us
0.1296472,0.42415792,0.19252351,0.1397835,0.33053246,0.066109344,0.08417784,0.355017,1Lf7_iIE7w0
0.2452868,0.12050595,0.14512467,0.07473736,0.33379257,0.13323742,0.099210024,0.01665985,LQiqlG_wpz4
0.811852,0.62880534,0.089306384,0.57265633,0.19930509,0.03844813,0.17221001,0.2936093,Xh4m9cfkYo0
0.8147743,0.58523935,0.110675536,0.5290387,0.26214808,0.07455623,0.18206644,0.34684154,ls8x3JzL_rk
0.09483533,0.056496534,0.082025714,0.048413213,0.27506652,0.043634575,0.03467998,0.015340946,UYK_9gH7d7U
0.11589125,0.17087182,0.1575151,0.08268945,0.37448826,0.067754515,0.0568619,0.089041,ZVjxrij2W2Q
0.1757025,0.21102196,0.2472058,0.20768906,0.24553095,0.044683296,0.12224425,0.10892494,n8mMW8f_19c
0.27451828,0.3479668,0.27895007,0.1818864,0.444091,0.09996741,0.14166863,0.09279997,VUbxVfSqtt8
0.20062405,0.07627652,0.12919554,0.06422684,0.36849666,0.10277389,0.055633288,0.019852988,mHcVYEKFjp8
0.2936842,0.7445612,0.33329794,0.62516093,0.43135908,0.1334712,0.27559987,0.35336453,GOt3WljFM7o
0.0131523665,0.14042903,0.74516827,0.08375912,0.30641603,0.032725308,0.08123421,0.1894391,lP5rv7_SW1g
0.63045645,0.2400634,0.41690212,0.12682362,0.34302297,0.2144826,0.14769758,0.2712817,S_E6feZVjyE
0.11206639,0.04741616,0.0831241,0.032757398,0.25816464,0.05292182,0.039174315,0.01999182,PGUApnrJfH0
0.18983805,0.7006494,0.6253974,0.33344662,0.602585,0.32098174,0.31531525,0.28874767,Y2eJ_MRQ3OE
0.02513088,0.29944482,0.28901753,0.12265851,0.5340107,0.13709566,0.12268612,0.03994159,UkO2ZkxdzoA
0.1090845,0.2925186,0.8763936,0.1462355,0.37198442,0.06883083,0.14527415,0.17957193,L4gvHnpiwpc
0.2608449,0.0333674,0.03918999,0.023476308,0.21527423,0.03164253,0.02793207,0.017423427,QLH1-H0lBf0
0.37086242,0.423697,0.3912456,0.8301602,0.32458156,0.074577354,0.5054517,0.62792164,S1QR2Vl97WI
0.51168483,0.30444843,0.14735465,0.15898195,0.35542357,0.10738109,0.091162585,0.17034957,L_YCzrB6UOQ
0.62096757,0.25508282,0.60740787,0.11056784,0.3422158,0.13984193,0.10286977,0.29756662,HnGDQJcCRLk
0.36754867,0.086153075,0.69306606,0.073584594,0.5199221,0.15329373,0.085908264,0.16620636,TUGplcrQx18
0.8147743,0.19520669,0.08409446,0.1214349,0.27715605,0.0599418,0.07012625,0.25676212,Y_REAzKPFrs
0.1793593,0.31403473,0.62781286,0.18850392,0.30440074,0.09272662,0.11472634,0.23803931,1icsroWbKJU
0.44803867,0.07944704,0.088877544,0.053282782,0.25132236,0.061604656,0.056964777,0.052136723,-0nGeHIbvts
0.13157481,0.6544445,0.22565946,0.660731,0.3533774,0.12416394,0.32509145,0.5124461,tRIytjRNucs
0.5680319,0.009695794,0.076983646,0.008585441,0.23308656,0.064083785,0.01049752,0.09065199,HncFO8Sujvk
0.15478832,0.02958182,0.060650647,0.024016367,0.23350768,0.038325828,0.031433918,0.033761155,KdKWGgCnYX4
0.24623552,0.18510929,0.26069096,0.25201285,0.51133174,0.20418055,0.186986,0.031357653,vzR8aoDQ8W8
0.15783218,0.06243449,0.065623134,0.038738545,0.23018715,0.042972945,0.036876872,0.01631277,DT1Ee1AQqhI
0.45378307,0.37224117,0.11372465,0.8018725,0.28394747,0.14275034,0.61173755,0.45045215,nr7P8a5MCWg
0.80792975,0.43811285,0.16446821,0.28834566,0.2865257,0.094526,0.15463309,0.07131593,gogCccQsum4
