PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.019132387,0.20079078,0.079905786,0.13386416,0.048400506,0.059145335,0.046794474,0.0622226,_g4vy7H8bdo
0.37962902,0.6409883,0.13308445,0.10699297,0.06712986,0.13284466,0.09183674,0.052016053,WLoPNgIp6go
0.08150432,0.28805852,0.1116487,0.039598234,0.0810922,0.08359202,0.06094,0.08085861,Wz6DrQeQ5rI
0.13941799,0.17852975,0.053014122,0.046122026,0.019511208,0.034174632,0.020448823,0.021800196,HflVmQ20oUM
0.23903495,0.31118366,0.31535622,0.13655609,0.074307814,0.101856165,0.0920104,0.042961616,aPflB7_XXaY
0.12454646,0.17554319,0.06162823,0.06372416,0.025126353,0.02234167,0.021555841,0.024969002,QR7WjcRRz64
0.26645115,0.29842755,0.14990753,0.13655609,0.028809352,0.095048964,0.06752756,0.062185563,Tb07GjcEug8
0.51123214,0.26213485,0.12435271,0.08689302,0.061329402,0.08302752,0.08042758,0.050361525,I-9UxsWEi2k
0.05540727,0.22702667,0.17046027,0.019158829,0.06780237,0.07018483,0.08695933,0.07769733,9StwCFJ38Sc
0.47880226,0.18448298,0.077703,0.24418297,0.027477019,0.0443486,0.034182392,0.03399361,BkFlRIDtzUY
0.1897772,0.24151257,0.21888824,0.09333697,0.0693803,0.08982033,0.09744984,0.08416247,Uw4sNuF8zSI
0.17750894,0.20049486,0.09397773,0.044405237,0.036777332,0.061846957,0.046363,0.04572176,jRfq9RbCD_Y
0.07331605,0.25133032,0.065921806,0.07451247,0.035692684,0.028557017,0.027211715,0.041265327,yS22GxsrHAY
0.21591815,0.63563526,0.10451208,0.05373499,0.041173894,0.06589902,0.039511815,0.04856999,WPPVeyeM7Tg
0.10192878,0.364423,0.29803225,0.10515087,0.14108972,0.16893269,0.1526185,0.2760753,36lAV8mibOE
0.12272863,0.16100085,0.050027333,0.03839648,0.01880533,0.029413579,0.021003488,0.029268485,cd4fYncwbj4
0.16206504,0.17848513,0.058228996,0.13082063,0.028579878,0.029382696,0.025927352,0.034227233,IPzhcBk0two
0.29878193,0.20455141,0.055750478,0.15276173,0.022478906,0.04898876,0.026662586,0.03761641,VK_MBnAi_hU
0.34521815,0.1840512,0.07329188,0.032731086,0.054658327,0.06786037,0.06451077,0.07704535,Lw0nZEw8IIk
0.2448844,0.2050981,0.11633209,0.087430015,0.072746724,0.053537577,0.066114165,0.07536554,yC_nGu5Luh8
0.2264759,0.93869656,0.23030676,0.13386416,0.077241406,0.30948576,0.13509633,0.0838638,0KDPsNuJXw4
0.19151819,0.67780465,0.11336565,0.09118898,0.03325229,0.104352914,0.05475793,0.034319125,rznC52oPBuY
0.10173798,0.28692055,0.10575679,0.0669207,0.06835775,0.07982496,0.06737151,0.0661559,KJSXX4msf-U
0.1968697,0.24379972,0.10527301,0.10031791,0.025721895,0.04021993,0.028512819,0.032822706,I9iagX6d0Og
0.2551599,0.37347022,0.27735797,0.124380715,0.05510719,0.13333435,0.083687864,0.06894589,L9f-RQC8LTo
0.19487333,0.20190491,0.09768068,0.07011723,0.050625358,0.05079758,0.051499896,0.060159806,3DxnjCbuips
0.08188212,0.243366,0.25229406,0.087430015,0.04256925,0.031216694,0.033922743,0.058957886,hLB6vQuB9ag
0.4083455,0.28985322,0.2039071,0.13745339,0.038487133,0.0687914,0.05460734,0.046707522,4BFzt5i1jXA
0.1330047,0.25394168,0.25373676,0.09387396,0.07548129,0.10998117,0.1015917,0.055234395,mT9Vbb7WDMo
0.16136907,0.2534781,0.1768862,0.047495455,0.124276586,0.115647286,0.13644753,0.10309349,Vs9YUUhBQGg
0.12304676,0.94505495,0.19367503,0.08330294,0.062185768,0.29893154,0.12865932,0.066247664,2QM8f4TX3vE
0.2784238,0.25906408,0.11828576,0.21036349,0.019274766,0.057428315,0.032755863,0.029559968,oQmDk8Z2IMs
0.44599077,0.22815487,0.17900062,0.04268845,0.01492663,0.036118742,0.023133669,0.024173845,QewZR7474h4
0.3437682,0.18238904,0.07011465,0.05852979,0.022565365,0.03925545,0.027360937,0.033311393,Td_BpE4DDXA
0.06860487,0.58888537,0.39621866,0.014299706,0.08164808,0.11209061,0.07525259,0.11553226,6FBKAzSs7Pg
0.27841866,0.2973523,0.3876796,0.21362646,0.18532786,0.19259137,0.2617314,0.14992705,RG5BEoejrJw
0.011498661,0.319641,0.38750842,0.09279997,0.118290424,0.1059766,0.10154447,0.16447285,bgI8pqezB-c
0.3253888,0.22563359,0.167337,0.060527626,0.14133373,0.09928636,0.11390641,0.11903379,_GC59u3-WuI
0.2799931,0.21226156,0.05982321,0.057331093,0.021828558,0.07720962,0.036530342,0.03353119,yeTh-6e4AQM
0.17925651,0.17560606,0.07523506,0.07371333,0.04260565,0.028983414,0.032876562,0.04712042,kTEP23tUQeM
0.14006071,0.16243832,0.07106821,0.03049926,0.018302271,0.03605074,0.03422546,0.0437671,6T_-DiAzYBc
0.10090518,0.1687797,0.053259734,0.027580723,0.020979995,0.036776744,0.025277812,0.032789923,r3DDO8n1NPY
0.016151467,0.23155966,0.34889853,0.15071863,0.04143092,0.07849329,0.07442899,0.072553314,U57e8qDR6gc
0.022836946,0.20264071,0.09029179,0.1423886,0.098406054,0.06248738,0.07870762,0.08770025,cfe6yuH4s_o
0.03780207,0.34402716,0.39949244,0.08850401,0.08615446,0.108093895,0.09459754,0.13736448,sGAmK4BxUMU
0.25409076,0.29946688,0.060046382,0.048868883,0.0432118,0.057529774,0.035055783,0.029923506,sjU9tEobw78
0.12517716,0.5633634,0.38059413,0.09172598,0.101186045,0.15810141,0.12229905,0.1074998,RKWCVehqGBg
0.14976908,0.18776546,0.083578184,0.044748597,0.03322837,0.049380135,0.042058613,0.03749916,ou7NitF6gkU
0.28659528,0.34045082,0.33613738,0.0681194,0.10832893,0.078025505,0.09491538,0.08875073,7TXEZ4tP06c
0.149181,0.2307924,0.13358696,0.1731117,0.05737183,0.085278004,0.066630445,0.10506333,prfYjiYyCA8
0.0042415857,0.31324664,0.2537821,0.042001735,0.12058994,0.057337835,0.08798732,0.09427354,DN-7RsH2WWk
0.15489866,0.17798609,0.057354014,0.03204437,0.042911913,0.07617477,0.057620198,0.04589302,lSSYciuiKSA
0.15602493,0.21085596,0.36484063,0.05133759,0.13210635,0.07610909,0.11147253,0.1565662,-6F5q_5HC3o
0.07078467,0.602785,0.10711082,0.10461388,0.045519054,0.09599476,0.05161771,0.041795895,UW6H5dAPuhY
0.16224614,0.16257961,0.09524668,0.035477944,0.0273762,0.02579484,0.029765485,0.032731302,qW2tHSfBsrI
0.21000922,0.16552365,0.054150406,0.06132676,0.018605202,0.03115961,0.021580089,0.028915169,sx2fHwPpssc
0.1921376,0.21167916,0.2591046,0.05413456,0.029220005,0.056297194,0.04978949,0.04716402,zqNZ9df0tho
0.28407922,0.27288312,0.09413046,0.03049926,0.09596183,0.11310278,0.097743586,0.20162018,WoV4f1ncE7U
0.14082517,0.23524506,0.0746208,0.087430015,0.08729224,0.057389908,0.08298515,0.05162043,WLNpcmpeRek
0.4372648,0.16385117,0.06408868,0.08850401,0.026620362,0.037915714,0.027406443,0.045265734,izTznw3IGuw
0.70822805,0.22106066,0.08791242,0.07371333,0.04172095,0.07531893,0.053925972,0.048638538,CaszZ2QdYQY
0.18412393,0.20320591,0.054790612,0.06372416,0.022152018,0.04809446,0.026093207,0.037344866,azOnZ8H6E8g
0.015027876,0.25380325,0.38171852,0.0741129,0.050354738,0.043368407,0.07501149,0.096242405,jSMKyNT73Uw
0.11901724,0.33870524,0.14716892,0.04234509,0.083868556,0.1319803,0.109637715,0.06185809,GvAaVrEdsWQ
0.16302915,0.20234062,0.099905096,0.22990009,0.03825581,0.067499295,0.056199472,0.05434012,s6RS_anFcZM
0.7345964,0.23154761,0.1304367,0.119228795,0.15182602,0.11149072,0.16975683,0.1185945,aau6xZgIu1A
0.29841405,0.21270743,0.19762121,0.050585672,0.025053406,0.03988943,0.028348187,0.035407085,14ArBXBdg_o
0.24747741,0.39958435,0.13323623,0.18253209,0.08221638,0.032487888,0.049910836,0.061091326,CGXCyzcXsYk
0.32747087,0.19056335,0.084404886,0.05373499,0.03751425,0.057226714,0.054349747,0.04670012,TIgI6VWxPto
0.31434846,0.1900823,0.0537638,0.11343288,0.019341514,0.029758047,0.021640083,0.022985213,zl9IgIp58uo
