PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.050559524,0.07987092,0.14121737,0.075953394,0.08689302,0.059624843,0.048690047,0.3584707,PTSJC9Tmt4E
0.043657377,0.026091337,0.21571945,0.06782717,0.022074303,0.025625808,0.024959998,0.10073061,VNqNnUJVcVs
0.068433665,0.08165045,0.34656224,0.15770291,0.08420804,0.059899848,0.1181959,0.27024525,1gHbwT_R9t0
0.05806602,0.07762424,0.18350352,0.13018356,0.026722329,0.057791393,0.06176297,0.11882577,thxbiR-XfJo
0.030086922,0.033475064,0.30842665,0.16538332,0.060527626,0.04728578,0.094113424,0.14635462,9hdqiHcH2tw
0.060681067,0.046500683,0.31237206,0.10366713,0.03753809,0.06025324,0.05157868,0.16096678,xM9S4QiEHEY
0.03600154,0.037174515,0.21168998,0.058093246,0.032731086,0.03210792,0.02855918,0.10418566,ae4OigBcEiU
0.03322405,0.026903523,0.26585218,0.24390005,0.13296685,0.019351775,0.03284022,0.2716689,Q7yvvq-9ytE
0.08413904,0.06515519,0.2046096,0.09549442,0.018048171,0.039998267,0.038436614,0.15417704,RywkkwO78m8
0.037276313,0.081158385,0.1851388,0.17094362,0.06931809,0.052230913,0.046420816,0.14196528,06bvdFK3vVU
0.07189406,0.01827538,0.28982586,0.05274282,0.019575324,0.021702113,0.024142101,0.17111485,_-HhCwYD7rc
0.08723742,0.09347385,0.34666592,0.2925716,0.00860759,0.12724726,0.10481131,0.146081,8HYMb3MgQRg
0.12124006,0.09634601,0.3543453,0.3200934,0.1550967,0.07328405,0.07588842,0.1476663,Dd-FAyHdpxI
0.11517514,0.13509409,0.39169142,0.24877243,0.1621016,0.12625645,0.17073497,0.32451674,UzIKWnZJ29s
0.11813012,0.118511714,0.3583322,0.123365164,0.06971766,0.08720218,0.052146632,0.08738411,DYrA6xbPjkg
0.2021658,0.19456922,0.44882527,0.25100225,0.0035749264,0.11151589,0.11795881,0.2776659,YjWn23pEl3k
0.04289106,0.061077077,0.26438633,0.18491402,0.11536485,0.081797235,0.13173433,0.075697616,32X88HMae0I
0.08113687,0.08121589,0.2740637,0.33827624,0.040284947,0.049489237,0.041270185,0.2070185,xVMFOvxaxW8
0.09682329,0.11877888,0.33102965,0.5059595,0.15918289,0.12772211,0.17847876,0.37795997,erA3WQE9Zes
0.09626293,0.12574087,0.24379766,0.14574507,0.13476147,0.1272322,0.094112806,0.43760377,lBmvUUGw91g
0.048446205,0.03401132,0.37290108,0.12679708,0.058929358,0.023541095,0.0344781,0.17836449,TdVKZkfAkpk
0.058827214,0.057478305,0.21697934,0.12461067,0.050585672,0.0504125,0.063008234,0.3313326,e5ACN9iF8Jw
0.16115318,0.163489,0.49286518,0.23990592,0.13146462,0.24521832,0.16446574,0.30869937,YSAz-Ot3Mco
0.17703316,0.16638286,0.43879953,0.25579688,0.03049926,0.07291124,0.10143188,0.085105,_trulM9Ht4E
0.04587403,0.124969915,0.24722975,0.177243,0.1894391,0.30500892,0.15734045,0.30858755,26UkTow1RRo
0.62775326,0.33036247,0.5058852,0.5451531,0.22979778,0.2788403,0.29695582,0.20290656,mYB1JP-gfLE
0.10046233,0.30875304,0.36769775,0.91432226,0.39230084,0.3525058,0.47106826,0.04491985,hrAdayUh6-4
0.083156705,0.17677419,0.21182057,0.68754894,0.21362646,0.18005732,0.17355855,0.4463565,MYnjzsjeMK8
0.14123745,0.17275472,0.20647955,0.25795162,0.13017663,0.31581283,0.15785295,0.4515298,iwku5Alsi04
0.11223629,0.13207124,0.34944332,0.56564975,0.06372416,0.12796229,0.17746332,0.22561751,VTAyGLEk_FE
0.13132262,0.096260205,0.3659544,0.11943365,0.007705181,0.10400451,0.11377392,0.08994135,XHBZkek8OSU
0.089270204,0.0840375,0.23822261,0.13522522,0.040284947,0.074915305,0.0848459,0.27883795,ODBbSgvi57c
0.09252313,0.051877484,0.228144,0.1220155,0.0789077,0.02899938,0.051760595,0.19494425,KyD8VIK032o
0.11423533,0.08830937,0.36214888,0.29440284,0.12760067,0.06525127,0.05589701,0.09822529,su-fmoZUkF8
0.09087867,0.1724207,0.34396127,0.25754628,0.13206954,0.11631211,0.05489853,0.26627684,8hjc1OTNR3U
0.0823902,0.06947623,0.26596987,0.34569353,0.04543531,0.047909167,0.0388902,0.30496958,wClJlarfyhE
0.08115532,0.10963003,0.32135198,0.29529017,0.06971766,0.109450236,0.19720732,0.18498693,T4WjyTV98lg
0.021895068,0.026625471,0.19330117,0.08206455,0.035477944,0.027564745,0.029673567,0.22846425,m4kM5zwxThE
0.17009115,0.37242132,0.30851978,0.20279998,0.43791756,0.47349182,0.17562613,0.006793649,hLPPE3_DVCw
0.08304149,0.083079085,0.33212996,0.29513615,0.14193995,0.08575909,0.061561167,0.1826379,_bHqBy92iGM
0.20472056,0.15188666,0.26604795,0.14334637,0.03599298,0.07644973,0.07934192,0.23214608,AQl8h7Aa75s
0.13514778,0.12789112,0.33408302,0.270008,0.17173064,0.20671035,0.20954965,0.2690629,amJoVWAakos
0.028261995,0.015599592,0.2722577,0.04788165,0.016243355,0.02841764,0.020295426,0.14417711,313icHT2XF8
0.022041528,0.016162405,0.22731647,0.05124848,0.029812546,0.019809853,0.020231823,0.36922225,P4l9Y5OHqpk
0.097667694,0.15473005,0.21105443,0.2419301,0.043031808,0.18011494,0.116506375,0.177106,sMrohO8TIPc
0.07743097,0.07172514,0.32990703,0.17847472,0.019019997,0.09686909,0.12506446,0.11272182,4gS6yZwUWjs
0.18770848,0.2116953,0.358047,0.46877497,0.029984225,0.17058054,0.1335913,0.12012263,vUzGV4F7He8
0.07846819,0.1977368,0.25888285,0.117635906,0.15684792,0.36849526,0.1475065,0.07203249,MzfOzOWPnuQ
0.05859952,0.09831375,0.29468626,0.24410142,0.1510105,0.11590773,0.048548553,0.29283616,qtJYpzRfKjM
0.060707603,0.03875505,0.28049698,0.072360024,0.032731086,0.021593181,0.016785325,0.109124824,umo6pMCkcXs
