PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,video_id
0.14063945,0.44523495,0.053947188,0.05032523,0.3885963,0.06532243,0.116084605,0.05794308,hmiiRnW1EaE
0.100716405,0.06402093,0.06364932,0.031388056,0.32317066,0.10461388,0.024128344,0.021033075,P5ZlzY5C_jg
0.08756079,0.20782949,0.1853955,0.13505417,0.49693564,0.029125832,0.086177036,0.09391906,sThZ4TZ_Py4
0.100716405,0.08376242,0.10766205,0.040872637,0.38872156,0.08635602,0.027350254,0.023889517,OuZDNakM7QU
0.100716405,0.049466886,0.07045682,0.027640576,0.27473652,0.08850401,0.018618466,0.014570693,0srVchY9Z4A
0.18703802,0.31609216,0.12113569,0.060538627,0.39656577,0.13251819,0.05606273,0.025925357,pGN2-MfKg9c
0.11060831,0.20705879,0.22069943,0.19581361,0.47420758,0.10828095,0.096291155,0.113339074,F6T5EAj1g_4
0.1011241,0.115681335,0.28242636,0.18000384,0.48578534,0.059328925,0.12128249,0.100554846,QlTNO3UgAs8
0.12066085,0.14752483,0.052367877,0.04535459,0.24162814,0.090114996,0.044635527,0.041585553,vjCWuESRvN8
0.100716405,0.07041974,0.10824522,0.04618898,0.36781254,0.09118898,0.032892466,0.02945816,I1QViH5oja0
0.055079628,0.041380312,0.06783366,0.022957494,0.31152847,0.04543531,0.012053243,0.013418917,uorN-D01Viw
0.10307791,0.07583879,0.06328683,0.053184967,0.22630383,0.086087525,0.038013723,0.029356252,YCw_dYSIeP4
0.041875888,0.15614827,0.13237685,0.08452451,0.42838973,0.08367105,0.070109226,0.03992335,QT0MRSJ33EA
0.100716405,0.085303895,0.07590386,0.040492475,0.36874044,0.092262976,0.032922845,0.026120251,fLhLoWICOA8
0.021490429,0.1682885,0.073036626,0.05747197,0.309909,0.14597784,0.043407153,0.040867556,kScOL1FyJ5o
0.218103,0.10904744,0.11786468,0.099062614,0.34949452,0.032387726,0.109004505,0.07180533,u902YaGyI9s
0.097425655,0.05959639,0.043504618,0.021950549,0.27569047,0.022945397,0.020506011,0.02020671,jVVzbgbb4CU
0.08237836,0.13290273,0.11345034,0.045596574,0.42098185,0.043718524,0.04855676,0.026638638,pg5QXdjTpX4
0.2311232,0.09537559,0.043722402,0.05316399,0.19921786,0.06012806,0.11204711,0.05171251,kpIGHuky6xA
0.17144936,0.38996693,0.2616876,0.19024643,0.48032025,0.101391904,0.21630433,0.15082286,PnMcVOAzYz8
0.08696613,0.04626301,0.03768455,0.016885972,0.26426655,0.01228664,0.021385252,0.014988479,7L0Jl0voe8U
0.10553358,0.091294914,0.09514184,0.068545476,0.40264294,0.087430015,0.078581296,0.043948527,kajUcGIvywU
0.045354106,0.18884629,0.039840285,0.0287512,0.39691034,0.16413476,0.088673376,0.036653988,pwrVvzaZWOE
0.020454837,0.13258867,0.11539932,0.07623813,0.4156427,0.055732824,0.13328584,0.058641333,lWemP4LM0Cg
0.023927215,0.11573624,0.13271779,0.054160774,0.53505415,0.027409043,0.064267784,0.030294046,S-NNXrU8nNo
0.24356556,0.1168604,0.026293755,0.020006048,0.23585963,0.040971663,0.038276635,0.026323713,ZGy6nM7L1dw
0.10601101,0.29779986,0.048389617,0.047879275,0.31272614,0.13790205,0.05615461,0.043586347,2qrK27PM5RQ
0.1364181,0.10254921,0.11643761,0.055762094,0.37862766,0.09870692,0.028510937,0.036048956,NMI4sDjP2HA
0.0073098023,0.041018736,0.049555253,0.019006621,0.35966185,0.026894007,0.013006807,0.014886968,AfOgIfWOWO4
0.010607151,0.045945395,0.059521995,0.028505206,0.3241756,0.011731312,0.019355876,0.012749069,Ag01CpYYaZ0
0.040735107,0.15780938,0.13316424,0.09284994,0.37427944,0.02517722,0.06408576,0.029716335,4NclFGav65E
0.09277223,0.08993442,0.07509685,0.07188683,0.2562391,0.1609341,0.049046483,0.051732175,iVZwKnBadLM
0.13736764,0.33536297,0.4730991,0.25115684,0.4952623,0.10828095,0.23861636,0.21240541,jzihWSvZPWU
0.0023622087,0.14571056,0.06828894,0.03621073,0.4434198,0.026894007,0.06336461,0.023093682,anE2U-q8mxM
0.27104458,0.4646617,0.12974547,0.10580719,0.41161165,0.07690986,0.15873365,0.07881779,hSKCUPremj4
0.17449185,0.17456442,0.1234175,0.1076086,0.30994296,0.13386416,0.094674386,0.0431544,aLijtnMLRg0
