PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.07356909,0.06389917,0.013119632,0.39484888,0.07968137,0.13914627,0.3445406,0.047695268,ukzFI9rgwfU
0.027106915,0.052351397,0.048525527,0.22640438,0.038283866,0.23782273,0.30229968,0.032502115,5q87K1WaoFI
0.09714443,0.1366488,0.019436494,0.326565,0.10810148,0.061549775,0.4833664,0.09900887,GwIo3gDZCVQ
0.034061376,0.062911876,0.010967735,0.08495727,0.045908745,0.18422844,0.302733,0.02420142,7eh4d6sabA0
0.16392933,0.07548331,0.014993866,0.15588446,0.13000341,0.22466269,0.264742,0.11158269,NWONeJKn6kc
0.018926265,0.023264447,0.012841969,0.039209265,0.016915632,0.22648206,0.16717716,0.018405367,HcqpanDadyQ
0.020227648,0.071455896,0.012494888,0.1169785,0.03935177,0.2517194,0.2710973,0.0186829,h0e2HAPTGF4
0.03490516,0.030981867,0.010551238,0.05566994,0.037914928,0.22255148,0.1420463,0.03462258,q6kJ71tEYqM
0.05177969,0.07321865,0.031185975,0.27642226,0.074650116,0.06708895,0.25904077,0.07286911,yN7ypxC7838
0.04250681,0.14255233,0.025005542,0.23883678,0.09868059,0.103069454,0.3376678,0.054997694,nl7kDPYD20A
0.13260445,0.026469238,0.12824467,0.14197962,0.049723934,0.33812082,0.23434441,0.08180799,reY50t2hbuM
0.035687678,0.04411028,0.021102477,0.08803247,0.040512268,0.16018088,0.22809267,0.042373713,PeMlggyqz0Y
0.02714708,0.066306956,0.037881445,0.13880372,0.060943466,0.18370835,0.25672272,0.037692204,z-EtmaFJieY
0.048923362,0.049299248,0.0073233927,0.27647465,0.07181024,0.029673215,0.22441125,0.048789434,G7fPB4OHkys
0.017740307,0.027333755,0.019158829,0.042409953,0.018891186,0.058634996,0.1896071,0.014427647,KNAWp2S3w94
0.14053723,0.049403362,0.111500904,0.23740365,0.1480084,0.16862196,0.2548841,0.21905528,cyLWtMSry58
0.024396628,0.043275733,0.048868883,0.16190423,0.030884884,0.2220396,0.22643286,0.022980705,aircAruvnKk
0.114430055,0.08039792,0.052935857,0.19875051,0.08196869,0.30452165,0.44061747,0.11275739,I74ymkoNTnw
0.04147053,0.14292292,0.0036443423,0.086459525,0.06708259,0.21295507,0.31919602,0.056356933,pHiMN_gy9mk
0.025461162,0.028526649,0.040628307,0.06474073,0.026755387,0.11041693,0.22507837,0.06373611,VwVg9jCtqaU
0.21102616,0.04000356,0.0253489,0.08757229,0.074980184,0.20079829,0.2928381,0.20834157,EuBBz3bI-aA
0.018926265,0.023264447,0.012841969,0.039209265,0.016915632,0.22648206,0.16717716,0.018405367,9gGnTQTYNaE
0.031420164,0.05905592,0.04543531,0.26183215,0.042169757,0.09429934,0.31336555,0.04120214,ZJixNvx9BAc
0.08001641,0.07270296,0.020130653,0.33934203,0.08758491,0.031179653,0.29623294,0.06079984,RnFGwxJwx-0
0.015188062,0.027710995,0.0017614322,0.017401544,0.01783589,0.06486454,0.20396361,0.010798023,jGwO_UgTS7I
0.07078609,0.07902313,0.019297661,0.3527511,0.095543146,0.038107682,0.29274252,0.07148966,eq7KF7JTinU
0.038298916,0.03919883,0.014091457,0.068793595,0.03731618,0.20627382,0.16011693,0.039745193,Rt6beTKDtqY
0.0663857,0.1204959,0.0032104922,0.41315824,0.121071294,0.19231464,0.28214455,0.08965763,JxgmHe2NyeY
0.09700585,0.10751804,0.008052262,0.40452832,0.096092135,0.14848888,0.45257506,0.079248354,hjh1ikznScg
0.046412013,0.122064024,0.0068027726,0.108480446,0.060357917,0.11863856,0.4613391,0.043491915,O5xeyoRL95U
0.04675222,0.06517018,0.017423427,0.10119438,0.057806235,0.2206358,0.18927945,0.056123294,R9OHn5ZF4Uo
0.0057820315,0.02438145,0.0028981199,0.051519837,0.009589213,0.097088754,0.26467833,0.007169438,4b4MUYve_U8
0.081901155,0.06503796,0.011314815,0.37010938,0.10884345,0.035439394,0.24304716,0.0929765,olFxW7kdtP8
0.19122356,0.06895541,0.0669207,0.36011496,0.1491805,0.18124613,0.23060884,0.17731792,SX08NT55YhA
0.015772896,0.023585958,0.01193956,0.05355654,0.014060807,0.19637536,0.20029332,0.018693898,opb2Bq4Qvyo
0.05676128,0.045803737,0.009787662,0.2727722,0.05678369,0.0034247166,0.27007344,0.053790603,0lmQEo3NIJ4
0.009405572,0.048137277,0.0019349722,0.08050282,0.017715123,0.02168114,0.28732386,0.010836382,zrT2qETJilw
0.2233787,0.3824548,0.019852988,0.18166126,0.25494164,0.17901973,0.45558414,0.28992537,ANIw1Mz1SRI
0.048863243,0.12343235,0.027237365,0.2743948,0.07659467,0.0071341936,0.47038075,0.052945685,EYIKy_FM9x0
0.058504093,0.042805683,0.020824814,0.064577594,0.035544667,0.1968735,0.2793924,0.025939716,qv6UVOQ0F44
0.046376362,0.073170096,0.016798683,0.45661357,0.07546114,0.11645402,0.36293036,0.05535028,6M5VXKLf4D4
0.21076214,0.069958284,0.014160873,0.2002614,0.11972053,0.2630034,0.26500383,0.10730824,ZXiruGOCn9s
0.055343784,0.08014537,0.014785618,0.11922786,0.057301458,0.18067096,0.5377956,0.05253704,FB5EdxAGxQg
0.032054126,0.048589393,0.01561861,0.06265012,0.03338959,0.1985671,0.2706076,0.02559487,fSytzGwwBVw
0.012185102,0.0271085,0.017770508,0.08049727,0.016982181,0.3490567,0.2080508,0.01423118,t4K6lney7Zw
