PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.04390275,0.314971,0.021924432,0.019714156,0.027680725,0.13105801,0.1534366,0.027657285,2-lpCwVWYh0
0.08087228,0.34603676,0.039968133,0.04543531,0.050553706,0.13094513,0.1996311,0.046297718,gwtIWzlC9S8
0.059239376,0.27742484,0.06900303,0.11794081,0.045159575,0.16238678,0.10425604,0.058915205,yaR-hnlnkzs
0.14692591,0.40811184,0.38710105,0.11407687,0.14623332,0.33758545,0.25054225,0.1688513,8xLV733MjPo
0.21700981,0.4263262,0.13325441,0.074912034,0.13362014,0.04790928,0.2611581,0.17689745,8vgIHzGQfUQ
0.17441274,0.25580353,0.07505626,0.18055865,0.044027288,0.07293064,0.10310385,0.12845065,dtC7v9FJHp8
0.15965486,0.4603082,0.2465898,0.094410956,0.31984943,0.019430438,0.50480753,0.20376673,l712xEcltXA
0.11304331,0.283274,0.086620234,0.079307266,0.16136703,0.053343695,0.16575308,0.115900345,ezzOH_tljEA
0.08482996,0.23394746,0.21265605,0.0765103,0.17543302,0.11768299,0.25046962,0.15480341,nmbwQqH6JnI
0.055515233,0.19051483,0.0735647,0.1256687,0.12735462,0.3664751,0.08161838,0.074105635,dUdp_MSKMwA
0.059521228,0.20967914,0.08637988,0.050242316,0.08719636,0.1083879,0.114244916,0.061736815,XmnMLB7RxcQ
0.030121323,0.24368683,0.02409943,0.064523295,0.03537167,0.27775338,0.20360182,0.024402456,kR8p5YuiCps
0.4981624,0.613603,0.2299431,0.031701013,0.35602304,0.2937101,0.49534506,0.2739861,wsyr0SwLexI
0.19168618,0.507364,0.116261974,0.06532243,0.101352364,0.1146661,0.18611431,0.12196369,zDv2B606lvg
0.13065405,0.5411346,0.10772143,0.13431281,0.15343182,0.17769982,0.2710087,0.09076899,kXUnt4onpXc
0.057596754,0.32668135,0.13354921,0.15684792,0.10732182,0.53216046,0.34843966,0.07309053,o55vrpTwXB8
0.079205416,0.23031282,0.020299373,0.11021292,0.036134608,0.15735182,0.116534,0.04266758,4dESmtswQ58
0.09652,0.36796817,0.04854663,0.1250247,0.06070314,0.017219193,0.15072593,0.08690487,aIp1i3TdbzU
0.107252665,0.23266627,0.08122597,0.19634613,0.09431203,0.30185717,0.13323541,0.09859538,sNRcVXkZjWM
0.063384034,0.19455716,0.049679756,0.118584804,0.11858177,0.14676777,0.5976723,0.08694275,6Yn4SX3H6hU
0.13974904,0.44966266,0.038367774,0.14911842,0.057780374,0.07567887,0.21599938,0.08480632,UfXRrCQbgKE
0.25287697,0.4419249,0.13179342,0.021657806,0.11615256,0.004804418,0.13309303,0.21496955,1PyZXJukPsg
0.18012021,0.5634393,0.2659092,0.37083253,0.26966012,0.009556955,0.43768957,0.17410713,JbeFiCMlsiM
0.1579103,0.39417705,0.13582698,0.12180476,0.123358175,0.1993926,0.32089078,0.152936,_l-urjDAXgU
0.21084242,0.45311,0.26242825,0.11021292,0.16822025,0.11230055,0.24844275,0.1789007,BrtnK7vXUuY
0.14418805,0.56361866,0.2914678,0.15568043,0.11356231,0.038047753,0.4899269,0.17186597,Omj10ulxn28
0.07783611,0.25114822,0.09333899,0.05613239,0.11099623,0.09074408,0.15129979,0.07954876,Mn3ogxx0rVg
0.07422812,0.22748938,0.40333828,0.31725118,0.26487204,0.43696004,0.15179308,0.25090593,mwsPXlNtlRc
0.057979085,0.50100833,0.06773642,0.16275369,0.03042637,0.13811286,0.13503967,0.03317717,aGXCHTq4jig
0.08894347,0.22553678,0.068560414,0.07451247,0.09720811,0.29351696,0.14995697,0.074568145,QpWd7J9oT40
0.12012498,0.35115975,0.30819017,0.16620636,0.17314783,0.594645,0.28810033,0.14529435,dKx85DsVxWI
0.13270663,0.32785553,0.09079952,0.21804169,0.11722078,0.29216415,0.21776038,0.109679736,Q6EgH8VZFt0
0.10457644,0.36696756,0.09755276,0.015688026,0.09758572,0.005837154,0.17808565,0.103007406,C1YxrkEwcn0
0.21662122,0.4659075,0.41078547,0.15684792,0.68741447,0.29089612,0.7476746,0.3742771,4FWTDWFnDhc
0.13332,0.5125463,0.06407398,0.16827796,0.10081916,0.30249408,0.25884727,0.07852644,-pwcrfB0ALM
0.09747788,0.2346289,0.077760585,0.0014143519,0.083686024,0.035497785,0.12357419,0.10387061,QaKXa-8usbM
0.14031538,0.31360602,0.660731,0.28683078,0.40547505,0.13433298,0.48245588,0.33818364,YLQGucRN89Y
0.18993528,0.36542928,0.13862506,0.03839648,0.12736972,0.07154495,0.36162,0.1966726,3M1HCcjsQhQ
0.06513793,0.193785,0.026840195,0.019575324,0.035317913,0.17506436,0.10134007,0.048198137,YV-576jC1BU
0.037947513,0.3830007,0.13252977,0.21539254,0.043117005,0.12447052,0.08106243,0.031050086,dBBNp2kk6V4
0.22466905,0.3351678,0.13928261,0.04131502,0.11916276,0.17105114,0.19291185,0.1773723,FsuvimkuckQ
0.0319259,0.15496372,0.038839236,0.02397547,0.08922322,0.12855442,0.07352938,0.04726131,usJSDPZL5ho
0.049547296,0.24136266,0.11138814,0.07970683,0.110867724,0.4894734,0.25994384,0.060362227,SOfXjK7NgII
0.15764873,0.49891585,0.29978022,0.26817688,0.30344898,0.18676987,0.6058115,0.2383023,dSf-tM_HtPI
0.08875636,0.3220116,0.04118563,0.052935857,0.05699799,0.12987968,0.15549693,0.067249745,MR9q4IQhyyE
0.14062381,0.3674001,0.09700109,0.05653196,0.13283214,0.17879972,0.16982013,0.103816316,OXhcfUptAtw
0.10037765,0.39192814,0.0626703,0.083939545,0.084080234,0.061742835,0.13762549,0.07215424,-XsOZFecEH4
0.1216824,0.42062786,0.105836146,0.079307266,0.090935454,0.09608082,0.2710634,0.1095394,GJO7WZSBgGs
0.22863989,0.50780284,0.29997477,0.048868883,0.58715826,0.023158807,0.8251437,0.33622003,nNIU1jFD6M4
0.08715567,0.19683154,0.0349391,0.3905958,0.061750844,0.112954,0.14626798,0.06550561,wnRGuyDcNyc
0.100884706,0.3451271,0.033215597,0.036679696,0.028010802,0.075303495,0.08598367,0.05119456,PudNeMfDrHQ
0.14363728,0.46608594,0.15889698,0.034791227,0.20387055,0.04880348,0.30740637,0.13333027,ym_JxcFMIlE
0.17224978,0.5554442,0.3270732,0.44805592,0.3743166,0.108296566,0.28576735,0.16857636,dZ_QAWmoeGw
0.12112643,0.26120847,0.4484215,0.35227737,0.31351718,0.17024943,0.21779013,0.30991885,eqZ_E9nKdoM
0.10488524,0.29723784,0.26382372,0.40946755,0.13545212,0.29718363,0.77983224,0.22531883,Fij6CTrMAFc
0.073873594,0.24793848,0.025168063,0.07730943,0.031002216,0.18073031,0.06798337,0.036717672,PuM2mVuztFY
0.13385826,0.292827,0.06384546,0.0085381735,0.1079014,0.13345279,0.22183977,0.085551314,MSmI7JaGX0E
0.10993801,0.37310323,0.056590844,0.079307266,0.09298287,0.20209223,0.19350336,0.056158934,86DqjR5iP5k
0.13069879,0.36754984,0.055931427,0.0025336856,0.0680809,0.011502895,0.2833424,0.09207693,vRDMZ_xw7e0
