PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.0779436,0.22454856,0.29261994,0.19287595,0.13875602,0.38937372,0.25595075,0.34043106,BkxPuRFKP6E
0.098128416,0.4196914,0.1668969,0.17828426,0.23540395,0.26227835,0.29812098,0.29011595,LAHR_3kIk3Q
0.15934761,0.8008965,0.15976663,0.5087638,0.7549309,0.5680319,0.4664449,0.6356477,Kck6PK3i_O8
0.042905148,0.16197006,0.09172598,0.060726456,0.07946052,0.1673165,0.26869553,0.15041953,Z_BHtuz8Em0
0.073475085,0.3889379,0.13879937,0.17781053,0.18140608,0.23792346,0.24475668,0.33223197,QgQW1nQTM6A
0.07357571,0.1415955,0.10031791,0.17064635,0.05383798,0.22454695,0.194936,0.29069948,h88eHDDoCwI
0.1286174,0.31202057,0.22983712,0.21717615,0.3102671,0.19445434,0.46648958,0.45063403,X2oLX88J-m4
0.12374242,0.2893655,0.21715863,0.19070408,0.34921348,0.16909191,0.3421753,0.22489224,Vu3vJnS8iSo
0.09236974,0.30481556,0.21715863,0.16338782,0.18576124,0.20180394,0.36049914,0.27168,jgU279FJ6Ks
0.18529691,0.4273034,0.12180476,0.22135468,0.3046304,0.15001655,0.46986204,0.27286622,1eJw-KH0wcI
0.09219425,0.36539602,0.21539254,0.17445944,0.24302906,0.29629445,0.26359156,0.2911971,qc4AEMsNl_c
0.08887668,0.20583066,0.13296685,0.22871336,0.2441242,0.2283151,0.24413297,0.37165508,sB_0iveecZs
0.09618002,0.22615181,0.14104263,0.11802843,0.20181848,0.2891027,0.37991482,0.2242303,JwustgwKZEE
0.06425449,0.27615568,0.13386416,0.1707322,0.21436952,0.26716852,0.21812762,0.28133613,nKGNUcAHqoI
0.076108575,0.28859568,0.112788886,0.14335065,0.12285607,0.22613572,0.34473845,0.24519975,uLgefJAndSY
0.40230623,0.4350218,0.44750816,0.4937387,0.21547459,0.07236431,0.49655864,0.5745161,YSHBko4FGv4
0.117916144,0.40377536,0.13206954,0.25208783,0.579721,0.26907244,0.37043265,0.44584382,iaoQA6GBZ1o
0.092419446,0.38579628,0.09494796,0.16615793,0.12964651,0.38378036,0.31757963,0.3084203,5qsS8ixMYx4
0.11330729,0.29476,0.06372416,0.16117609,0.47567222,0.07900373,0.41134274,0.20919129,JmUh-dv9lyo
0.11740867,0.40436208,0.17173064,0.23257491,0.39230892,0.32440513,0.33114362,0.45132256,FTzq6kazQGU
0.16020754,0.5931236,0.14956708,0.3534319,0.29841378,0.5877421,0.31247604,0.6356477,kXB-_liCU-Y
0.05477458,0.28064486,0.13296685,0.12904169,0.44161135,0.19167715,0.32581744,0.22516122,Y9bjHNpqOro
0.0888481,0.1291089,0.14956708,0.16927138,0.12215182,0.22317919,0.21221547,0.23147008,58wJjAGEVZ4
0.15082802,0.39857233,0.11665283,0.24888614,0.254976,0.14192984,0.32927382,0.29449233,wyldmgvjk6g
0.05047671,0.27399987,0.09548495,0.12076162,0.109841906,0.10875442,0.18724391,0.17219181,q2srnaPPxZI
0.10180181,0.28596476,0.14911842,0.16283517,0.23126203,0.36998668,0.3090526,0.20616376,tfkjwavDJ_k
0.12085586,0.19156551,0.13655609,0.20886545,0.113752775,0.20168714,0.21196866,0.32783362,xETiYF4bVa0
0.14139764,0.2829813,0.28021416,0.14469084,0.4916904,0.23999539,0.39706692,0.27277935,XV4gdL8uUfk
0.11970318,0.455902,0.39230084,0.19052336,0.4059864,0.18119703,0.34489495,0.3162556,RCDfPhyzzyY
0.08764694,0.4719971,0.1008549,0.21049175,0.23659535,0.17164709,0.2446723,0.29852566,lWEj4J9cu7Y
0.19912098,0.39378935,0.37360558,0.29991746,0.28446817,0.46912834,0.36292464,0.6140363,E-6Wh4ywd44
0.11439393,0.582712,0.355017,0.2699278,0.13563953,0.5680319,0.27691156,0.3554573,2HVw6uKWMS8
0.059879657,0.26418623,0.13386416,0.1128285,0.3388615,0.27120963,0.28054672,0.210262,Izdcf5B3isY
0.06276869,0.14012542,0.24418297,0.09411262,0.16281265,0.19672155,0.2862216,0.30839282,DHzCJFreP7g
0.14010344,0.33998373,0.15568043,0.2445443,0.3939373,0.1352447,0.2998431,0.46862245,Xv7yKPBP_Zo
0.19312078,0.3206328,0.19535941,0.31379044,0.19595823,0.14387186,0.33670327,0.46116945,N7Z7xfD-mvA
0.9567374,0.40155572,0.5958905,0.7940032,0.3211906,0.5560826,0.48398626,0.50893825,vnfBBUIMjyI
0.13967101,0.43266866,0.22069082,0.17630649,0.4020704,0.13158536,0.48737487,0.27978376,nA8CxaJWnf8
0.06581656,0.25004965,0.15001574,0.114410646,0.16609614,0.2692741,0.28090176,0.2369472,7PmJ9MS6xmA
0.084361695,0.16800153,0.1580154,0.21156171,0.10557451,0.2834437,0.20433703,0.38369492,VnN8IudPm00
0.682867,0.8969719,0.62792164,0.6930805,0.27046594,0.7832092,0.35627952,0.75913036,gLkhbb5kLw4
0.03869349,0.21376194,0.15743166,0.15436684,0.084886834,0.24159932,0.18464188,0.42840126,4E6cD-VWhQY
0.15335123,0.5476097,0.008364634,0.31075788,0.16201428,0.37980068,0.30681747,0.49721196,jeR16SOtluU
0.15173791,0.37610242,0.2088965,0.21531789,0.48387235,0.44061363,0.46165383,0.19517179,3wdaUSJSLbY
0.16351815,0.5351075,0.13206954,0.31325367,0.46767166,0.14573571,0.49630588,0.3739145,CggfnIfqWTg
0.19394048,0.24967588,0.27194336,0.33383596,0.2632736,0.36482844,0.29079553,0.44899926,8p4CBCaTa8g
0.7994775,0.7211746,0.27194336,0.4308043,0.27057517,0.53065914,0.48402524,0.5690174,FWGaakHg-I8
0.11364021,0.3066285,0.15626417,0.20400119,0.31036794,0.18636236,0.3469611,0.32562,Ow382SFaKg0
0.14928983,0.47005633,0.17449278,0.23596875,0.33538455,0.38474563,0.40817696,0.33043966,KOPSGGG-vT8
0.081019364,0.21489148,0.11407687,0.119569406,0.28890815,0.041716635,0.3192316,0.16068049,3SswFGK7xm8
0.084531546,0.47077143,0.09763293,0.16226512,0.5739601,0.14637013,0.45983794,0.31294447,rmnUcZb_Osk
0.23309155,0.53198326,0.1580154,0.35967553,0.3100208,0.5318206,0.391201,0.4752113,1XqjkxVx30s
0.15439548,0.24672335,0.16275369,0.28471473,0.31118375,0.2822587,0.31251574,0.40686548,HQBHq0vB8ao
0.118606076,0.43031663,0.13521013,0.24364087,0.6677804,0.17464663,0.32109338,0.26360953,xRgdp-tPyK8
0.102392286,0.20836537,0.09494796,0.14692871,0.22317007,0.1834117,0.34927595,0.1763358,E_kNOMBzpSE
0.15082802,0.39857233,0.11665283,0.24888614,0.254976,0.14192984,0.32927382,0.29449233,914DoCPawhI
