PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,video_id
0.082884245,0.0186035,0.04252121,0.28985295,0.049251035,0.116860956,0.028797634,0.21344739,OLa8DQkKlyU
0.034703813,0.010898319,0.02825948,0.19678025,0.0321672,0.07381059,0.031182822,0.05516429,DAOFpgocfrg
0.060593337,0.016798683,0.03786446,0.27376324,0.04167823,0.13445443,0.033784553,0.31161353,ub88I0bR9ho
0.06529361,0.033246122,0.05236844,0.32781416,0.06764346,0.20162287,0.047039684,0.30315447,WW0IIyrq8z4
0.042024937,0.011453647,0.028636947,0.24963537,0.03609928,0.06350128,0.028742492,0.10750314,-bYaFqubQDw
0.034703813,0.010898319,0.02825948,0.19678025,0.0321672,0.07381059,0.031182822,0.05516429,dQhhcgn8YZo
0.061539605,0.009718247,0.07904239,0.20647225,0.04686238,0.050565597,0.027974956,0.14499064,LUE7jCGQr1E
0.10076028,0.01527153,0.07533232,0.33045107,0.08652763,0.26467568,0.115576096,0.41683358,Ds_rzoyyfF0
0.09987454,0.03049926,0.10915268,0.2623997,0.10584549,0.059291318,0.08722274,0.28215638,brLe5lnkF6Y
0.14001207,0.010967735,0.057242956,0.49345356,0.088882305,0.08216123,0.059355635,0.20142257,jisTDmIk3Nw
0.042197235,0.024662184,0.044046465,0.25713587,0.020992314,0.11199736,0.023903562,0.07062983,IkYimZBzguw
0.038739324,0.027752401,0.029855665,0.28974575,0.024292648,0.29554915,0.023860564,0.08754405,Mr7IEvlflnI
0.056300323,0.014160873,0.04122015,0.30574676,0.03070992,0.08383263,0.0255341,0.15898378,uUDWK4MGcr0
0.09787544,0.027237365,0.07371331,0.31534263,0.09567802,0.08696239,0.13156979,0.3573671,IGjCOJqINPA
0.11059724,0.089041,0.095178895,0.37136093,0.05971682,0.20758305,0.034710146,0.1632066,D4aAwzGlVJU
0.047529403,0.009371166,0.031019498,0.25980875,0.022785196,0.07280973,0.024700332,0.06805901,j_wQgy97Pi4
0.027250873,0.011800728,0.022020105,0.18720987,0.018235974,0.12438494,0.01888975,0.04763729,OTexBdX9lZ8
0.05414558,0.08170467,0.07292883,0.35545617,0.0620092,0.15980834,0.10496229,0.2379139,nsGvcejqzb4
0.14222047,0.09870692,0.13603769,0.38783854,0.13625474,0.1793591,0.12838762,0.2588159,IEfInRPdjAI
0.035487637,0.014369122,0.030532008,0.17990553,0.022799512,0.13379702,0.023549745,0.045091525,D1kqGyPGsF8
0.23622857,0.105704986,0.29692587,0.34481403,0.4186433,0.2503788,0.34939888,0.6135813,Pj21n6mFwFY
0.07654077,0.09172598,0.07863562,0.2906996,0.09006941,0.17224073,0.12727174,0.24390617,YdjERhTczAs
0.13364942,0.03221605,0.17267115,0.32043868,0.09845772,0.18721096,0.077284396,0.31993937,SIif11QOsRI
0.09803297,0.016590435,0.09904026,0.4004232,0.06470305,0.26483858,0.074821904,0.24297222,Vs5j0CLPHlI
0.06013773,0.020130653,0.12713188,0.34541565,0.06798018,0.069060475,0.060065795,0.345379,UepCFseK_os
0.14659368,0.044405237,0.28876922,0.45335746,0.1901755,0.0036590812,0.1912133,0.7108376,CjpXj2BqJBY
0.07835408,0.012841969,0.06430817,0.3464787,0.061558407,0.14374298,0.04163654,0.20181544,OFV5hqIXSRI
0.03225674,0.011037151,0.028023405,0.19784969,0.025250098,0.07381059,0.025863448,0.05904665,xW8Oocswn9s
0.14210527,0.024318827,0.1065225,0.3418405,0.10001351,0.053230606,0.09500912,0.27793398,M8d3pxVb4c4
0.024103455,0.010898319,0.023100566,0.162563,0.02001671,0.07381059,0.022460971,0.04268864,uWCPzJ62s9E
0.13233525,0.1731117,0.121659055,0.46531436,0.0852697,0.1287647,0.24824092,0.17958423,BvTkefJHfC0
0.13244097,0.044748597,0.09121914,0.33581448,0.10240118,0.116637625,0.079633534,0.27716228,2RCDMQMYxBk
