PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.16445403,0.38102746,0.08185472,0.0085381735,0.044418942,0.28339687,0.18331608,0.16228773,EeFg31H48VE
0.32685733,0.3548836,0.30678108,0.060527626,0.024150029,0.27509573,0.26007333,0.30983087,Vdk1cLX8Nn8
0.10838763,0.3504457,0.068008,0.03049926,0.13806914,0.16106276,0.07825503,0.13213885,Oz9zw7-_vhM
0.016943503,0.25989825,0.003665513,0.024833864,0.18118097,0.030183751,0.0078123314,0.102472164,YQ_xWvX1n9g
0.10250684,0.31067207,0.115643874,0.070516795,0.15017232,0.49820322,0.11444463,0.09939196,EJzB_Fa27ko
0.07058408,0.32243708,0.05417666,0.033074442,0.1059912,0.18930928,0.03255033,0.13692556,EjH9GslMCB4
0.12309271,0.27511987,0.17791012,0.13790205,0.5487401,0.2098509,0.20646852,0.08717161,mGlfFjcZFRE
0.061423633,0.34066424,0.04463108,0.02929751,0.05428395,0.14433561,0.03523599,0.09428496,XFfzjWCO-SU
0.16944648,0.30165455,0.15975569,0.040628307,0.1245739,0.13099921,0.21705912,0.12834425,4dkl5O9LOKg
0.13302381,0.25030708,0.077432215,0.027065687,0.19838485,0.14177649,0.11149874,0.11759021,IZaTd0hDtkI
0.6958984,0.30487135,0.35044152,0.7740273,0.6083547,0.0701996,0.88163286,0.078999765,0pWTRsztTtY
0.060842436,0.30235735,0.03645061,0.007878721,0.08138549,0.26646852,0.043116543,0.08273601,G7OWIorSgwU
0.117681,0.30507407,0.10298814,0.02124131,0.1314363,0.17050764,0.09153155,0.14997369,mrNOYudaMAc
0.16886006,0.44461823,0.10900658,0.036851373,0.113741115,0.24562144,0.12586956,0.32714814,Zmh_tJEpnh4
0.08726596,0.3217482,0.075975895,0.09548495,0.34060752,0.2517092,0.12536478,0.11930604,p_-gv1Om5Mk
0.27705896,0.23623435,0.20637791,0.34388447,0.68470985,0.76232183,0.22296578,0.145416,Z0J2SePTdU4
0.026982013,0.22225793,0.01999205,0.018881164,0.1815592,0.07366186,0.025487363,0.038197972,HnA75TAD-No
0.176602,0.27400246,0.13074501,0.15918289,0.1728796,0.22579536,0.16042887,0.16212374,L384Cd427yw
0.26588035,0.42643282,0.1580325,0.2818683,0.016497305,0.7009511,0.280938,0.18082899,vG0wryKTEzI
0.11210977,0.28455058,0.11700509,0.043375164,0.00291452,0.23919351,0.11372983,0.12916054,Axk2WtutbLA
0.21148053,0.3937338,0.14086643,0.029812546,0.045147616,0.33590823,0.09245327,0.18674578,8St36RjHd2E
0.14540711,0.43203163,0.27476186,0.023117077,0.19955955,0.5625483,0.13947003,0.17461847,_V0-HGMB8SI
0.10439434,0.440781,0.082921855,0.020824814,0.12865351,0.21072248,0.09991062,0.109515734,YBTdDfRmcrI
0.15019262,0.5116106,0.24522942,0.1334155,0.1527901,0.51297915,0.14880362,0.19508207,-IBEluAQgBQ
