PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.10392725,0.25465223,0.040996585,0.06594623,0.036344934,0.4400665,0.119228795,0.03981781,tfXWXNItF_Y
0.17913707,0.25248832,0.10806548,0.19177456,0.21459232,0.5680319,0.17242117,0.16092084,yc8EZ3kZ1zQ
0.77409196,0.4135351,0.08002753,0.110759,0.116843395,0.07531628,0.2224569,0.096831575,XlxROGN_Nos
0.18573241,0.300982,0.0587989,0.08794577,0.1724251,0.44315717,0.1835188,0.10566607,YXApkzwKIh8
0.35360637,0.2551264,0.014039773,0.029731829,0.055081885,0.22876139,0.14508054,0.022365926,IbTwormvAc0
0.1416198,0.28785476,0.057528924,0.08247678,0.03095638,0.27490208,0.36553472,0.03654168,8ceZU4X66yg
0.32292506,0.30473664,0.12433408,0.0847929,0.052975487,0.32950464,0.06252546,0.07678486,-7o3bVInA2A
0.15226538,0.45220268,0.075939,0.04793123,0.03468675,0.0010490135,0.09655894,0.058626,ZCJJbDAWUeg
0.24429624,0.39208147,0.069785185,0.1629241,0.071108386,0.017778039,0.14822112,0.049576204,vhRo_jFKf9M
0.30778664,0.50391525,0.49198994,0.5757265,0.7611835,0.08155044,0.20742953,0.7289069,G1y38N4LQiU
0.4880603,0.29108152,0.033131305,0.21227135,0.11201774,0.11078589,0.24991328,0.07004756,L-VslYnrVWM
0.26225454,0.26077646,0.04157989,0.306164,0.34419367,0.057340086,0.1884524,0.13891318,B9SzGTjE9ec
0.5704996,0.29130888,0.07505823,0.28304255,0.10627957,0.26784745,0.13610743,0.1001689,tM1YC7fR4LM
0.5581639,0.36704677,0.08606514,0.17945774,0.106733024,0.1495191,0.1256687,0.10974525,V4v47Pm5U0Q
0.31010875,0.30641204,0.09133951,0.09417536,0.1106275,0.04096048,0.030327583,0.14778407,pBqRwvbT6bA
0.4970497,0.44483042,0.1323387,0.25462088,0.2415628,0.2522908,0.03616466,0.19582897,eG9i7d8yfKQ
0.36209717,0.33393902,0.079601295,0.29560181,0.17754717,0.0175593,0.09387396,0.15602197,L_fCecVm_rU
