PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,video_id
0.28381476,0.14260307,0.08908717,0.39953157,0.10699297,0.06120229,0.14340253,0.084480725,TWpjc1QZg84
0.0076553277,0.34997854,0.29379302,0.36518016,0.13521013,0.14864929,0.09196975,0.2822673,IaxoIbXAcKM
0.1829331,0.15577853,0.29903355,0.29658496,0.13521013,0.1217928,0.0812793,0.1602732,KHeg9DDrjMs
0.21996658,0.21644871,0.23853455,0.29751766,0.12695669,0.092003986,0.06091311,0.1421891,YqWUuOqf_TU
0.001270678,0.27173615,0.22842227,0.36678946,0.19239926,0.16965474,0.1558537,0.19350176,JasyAndXUNE
0.18809322,0.1307527,0.14728786,0.25560352,0.06012806,0.062270567,0.0575897,0.078023426,_21O53If7BM
0.033342525,0.4849073,0.19558145,0.50638723,0.05253629,0.10351451,0.11953865,0.15652302,Hyt7GDovwDI
0.093576044,0.13676636,0.11975027,0.25026676,0.022773718,0.119027846,0.091744,0.11216113,N41pMlW01TI
0.18801263,0.18396784,0.040394314,0.34773248,0.16035037,0.09079228,0.14352688,0.1063754,4ez5YLlSI1s
0.006899482,0.53515404,0.24227183,0.39000988,0.0471521,0.17888504,0.13821799,0.19263713,BESMxl9-P9w
0.0839836,0.22030723,0.11817932,0.43447807,0.21715863,0.14046451,0.21550667,0.12011316,4GdRSxhMRHU
0.089824185,0.56836194,0.40868473,0.39242804,0.22157386,0.2559271,0.12572783,0.51369065,7aT-Nb0nDeY
0.13824406,0.16141796,0.04546501,0.23266943,0.032731086,0.04733983,0.03500618,0.04315179,O09lwkHeEvI
0.13169867,0.08422241,0.059490692,0.18424226,0.032731086,0.056500886,0.044968493,0.049803987,tcGVxMFxySg
0.0006926318,0.18066706,0.21418153,0.3459816,0.30187345,0.1443197,0.094346754,0.30201945,nEy0EVCRvdg
0.37030172,0.13641271,0.12022454,0.22178559,0.060527626,0.10061103,0.06916732,0.10138525,lpt3eDD3H4E
0.0033191312,0.32995355,0.1803909,0.5285708,0.28948012,0.08211687,0.08827096,0.111371376,V1tQnU5WtTQ
0.14470226,0.17211863,0.07140529,0.3724843,0.049898956,0.06565122,0.09982138,0.06561336,gSKY4Oz9IXQ
0.085530505,0.16957264,0.250613,0.33537087,0.3437808,0.086990826,0.07175699,0.12705424,SEbMNuVrZMU
0.05157304,0.6165629,0.27711186,0.5225176,0.15684792,0.17435433,0.13940497,0.15423004,LMBstuNgj0Y
0.18637554,0.2572842,0.11408227,0.34712481,0.092262976,0.11898308,0.11011271,0.08540653,GbFFUFchspg
0.03772072,0.56643814,0.10392459,0.48248282,0.08367105,0.10821298,0.1269873,0.08214662,4NkqPCZtepc
0.13169867,0.08422241,0.059490692,0.18424222,0.032731086,0.056500886,0.044968512,0.049804013,2oPfcibMQGE
0.27917033,0.14272045,0.14306,0.30686933,0.044405237,0.08040131,0.08524126,0.09417438,jXNT4SRkAE4
0.025224706,0.14110272,0.18940856,0.26451677,0.04406188,0.07519218,0.03355043,0.111787915,IYK4DkK7qeY
0.0041007306,0.48253587,0.18171243,0.4700895,0.14911842,0.21298511,0.14555773,0.13317266,U_LKBtE3x8A
0.03078288,0.23784633,0.07926119,0.42084193,0.07251463,0.14093769,0.22744916,0.13794501,zUbQlV11WjA
0.12618743,0.20476381,0.22838114,0.33441845,0.10634898,0.11128887,0.066838995,0.0950759,zqOezDycX1c
0.01531277,0.1648162,0.11742606,0.2930401,0.06612156,0.07319839,0.07375183,0.08275065,4KfSlN5PBpg
0.15195791,0.17433392,0.13373166,0.31288248,0.038224805,0.12068006,0.1398425,0.1354636,4qFbsDH4mbA
0.001855816,0.36593056,0.26338747,0.34279332,0.2936093,0.27720842,0.11565292,0.32626635,E2ta1U3ijc8
0.26629773,0.096534654,0.08465966,0.19813266,0.014160873,0.073031016,0.057152342,0.07799543,VT_rQ3yE8u4
0.009121049,0.25558764,0.36521846,0.27386215,0.17957193,0.108051114,0.040384352,0.17897992,bIY-Chq27Wc
0.28149688,0.23732997,0.18398555,0.28441224,0.08330294,0.13114361,0.09245734,0.20888925,Rban0JGEimE
0.139145,0.06421372,0.032754324,0.21230786,0.033074442,0.023473289,0.041451365,0.016608935,oIT1I5oR08s
0.2665689,0.0863972,0.07886315,0.28423414,0.031357653,0.07007181,0.11395115,0.098139934,G5aA4ND7598
