PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.26840475,0.038161106,0.10516736,0.1038395,0.024662184,0.35863948,0.21470733,0.16092844,NsL25DB5fKk
0.1361977,0.022267347,0.019877447,0.058330324,0.03770977,0.25115553,0.07445301,0.029610608,8k9WEavbluw
0.41880056,0.3193563,0.4147987,0.06849837,0.34466723,0.46537787,0.30045083,0.16908573,SdfFeqOZfiY
0.15455133,0.09462074,0.049247466,0.13556664,0.10300289,0.35445398,0.19187924,0.06862706,S64ZJIBaTgQ
0.2076317,0.015395097,0.01562787,0.0203307,0.02124131,0.21514703,0.04450081,0.013238777,INPDe049R4Q
0.08465271,0.040393144,0.026383938,0.07712025,0.089041,0.31180993,0.17787836,0.039612055,JHfyDHwbSpo
0.18108687,0.021698795,0.030814677,0.07261138,0.021657806,0.35526478,0.17568721,0.09466075,7q85DbACGx8
0.07802154,0.24279001,0.29154107,0.37744698,0.0056921155,0.5298535,0.24727757,0.3137176,-H4LoEIGVpQ
0.3025611,0.19879863,0.25048706,0.15490198,0.1414913,0.39840308,0.54509753,0.3143592,Cl-FhjoKGqQ
0.050096698,0.06993189,0.052261043,0.06248735,0.00069416047,0.43376786,0.23902988,0.057381842,sfo6YI1yiuw
0.63008344,0.24114428,0.19281192,0.2316038,0.18055865,0.34377268,0.51565903,0.2439342,teKmZkXHOiE
0.14804222,0.09566635,0.10314917,0.1488047,0.006004488,0.52163535,0.2644909,0.08892935,Z_t0eO-62vc
0.1878899,0.05943852,0.074778154,0.042363815,0.013327881,0.32919878,0.11715352,0.041725364,mfnZDPw6w8Y
0.19515963,0.036121644,0.058421943,0.035435796,0.23277332,0.2676208,0.088817745,0.03274078,QSnqWB7A800
0.13441937,0.1282765,0.10879834,0.160117,0.010828903,0.600201,0.2427532,0.12175458,7S6Q-fpJoeU
0.17700247,0.102497704,0.09361224,0.17556301,0.031357653,0.579947,0.27817163,0.087494895,GzaaMfZBSv4
0.061947126,0.024875397,0.033399228,0.026165629,0.028267438,0.3400874,0.049589645,0.01839617,P1LJLWOGcZk
0.4401112,0.04311856,0.07108804,0.10641865,0.023117077,0.414106,0.051394526,0.08542759,7yKlbhpmDTQ
0.10555135,0.109597705,0.07420635,0.16588464,0.022773718,0.36593428,0.4336512,0.1657148,UWHXyKP-Viw
0.14262746,0.08945418,0.09842754,0.1899545,0.0057268236,0.4812478,0.22775836,0.14781825,MWB2JIdANDI
0.32657418,0.12440124,0.83040005,0.06277731,0.41950125,0.24895017,0.103981435,0.28351316,y_LrnuwN5rk
0.107526876,0.12990117,0.105753735,0.1699979,0.01721518,0.46079865,0.28603023,0.10679011,9jcWGA5QCAk
0.20824075,0.11560156,0.11471702,0.11659602,0.22991583,0.4954999,0.2004917,0.11055257,BF-SoY6X590
0.1911223,0.120868824,0.23958865,0.18773948,0.14193995,0.43099454,0.13127485,0.43093905,sKVSMpwjUT0
0.20981634,0.074530065,0.048119962,0.14975353,0.13790205,0.58875495,0.12293181,0.054415572,DY555kfrtUI
0.3482584,0.082749665,0.0478206,0.07182902,0.15451296,0.37735087,0.22107267,0.04697626,BuinSSMFxeA
0.18835017,0.21742955,0.11058153,0.099950716,0.1884524,0.34797192,0.25102878,0.14586069,SSRBnFqeh-s
0.62909275,0.043182496,0.05503407,0.054268062,0.05653196,0.48709866,0.09098968,0.026091337,nKFgoIdIpy0
0.19102764,0.12673904,0.058331206,0.06131371,0.026894007,0.22437815,0.1407802,0.069927216,YZstGVca-Ng
0.043046933,0.12004615,0.10213281,0.094708,0.0012234577,0.3313968,0.18392548,0.09783207,iZvDZADf-jc
0.19645746,0.12429116,0.12030191,0.20862882,0.111500904,0.5387886,0.21500131,0.14109182,YrU9-06r80w
0.19759199,0.08059305,0.056359433,0.089127995,0.046122026,0.42224988,0.24273466,0.074318476,LNJg1JZpnPk
0.44402617,0.100174904,0.17515887,0.07726065,0.06252546,0.34114996,0.14019124,0.06733444,l_j2K1rZmhw
0.2984555,0.16607456,0.26995254,0.3643493,0.015132698,0.6138114,0.37470412,0.26807463,Olaw_n7FzVY
0.07550094,0.26817843,0.24151947,0.07269124,0.22157386,0.4175547,0.4146161,0.1443949,z3jgYX5Jtbg
0.00087552454,0.3204992,0.5759045,0.08846874,0.09548495,0.3686261,0.26995572,0.1872,w9WbO03UZ8o
0.42866695,0.10399646,0.62455314,0.05792151,0.4945446,0.2546256,0.110379755,0.1743218,oc_myJbZTHQ
0.033240896,0.31912854,0.56994694,0.4661118,0.006282152,0.5344244,0.33614627,0.63096184,MUNvZCrTqA4
