PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,video_id
0.101517014,0.14893758,0.4949452,0.12170512,0.33665037,0.06762047,0.11196234,0.036679696,FT_qDGTwMfg
0.057407197,0.07529683,0.28025886,0.1813969,0.15978351,0.05852948,0.06381128,0.024833864,azeXwwzTUkQ
0.038189195,0.05343504,0.2930381,0.25938684,0.09988475,0.022283405,0.060438436,0.028267438,kkDX5gC-Vrs
0.029119829,0.037731268,0.22505833,0.08799458,0.052050613,0.047553107,0.067963675,0.027752401,Ob9WwlV58xU
0.10868017,0.09062581,0.46283907,0.05235485,0.49676183,0.12382941,0.12946768,0.083939545,5Gxid-pqDuM
0.07655377,0.047405716,0.44715244,0.09883496,0.25254205,0.0850259,0.12183687,0.13476147,g4qnbxy8Oys
0.050972782,0.040203318,0.19127738,0.1413421,0.08918815,0.057202827,0.11167481,0.029984225,pdI7gIucy6g
0.07523965,0.06883562,0.32859722,0.1885617,0.08211908,0.05780133,0.041293226,0.061726328,JSngj8OlYh8
0.18769236,0.12159631,0.40997538,0.12062487,0.20624562,0.29774505,0.09652747,0.08447654,oyW2MoCMrOA
0.093415864,0.07631973,0.35706145,0.1963486,0.5066599,0.08551513,0.17386344,0.090114996,-KjHJMGoKnk
0.05044618,0.1135792,0.50134015,0.4220436,0.25591242,0.09644665,0.08953676,0.14463188,2DxX8UtuOYk
0.093938194,0.12327624,0.32513392,0.20590572,0.20877904,0.09339878,0.1140854,0.046122026,UZDWEd7kjS4
0.03245852,0.042184647,0.24649346,0.012900202,0.22396164,0.02405284,0.033821054,0.045778666,AHauRpxsmt8
0.05446647,0.055955265,0.17279142,0.18053715,0.10643024,0.03736204,0.07652648,0.020963646,vOGBUQBcl5c
0.19823737,0.39679176,0.52341676,0.11691313,0.30044016,0.1783319,0.19406007,0.020824814,cBJCock1rhk
0.08498827,0.12279848,0.28648937,0.055231992,0.09630852,0.11820803,0.12281727,0.011175984,yEzAo77QV6k
0.15335843,0.26494217,0.5097251,0.017308373,0.34620842,0.05866287,0.114674844,0.017631676,RZEMwir88Tc
0.10227208,0.058094833,0.24342307,0.104742855,0.3843188,0.11622726,0.08656847,0.0022126364,7UyGCiztbTI
0.052199773,0.0683145,0.34930387,0.057851184,0.21559994,0.047988165,0.07977233,0.1621016,MX-ZZIgLY8o
0.021048367,0.028120717,0.2896006,0.119009525,0.13218142,0.031112269,0.042302404,0.01263372,xbrSm6iRlPo
0.15389445,0.18286577,0.43214145,0.18682952,0.38340953,0.06591518,0.08176561,0.036851373,PwLL1qKcRck
0.05164313,0.04510122,0.35718712,0.56051016,0.23106664,0.12678403,0.12172987,0.22982138,tE_nipvGZSE
0.02954986,0.06008594,0.2587217,0.1354696,0.05436493,0.024138456,0.021264859,0.015340946,q12C_dumzOI
0.070354596,0.047930125,0.19886653,0.28464139,0.0628679,0.064332746,0.08367641,0.034962907,mlit0SMn7Qc
0.057767227,0.07103899,0.34083912,0.09212647,0.39276513,0.044046104,0.08397668,0.031529333,yusf2WndfKk
0.057740565,0.057639517,0.25707826,0.118323885,0.15612452,0.06863794,0.04898699,0.0010542562,xORwX4qecdo
0.09665401,0.07008456,0.38856915,0.4428224,0.18273059,0.26859125,0.08642267,0.053335425,-PGcQsOJ6bc
0.10016104,0.078332834,0.23721719,0.06365643,0.13519952,0.11255119,0.09682833,0.02517722,VOgM2KdRCAY
0.06679626,0.15023069,0.3680475,0.28974673,0.29332793,0.072813734,0.07027358,0.02262963,nR3KuBYebJ4
0.15804847,0.25332233,0.37425137,0.0048581674,0.6168308,0.12718283,0.14208639,0.05613239,Lh-am3qUN1c
0.09456566,0.10479216,0.44234568,0.05518064,0.15344793,0.13446313,0.05856183,0.033932835,-h92zD5EoM0
0.30858225,0.1670318,0.48342165,0.032785792,0.49855536,0.29194117,0.40672287,0.026722329,j1wvw6ZeO94
0.17302813,0.15470137,0.27979296,0.12666446,0.25667727,0.16415082,0.14352627,0.07371333,EqMidHFzIJk
0.09695565,0.14719355,0.49211878,0.13279441,0.17736314,0.07163111,0.06948484,0.017770508,QBRKktrq7Xo
0.16470139,0.36344114,0.5099691,0.33779824,0.35140872,0.10593031,0.11202964,0.023288755,aRvkR3sEBwg
0.08175694,0.15608148,0.45513594,0.3750028,0.2715412,0.15066966,0.089764014,0.017562259,f6UA2vm65r8
0.028222926,0.05380498,0.2954272,0.31006196,0.15424995,0.027007796,0.04851531,0.013258465,y7mz191MkT0
0.04251661,0.062375944,0.3437046,0.19413367,0.09319449,0.05969635,0.05756661,0.035306264,kJ9nPHpVyKo
0.040176515,0.02820929,0.19434609,0.1678034,0.10340447,0.07623568,0.041670535,0.019019997,X18pD6UWgyA
0.030663189,0.043339666,0.3234662,0.15551376,0.12213055,0.057631467,0.062979326,0.018464668,2fNxHRql918
0.11543977,0.12472417,0.3323267,0.03206684,0.20473284,0.1253627,0.113314204,0.04543531,qzVrqwH00Dc
0.16479228,0.18558311,0.3369156,0.26616353,0.1453698,0.13024434,0.11699638,0.025005542,T9vkGRtEPyo
0.079430886,0.11452329,0.28953797,0.2727161,0.085126564,0.048504166,0.066623226,0.019436494,kVPtWKnJ-Qg
0.10549731,0.17137243,0.30958477,0.14772522,0.20619886,0.07486252,0.13724175,0.008677006,aLhwWwVQUCQ
0.20191044,0.13805887,0.2645763,0.18641281,0.53521323,0.22390886,0.2263556,0.15743166,5zLXrG3PffE
0.04641074,0.048344053,0.21729666,0.20103599,0.18112153,0.048472814,0.042782776,0.022074303,M-86T7fFHv0
0.057753667,0.068886586,0.29633147,0.17762937,0.28371254,0.03660204,0.090054736,0.028439116,nm_6ApLC_i4
0.090903796,0.08357772,0.30538842,0.0118189715,0.32235456,0.1293354,0.12205368,0.05133759,Gxn9ZKzUNi8
0.071792655,0.0683123,0.2557844,0.12597278,0.4793143,0.10284913,0.107516594,0.09602194,1BohrriNfWg
0.09899078,0.081916176,0.49552572,0.28284025,0.30867523,0.18954901,0.16208518,0.09118898,XPdmXn5Fqik
0.041483607,0.037539795,0.29851568,0.1409952,0.4142676,0.048486996,0.12166631,0.020963646,BPrRCVZFttg
0.22922456,0.18341655,0.3937318,0.32790348,0.24221615,0.3481077,0.18354724,0.118584804,9lOZ6ybSgzY
0.15668346,0.16931069,0.40774152,0.19800429,0.19905376,0.115942284,0.10909899,0.018881164,Am_V7Aao5LI
0.019478917,0.022815583,0.16190821,0.025129035,0.077764735,0.019639859,0.028823184,0.0669207,IxoirATCn74
0.12679438,0.08950694,0.3341993,0.19388887,0.13686034,0.116476916,0.073814444,0.016937515,yGRVDRZbPkQ
0.04502052,0.04991895,0.30042976,0.13073182,0.15570816,0.03588199,0.11711901,0.04131502,lw6KJzjXc_A
0.056946985,0.049697228,0.20612003,0.13842252,0.43163913,0.048692975,0.09256832,0.057331093,rKUqYWIqoZE
0.06557902,0.09219692,0.33830732,0.17841627,0.22254027,0.08363894,0.07593133,0.02054715,CAcFUSJQWM4
0.38506496,0.36771896,0.336625,0.26003924,0.47409728,0.30274525,0.2417828,0.05653196,61TjcQbjwww
0.14009587,0.13813865,0.26462024,0.3943998,0.19428556,0.12838244,0.11884962,0.038224805,MhmF-2BPjz8
0.08333066,0.048058074,0.22521687,0.12688462,0.53383267,0.10308692,0.1395264,0.010620655,-6z3pSM9cJI
0.122607194,0.096555136,0.26372287,0.13553816,0.15940493,0.21849246,0.13030459,0.14463188,zdjKcOtIgVQ
0.12665457,0.19256559,0.5207309,0.19663708,0.26049104,0.14802615,0.13676666,0.29070088,D35JnZHr3YI
0.11828975,0.10518486,0.38099667,0.013746166,0.18626052,0.11948907,0.09785255,0.07091636,Qs8N8T0Uv3w
0.13833334,0.16290416,0.39982858,0.19165945,0.3208369,0.10256191,0.17607737,0.02262963,2C_hwXeS7aI
0.070771255,0.07099487,0.2801225,0.13009422,0.11486403,0.084415175,0.07970545,0.023117077,Rwu0f1DRz3M
0.02595443,0.032549728,0.17693067,0.11828756,0.059965473,0.0284694,0.036128264,0.053335425,4a_KNOJkNXA
0.108095065,0.1257705,0.41234848,0.15118544,0.29382768,0.082038485,0.120136015,0.026207292,qQnrZeofF84
0.035460263,0.030621592,0.19817838,0.16506565,0.17460914,0.05418864,0.061489377,0.00930175,JyVqTqmlnGg
0.33069327,0.09568893,0.38462782,0.5433318,0.46605274,0.734651,0.48137903,0.43791756,PJsa4f9nrxg
0.028205419,0.048674602,0.2508273,0.36492354,0.069007605,0.05369327,0.035124436,0.02262963,EMV0yO_3mUU
0.052844673,0.04520484,0.25622037,0.05385161,0.1019266,0.07916284,0.091419175,0.036336336,ydhDtzlEIfg
0.030466037,0.05874963,0.30346256,0.2706879,0.16626137,0.031664252,0.070926845,0.07730943,WYuoiefb2uk
0.08460636,0.10692248,0.31352693,0.053696156,0.18963099,0.030081285,0.063739635,0.0121478075,9uFRk0Pk7-Y
0.09068356,0.07665751,0.27703595,0.14806277,0.3384668,0.046774223,0.078377195,0.032559406,WHGQttAVSR0
0.34396282,0.30990416,0.37015402,0.12816083,0.54425895,0.23440373,0.3763092,0.046465382,j_2bJO_VE2E
0.044560645,0.048958976,0.2230921,0.05842177,0.062996954,0.041894473,0.040264133,0.0053103273,TS-NGSmwK3Q
0.072638966,0.1295308,0.28529644,0.32795215,0.16253796,0.05436556,0.07233544,0.03770977,gamyCsl4wF4
0.24069743,0.17124042,0.54736483,0.12062487,0.2432613,0.3287503,0.11531899,0.089577995,299UqRC3Vek
0.060443934,0.05140134,0.21774323,0.19835125,0.08900143,0.07155842,0.060953926,0.055333257,jVcpFJ1L3aM
0.031264797,0.054545157,0.3222685,0.07433497,0.1022982,0.025698353,0.063078165,0.086087525,7PDagUBHXCY
0.14144138,0.14783418,0.5755926,0.004533105,0.49475223,0.13263161,0.0812072,0.03770977,tDhKMNVLRlc
0.057972502,0.10309253,0.29543763,0.26683524,0.07425333,0.05074175,0.058297776,0.0669207,c3MXOepp-n8
0.16269173,0.33549714,0.39749473,0.15922178,0.5608393,0.10969987,0.16357502,0.09763293,r59gnrhiCrw
0.0364311,0.05062013,0.2451289,0.27534616,0.1265518,0.037933256,0.055440202,0.025005542,RdQ0SQWIWvA
0.12334358,0.156095,0.3703265,0.015462281,0.4286967,0.07495007,0.115695626,0.038911518,NEC__sYazfQ
0.10056051,0.058006074,0.3993699,0.23842499,0.2636997,0.12950446,0.2704416,0.18746567,ZVVWNlqek3c
0.14079955,0.05220527,0.2086767,0.43840325,0.19809242,0.20650743,0.060154043,0.19338597,EdOEygs2_U0
0.17489257,0.15378028,0.45884117,0.2158594,0.36981696,0.21199715,0.27264777,0.11794081,QQ-5mYLkQpA
0.10227688,0.056471583,0.20873739,0.3330908,0.19403695,0.10188209,0.08911722,0.022351967,NGeJ-oyDlSI
0.04395072,0.049452063,0.16380084,0.19783011,0.14389741,0.034647983,0.06549787,0.028782474,TxDpOI9RtPQ
0.035715133,0.029058034,0.3279221,0.2674505,0.17781703,0.21019408,0.052303202,0.17449278,h8VEh5Ziajc
0.16998446,0.13487387,0.45142144,0.12100979,0.26624867,0.10593587,0.07937851,0.017909339,JpjBJ8aQ3NE
0.13777891,0.22254509,0.38720134,0.06963908,0.3432348,0.110367544,0.10562155,0.04680874,QDAh76z1lTw
0.117696926,0.09608533,0.31447318,0.10835929,0.13999815,0.11830636,0.11966136,0.04680874,e7ILQqN6C_8
0.09226892,0.10713439,0.35501137,0.45590958,0.26965374,0.039215524,0.06931377,0.028610796,Gko1dylCTwQ
0.112369955,0.08475728,0.3880339,0.02017232,0.26873794,0.1442766,0.15474673,0.018881164,qwvpyHcRhyE
0.07821533,0.063774996,0.23522662,0.094851755,0.15229233,0.10341168,0.11305937,0.018048171,FID-BoSrzWQ
0.06175481,0.06486968,0.26181483,0.056448054,0.098078884,0.080376625,0.058152005,0.039598234,vlIiidgi9qA
