PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.23096178,0.057331093,0.027863687,0.01974612,0.020238165,0.07416948,0.36656037,0.029690024,jzsiDRP5gXc
0.37642324,0.048868883,0.15470685,0.14907701,0.12554458,0.3123338,0.24200638,0.17333113,DA4qLxU5ZVM
0.3501295,0.12760067,0.10083236,0.06122999,0.12929523,0.1641581,0.21930516,0.050395947,u8Gd9MJsnnE
0.26512155,0.18450552,0.16874348,0.08033945,0.07362247,0.095101275,0.58027935,0.07806543,rYMIozCKxGE
0.39199492,0.011453647,0.112299226,0.23684567,0.14709099,0.25685623,0.041429725,0.30347553,bsN96zE8FuE
0.31109875,0.082104236,0.12633957,0.0361336,0.04934336,0.21427597,0.044266824,0.028864872,gufvLjAQsQs
0.2663101,0.28874767,0.13571231,0.15868476,0.23719564,0.07031858,0.44531727,0.19103482,rkniaZtlfpg
0.42483735,0.05613239,0.12433126,0.1258032,0.1569613,0.2356577,0.47170466,0.1818294,VGrfN3v5JL8
0.4910705,0.036851373,0.29566917,0.20112956,0.24013077,0.7580387,0.23605815,0.18247648,lrfeMqM603E
0.3221335,0.19936113,0.34227303,0.16409978,0.17287359,0.4922464,0.6915822,0.11212481,nbmMwMQEK9Y
0.20061369,0.1414913,0.06168396,0.03314438,0.04804362,0.25830624,0.2827979,0.028518736,GS6BHBeqdBs
0.2629563,0.015896274,0.07906297,0.07572351,0.07125678,0.1675104,0.26536494,0.07534129,YTaxl0tvbqk
0.22602308,0.031701013,0.1223545,0.08964747,0.1734166,0.09011393,0.3238773,0.05330597,rZN5vSbhsRU
0.5528002,0.040284947,0.5057425,0.26140994,0.25166696,0.7595837,0.17296986,0.22097352,iv7BvLBz8MI
0.23990113,0.020130653,0.05723061,0.06692164,0.05188672,0.086623326,0.32928383,0.068430126,q1fdIP_KyL0
0.5280067,0.38953075,0.31464556,0.23019472,0.4853491,0.29372716,0.28531134,0.14915189,qAp7n2uc5bE
0.25176734,0.0471521,0.060388356,0.030566702,0.088940315,0.0501374,0.34456155,0.029180326,gMcJGnypBuQ
0.3641542,0.08420804,0.04145074,0.04686764,0.06043459,0.08768776,0.47339,0.04869542,b74F56Unc9Q
0.30002996,0.08290337,0.23654336,0.118397824,0.19881994,0.10869768,0.417958,0.0943443,ynBQvMESMvk
0.35906437,0.0669207,0.21725544,0.10589175,0.11342651,0.42611703,0.4419087,0.112331204,tTeRofqTdlg
0.29698765,0.0753116,0.08914433,0.08176665,0.08249902,0.30953228,0.47928962,0.105398774,Vol30dTcOQQ
0.4295196,0.09279997,0.05871035,0.055153225,0.043787062,0.36952373,0.078651346,0.04317088,VTeMFnhJjWw
0.34263113,0.6556601,0.4264779,0.5090336,0.9091764,0.25345215,0.16586828,0.06346494,IrJ-UlN8sPk
0.26546055,0.20449556,0.19378099,0.114989355,0.4378779,0.12941217,0.45417985,0.034192644,xVx7B6o0Fno
0.2572242,0.048525527,0.055007104,0.032865103,0.037437215,0.22241542,0.25059956,0.0281987,-3ol1aUN_Go
0.3305814,0.024490505,0.032244988,0.013265501,0.039504718,0.049850848,0.45709762,0.027902368,aE9mTr2uI10
0.32680684,0.14373457,0.25474432,0.152431,0.12469343,0.6676243,0.44481584,0.15563373,HTK6WB8qOSs
0.32343537,0.085282035,0.08924744,0.022166442,0.07141903,0.25021443,0.10717938,0.030596532,ic2C30ElCSY
0.2586715,0.074912034,0.04638378,0.064408325,0.06560939,0.08807962,0.05267588,0.054639112,E3_euRauzwo
0.2972689,0.059328925,0.15774605,0.055153858,0.0717219,0.09678068,0.27708775,0.06748863,KBnsuTcfWeQ
0.31781283,0.017770508,0.10792789,0.05159084,0.044524796,0.2733775,0.37862402,0.06864891,flhGGq3TASo
0.27199507,0.0765103,0.09279994,0.034440406,0.031385526,0.23353979,0.18684766,0.037460484,ift5nxcSrII
0.34670323,0.26817688,0.6749959,0.22518264,0.2544875,0.24381238,0.091843896,0.08972679,DRqUQjyCXJQ
0.37264067,0.14104263,0.041657,0.03636557,0.033739075,0.06303987,0.515372,0.072678864,rGdm386TRnY
0.3693744,0.24991328,0.45086014,0.098622024,0.28996885,0.28037655,0.768397,0.052347094,prXpsfTa__0
0.38291535,0.17518331,0.1332467,0.09331192,0.1233882,0.21168163,0.27276602,0.10532047,JiUxGeYBS4U
0.22563851,0.08050597,0.029746905,0.028911406,0.030496718,0.055253923,0.22898358,0.038141802,obCgE_6g21s
0.341419,0.09279997,0.052333806,0.04796363,0.03585521,0.2994313,0.021487838,0.077788785,ceeuHC_xPKA
0.317606,0.02929751,0.09672693,0.110562466,0.082175195,0.44242096,0.2197959,0.12008427,atLs7UAzytM
0.2789147,0.15976663,0.42089823,0.07917942,0.20794529,0.17490317,0.44740802,0.0441453,LhYZfh6aqls
0.31929746,0.07690986,0.3199004,0.14474407,0.16337296,0.55856246,0.7079484,0.17205167,Z6cSu9oT6fs
0.22273381,0.021657806,0.07096109,0.07586237,0.072527505,0.111902505,0.16929625,0.060301922,pkjZl-3nA80
0.46240738,0.12309273,0.08476911,0.057230808,0.101173386,0.45619306,0.22840779,0.07023537,eh1LHbDXMQQ
0.2871392,0.31089294,0.15960124,0.22354233,0.14783406,0.8022605,0.71488196,0.15825579,IvOFVzfc-k0
0.3275308,0.047495455,0.124876834,0.040422164,0.04859365,0.2050809,0.44350412,0.053748157,zfcB2q0_hAI
0.25484297,0.12051678,0.7240727,0.24045958,0.29678357,0.26125988,0.53076506,0.11045527,hGP01scixAI
0.35511184,0.22422299,0.124912195,0.10364887,0.37718943,0.09304731,0.75058323,0.073551916,ty7jrPYhdN4
0.24261121,0.09118898,0.13517779,0.034605004,0.10470842,0.07077684,0.4977577,0.024553055,nCrZcmRoNZI
0.40743604,0.04268845,0.062197886,0.1242928,0.08797159,0.47878894,0.18677065,0.13453439,4lg6cZmfpeM
0.29228494,0.15451296,0.24086812,0.046478026,0.17622274,0.26277083,0.57002914,0.04820014,_iQsr3Z3Xx4
0.21946947,0.08367105,0.073365845,0.0642625,0.068425514,0.102758415,0.3921304,0.054078106,_aWKftVlHac
0.24642448,0.09924392,0.11826339,0.06597367,0.10096008,0.18024458,0.27288863,0.049561683,jf6V2CYhKvc
0.2861735,0.11536485,0.06435951,0.08203312,0.058666036,0.3660674,0.33170104,0.07700492,kaxFSYlqKlc
0.34864512,0.09655894,0.10848586,0.058529645,0.078579865,0.16546164,0.33376077,0.061214413,1ac9wj2ZVRM
0.4308057,0.1024659,0.20464204,0.10025101,0.16811995,0.26054657,0.16141458,0.06319029,zxBchA7mrLE
0.4185462,0.31661135,0.77257586,0.33836547,0.53297406,0.7080878,0.41316366,0.20224449,gpu4-GBgsBQ
0.25076574,0.09655894,0.12654121,0.091444716,0.16325787,0.100290954,0.33738217,0.06751245,helPavwg0-c
0.5134082,0.33341047,0.43747392,0.56550956,0.5142039,0.5765948,0.43948057,0.778477,CPj_Gk3FlH0
0.28378984,0.111500904,0.14739607,0.16860054,0.23696221,0.19965288,0.43741795,0.14726375,upXofFy8xrE
0.33373117,0.089041,0.12984417,0.12944864,0.06699902,0.25068477,0.6167052,0.13591613,E5a7CV8U6vM
0.29445383,0.06252546,0.06274959,0.05200776,0.051050697,0.10028577,0.23850062,0.091810316,2Q_FGJJWNHI
0.34663022,0.17759849,0.1062007,0.13655917,0.13904415,0.16832523,0.7079002,0.14092702,EZcSWCfbB-c
0.25509793,0.031701013,0.11820313,0.13730457,0.1060544,0.17737573,0.14642198,0.106009886,NuDmm39p4wk
0.3344076,0.0007896075,0.12982365,0.085132875,0.064560845,0.41132113,0.35857475,0.11844688,AUgQ3Mq6oeo
0.48764923,0.31540272,0.34318095,0.23947972,0.22839144,0.6156936,0.27548942,0.15746096,z6Vo5uav9as
0.19059488,0.04543531,0.059112318,0.03300938,0.042458143,0.071740985,0.3293788,0.026396234,4w62eh7WTNA
0.29961058,0.06931809,0.12723038,0.10156774,0.081177816,0.3373742,0.00021719103,0.07193239,JE2YphT9UAU
0.34841195,0.09924392,0.07508121,0.045780744,0.13355342,0.11062576,0.33974716,0.047864795,erc2WSYRQHw
0.53682715,0.13296685,0.26684085,0.10562164,0.14676753,0.480856,0.18873225,0.09786515,VypJ9ntnJps
0.27945748,0.17380224,0.052708384,0.039260924,0.025994293,0.13703607,0.166071,0.060807325,Z4I72iI5MHY
