PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,video_id
0.16965903,0.07256774,0.32276013,0.3847165,0.11277938,0.14901197,0.09401853,0.37418506,DvWE-sekrDg
0.027065687,0.015449247,0.29274848,0.24167053,0.01515985,0.018552812,0.04737042,0.046734422,DsWsALacMCs
0.019436494,0.016687922,0.26716807,0.16225787,0.012250244,0.014610335,0.034897905,0.04200297,9HZj8Qp4p2A
0.12760067,0.09618461,0.4596724,0.34637094,0.10479524,0.08742108,0.17303392,0.49246025,DBVVkW7bEYU
0.09709594,0.16475913,0.29784358,0.5853209,0.20564744,0.3379507,0.16051951,0.5291264,nELEXC5Zuh0
0.13251819,0.044717815,0.38834006,0.32449377,0.048727475,0.048713952,0.068611436,0.29685602,UVob8FMT6Rk
0.028782474,0.037248235,0.3501958,0.18168344,0.043981194,0.035695624,0.04478196,0.3332056,y4yeroE4Ar4
0.03461955,0.016607082,0.19439797,0.29809007,0.016677774,0.023870032,0.026115471,0.048729595,YQq82HrINhU
0.28996843,0.09393481,0.34266642,0.53292495,0.10052815,0.085312665,0.090563804,0.580903,wOvvBWSBwU0
0.03461955,0.016607082,0.19439793,0.29809004,0.01667778,0.023870032,0.026115485,0.048729595,K0bk_T1Lzu4
0.0136749605,0.01359757,0.30344498,0.28051078,0.011706274,0.03482798,0.035940215,0.052955315,cRAlc0NrlNQ
0.052935857,0.056837622,0.22093877,0.117638916,0.085422024,0.11288834,0.02805288,0.118451186,DbWVUzlNuDU
0.10634898,0.021031437,0.2418797,0.22415853,0.0278257,0.041879177,0.03493201,0.06436055,QES50-EGzFI
0.14193995,0.08475012,0.35594946,0.30988836,0.116632625,0.11333092,0.12946428,0.50197434,YNY28dmz4vk
0.14866976,0.1450176,0.43315226,0.3592841,0.116691105,0.2909336,0.18826051,0.608396,BptGmN1LQJs
0.3511902,0.21588945,0.41985244,0.020718172,0.45995134,0.3021822,0.07431028,0.30715343,1lpMEe08NzY
0.09333697,0.075233854,0.46335638,0.10073367,0.049076192,0.05717833,0.13697833,0.2092593,Y0BAwW_Ys7c
0.13386416,0.13341267,0.3171304,0.18887615,0.22899787,0.18056196,0.1426486,0.251054,InryKPArdnA
0.03461955,0.016607082,0.19439793,0.29809004,0.01667778,0.023870032,0.026115485,0.048729595,weRVOvLXvok
0.07970683,0.030319009,0.25984195,0.34625646,0.049713485,0.04899529,0.026253777,0.4571706,9xJp0X5mhs8
0.123736724,0.091394685,0.44793198,0.3066838,0.054882824,0.18071805,0.15743752,0.45247287,cWE2dSdz9V0
0.031357653,0.026878424,0.29809463,0.23678733,0.030877255,0.040434152,0.030227521,0.15523876,_1kM0LA9G7c
0.10300289,0.020918753,0.23528975,0.17978206,0.021402622,0.021765975,0.03778901,0.0505288,mLMp-1NdzR8
0.05373499,0.0623218,0.28675005,0.5469817,0.13309187,0.12465902,0.08161854,0.25552174,ysttQDj7sbk
0.052136723,0.08479339,0.43493327,0.15187426,0.06271883,0.1807908,0.14823642,0.36167377,1AlTP-ttMFE
0.028782474,0.12561302,0.27080107,0.43314585,0.16983822,0.34827858,0.13653131,0.14070956,5izElkNHdNA
0.15188612,0.06855452,0.36522844,0.379485,0.09124547,0.09695744,0.094893984,0.43032813,ULm3qyI8M7Q
0.15918289,0.06957919,0.17515458,0.49370942,0.09841654,0.12561078,0.03390896,0.17316775,qJMPYZm4JBA
0.058929358,0.08370373,0.29787004,0.3415901,0.11306503,0.15621552,0.043005884,0.19405024,UFuV3OkwDrU
0.18253209,0.051833358,0.3346515,0.08492534,0.18619876,0.05412407,0.028661381,0.08617785,hewFLemljQE
0.02397547,0.013318215,0.190822,0.23048289,0.015847709,0.02214121,0.019388365,0.033391763,Tf_18htNNsE
0.19338597,0.06975291,0.38405836,0.12186864,0.092779785,0.16376586,0.05866014,0.25541663,L5ph4qAOQZk
0.04680874,0.012479883,0.17026219,0.19834024,0.024167389,0.014184315,0.018222023,0.019450836,fl4KtQdftwE
0.112144895,0.02828796,0.28638119,0.3172087,0.025849363,0.026376514,0.0457396,0.11308696,26YLx8n57FQ
0.12760067,0.03998157,0.33337852,0.5680319,0.07889647,0.08415093,0.04322932,0.3637403,U4tdd4XF72w
0.11021292,0.05180211,0.47851995,0.3567712,0.036207967,0.056539834,0.09131594,0.12553903,aOwsZ7I2ADo
0.04406188,0.0978971,0.3781688,0.5579796,0.133814,0.19465868,0.13766323,0.5426505,A1vc_GSGNzs
0.052935857,0.065286264,0.49667835,0.4394623,0.109920874,0.053338256,0.080435336,0.325175,RMgGwFX2KEs
0.027237365,0.019753493,0.22375526,0.26476926,0.020264115,0.045074563,0.024538133,0.06731926,JClYHBbPf5g
0.04783881,0.012480887,0.20904228,0.1759758,0.018769901,0.022699924,0.025171628,0.031870887,sBbnzkr6MXY
0.25219622,0.19555508,0.52855986,0.07009413,0.2931868,0.32926524,0.2968648,0.38774624,e8wD6iruwxA
0.05653196,0.02478203,0.23406255,0.2030501,0.0582634,0.06151781,0.020642612,0.049228717,HgF7OmNHwKc
0.033074442,0.029732823,0.28354418,0.30234453,0.11408732,0.06608007,0.020593472,0.3329562,JFqglNsZoj4
0.062925026,0.026385989,0.23903017,0.4386361,0.040717427,0.03909443,0.034321308,0.088080965,hcRAM4rxmtM
0.029984225,0.08367269,0.29283792,0.144482,0.076423876,0.059252247,0.09314726,0.10515554,J0hQX2mDweU
0.035134587,0.020810302,0.35695964,0.1758919,0.05919437,0.035678267,0.029356372,0.11750799,OUApOBZWWh8
0.1609341,0.045069303,0.24907102,0.4596358,0.049600597,0.053165108,0.059114624,0.2595321,CVODF3dHfx4
0.03856816,0.009200324,0.25462472,0.29719704,0.035164256,0.032130387,0.0113152815,0.044178594,9bo_dxNORws
0.04818217,0.008059214,0.20924884,0.20660529,0.018411975,0.016220143,0.014329442,0.03717198,1LOs7Ijxa20
0.12244874,0.020659707,0.2474849,0.19754495,0.015531998,0.021953465,0.03216899,0.17415491,1x-Ql010BxY
0.06771983,0.06379175,0.30279908,0.2664604,0.12861049,0.21546847,0.058784377,0.08631826,ng0daBrWsCA
0.022945397,0.031797715,0.33884764,0.29894572,0.032205936,0.05253435,0.06938489,0.0626816,ks1skEKwlrk
0.101391904,0.030905621,0.22065462,0.24475512,0.041307505,0.08181937,0.040811904,0.09196598,yCpkoav3zK8
0.03049926,0.06835393,0.23389839,0.21606152,0.046547316,0.10963856,0.072813645,0.17998448,FsVvIVHEKyE
0.053335425,0.101855524,0.36999482,0.509439,0.1708645,0.16869721,0.14088458,0.41880187,hCXPiIA2Dig
0.03736641,0.017345428,0.18848246,0.22451988,0.021286672,0.021921879,0.022623727,0.04662759,unmKo1pOb0M
0.02517722,0.018162709,0.24777873,0.2607173,0.045075014,0.08239604,0.025359739,0.054264884,V3poeFdzJK4
0.068918526,0.04603252,0.2801563,0.4396746,0.077111125,0.111381315,0.046922266,0.31243286,XLbY86WqEQE
0.10828095,0.0720465,0.290541,0.4462323,0.123779476,0.16239294,0.07428322,0.35427755,LDafHP4pjD0
0.030327583,0.013954194,0.21509673,0.27172717,0.033341113,0.053240303,0.016795628,0.035184924,s-rwUI7RYhk
0.10828095,0.102428354,0.44826043,0.37257156,0.08434823,0.2163632,0.15362456,0.4604291,5Nr65lc1ys8
0.23803931,0.08785583,0.40439212,0.44054976,0.123042926,0.1355395,0.17077972,0.4798709,soIkQYtJAVs
0.03839648,0.029846478,0.29053995,0.2964511,0.022722185,0.03780314,0.05875177,0.13493991,ZcXTL8Z2dSc
0.036679696,0.012945407,0.18594736,0.25104323,0.015766483,0.016332978,0.018735439,0.033221036,Ce97VpOGM4A
0.032387726,0.013397957,0.19430657,0.18145435,0.033062555,0.028487774,0.016674122,0.035166737,6aifEbNDcB4
0.16035037,0.075974286,0.32301107,0.48805627,0.08331605,0.098995686,0.082863785,0.27111343,pD3HFR6g6ho
0.1539292,0.027327076,0.25442222,0.3147734,0.03565185,0.029640043,0.050568096,0.17552193,CxLWbCuR9_U
0.06652113,0.04327395,0.4816561,0.17877525,0.07651263,0.13659404,0.040313035,0.26560378,6aVXRGsZfBQ
0.073313765,0.026486315,0.22360711,0.1864458,0.027824195,0.05251326,0.038082276,0.06818938,-ML2se0-L5Y
0.061726328,0.07033595,0.31034592,0.28569987,0.088426486,0.10871926,0.15065913,0.16280377,iFcNXujoRDM
0.035649624,0.018351749,0.23388515,0.29977137,0.031748887,0.06867013,0.022014191,0.063529335,FOEuywoieUw
0.033074442,0.05622502,0.32033715,0.18641411,0.063394986,0.059138704,0.046948534,0.24293528,G6XWQ7aMvr4
0.42631236,0.35670102,0.31781358,0.4293556,0.8059202,0.36446178,0.109318756,0.34890205,v0PH1EaFFug
0.11472086,0.03921858,0.3885873,0.32195988,0.07605941,0.14208756,0.03574291,0.38560328,Oh-1JdbzdS4
0.09118898,0.06705411,0.23239796,0.50051516,0.07862551,0.07821652,0.07673878,0.19811499,uGLyNzNCO_A
0.14866976,0.09099125,0.4241881,0.3030935,0.13520761,0.10868861,0.11484163,0.29135227,ByzXbQqy2Zw
0.028782474,0.02949311,0.18526134,0.22174263,0.034964208,0.042308334,0.024338342,0.03957875,MmYQ5Fn2K-4
0.067320265,0.021731392,0.24171242,0.16526915,0.032889124,0.035283785,0.03819387,0.052012514,1J9bmDGSsAg
0.05093802,0.057556216,0.4265114,0.26300466,0.06951909,0.12667249,0.1269436,0.07722972,fMZ3u3TLit4
0.09924392,0.10140168,0.47092545,0.13188016,0.03850558,0.05793522,0.1326321,0.26801318,Fwc009Eho7Y
0.045778666,0.053437058,0.4004616,0.28849214,0.053677604,0.05694959,0.06945888,0.24423656,HxE1z735EfQ
