PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.14194638,0.0175906,0.020963646,0.15187688,0.34423983,0.16170724,0.100822106,0.03806175,M8clZP-PI2Y
0.21233943,0.03569469,0.0765103,0.17783605,0.19838403,0.17297156,0.22974235,0.0991269,8brbjfNX8ck
0.28822702,0.13504541,0.013050216,0.33085102,0.123067014,0.1371279,0.25151622,0.13364011,1w8lPOgFxt4
0.40677795,0.06988201,0.101391904,0.3159226,0.06287778,0.2917676,0.4822216,0.12175561,oFoVIC8e9lE
0.1311358,0.019755505,0.025005542,0.12784886,0.41208613,0.09030091,0.12061075,0.048764195,3roWss5sNas
0.04627479,0.05065255,0.020824814,0.3378719,0.7279288,0.040271115,0.10080167,0.041607745,MbGJ0AETwzQ
0.14594246,0.06283909,0.04680874,0.18025932,0.20426741,0.1759022,0.17364427,0.14379942,gs7niKHqoVk
0.15793869,0.024149079,0.04131502,0.17317085,0.3750527,0.14029743,0.09343319,0.04856009,TSiVameZBn4
0.3693454,0.077519,0.1884524,0.2763883,0.09723083,0.27044183,0.4151636,0.11844137,1W59lr9sBww
0.3890283,0.02425075,0.33341047,0.20014913,0.07457543,0.28040886,0.30910686,0.07912139,Sopr-D5GaA4
0.08232308,0.027721647,0.015410362,0.16726226,0.2070411,0.0797374,0.11898257,0.037694834,vBF5qgisiSU
0.17946282,0.033240978,0.06612156,0.16097796,0.70840406,0.18827526,0.15289156,0.083896,rqu6GaNwlFw
0.25188446,0.068756714,0.14104263,0.33696976,0.011869004,0.23253249,0.39773932,0.1427709,Ch8Jt1Zgnnc
0.3213817,0.019331671,0.09494796,0.1357775,0.5680319,0.23188703,0.4076721,0.09313924,icp_alKTc94
0.23535569,0.07382334,0.03358948,0.18233483,0.1770068,0.15091978,0.29228404,0.1777415,qP7p7392AaI
0.19685277,0.08011738,0.19716066,0.39814636,0.0016894499,0.12777041,0.25270557,0.05630255,2tmbFZUW1V8
0.1698353,0.09250766,0.029125832,0.4451271,0.14850183,0.10902374,0.564294,0.09693598,CBVJdI4yk7A
0.20270121,0.023777267,0.1024659,0.13795754,0.3669526,0.1418316,0.1800072,0.07768855,tPHhUXfVnis
0.39310536,0.03084347,0.111500904,0.21101107,0.06469557,0.29867747,0.33047315,0.08868543,yJ5M3bqJYcA
0.110928476,0.028088186,0.105704986,0.1706587,0.35883465,0.088216044,0.11516473,0.036644958,fvz82E4YqMc
0.16999812,0.03167095,0.09655894,0.15417422,0.4450101,0.1090058,0.25687534,0.08027744,A1ZhZWb4bpc
0.08888056,0.07639524,0.043718524,0.2234848,0.20751522,0.063310444,0.24749504,0.099504836,tLZuBRmMPYs
0.17656189,0.024690796,0.034104515,0.14306138,0.2987586,0.16957933,0.13924511,0.0822381,MY2UiJSH7VU
0.1692708,0.031202788,0.030327583,0.2042231,0.11506138,0.17695934,0.17066436,0.050295625,L2xw0BOB4NE
0.27852046,0.11860489,0.06252546,0.4385058,0.097376995,0.22710459,0.36324036,0.09198016,TyW6yJTBhlg
0.2459292,0.050182384,0.03427619,0.26815736,0.4793395,0.20022176,0.2820824,0.08747634,BNvujgjEyB4
0.041135848,0.017325547,0.01631277,0.20010383,0.16620715,0.043220386,0.056583423,0.015068734,iAqTbQQ3E78
0.19125906,0.09339646,0.014369122,0.22738464,0.18873174,0.13121733,0.31418133,0.1540997,S0gGDdrqJlM
0.28701237,0.04524419,0.043031808,0.18749228,0.31447843,0.229813,0.26151353,0.11625256,WxvE8BpOUHM
