PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,video_id
0.75446665,0.4458971,0.7079002,0.47791344,0.4919869,0.32197553,0.7407407,0.30943906,BmLfcwcVQvg
0.13434064,0.31671798,0.7723244,0.23999548,0.058547854,0.037720982,0.15924665,0.03846411,HfVQ1-JWVD0
0.8598801,0.355017,0.2677079,0.54840887,0.6328355,0.6570998,0.56247073,0.61392814,P0XlP2Bbei8
0.106039025,0.0023948536,0.35570484,0.45379293,0.055457715,0.1320872,0.42648047,0.053276747,-Fb48tivB-0
0.14602883,0.040628307,0.13430673,0.5268762,0.09815043,0.17080991,0.5661586,0.12183137,Xvu-_PnV_3o
0.59600955,0.2936093,0.39341262,0.3422578,0.28044736,0.14264606,0.32729816,0.22752692,MitqjSYtwrQ
0.5767653,0.28948012,0.68137896,0.21882197,0.27476445,0.2953993,0.25205314,0.234634,Xz_UD3A2pQs
0.5628166,0.2712817,0.47332206,0.25008768,0.25368357,0.21587695,0.26218867,0.26993126,VH4kbybo60Y
0.8501355,0.23803931,0.36351487,0.34504917,0.5804967,0.3704913,0.30870715,0.361301,AUZ0Fx8YMxQ
0.6350989,0.02124131,0.7085874,0.19083984,0.29854184,0.1777987,0.18455157,0.21381454,k4guyXCop9k
0.6764517,0.20742953,0.37209558,0.5904817,0.3457148,0.48329404,0.6281287,0.35461017,I5P3Z_TW-O4
0.58523935,0.2965773,0.46569103,0.19929166,0.15115392,0.26993024,0.11530479,0.10806189,uD6AJGcn39k
0.6822607,0.37221906,0.61503893,0.28152946,0.32682204,0.294523,0.29706678,0.27800396,uyicaMSxlsY
0.1481352,0.04131502,0.72782785,0.20205197,0.055891175,0.029686067,0.120561905,0.025091853,oD1IOFEwbRs
0.0034616794,0.20742953,0.21985064,0.18659353,0.0038922327,0.010223343,0.13727106,0.005904165,uIuS-48tSpE
0.86166126,0.44820568,0.54928744,0.3474854,0.65303105,0.32663333,0.3769092,0.434905,sm9HzBe2uSk
0.5828964,0.20376207,0.44121498,0.38845307,0.3013559,0.35022357,0.34806296,0.3096394,XvM8bgweH74
0.6597176,0.24769363,0.5230983,0.2446388,0.3285062,0.139261,0.280131,0.30877587,E0v_idyvjco
0.37441808,0.010898319,0.4504994,0.28801817,0.19197032,0.25501585,0.23107393,0.11542958,Z8FZewEPAAk
0.5902826,0.006559816,0.46024448,0.18787459,0.24459948,0.07997093,0.15562785,0.18904343,FQStbwNCl2Y
0.012484882,0.0026551636,0.4152685,0.22341904,0.0094559295,0.010219553,0.11247241,0.006775346,hmoAX9f6MOc
0.7451383,0.5363433,0.70818883,0.3831569,0.37506947,0.8658654,0.3271075,0.3511377,g13t6ZpwGVM
0.11845353,0.00041432702,0.5680319,0.25091177,0.047499496,0.07034569,0.2017594,0.048142113,DSqvNV_zf28
0.8533694,0.3955794,0.13447452,0.33509815,0.5589576,0.41574988,0.3702388,0.43182832,OVrAO60hGdM
