PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,video_id
0.058402535,0.0379563,0.23084883,0.16607513,0.03371766,0.012008976,0.045129675,0.08015527,-qI0F9kT9Zs
0.13965383,0.13640183,0.3274638,0.19623062,0.10970242,0.028439116,0.13210236,0.48844773,YF2iQAGA5Bg
0.09121338,0.101389244,0.36413366,0.11536459,0.14579162,0.046122026,0.12566341,0.33645198,0fcpi1Yje1A
0.16815586,0.23136075,0.3601321,0.115993485,0.23003486,0.012841969,0.20700131,0.6618959,-7MBTsO_SaY
0.09394391,0.15175347,0.26830924,0.13058177,0.20220433,0.023460433,0.23168778,0.5634096,ATI7vfCgwXE
0.07065442,0.04358651,0.32778782,0.19035245,0.026236355,0.009440582,0.03436498,0.109318994,W66RI7xYVsA
0.05378947,0.056288548,0.20372489,0.31013855,0.06006301,0.011661896,0.065546274,0.088276155,gfCcI6_1iiA
0.044651777,0.029209007,0.22679347,0.19075346,0.014278727,0.009440582,0.028411381,0.1675442,v6Dnbem1rVE
0.07630146,0.10407359,0.21378267,0.17520314,0.14338481,0.040971663,0.07770995,0.29673117,1R6fPlcN6GA
0.07594015,0.045596704,0.3655124,0.09650743,0.046134643,0.112144895,0.060635373,0.12885529,1sP81YOiDcg
0.1396292,0.16412368,0.5438145,0.049400344,0.11820498,0.0043905647,0.15673777,0.39450938,1dybyF48fFM
0.10564171,0.07635921,0.32490215,0.1928451,0.039351005,0.010967735,0.05744102,0.334682,xPxsyk5AKxY
0.05655944,0.06862187,0.22464669,0.30888727,0.07119544,0.09816993,0.065834045,0.077192806,_g2CaF12xxw
0.03635632,0.03870159,0.22733685,0.019260556,0.09907958,0.06372416,0.09637242,0.25520366,eySTo2GgvoY
0.06686984,0.08098046,0.25522533,0.22686774,0.09369947,0.17173064,0.05601536,0.16749169,shIfzNOcNvs
0.03803427,0.030863589,0.17182063,0.14197059,0.023418002,0.015479778,0.023251366,0.06292752,-pNkVMO36H0
0.090431206,0.11127864,0.31666982,0.10177291,0.06290966,0.019436494,0.2084355,0.5456163,BXzz5b7kVQM
0.14641002,0.14179848,0.3442628,0.15302049,0.19908328,0.040284947,0.22222626,0.50922376,Ka7hy-aspHc
0.15881027,0.10848818,0.31648877,0.16433877,0.057657458,0.011037151,0.09151747,0.32351422,YDv8TEqO_Ac
0.08244452,0.10535359,0.2701823,0.13362536,0.15181865,0.043718524,0.19458912,0.51295537,gUUaxcRScjo
0.15491642,0.16494921,0.33258665,0.047602903,0.20162016,0.014785618,0.21410595,0.5161652,rPlEA5_JrBs
0.18477753,0.11119955,0.7784964,0.015570267,0.119283274,0.20742953,0.13068546,0.14683199,065Unau9N7E
0.12711908,0.13079837,0.33101743,0.036456507,0.118671425,0.103539884,0.19647121,0.44787836,mDIVpJgjoXQ
0.15119275,0.17457427,0.32452366,0.032556694,0.2078315,0.03204437,0.24890049,0.5361738,l9GLBA6oWjk
0.08248039,0.06475899,0.22362788,0.24112481,0.041489694,0.019297661,0.059785794,0.13055792,qJAnBGHhjAc
0.041971974,0.047114678,0.24995308,0.031255677,0.13756627,0.027237365,0.116941944,0.25331292,cXdYAAPfrdA
0.04137878,0.05126396,0.25398105,0.15084903,0.041433983,0.010898319,0.028378095,0.1171648,F-tiSc7G53Q
0.030899148,0.022968099,0.2629515,0.00753231,0.05678218,0.15626417,0.043725714,0.109562226,sZg8vCDz1_c
0.07760375,0.04893779,0.17953792,0.1659413,0.025590315,0.016729267,0.036107723,0.08475961,gaHeI894wbY
0.10411561,0.092041306,0.3097271,0.096095994,0.13548706,0.15159425,0.17757158,0.1746237,f27AoN-K-lE
0.09283588,0.11006977,0.30238253,0.043749064,0.0721383,0.0022560214,0.15080115,0.39123535,-_g0CZyHb4A
0.094634145,0.08585342,0.29385158,0.5735812,0.045570556,0.03770977,0.08866294,0.2933245,G88JZ1DIdg8
0.14716287,0.1755938,0.27759856,0.30915168,0.21845697,0.050585672,0.1407689,0.5395863,WJN6ZVV4LCo
0.077615336,0.022752987,0.5192884,0.05271889,0.038297214,0.013466713,0.016720314,0.04595279,xE7KQU4qO7w
0.12538572,0.08056961,0.35931876,0.0953875,0.059938617,0.0028460578,0.08581269,0.3026113,p0QsgSjXICc
0.058721133,0.051352367,0.317449,0.038717605,0.08016089,0.02517722,0.1038849,0.35193166,01wTBIuhudU
0.13084319,0.11118529,0.39776647,0.35542524,0.11965086,0.03753809,0.11995212,0.37584826,yfJCBrm7CA4
0.04655913,0.049794752,0.23908064,0.062229566,0.09339823,0.021518974,0.058204874,0.12423751,LThXZLtSRN8
0.06168743,0.061384086,0.36893374,0.2802601,0.07768451,0.09870692,0.056205694,0.26982248,Cmh3S9EpvXA
