PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.3935839,0.16879122,0.16080979,0.07231705,0.11068413,0.07935536,0.20302857,0.1686353,ucPoLHSav7A
0.2929561,0.14331006,0.12042347,0.036361873,0.0837422,0.046880886,0.058130227,0.21544969,QajOO6zUTW4
0.18332122,0.09149687,0.05128056,0.027889546,0.04092108,0.03350453,0.017631676,0.14702205,graevR96sqk
0.397056,0.30204508,0.12515894,0.04696072,0.05904513,0.05165492,0.1731117,0.021871759,ZXCXT57Swww
0.36264694,0.14853315,0.13051021,0.046430662,0.2784501,0.068422735,0.18253209,0.20422302,rzUASFzT_2k
0.29911557,0.033761103,0.019303618,0.08086266,0.016824527,0.021154728,0.016173938,0.11281926,tqb2D3SJiZ0
0.20849267,0.11320798,0.23831171,0.027275626,0.12149433,0.041483074,0.08796701,0.47742164,vrKsTQpUp8w
0.19859947,0.059782825,0.036724575,0.023044687,0.040958695,0.027742676,0.024833864,0.3380246,KYgoX8uWasE
0.18768956,0.065297484,0.03850077,0.019676754,0.045685418,0.02339779,0.014022041,0.1961838,IHPL_Kp-9RA
0.23746534,0.1327076,0.03911217,0.03502477,0.03601381,0.03261562,0.014993866,0.12159153,eK83QqbNOmU
0.29299194,0.6274689,0.2909384,0.032889552,0.15978616,0.09179301,0.0813051,0.13212596,SSTnN5bFyBk
0.23664948,0.077553615,0.05263628,0.050462544,0.033240438,0.045541137,0.023803791,0.16379489,ZyLCT8F4AFs
0.24924535,0.1017583,0.055464353,0.034696177,0.06161456,0.04166722,0.03461955,0.19428588,CRjqSPSkNEo
0.39830172,0.11736097,0.12761809,0.12550755,0.068587996,0.07500296,0.06492286,0.2831581,_8ZcOWYsE7M
0.1871444,0.087566346,0.028781395,0.02348149,0.022007592,0.017827138,0.023460433,0.12136632,x4Vxv9e3qW0
0.25929847,0.09708457,0.11765837,0.03579639,0.10557975,0.063785955,0.15130237,0.3554868,D9zo-NucuXk
0.34940657,0.22279245,0.079156324,0.04451228,0.070105,0.0471425,0.13655609,0.37166643,tgWl37892qQ
0.253411,0.12395586,0.03592876,0.053268388,0.06966933,0.039561227,0.029812546,0.24764568,4Dp71M9guFI
0.4613181,0.14307347,0.038914986,0.098525144,0.04126372,0.053256664,0.049212243,0.24530096,uXniD5SBX7s
0.24737169,0.084734924,0.050492156,0.03258944,0.051477235,0.035134073,0.07970683,0.31897104,qgJcvTZyUng
0.25117403,0.2509116,0.10926995,0.09489708,0.07970936,0.10186604,0.02193547,0.20140196,7ASgDL8Dymw
0.43873522,0.37970352,0.18715538,0.058908667,0.079080425,0.056193884,0.07011723,0.26272672,BxNpCIMd-PY
0.22547682,0.18121274,0.18078946,0.075561546,0.09920095,0.07815081,0.027237365,0.43778783,TxMx25OnJ0s
0.25243878,0.07539188,0.03631719,0.02485447,0.036477942,0.028286537,0.013952625,0.31509116,SpFax8EojrA
0.35352266,0.4730664,0.13756828,0.03796191,0.0930969,0.064768076,0.09118898,0.09745882,yDGSRr5xig4
0.35588706,0.09111146,0.05306193,0.0787486,0.043102305,0.03196453,0.13521013,0.21724643,Y_Xm6u1ihUk
0.25383255,0.21431908,0.063437305,0.029871821,0.027056644,0.023309804,0.049898956,0.5680319,tAG0DBO9bjA
0.28533182,0.11622953,0.14432825,0.048109658,0.07710813,0.063489795,0.033246122,0.2512594,NJReJNNzh_0
0.40559864,0.12115873,0.09503819,0.05176493,0.124886006,0.064261705,0.03616466,0.42933303,VKkeup-ZNlQ
0.34367508,0.16948028,0.03700627,0.031877674,0.019534595,0.02326589,0.09065199,0.353528,IqH5zAHaRn0
0.3052026,0.21048582,0.124979235,0.031251106,0.051672213,0.048904892,0.011037151,0.16820444,B_61BlBCTpE
0.33407778,0.31121427,0.5448499,0.120170735,0.36637458,0.24737272,0.09118898,0.2770018,LT80RvFZ7T4
0.21838617,0.08245012,0.04098243,0.033154175,0.031485885,0.03118819,0.022213135,0.13532184,8LLtwkh3rbQ
0.33364803,0.04653384,0.021116864,0.024903266,0.04030819,0.022329861,0.015549194,0.11357697,gWXQ2Dv-PJY
0.24653104,0.4119578,0.20129843,0.017378258,0.13762033,0.060057558,0.09709594,0.26606157,wr_hxM_t03M
0.3179154,0.31318036,0.12084108,0.02716418,0.11417495,0.049244266,0.0825038,0.26819244,eFCPsLCL5Fw
0.24526514,0.089865714,0.026341483,0.022852963,0.024456115,0.017014412,0.012772553,0.22123127,HncSgW7mMy0
0.34963948,0.23795469,0.12364927,0.037675552,0.092026204,0.053018257,0.03187269,0.14822775,3QDB-0jGKCI
0.1937263,0.04493787,0.029844467,0.013854568,0.02654194,0.010791191,0.033932835,0.26912698,EnfFgWP-XCs
0.21566665,0.16261595,0.16724087,0.03961067,0.07094454,0.061502453,0.023460433,0.23574781,LnjY4NTWxTc
0.19668475,0.061164018,0.025174975,0.023372645,0.029387906,0.01946719,0.013952625,0.13114877,kIF9IWndLMo
0.36516678,0.18074957,0.030650698,0.030689966,0.025124243,0.018954432,0.03204437,0.43767828,3UwtCFh7SAc
0.37413493,0.15465242,0.05065261,0.04987202,0.04121597,0.037296314,0.019297661,0.19197266,E5D-cwxuylo
0.23188551,0.15401268,0.16970234,0.073980995,0.10426478,0.09585316,0.026207292,0.31005764,_MNcQoxYVDg
0.19482253,0.027375454,0.01878176,0.020656867,0.030569954,0.016810222,0.020685982,0.32744333,jMOMq1_dMkw
0.355063,0.29868323,0.29541513,0.038219895,0.117558725,0.037650622,0.062925026,0.08219937,Ait9LO5Wv8g
0.3287586,0.129958,0.06015582,0.056684393,0.03265227,0.03327019,0.019852988,0.21096201,ZN7nRgtX9r0
0.17565562,0.16994374,0.11891021,0.022178842,0.073246524,0.055226646,0.062125895,0.40887782,iBK2m0ZI9Sk
0.23227884,0.08983819,0.0723901,0.068023846,0.053893197,0.06627203,0.012703137,0.110623546,bjAPtBOAulo
0.37211245,0.22352684,0.076055,0.14459902,0.09378987,0.120151766,0.065721996,0.057000577,bji7HoGUd7c
0.27699146,0.26693708,0.10415177,0.030871404,0.04523522,0.03269653,0.059728492,0.21152517,tX3Pl5Zl6O0
0.23963761,0.19093978,0.08702314,0.021149626,0.06808528,0.032710567,0.058929358,0.26823777,IMmVab5y_zM
0.32928133,0.09813129,0.03473628,0.048455343,0.030095067,0.023785021,0.033932835,0.20945309,377UvhOxL_s
0.3130594,0.14580634,0.10448985,0.14341831,0.10102316,0.12538204,0.016035106,0.2643324,cAxShqL53LI
0.15750702,0.32729718,0.096449964,0.018754158,0.085266195,0.049054526,0.028954152,0.3559577,n45cE6qOc7A
0.3175982,0.0832171,0.260327,0.05740225,0.18872645,0.049320422,0.052136723,0.4999347,RjuA4okawaM
0.23137772,0.064327806,0.046769682,0.043704916,0.05489104,0.04084071,0.0136749605,0.20548993,bao62zIJOHY
0.40145504,0.4905438,0.09919659,0.061611056,0.07879782,0.06463603,0.09172598,0.28999728,pxjRozjul0o
0.33939698,0.01525248,0.004865593,0.028275821,0.0092971595,0.0055062138,0.026207292,0.33647048,6WAUiSGDVBY
0.27339643,0.20274323,0.14357057,0.14385805,0.17400563,0.14307362,0.025005542,0.22916937,f7l5Bi-Q8K8
0.31630668,0.3512451,0.14302367,0.04747684,0.08605566,0.054589987,0.036336336,0.17919412,1_6gWV0p0no
0.35116947,0.2049975,0.14436077,0.04128483,0.08553741,0.05245724,0.067320265,0.15024287,4HsgKF2hagQ
0.24221793,0.09552822,0.028882831,0.02800435,0.030568114,0.02941658,0.27045983,0.2766957,zbkxwt6bY_I
0.25779352,0.066874996,0.044678465,0.060995188,0.05810753,0.08145278,0.021380141,0.101063006,eBO6Tzjbq3A
0.21835075,0.06978085,0.056313563,0.04744962,0.10166998,0.060438983,0.020824814,0.34408858,AE3wlNYN5i0
0.23955595,0.11456015,0.11742712,0.05134017,0.063698314,0.059232343,0.0495556,0.29693288,Wb1O2s_xyJI
0.31181034,0.06350254,0.055678815,0.028751334,0.09660812,0.033047445,0.043375164,0.26154113,Zp3h_N5Y_18
0.32924214,0.11888321,0.039059542,0.04673014,0.045430247,0.03594304,0.030842619,0.35287783,jCU5C4SrIlI
0.2250878,0.09803029,0.13324906,0.072329365,0.08709515,0.08272696,0.010481823,0.06365002,wKgWUMyEr7A
0.4834926,0.44599622,0.18920577,0.20992671,0.061798718,0.13002567,0.0471521,0.3086328,M3xZFcySAQ8
0.41051665,0.17107014,0.100603126,0.09983963,0.100305974,0.10676669,0.0253489,0.14037158,-d9qUqHCvDg
0.23877491,0.12552099,0.03408067,0.057425234,0.037463184,0.056693424,0.052935857,0.18865612,cqiPhpPeFVU
0.29806703,0.30135614,0.17659566,0.04308141,0.090744846,0.07660995,0.076110736,0.14374,FYtWiJ0giAM
0.28972447,0.08456781,0.04783647,0.02239412,0.0412213,0.019364867,0.01492445,0.28918174,jwCh9EkuHVc
0.19668475,0.061164018,0.025174975,0.023372645,0.029387906,0.01946719,0.013952625,0.13114877,4G3Hwohouzg
0.3282291,0.2797956,0.13155319,0.12791227,0.05263042,0.118918,0.03994159,0.23543675,riIMqapAxfM
0.19843031,0.04601936,0.030669343,0.01819322,0.027420284,0.019867681,0.011314815,0.14519052,6A3JPkQ-myc
0.2268396,0.24381134,0.15546335,0.07976328,0.09550844,0.09560048,0.0729142,0.37590283,EmuXrM2JAvI
0.40767616,0.20564476,0.102566406,0.2842889,0.10638584,0.12894407,0.14777246,0.2735612,R1x3wbzH0zc
0.1765231,0.29022452,0.12591042,0.021276932,0.10388381,0.05788025,0.01228664,0.44773728,A0l_I--7NAs
0.21808773,0.08878674,0.075588696,0.032943487,0.05205398,0.028879222,0.009857078,0.19850902,GPCb4dj59tQ
0.2684832,0.13692245,0.09201096,0.13303293,0.07732561,0.10160778,0.011453647,0.25865498,Kt26szxRNB0
0.2600512,0.34630495,0.11544828,0.04720992,0.09716767,0.048254963,0.065721996,0.19860905,isr51ZmuJwc
0.1602481,0.059143286,0.027262356,0.024538416,0.020184658,0.027958298,0.022074303,0.22783664,cgIIfnKMY-0
0.34602812,0.6641035,0.10458957,0.11052587,0.18886693,0.12292647,0.36805952,0.64489174,hItMw3DqUJ0
0.25535065,0.16655484,0.06832543,0.021548452,0.029092822,0.03014909,0.0358213,0.032817278,yzpyq3LXTx0
0.3832589,0.16394898,0.14434576,0.1299932,0.16103168,0.115880944,0.040284947,0.25958484,Uw5Lwak8gXY
0.27618986,0.0529607,0.05167055,0.029621296,0.10383404,0.03982856,0.031185975,0.3135511,WgvtobJZGcQ
0.3856516,0.08895147,0.05633256,0.08058461,0.057515204,0.048778344,0.06652113,0.26362023,YQWm6pJ07mA
0.2439416,0.08767952,0.06306931,0.031675693,0.059628826,0.041294727,0.023803791,0.1941173,f14K_QSMVZI
0.27957338,0.110825025,0.1277176,0.040010255,0.09738338,0.065693066,0.062925026,0.18788445,1h5P6JpybYA
0.26691875,0.25331947,0.15318237,0.040351328,0.07938741,0.06279792,0.028267438,0.18986255,27JDxX9sK6M
0.3434346,0.12729752,0.05053723,0.117805876,0.06325057,0.08707674,0.03753809,0.19868475,zgVo9i-xgwo
