PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.41396877,0.89914954,0.19962092,0.8494624,0.5535644,0.5680319,0.76320773,0.24524263,t4QQTfIvzv4
0.29929337,0.05772797,0.11072855,0.07654584,0.010551238,0.18505968,0.043003954,0.090581894,XlBUfZYzeM8
0.4047881,0.19144168,0.52085644,0.18000408,0.005275619,0.27704704,0.1423107,0.23171172,ZR7Z74UY2TY
0.37356132,0.055994384,0.14160915,0.042756174,0.015688026,0.19181272,0.10364421,0.106667735,puNieGCEAZo
0.42789623,0.14585,0.45897514,0.14796369,0.036336336,0.20855315,0.11367626,0.1354432,loiARpb_cOU
0.40756676,0.12481666,0.1444494,0.14856625,0.0024122077,0.16319318,0.09513317,0.12302484,gWpeNZQ9dUs
0.28325966,0.019496696,0.041430213,0.02711699,0.007705181,0.26682663,0.02701074,0.048660085,ZqNDsBjdS4M
0.22515033,0.023504872,0.16690348,0.044479612,0.0071151447,0.12018592,0.01654221,0.031201106,ibs8k6DwNEo
0.18977875,0.079989605,0.07974767,0.09297079,0.21109697,0.14283109,0.059463147,0.063175656,qo_gZUXmy0k
0.45839897,0.0631559,0.17858666,0.11867481,0.067320265,0.2505395,0.053926498,0.03902005,BPDPSL9PlDU
0.32313517,0.018947257,0.053216226,0.03453732,0.015896274,0.112356395,0.023904348,0.0123433955,SIkM7TaCByk
0.3422087,0.10309629,0.58781135,0.09675095,0.024147147,0.16205712,0.08095799,0.24921949,RMYE1gNZQdk
0.6223661,0.23594654,0.3025649,0.3400303,0.13700475,0.054770157,0.1939751,0.23159598,CBh4UvL8Kmw
0.21116039,0.09813092,0.11752026,0.044696532,0.065721996,0.35893327,0.21550491,0.4052059,FU2yuHjOgtg
