PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.038967937,0.024191497,0.033074442,0.032024138,0.05152706,0.10704983,0.08010416,0.30183008,9rWnKThfL-A
0.04997895,0.038770314,0.011870144,0.023339745,0.032415237,0.058266394,0.09115986,0.36815944,EvDTmLuac_M
0.07653478,0.15554827,0.048525527,0.06553976,0.031631704,0.03375293,0.12770484,0.38682038,ltbNbEbfGrM
0.59679216,0.23923092,0.2945986,0.2669861,0.26950398,0.16971612,0.3312855,0.45060188,tR_9zzuDn-s
0.06557493,0.13193412,0.11407687,0.0641512,0.045233443,0.049850583,0.09963711,0.37313038,bwBdh58FSWY
0.05640266,0.19125889,0.11794081,0.06650814,0.04535764,0.05452465,0.1131066,0.3703889,iV2Occ49swI
0.062175624,0.02828778,0.01228664,0.05173343,0.03488481,0.05283518,0.10310036,0.3942634,khT0BYLvcs4
0.18172452,0.13192764,0.14822112,0.1436947,0.13597137,0.117901,0.58731735,0.36086395,o58xe5TYf3Y
0.062075216,0.14473382,0.105704986,0.056684166,0.04747849,0.06011498,0.1043477,0.35140973,3XiTnDDrIOQ
0.124407224,0.029495426,0.04165838,0.09163108,0.10884296,0.0987548,0.13198628,0.23256116,VsLJtNHZdx0
0.1084036,0.27423227,0.053335425,0.07404968,0.039580192,0.054300644,0.0889012,0.23901072,86aWYgfUCw0
0.05133537,0.033218216,0.013883209,0.050642155,0.042810548,0.047296766,0.06731811,0.37353605,yr_sqjh_fw4
0.6350989,0.012109874,0.06332459,0.29218933,0.35381702,0.19881439,0.71042114,0.42741022,hVyCpQmXec8
0.07657447,0.09913612,0.036851373,0.12562351,0.30702174,0.5646269,0.10716126,0.39832652,MUvcWZ6Lcj8
0.012377174,0.061911665,0.043375164,0.013201567,0.026058013,0.04011134,0.117085546,0.25363746,_CUsIAz5OhY
0.095537536,0.10841995,0.082104236,0.066281535,0.071990214,0.102841586,0.15118694,0.38415867,t7L0R-jpwnQ
0.07454782,0.14294644,0.030842619,0.0661348,0.08906512,0.082912065,0.12564424,0.2327601,V3g6FGE1Ntg
0.1361177,0.18399881,0.026722329,0.15421039,0.094256915,0.10754174,0.14726315,0.49644688,20WWW8OeMzw
0.09007168,0.037740957,0.08170467,0.08837761,0.102594525,0.09040611,0.11011253,0.23900166,L7oiaA4ULv0
0.21869892,0.15605392,0.033761155,0.13257806,0.16470048,0.18732709,0.25324726,0.27093324,fatBpvSkdVg
0.062075276,0.14473379,0.105704986,0.05668414,0.047478512,0.06011498,0.1043477,0.35140973,XVafmjRn2wA
0.09560466,0.0918457,0.019297661,0.075693086,0.13127768,0.16330883,0.24442773,0.36627468,Y-EWqyUzu0A
0.091959566,0.055634897,0.10828095,0.080281734,0.09442409,0.07957581,0.1537896,0.22016762,AXyt714T92U
0.05653482,0.11929519,0.023288755,0.027698562,0.02898999,0.06524322,0.19920205,0.31790844,Skxa_r6n0uM
0.05818152,0.026690438,0.02124131,0.08846353,0.06252178,0.07085302,0.07430622,0.27339107,I1hjANkDvKI
0.06966256,0.13568786,0.092262976,0.052568376,0.035490647,0.03743196,0.17786442,0.28037238,s92C9p-Npxk
0.095878445,0.15843648,0.044405237,0.043884054,0.038720522,0.035140157,0.29655385,0.33131272,JLkk1o6DvWg
0.13547894,0.045948606,0.049898956,0.08538648,0.097048774,0.09855802,0.13480993,0.21015967,b3tOAIhj2ZE
0.090990365,0.020840375,0.022773718,0.042976186,0.030681342,0.05043333,0.15012167,0.42178673,wU9Gzhk29ls
0.033561103,0.008828342,0.015688026,0.022456907,0.027999882,0.049456295,0.042443067,0.37023288,c9narwLbG0c
0.111492254,0.17661394,0.13565879,0.11491964,0.09255149,0.08126767,0.20102161,0.45478117,56grHGnPkgM
