PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.05567509,0.027220072,0.06845272,0.12180476,0.0829649,0.05821762,0.21848424,0.37900725,k9-fqqw_jzM
0.013819485,0.14823279,0.019274905,0.030327583,0.026381109,0.022760283,0.05940305,0.24625765,cz0McBJ3pE0
0.25091457,0.3020248,0.15237375,0.3552902,0.19511724,0.050995577,0.7520529,0.22591463,C0VLK3WDfCI
0.037669215,0.14792894,0.043567143,0.082104236,0.05408781,0.049228847,0.09260108,0.21998729,ExNIl8NjnWI
0.025229214,0.1594805,0.018213209,0.036679696,0.02955197,0.01481463,0.06583965,0.16865656,DaNsztFzn-s
0.04638911,0.04085798,0.05160673,0.058929358,0.03911645,0.059711963,0.21023223,0.2559428,1XYgtSCHvp4
0.1486249,0.05346633,0.114208475,0.1473238,0.1223145,0.190708,0.45104644,0.371146,jJ9QjjaCo0A
0.008397107,0.08008108,0.02311633,0.02637897,0.021371048,0.03020691,0.082383744,0.21406965,zLUGn5Z28XE
0.10130245,0.08724261,0.11530562,0.059728492,0.12560178,0.1208015,0.115335725,0.3369834,HYlOzryJzoQ
0.01821375,0.051387277,0.020327242,0.02124131,0.028637609,0.018888075,0.04980325,0.15855223,QhTYo2rAtTI
0.032643244,0.06783752,0.023135662,0.019297661,0.06268842,0.017012693,0.061346076,0.16928706,RnV8o-M3G4w
0.032865457,0.14989103,0.01940016,0.022773718,0.036955692,0.018379018,0.054516643,0.14717047,TW0F8ocprzk
0.04016382,0.1318142,0.03889005,0.028782474,0.037368692,0.047500506,0.12992251,0.26618376,oCYs9lnq1tE
0.034754317,0.07347784,0.03150686,0.05653196,0.03639018,0.029212164,0.09217789,0.19716997,ZF4uC_MmPhc
