PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.5004294,0.07400788,0.30463186,0.038134854,0.06461804,0.03839648,0.09131996,0.124875195,lQ7T70ILMFc
0.3499621,0.04213569,0.1454879,0.047434058,0.059835684,0.0495556,0.1722994,0.065752484,WnWPXZ6vQB8
0.27043438,0.043405663,0.15026207,0.03990812,0.09283008,0.06971766,0.18332227,0.054941695,tQxT3PYW1Ts
0.27073118,0.05487867,0.1846621,0.034740362,0.05028188,0.05493369,0.11096697,0.06805032,YEoCBnQwdzM
0.42127672,0.12230811,0.44200337,0.106086604,0.20534512,0.044405237,0.13504672,0.14379743,QcZWd75Ph4Q
0.23936273,0.07494073,0.15657224,0.05563719,0.098275356,0.026207292,0.085990116,0.08220323,v68zYyaEmEA
0.31878057,0.12414581,0.14526655,0.11864652,0.1066758,0.05493369,0.04678806,0.13855752,srqPnVckJEk
0.48057818,0.06265603,0.3927645,0.07560274,0.1506506,0.07730943,0.12149362,0.06444252,1ppny7Y8Bh4
0.51354796,0.060953207,0.29371727,0.058627423,0.04680802,0.055732824,0.13446666,0.06976913,AQtMRBMw7NM
0.24831648,0.030146051,0.054753162,0.042681925,0.039318923,0.09924392,0.09310788,0.035490524,fRed0Xmc2Wg
0.5006148,0.08983387,0.2654749,0.086107254,0.15899004,0.2590451,0.07378501,0.1650348,cfX4a7jl1yU
0.30862045,0.10669298,0.18737528,0.08225624,0.10150329,0.038224805,0.038622882,0.11928343,eQArIhZG0yU
0.6015814,0.16813198,0.32562938,0.12975653,0.12164932,0.05413456,0.17079501,0.17467436,IhugmviyP1g
0.18820018,0.036884766,0.1157665,0.022174692,0.037184026,0.035306264,0.079554275,0.059346847,FuAUDI7RN30
0.30521932,0.083906226,0.23749693,0.03789623,0.058631636,0.08555053,0.13025792,0.15924552,yN1FzrAsVnc
0.38976508,0.15221784,0.47294223,0.09936969,0.20601536,0.086087525,0.15480864,0.19423874,f1BLsjjAlB4
0.49807775,0.05979564,0.28136557,0.07830193,0.1425541,0.048525527,0.0773647,0.062862724,xtP7uKON62M
0.4059265,0.070335545,0.22236806,0.047807876,0.05338223,0.0765103,0.09131996,0.09453168,AwrQ_6Ahjcs
0.48033148,0.19081682,0.34202498,0.13533407,0.10991509,0.05413456,0.09131996,0.19675362,RzK4DK-eZAI
0.53614867,0.15840413,0.29894266,0.39318776,0.23360735,0.13206954,0.43714163,0.13704726,qwCHAnrA_io
0.55288917,0.14701928,0.2841783,0.09466625,0.13744177,0.10461388,0.13569899,0.20811243,Ue5AirUGmsI
0.4024483,0.08483738,0.25636014,0.07260583,0.109243974,0.014993866,0.05026893,0.12932022,u0Bl2-LIXE0
0.33472082,0.052169364,0.13411519,0.05404836,0.06676625,0.049898956,0.121355854,0.06077651,ywh4zIpIS5A
