video_id,sentiment_title_vader,sentiment_title_roberta_label,sentiment_title_roberta_score,sentiment_description_roberta_label,sentiment_description_roberta_score
1f8yoFFdkcY,-0.296,neutral,0.8077955842018127,positive,0.7570291757583618
Cnmy08JgakM,-0.5267,neutral,0.8738261461257935,positive,0.6130818724632263
AnYl6Nk9GOA,-0.296,neutral,0.7779123783111572,positive,0.703883707523346
8AAmaSOSyIA,-0.296,neutral,0.7916698455810547,neutral,0.4957255423069
2pLT-olgUJs,0.0772,neutral,0.7222715020179749,positive,0.6310998201370239
8PwoytUU06g,0.0,neutral,0.7818639278411865,positive,0.5986731648445129
vOiP3kfFlrE,-0.4588,neutral,0.6795316934585571,neutral,0.5408595204353333
QfMlHzgzBwQ,-0.2263,neutral,0.7504305839538574,positive,0.7536035180091858
uCKgK6qDdrU,0.2023,positive,0.9264571666717529,positive,0.8587474822998047
54x6yjnzLms,-0.5267,neutral,0.8294901251792908,neutral,0.46228983998298645
cbCt69XAUKA,0.0,neutral,0.9373561143875122,positive,0.524409294128418
9p7-YC91Q74,0.3612,positive,0.5864588618278503,positive,0.5950360894203186
uUKAYkQZXko,0.0,neutral,0.6719861030578613,positive,0.930368185043335
zzD80vCLq0Y,0.6369,positive,0.9693509340286255,positive,0.9181346297264099
P1mInEK7BEU,0.0,neutral,0.8839352130889893,positive,0.5110425353050232
yEllr_kIV4I,-0.296,neutral,0.7557677030563354,neutral,0.9211922883987427
Goo0g_zmFBY,-0.296,neutral,0.9067211747169495,positive,0.6412273645401001
zXITzjuRXYo,-0.296,neutral,0.8435121774673462,neutral,0.7326925992965698
uO2UMEKlBTo,-0.296,neutral,0.8711940050125122,positive,0.6969396471977234
M6VjjM4nMLo,0.0,neutral,0.744239866733551,neutral,0.5827926397323608
r7gKGvjfyHg,-0.296,neutral,0.9051598906517029,positive,0.7583265900611877
glxrwC9zsHY,-0.296,neutral,0.7916698455810547,neutral,0.8546077013015747
PvUdEKEJBnU,-0.6486,neutral,0.7610090970993042,neutral,0.5574837327003479
YHx_mah4Xhs,-0.5267,neutral,0.9401428699493408,neutral,0.7294691801071167
R8oZk2wnpY0,0.0,negative,0.8646942377090454,positive,0.4993067979812622
ohgLmY19jNg,-0.4019,neutral,0.7527856826782227,neutral,0.5009275674819946
lno9GbdrVh4,0.0,neutral,0.8568118810653687,neutral,0.7504563927650452
