video_id,sentiment_title_vader,sentiment_title_roberta_label,sentiment_title_roberta_score,sentiment_description_roberta_label,sentiment_description_roberta_score
EeFg31H48VE,0.8271,positive,0.5922814011573792,neutral,0.6170130968093872
Vdk1cLX8Nn8,0.0,neutral,0.8735318779945374,neutral,0.5503374934196472
Oz9zw7-_vhM,0.0,neutral,0.6822923421859741,positive,0.9413772821426392
YQ_xWvX1n9g,-0.4019,negative,0.6126245260238647,neutral,0.6031271815299988
EJzB_Fa27ko,0.0,neutral,0.8175803422927856,neutral,0.6315494775772095
EjH9GslMCB4,0.4019,neutral,0.5955843329429626,neutral,0.7240850925445557
mGlfFjcZFRE,0.0,negative,0.6046918034553528,neutral,0.6629965901374817
XFfzjWCO-SU,0.7003,neutral,0.7100586295127869,neutral,0.7652910947799683
4dkl5O9LOKg,0.0,neutral,0.8255459666252136,neutral,0.876083493232727
IZaTd0hDtkI,0.0,neutral,0.6331822872161865,neutral,0.6758332252502441
0pWTRsztTtY,-0.0258,negative,0.8843933343887329,positive,0.602483332157135
G7OWIorSgwU,0.0,neutral,0.6655197739601135,positive,0.7447516322135925
mrNOYudaMAc,0.0,neutral,0.8496964573860168,neutral,0.8383537530899048
Zmh_tJEpnh4,0.0,neutral,0.7737470269203186,neutral,0.5742489099502563
p_-gv1Om5Mk,-0.0258,neutral,0.7755002379417419,neutral,0.6601625680923462
Z0J2SePTdU4,-0.6486,negative,0.6112996935844421,positive,0.9743425250053406
HnA75TAD-No,0.5994,neutral,0.5955918431282043,positive,0.6601835489273071
L384Cd427yw,0.0,neutral,0.5621769428253174,neutral,0.806909441947937
vG0wryKTEzI,0.0,neutral,0.6819761991500854,neutral,0.6374082565307617
Axk2WtutbLA,0.7351,neutral,0.7269764542579651,neutral,0.5523486137390137
8St36RjHd2E,0.1531,neutral,0.8287545442581177,neutral,0.7324479222297668
_V0-HGMB8SI,0.0,neutral,0.873694658279419,neutral,0.8777649402618408
YBTdDfRmcrI,0.5106,neutral,0.6613001823425293,positive,0.5578609108924866
-IBEluAQgBQ,0.0,neutral,0.7968736886978149,neutral,0.5660094022750854
kzNfHalWGBk,0.2023,neutral,0.5835102200508118,neutral,0.7842720150947571
C6aeL83z_9Y,-0.3612,negative,0.6233609914779663,neutral,0.7068496942520142
MT0je2KBNCo,-0.6249,negative,0.8916187882423401,neutral,0.7198707461357117
9QWD59PUt0k,0.0,neutral,0.9245150685310364,neutral,0.9147689938545227
NNQLJcJEzv0,0.0,neutral,0.7988290190696716,neutral,0.640360951423645
mIhpcH3-gHo,0.0,negative,0.5147425532341003,neutral,0.7990620136260986
p88wT0jYyt8,0.5106,neutral,0.5857164859771729,neutral,0.6517261266708374
_pqsfDCqUug,0.2023,neutral,0.8181796669960022,neutral,0.5425915718078613
RX1BeDEcfaY,0.0,neutral,0.5483937859535217,neutral,0.7310656905174255
4h2-KIQIOvU,-0.5719,negative,0.8632055521011353,positive,0.9246636629104614
Fk8Skx4xUDo,0.0,neutral,0.8269631266593933,positive,0.5406855940818787
I3JF74EA7VI,-0.296,negative,0.6925768256187439,neutral,0.5043736696243286
wDtt24RxdLk,-0.6418,negative,0.9116252660751343,neutral,0.9020373225212097
NQ14YZg7yUo,0.0,neutral,0.9376457929611206,neutral,0.8698893189430237
T5x7lyWPnX8,0.0,neutral,0.900993287563324,neutral,0.9330272078514099
q_XhJ180Etc,-0.6597,negative,0.8595573902130127,neutral,0.806100606918335
VVhCcgnqmwM,0.0,neutral,0.8674333691596985,negative,0.7988343238830566
dLYPcn1FVtU,-0.5423,negative,0.7614887952804565,positive,0.5447344779968262
0gbP5L8879k,0.5106,neutral,0.7875182628631592,positive,0.9536283612251282
qHcXkb7NDno,0.4404,positive,0.5471335053443909,positive,0.5290532112121582
-o2xPaGiT7w,0.0,neutral,0.44997650384902954,positive,0.8405735492706299
tjvnxYoT5Tc,0.2023,neutral,0.603079617023468,positive,0.728632926940918
eDd8AxKZsNY,0.0,neutral,0.926893413066864,neutral,0.6226204633712769
_VfAU5I1oGw,-0.4019,neutral,0.5322611331939697,positive,0.7348772883415222
GpkXwiHa7Es,-0.765,negative,0.7718257904052734,neutral,0.7049767374992371
QPhFQhVymv4,-0.6249,negative,0.8399736881256104,neutral,0.6196309924125671
rDrppEZm6Gw,-0.7269,negative,0.9099881052970886,negative,0.5598090887069702
EpNYn-l2ap8,-0.1027,neutral,0.7409659624099731,neutral,0.5084147453308105
FzLwoDBQsUI,0.0,positive,0.6255786418914795,positive,0.9692646861076355
AxiI0vJPgUw,-0.8481,negative,0.9562216997146606,positive,0.8291568160057068
ZBgEoxD2nEE,-0.7003,negative,0.8383939266204834,negative,0.8034884929656982
kbfz7gTaQvg,0.0,neutral,0.9177453517913818,neutral,0.5957357287406921
bBKUU2_0uh4,0.0,neutral,0.8910752534866333,neutral,0.6880096197128296
NhHGcUaDKiA,0.0,neutral,0.8796146512031555,neutral,0.66280597448349
sG_v4bb2e4k,0.5106,neutral,0.6190359592437744,neutral,0.7878002524375916
8KRBTfYG3Ic,-0.4767,negative,0.935453474521637,negative,0.9118306636810303
iYmpYJ_C5ng,0.6369,positive,0.7882884740829468,positive,0.885166585445404
D-t_yPrzff4,-0.4048,negative,0.940034031867981,neutral,0.6101737022399902
_noey_NmZV0,0.0,negative,0.8233602046966553,positive,0.9604597091674805
3J-p-ttmb8c,0.6369,positive,0.8752779364585876,positive,0.6189310550689697
1ssuq7l6VDk,0.0,neutral,0.8891786932945251,neutral,0.8785871863365173
b4DbFSXRWAg,0.0,neutral,0.8991755843162537,neutral,0.8540052175521851
1tN2x1IFvnU,0.5106,neutral,0.793561577796936,positive,0.512168824672699
9E4tsoEIa_M,-0.5267,negative,0.7373273968696594,neutral,0.8511253595352173
LLlU2LGqmKc,-0.2263,negative,0.6967800855636597,negative,0.6406524181365967
3ans63rSbJc,0.0,negative,0.7849074602127075,neutral,0.4730013906955719
eHt7tiKu6Hg,0.0,neutral,0.8212998509407043,neutral,0.5150437951087952
MjsQMAd7_SA,0.0,neutral,0.8856754899024963,neutral,0.8488204479217529
ZjArSQQg0UY,0.5106,neutral,0.7655795216560364,positive,0.9595689177513123
dgOGRVyO-TI,0.0,negative,0.7135240435600281,neutral,0.5850263833999634
5wn5z5GyVUU,0.0,neutral,0.8322901129722595,neutral,0.6400507688522339
7OEhqIwJR18,-0.3612,neutral,0.9069685339927673,neutral,0.7530795335769653
Gjo1hlIey9g,0.0,neutral,0.8513782024383545,neutral,0.5891751050949097
fzH7Gjadmj0,0.2732,neutral,0.7685294151306152,positive,0.9658426642417908
omv2Q_PQUZk,-0.4522,negative,0.8547106981277466,neutral,0.5124436616897583
Q1-ZUNMheAU,-0.3612,neutral,0.5942687392234802,neutral,0.682879626750946
hKHVYm23JMc,0.3182,neutral,0.862955629825592,neutral,0.66946941614151
Qzq6KW9dOQs,-0.5267,negative,0.9039143323898315,positive,0.6027109026908875
S9DaxBsuIAY,0.0,neutral,0.8268231749534607,neutral,0.8803074359893799
__eG_waPJ3Q,0.2732,neutral,0.8980051279067993,positive,0.879226803779602
ajG66r2U_lc,0.0,neutral,0.899890661239624,neutral,0.6898426413536072
nrdOPOhRcz8,-0.128,neutral,0.8922296762466431,neutral,0.5548357367515564
2VJFz8Q2cKI,0.2023,neutral,0.8304922580718994,neutral,0.844119668006897
as7acW3B2jA,0.0,neutral,0.8696087598800659,neutral,0.6371115446090698
n9UtOWNVOO4,-0.3089,negative,0.851338803768158,neutral,0.5535788536071777
uPlbBq9kiZM,0.0,neutral,0.9386979937553406,neutral,0.633597195148468
RKL5zVNOHzw,0.0,neutral,0.6224423050880432,positive,0.9890359044075012
XVoX8OPueTg,0.2023,positive,0.6226702332496643,neutral,0.595207154750824
CcmQk9mv5_Q,0.0258,negative,0.8983265161514282,positive,0.905893087387085
cPiQPTtyQfI,0.0,neutral,0.6134136915206909,neutral,0.865638017654419
rOo3-WoaPE4,0.4404,neutral,0.5822030901908875,positive,0.7161614298820496
wOqJzJri8B0,0.0,neutral,0.8744525909423828,neutral,0.7766431570053101
ZMBXGuo2Gnk,0.0,neutral,0.6703070402145386,positive,0.9173249006271362
pFRXGxwat_U,0.0,neutral,0.8856241703033447,neutral,0.861308753490448
s77Tg34dQKU,0.4939,neutral,0.6454116702079773,neutral,0.6582976579666138
HrvnNE0C08s,-0.5719,negative,0.8873845934867859,positive,0.7608164548873901
O7gu_0yJ6hs,0.5106,neutral,0.8959388136863708,positive,0.9047681093215942
MfqRg4BPAi4,-0.5106,negative,0.8616421818733215,neutral,0.7875942587852478
b-hzI7F2Aqw,-0.4019,negative,0.5609429478645325,neutral,0.6229203939437866
OuMpOLsfRrM,0.4215,negative,0.8168334364891052,negative,0.6251989603042603
6O4xvklv2xU,0.0,positive,0.5909889936447144,negative,0.7857763171195984
3-dYfE2TCiI,0.0,neutral,0.8281353116035461,neutral,0.6663507223129272
Sqc5XKiBnQY,0.7184,positive,0.6049302816390991,positive,0.6127680540084839
GlJmpnGwMyA,0.0,neutral,0.7788310647010803,positive,0.9466370344161987
u-sNSjS8cq0,0.2263,neutral,0.5221112370491028,neutral,0.5354432463645935
qzuq9F9ZLO8,0.0,neutral,0.8363670110702515,neutral,0.7748294472694397
LAdpa0iJWtM,-0.6705,negative,0.6609457731246948,neutral,0.7998015284538269
H79nRD80sK4,0.7351,neutral,0.7753610014915466,neutral,0.5780888795852661
t939XKGl7l8,0.0,neutral,0.9371264576911926,neutral,0.6913732886314392
GZFtVJJTW2U,0.0,neutral,0.8485483527183533,neutral,0.5939514636993408
K8Sc5khx5Nw,0.0,neutral,0.8799190521240234,neutral,0.8414859771728516
4E0WYW2xPKs,0.0,neutral,0.8175542950630188,negative,0.928360641002655
RAcxziflEdc,0.4939,neutral,0.7632007598876953,positive,0.6718074679374695
pgTmpTnFoWo,0.0,neutral,0.8716914653778076,neutral,0.6167294979095459
4X4RlgK45mE,0.0,neutral,0.5059635639190674,positive,0.9735727906227112
LN61jzaYlIY,0.5994,neutral,0.8397297263145447,neutral,0.6469403505325317
JVnIQVhT79A,0.0,neutral,0.766615629196167,positive,0.86578768491745
m8u-8kQcM2w,0.6597,neutral,0.8660907745361328,neutral,0.8660907745361328
5dAZTvbmZZ4,0.0,neutral,0.5366837382316589,neutral,0.49870267510414124
peUF5SyBXJE,0.0,neutral,0.9250069856643677,neutral,0.6036860942840576
yOCuipBNsB4,0.0,neutral,0.8947056531906128,neutral,0.893296480178833
WzXGjAhYNPI,0.0,neutral,0.9301132559776306,neutral,0.8526461124420166
SCBYcWeC-ew,0.2023,neutral,0.9354805946350098,neutral,0.8209361433982849
k62yN6Z8nlY,0.6124,neutral,0.795868992805481,positive,0.5749409198760986
THdFCgBwF0w,0.0,neutral,0.9018939137458801,neutral,0.9148617386817932
4ckFoPYUMlg,-0.3182,negative,0.9498283863067627,positive,0.8387351632118225
n-VBRaInTR4,0.0,neutral,0.8269964456558228,neutral,0.9054296016693115
sfW2TGPjBLA,0.0,neutral,0.8948788046836853,neutral,0.7399503588676453
Arvu-vVtZAQ,0.3182,positive,0.7967786192893982,neutral,0.6305851936340332
luAXOfcg-dY,-0.5267,neutral,0.707015335559845,neutral,0.723469078540802
CMFaM2nJjtk,0.0,neutral,0.9239239692687988,neutral,0.93013596534729
A6cx9nyhPDs,0.0,neutral,0.5906877517700195,negative,0.4721103012561798
lG6554HrLh4,0.6369,positive,0.785195529460907,positive,0.7262898683547974
