video_id,sentiment_title_vader,sentiment_title_roberta_label,sentiment_title_roberta_score,sentiment_description_roberta_label,sentiment_description_roberta_score
-qI0F9kT9Zs,0.1779,neutral,0.7545893788337708,neutral,0.7317543029785156
YF2iQAGA5Bg,0.0,neutral,0.5597705245018005,positive,0.8529152870178223
0fcpi1Yje1A,0.0,neutral,0.8418146371841431,positive,0.7057511806488037
-7MBTsO_SaY,0.0,neutral,0.7341866493225098,positive,0.7180920243263245
ATI7vfCgwXE,0.5719,positive,0.7400639057159424,positive,0.5344481468200684
W66RI7xYVsA,0.0,neutral,0.7884594798088074,positive,0.7542237639427185
gfCcI6_1iiA,0.4215,neutral,0.7484219670295715,positive,0.7703520655632019
v6Dnbem1rVE,0.0,neutral,0.9265053272247314,positive,0.9505151510238647
1R6fPlcN6GA,0.0,neutral,0.5498790144920349,positive,0.9301416277885437
1sP81YOiDcg,0.1779,neutral,0.648582935333252,positive,0.9107366800308228
1dybyF48fFM,0.0,neutral,0.8151082992553711,positive,0.9532300233840942
xPxsyk5AKxY,0.4215,neutral,0.4986967444419861,neutral,0.5208311676979065
_g2CaF12xxw,0.0,neutral,0.7678014039993286,neutral,0.677015483379364
eySTo2GgvoY,0.0,neutral,0.8700308799743652,neutral,0.8308747410774231
shIfzNOcNvs,0.0,neutral,0.7453272342681885,neutral,0.5285956859588623
-pNkVMO36H0,0.0,neutral,0.7524904012680054,positive,0.6494694948196411
BXzz5b7kVQM,0.0,positive,0.7814264297485352,positive,0.7345035672187805
Ka7hy-aspHc,0.0,neutral,0.8532068133354187,neutral,0.5590766072273254
YDv8TEqO_Ac,0.0,neutral,0.8833585977554321,positive,0.9515832662582397
gUUaxcRScjo,0.0,neutral,0.8479370474815369,neutral,0.678043007850647
rPlEA5_JrBs,0.0,neutral,0.8784273862838745,positive,0.7152247428894043
065Unau9N7E,0.8313,positive,0.9569714665412903,positive,0.9747986197471619
mDIVpJgjoXQ,0.0,neutral,0.7099311947822571,positive,0.8591400980949402
l9GLBA6oWjk,0.4404,positive,0.5178040266036987,neutral,0.8072755932807922
qJAnBGHhjAc,0.0,neutral,0.7617670893669128,neutral,0.7792929410934448
cXdYAAPfrdA,0.0,neutral,0.7666413187980652,neutral,0.7694197297096252
F-tiSc7G53Q,0.0,positive,0.7211930155754089,positive,0.8289968967437744
sZg8vCDz1_c,0.0,neutral,0.884860098361969,positive,0.8420529961585999
gaHeI894wbY,0.0,neutral,0.6481068134307861,positive,0.7741861343383789
