video_id,sentiment
OCA4F1_4X4I,0.0
YaOoy8gdFvQ,0.0
lgXqRSyyHOU,-0.5267
f279f-Y-O-w,-0.5267
bytUz7T3eHI,-0.5267
Gi5dOvlMCgE,-0.5267
45U8b4gX-kY,0.0
EJIKaE3DMrY,0.0
7OVT3N5_4to,0.0
kxPWXVFopjQ,0.0
EVykkeXnVTg,0.0
D7W5759sOVA,0.0
INIKQVMyKGE,-0.6597
hBQm4UIugXc,0.0
VWsgzQMkLsA,-0.5859
FZIhU_MhB2I,0.0
lP1jlLN0Lgo,-0.7184
_o2C_KujcB4,0.0
MDzvP0-zuwE,0.0
SZqlbWSUi_8,0.0
zzBLWA-khVg,-0.5267
RJoBIMB5h2c,0.128
40xa6aeUrnk,0.0
xdKkR8myrJY,-0.0258
5F3lKtxNNLo,0.0
9lOEAB6jiEI,0.0
MH8zPY1CsYY,-0.0516
7G64shnTb0I,0.0
fS4OiNzdPAw,-0.5267
sXzf3ctMTx4,0.0
3dGe2FXOQOw,0.0
PPbS9OcWVGg,0.0
7h3TgNN8UdU,0.0
cLQbXPSunQ0,0.0
uf2HpbDCM9I,-0.8625
buiNWADqakM,-0.296
wmKwMwYQ-RI,-0.5267
HnEeQMlcsOY,0.0
zAH1g_RNpuU,0.5106
cvmubgc9n5o,-0.296
YHQv4oHPxrY,-0.5267
EjdRmv5B0TI,0.0
-G5Q25E9X0I,0.0
LSEZurv-68Q,0.0
dAvI1qibXe4,0.0
n7yFr33VQPc,0.0
bkiNSodcfRU,-0.5267
7i_nAVxDN-E,-0.34
-UtoqD6Sayc,0.0
i2zwUEc5JcM,0.0
l426IvFpPC0,0.5574
oDE8_4UTuRM,0.0
1apuXh-A7Os,-0.6597
r0nnQdf9y6A,-0.296
pDFmi7DJ4zk,0.0
YRhtY-sXXsw,0.0
vV5yCYvesdo,0.0
LirBkmg8H5E,0.0
0nE-OdSo1V0,-0.4767
K0WKpXSzA20,-0.7506
0fwddg8Ango,-0.6597
tTbUTb-3IyE,-0.3182
KassIV7qLGk,-0.296
Sr4ND2lQ7ko,0.0
n813lZedKXE,0.0
2S2v45_NSYs,0.0
dg4zh5QU2So,-0.4767
gJftJuWlP-A,-0.2023
9Rue6uF_asQ,-0.891
HfuoNxGxYE4,0.0
xYAHPC2BvUM,-0.0516
K_7KciCT4AU,-0.3818
3mLNTbhXkHg,0.0
rrPFQGTc8ww,0.0
DWudD6BvBRw,-0.5267
fzhXEw1fOm4,0.0
kkY2IfO1XwA,-0.5267
ysCwsWZdRLA,-0.0772
cw0A9FUTEKE,0.3182
Upz4oo4cDfg,-0.2732
0yD4dMtS_CQ,-0.34
