video_id,sentiment
PK_iBYSqEsc,0.0
7ZiMG84hws0,-0.765
Xhv5qbjICB4,-0.8481
9U82qnmyaig,-0.2023
qXYpqJvjekM,0.0
oCPVNLLo-mI,-0.4939
FeasKVBFySw,0.0
ZnneC0tviTE,-0.4588
OQk5Qw8hHGA,-0.4939
4LFZA0Rx1gg,0.0
vzInIjD6nKw,0.0
SMDkvJRHaNM,-0.1531
uO9wpQ6b2Yw,-0.5267
3HbD_Q6kmh8,0.0
Y2erDTPtsBI,0.0
EEogeIIOJzU,0.0
ieIFtjnBfJU,0.0
GySgEL4NRFY,-0.4404
VAkTbyENZ5s,-0.4939
K0Cxfc5Whqk,0.0
bEAwYkvZ5og,0.0
sBciZFE8lAw,0.0
i4CAwjfY-dU,-0.891
itBC228XSh4,-0.8074
ZXcsBLcVc5o,-0.4019
Z7JJbEMJONE,-0.4404
5mq8xwitqFc,-0.4939
dsxc3vHmisY,0.0
VveRmJpFW6o,0.0
56OhXUuY2RE,0.0
SnwYYF_gK1s,-0.2732
QbRk3WAIhVQ,-0.4404
dV466B8VVtw,0.0
8WNk674LZrI,-0.4939
JnLcUxV1dPo,-0.4939
nLqFZNfTmU4,0.0
NbA89YbWoL8,0.0
bn64AyrHe4Q,0.0
5WmBt6BBUzs,-0.4404
eRVUvgJpi50,0.5994
0ZqP8moItcc,0.0
9HpEAddV2FQ,0.0258
mY7F4xMcE4s,-0.4939
Mb4MNe1vk70,0.0
igIIkjp5vhU,0.0
Qd4hB_s-GzA,0.0
ZkWln7_88jg,0.34
Df-o5TKv0C0,-0.5267
mO6tpdbcWDA,-0.6808
yRUhDDZsw8s,0.0
WosblHoWh1g,0.0
nVd5w6mLlKI,0.0
DYBhgEm3j7A,0.0
I0Nt6hCJAw0,-0.5267
KbTII7mKXGI,0.0
Mamvq7LWqRU,-0.4939
Atbrn4k55lA,-0.4939
nKog6z2kywo,0.0
75SoOmgKuk4,-0.3182
2oP1oGva0JY,-0.34
-YBOZYcBg68,0.0
YCtfQJAepfU,0.3182
mdHfINfUwgY,0.0
AqRjqmqn5rE,-0.5709
ToaKCzD4RaY,0.0
3ZkFN_-Edkc,-0.3182
4LUDXpMhkNk,0.0
W9RxNcni2x4,-0.4939
gy9zM2Kf57A,-0.4939
M26-B44qQIs,-0.4939
ymTbyNADycU,0.0
-YdGz8HWd7M,0.0
u88FgVN3d1k,0.0
L7h7u2uj_Xg,0.3182
SXvAxgrPj8M,-0.2732
Vgx8Uwo-Vxc,0.3612
qed9gmfCh7A,0.0
bMq1PiUbf-M,0.0
Xd7tqpwdlpQ,-0.34
ZR6ndyfs6sI,0.0
RMkz0VbM7gw,0.0
XaueSvBTZ-8,0.0
eaNHuwGAG1I,-0.4939
C-VNjYXU-CE,0.0
Su3g506sqdo,0.0
nnYN9F0HEUU,0.0
Am7sb4OKwiM,0.0
OmL9F-TSIes,0.0
AfK2h07yd9k,0.0
CVSiCN7Sg3I,-0.4939
d0z2LNEqKe8,0.5106
iDNVM5BOdZE,-0.4588
l5Yp9f2hGGk,0.0
MBytxAhYL70,0.0
FQn9f1LA5es,-0.4939
kTZslHOM3Sk,0.0
JSMFZxjrZe8,0.0
tImTkBHtxKo,0.0
LSD3_8UVRpg,0.0
bWorDrTC0Qg,-0.4939
wxMiTIFPAjE,-0.4939
M4O-qXVL-Co,0.6249
uP0yA-7sMgM,0.0
i2Sgcmmv2Bg,0.6369
Sz_tK2fuJRg,0.0
5PV-exDY-hM,-0.4404
RhbKbLSiJTw,0.0
5WQXEHQlNM4,-0.4939
RYLI-kKwsZ4,0.0
KMlWbCQ48x4,-0.296
fU-2x3N3QTk,0.0
ajOmhj8izfQ,0.0
UV4V1uEBVvs,0.0
4wD6_PpMcXc,-0.4939
9V7_OelWHoM,-0.4767
dhg0K7ybVF4,0.0
gKQ_2jbgJIs,0.0
zEDM9pDY08g,0.0
JeSttW7grrg,0.0
iE2NJscLjuY,-0.6597
U8950hcKZXw,-0.296
0vngXAlVVbI,-0.4939
MiqTsR4zyYQ,0.7184
pJpqv3U1l7w,0.5106
bUxqgDV2osY,0.0772
4e-CxHOf424,0.0
C3E-26oVIIs,0.0
bxKcjjIOQRY,0.0
o16DZZwrsE8,0.0
u0yNLAQwjhA,-0.4939
JPV4LgbjGd4,0.0
