video_id,sentiment
1f8yoFFdkcY,-0.296
Cnmy08JgakM,-0.5267
AnYl6Nk9GOA,-0.296
8AAmaSOSyIA,-0.296
2pLT-olgUJs,0.0772
8PwoytUU06g,0.0
vOiP3kfFlrE,-0.4588
QfMlHzgzBwQ,-0.2263
uCKgK6qDdrU,0.2023
54x6yjnzLms,-0.5267
cbCt69XAUKA,0.0
9p7-YC91Q74,0.3612
uUKAYkQZXko,0.0
zzD80vCLq0Y,0.6369
P1mInEK7BEU,0.0
yEllr_kIV4I,-0.296
Goo0g_zmFBY,-0.296
zXITzjuRXYo,-0.296
uO2UMEKlBTo,-0.296
M6VjjM4nMLo,0.0
r7gKGvjfyHg,-0.296
glxrwC9zsHY,-0.296
PvUdEKEJBnU,-0.6486
YHx_mah4Xhs,-0.5267
R8oZk2wnpY0,0.0
ohgLmY19jNg,-0.4019
lno9GbdrVh4,0.0
NFr-3aAb2Gg,-0.4767
yxjbxsX7y_E,0.1779
Ta8_ASDu9yk,0.5719
1919eTCoESo,0.0
EfJ4aB_enVE,-0.2263
rptV4dEJUx4,-0.7269
svdPTfOpAyQ,-0.296
t9gaMVgKkgs,0.0
KFcUwNl7eXo,-0.296
YSqdzrmJAlw,0.0
DHD1-2P94DI,0.0772
QDUklXQJ_6E,0.4404
cO7iMCci904,-0.296
XgI_p8bKg78,0.0
hxjKZcOT17E,0.0
mPc_Z7SuvPc,-0.5423
AvWVYgzH_f4,-0.25
rK_tmffSghQ,-0.296
i27K2ry9jEo,-0.296
Gn2EWxH7ME8,-0.2263
wGS_lTcBHhw,0.0772
53B40Aw0k3g,-0.296
3p8EBPVZ2Iw,0.0
vkKCVCZe474,0.0
dJlFmxiL11s,0.2732
Jx5VKHQgWMY,0.0
5i8y-_cbwgw,-0.5267
N9rQIk9puXI,0.0
FXloHGTJ_k0,-0.4215
xF4_1h-WUq8,0.0772
JLdSuFF62AI,0.5719
5cMYysFl4CY,-0.2263
V4sWpLJcQoU,0.0
urBJkOFnKVc,-0.5267
-I9Rp0HMatM,-0.296
MznqHWzCv8s,-0.296
huqPu2epmcw,0.25
z2ggDhOqLsk,0.4019
vt-9sMWqUsc,0.0772
31O70ckvY3c,0.0
3M3W5VCsuCY,-0.296
xZaSVMB2yy0,0.0772
2RrGnjxSsiA,-0.1027
3SUtOSaOn1M,-0.2023
qfWx1EPdhwE,-0.296
Q-vuR4PJh2c,-0.296
F6PhNnlb-14,0.0
MmNbGJS57U8,-0.296
OfMK1r41Jz0,-0.8658
NMgWyTivrTI,0.0258
QdIutxfm_hU,0.6369
EPXbWEFQ008,0.6369
Cbb1uqiaMtM,-0.7579
o3mfKLCerec,0.1531
MrV4vCotio0,0.2732
1R1w-YcubSk,0.0
Kc5-kYMGsOU,-0.5267
qk97w6ZmV90,0.5719
4krsAmEeZX0,-0.296
5ourM6YUQPU,0.6369
UgEr_UHwbuE,-0.2263
-b2lNLq3EaA,0.5106
JEEG0hBNk3E,-0.4767
_rp6OqtbVR0,0.0
as5DvVo2P-k,0.0772
x2Ihrm19mCM,0.0
1XBQMd1Q9tc,0.0772
q6NIWNnvOK0,0.0772
nXxsfMyz7So,0.0
2IGxhqbYT1k,0.0
jn5IMNPMRR0,-0.296
ak58fSBBYKE,-0.7579
nO3fVMzvDrs,0.0772
2mkwIgukTuY,-0.296
X13iqiXRG4k,-0.2263
PlqWX_cv7bc,-0.5267
sZtlc1t7x9E,-0.25
3oeimlA6s68,-0.5267
U_Y7Pe0Wi74,0.0
3zl1_XGgDVk,-0.296
StBxsDojk70,0.8176
7nIOqf23Ec0,-0.6597
TqXwI1MWZks,0.0258
fpK5VZCwJPY,0.0
Oa-xdUN3x08,-0.296
k1cLRd7cahQ,0.5106
bkHuvrLxpUU,0.0
4hXKEfzKYdU,-0.296
l2AHpn2i7_Y,0.25
Z_dgrjRlD_4,-0.296
62tEuL1FOtM,0.5106
f0lCIn461co,-0.296
t0Za9A8f9uA,-0.5859
Bc6G41KutHE,0.25
FOVHXpAaCk8,0.0
URtLwJC6gXk,0.4767
v_zGx8seH_Y,-0.2263
WcKW8h1Plec,0.0
IrA9dvgRKR0,0.0
Th97oQ4eF9U,-0.0258
-Xet6BIhtPU,0.0772
QKCkO9fy9O4,0.0
3LlvMrjLar0,0.0
JqYPJtSMHN4,-0.2263
fhWf2OJ5qiU,-0.296
6LVoW7Bkw1c,-0.4019
6zaU5AQsyDw,0.2732
cZsGukYkLKw,0.0
nS_wQV0LjjU,-0.6486
MrIf68WxkuI,0.0
p5xwSkcySoo,-0.296
L1BeGwFoNqk,-0.296
Z78l81is7lE,0.0
Jnkz6q39Dlw,-0.7269
ZEo9SjuUqYY,-0.296
6BdAAc5N5x0,-0.296
3jynwku8QpA,0.0
6TmQiugy_qw,0.0
s6dIsx6j4AE,-0.296
c6VQvQJfD8Q,0.0
4CkVdu4z1HA,0.5106
P4GukOvkeQQ,0.0
5YzzeNrHF4s,-0.0258
Qia2ZXEzyLw,-0.296
K34wxKQT9pY,-0.4767
tfPoEnaCBjg,0.0772
1V64QSE-96Y,-0.5106
sQp904QUFc0,-0.296
aW5IYarq0fo,-0.2732
0_nKiv0i7PA,0.0
pdC3OfWI5cw,0.0
gg33A9qlFh8,-0.743
cLO4uRh4xDE,0.5106
aKFVZu_4Lq4,0.5106
K134RhnDTso,-0.6486
vhcyvcbVBQQ,-0.296
EGhERRQ3GP0,-0.6908
23WPx6sv7k0,0.1513
H765nVNbUsA,-0.296
W-9L0J_9qag,0.0
O7yqw4gCnaY,0.0
eIRQzn3w710,-0.2263
aWJo_Fe20aE,0.0
6auB47_9Kq4,0.0
FgfT2fOv31E,0.0
KFZ4srhXP04,0.0772
RarcD0Q50nU,-0.296
m8HScrQndpU,-0.296
sz3xierpVgg,0.0
tS01JLqO2B8,-0.4019
u30ElgGF8yk,0.0772
hGOYxik3oeE,0.0
qAClNDV9Ua4,-0.5267
hUHQdQfjlSo,0.8126
hAUIGLE8PEo,0.0772
_vV6gwE6Z2A,-0.8074
m5DJMRYDSc0,0.0
9kV7PNH3Gio,0.2732
_ikzZyiwsGU,-0.2263
Gf6WzTAgcLA,-0.6486
rDxPfQEKBHw,-0.5267
U1VYkfFgvVs,0.6369
EmfNKttx1n0,0.0
NRwFRLH9ulM,-0.296
N55JQubU1FE,0.0
aUHabt61HDY,0.0772
9VsDP584zyQ,-0.296
4yxiJugV-YU,-0.5106
8Dcd4BHJREw,0.7845
ycuEk_IRitY,-0.296
SX6Vhj9wZh8,0.0772
u4z7sBiGFA8,0.4404
hRpnK0JXY1g,-0.296
jE11JG2Et7s,0.0
GgJsQCBXXmk,-0.5267
CMUe-gpNzus,0.296
1WIah0t1Bzw,-0.0516
3ukhXFkZYpo,0.0772
T7TkoHtbyh8,-0.3182
oQ--HZDG2ew,0.0
3yL0klflL0M,0.0
zcMOEvUWVTA,0.0
c1lu0QZFA8M,0.2023
Hhw7z3koeHs,-0.5106
IlPFzRSZrSU,-0.296
mUI4hXTmAkw,-0.4588
_4TXcvnx32E,0.0
p-51VIUgR1Q,-0.4019
8NhanDq-psc,-0.4019
ToUCfDEeogQ,0.0772
8jyhJ6TiUPA,0.3182
n9HcNA2AXnQ,-0.2023
k4Y37-Rsv4o,0.0
9JAR0GcL0kc,-0.296
afjBIrq9IeQ,-0.7269
sSbVUcxvQpo,0.0
9wxVX1jn_YU,0.6369
SvxwYVdn-Kk,0.0772
l4kQd9eWclE,0.0
zFQ3dmYdpbI,0.0772
znvIJv7VLUY,0.5719
2RmeXozcBrM,0.0772
d492B8NheF0,-0.296
KieymEt_YCo,-0.296
5bgVXyP0IIM,-0.2023
Xwngi2PwVic,0.6124
bdCX8Nb_2Mg,0.1027
7t2IzgEMG5Y,-0.0258
SRq7XtDW0wg,0.0
_qNmbXRZtfY,0.7184
AqUO8npvBIU,-0.6808
uHVKdiz6CXU,-0.5106
D-8kLwf8xjc,0.0772
rPPu5RqB_TU,0.0
So9gERcgEdY,0.1027
pR0lSGKyLZU,-0.7269
DjMNlYg8xK8,0.0772
ft6MgeTvfYs,-0.2263
6PBhi1SBBbs,-0.8271
pwKOtslwxNA,0.0
N3aSoC0HHdU,0.2023
wiFNA3sqjCA,0.0
AzNvXrcd6NU,0.0
psEbA2ASZHw,-0.34
G9ZsOWZ4K-U,-0.296
BTa6crp6L9g,0.0
kWM3BaCsmQc,-0.6597
8ePGaGH6eNk,0.0
tGrpmOubRkI,0.0
6wEGUy9cTjs,-0.5267
eOFGMW7CWSc,-0.296
PhMwhb0rsVg,0.0
cApi13gQCJc,-0.2023
0K7NNWMhO1Q,-0.296
zn8XH_YGriA,0.2732
H5Q0MOTFfI0,-0.5267
2eYJaYMsFJ8,-0.6705
jCGinKVteow,-0.8126
ITdlvmHpFc0,0.296
mYksHq_m49M,-0.7269
iY4hQd24_d0,0.0
pNqrkGnkUWc,0.2732
IcqsyUGZqzc,-0.296
SbJXu898mLM,0.0
ITvqjnwhJqA,-0.4767
XxZlND8PS9s,0.0
nCMfX8-VuZE,0.0
Z-8sNHcncpM,-0.569
6En0LPb4Hfw,0.7184
_t_DwpxWjyo,-0.7717
5FL5HQzqGoY,0.0
