video_id,sentiment
Ro6r6Rqzqds,0.0
YZIIpQ8hQyY,-0.5859
kUu46J_OHQ4,-0.5994
tIK17paHe4U,-0.4215
hTkywyKV-9U,0.0
iwj-4RphglU,-0.3818
7TJOjAKL7Qs,-0.3182
3xtLXDTxJsA,0.0
bgwS_FMZ3nQ,0.0
cMGvbgogaDU,0.0
iNfTPG7nVrg,-0.4019
A8pfc6zoWcc,-0.4404
g0BKdRywTcg,0.4215
ONgS-1yNjWY,0.4767
kmpqnxpYUqA,-0.4019
EHIKEHCXfjU,0.2732
af5o-4eI9PA,-0.25
aTRbiBrXhWA,-0.2023
rBYXC7w3ajw,0.0
IjDLXxtRzag,0.296
yziRK7j0Zpw,0.0
cy1eRCYS08w,-0.1027
JuSNYVj6Ts8,-0.4404
AF81RV-T6_I,0.0
YsNPwgmeM_0,0.0
TUmOcTkKzhY,-0.6705
3KeITz_JYQE,-0.6369
3YNgPNJpS1w,-0.3818
g62He0p0iwM,-0.7184
bwE620VkaD0,-0.4767
43DGI3yvGSo,-0.2263
_iraAfWBXzk,-0.5994
4XWSuwqD-ps,-0.8126
K8klHKVfL8Q,-0.1027
VhfhOINUS10,0.0
0ThtCIKL7qo,0.0
kyryMkx7awk,-0.6705
Xj-KtlOeWO0,-0.34
I5c32yMoa2Q,-0.2263
8WzMZxT-41k,-0.2263
xdTS2ljRYEE,0.0
7fup7Fcs7UM,0.0
xgj5fKZxSkU,-0.2263
TcfSpa-dyn4,0.0
D71bwVKWxRE,0.0
BpxxTzkb9k4,-0.3612
iQ4jtmHaFHA,-0.4939
jGQhEa_0NVU,-0.3818
CE1ZdHIRI5g,0.0
AxEJ09djDUk,0.0
n6kk3P-clM8,0.0
vTXq2KJieKc,-0.7783
pCFBfFEwnXc,0.0
ROIOuC912WY,0.0516
dRMKVM7vl4s,0.0
Db2eeJza5nE,0.0
SIePpuakrcE,0.4019
bmMf6OdgUwY,-0.6249
VRTFgCe9pLU,-0.34
6R3qbw6i590,-0.128
-eAIKBspVEQ,-0.4588
_QJEZbQxCLw,0.3182
dxQeTc-Onro,0.0
xcpS3i6Dutc,0.4019
PVacZ48k87E,-0.2263
6dI5JeNZ9-s,0.2732
RJLe1ttd9qg,0.0
dzFxTSLvIAM,-0.5574
UT42k4BrM20,-0.8074
zu0TiIWW-sE,0.4767
VQZpM224NOY,0.1027
L7HDeLKW6qA,-0.4019
DTYwFkZVuoQ,-0.6908
UEOfIWi6_aI,-0.5267
ABAUnaQ77ZU,0.0
-n1pHHNYH-E,-0.3182
tksolV5Gkso,0.0
1obS04QLUII,-0.296
_pJDZjnKVo8,0.0
Ds2o0D5HO9U,-0.6705
-oRQjiRHVWI,-0.7845
bSzdd1PHz2k,0.0
-JoQNxty80g,0.0
P4yNVetWHa8,0.0
kFr6N-1vLxs,0.6808
vm_ikHbZU1g,-0.0258
S33HVduI474,0.0258
KgxvCW9f-Ms,0.0
062go1yZG0s,-0.34
