video_id,sentiment
tEBsTX2OVgI,0.0
TJuwhCIQQTs,0.0
0Pp8jcQ97pY,-0.4019
y4vurv9usYA,0.4201
Tbes1mm2VgM,0.0
j3PrAqJ-H9k,0.0
cF2dhWWUyQ4,0.0
ZpoYOgjJ7T8,0.0
lbXjW-cX9kQ,0.0
Fzqrm4ScWzs,0.0
DZXjJVrm1Jw,-0.4019
QHpFC1hB4AU,0.0
JPO-uOPK5RI,0.0
OdvFuVAypp0,-0.6369
EfPgjjhAoa4,0.0
AYnZm8DEke4,0.0
hl0R7tDWLrc,-0.4019
IApo5TBR7jc,0.0
FJ7iPn39i08,0.0
pSGVb60-BSw,0.0
OCYjZdI0WCc,0.0
4m9dHSd3X6c,0.0772
1m45BT5NFbI,0.0
JxpEQY-yiOk,0.0
CfU8-kJZR70,0.802
RBB_81ao7uo,0.0
FCejya1WWC8,-0.4019
tmokkN5cRMI,0.0
JYPeOm5A8XQ,-0.128
275TqUelUX0,0.0
4mh75_u0uR8,0.0
2v33Hm3WswY,0.0
FrsDDZycjfY,0.0
Zx62-79XXno,0.0
7pN6ydLE4EQ,0.0
RcSCi-XDyeU,0.0
P6pCh0tHa7Q,0.0258
4b7oNLSR_yQ,0.0
8OW32QczJsw,0.0
dUbsyd8Fnyw,0.0
o8mhr1PcZ4Q,0.0
i97C2OEia3Q,0.0
CZYqa9rOkDQ,0.0
iWWF5nN7fUA,0.0
1be8NSAt-XA,0.0
ugvB87zzWVs,0.0
PGwBWMN4-Po,0.0
d4G0HTIUBlI,0.0
1CNY6BbtgS8,0.3612
0PHisBzsn6k,0.0
YtvP5A5OHpU,0.0
hwaaphuStxY,0.0
xZcLW64hNCs,0.3818
Y6yiLIfDb2o,0.0
MQQwhnCVkXY,0.0
PgFfercKfsA,-0.4019
oy2pjULLZ6k,-0.34
cIAL1SE0B6I,0.0
NoQbskGHZdg,0.0
QDnm4Ydm6ls,0.0
W5UFg2zyjWM,0.4404
ixRSb00BplM,0.0
CHYWaIZLYqo,0.0
ckuqPTGbk38,0.0
2lsXC-BADyY,0.3612
LJJYgOtPpTs,0.0
6jUv3gDAM1E,-0.4019
PWN-5sY10aI,0.4404
WRRF4NZB3WQ,0.0
13DiS7cPgX0,0.4019
Lk4qs8jGN4U,0.0
mPPIv2nILS4,0.0
3w1c4sF4ZTg,0.0
DKOiPpFtGNA,-0.4019
6eS2CBMSZ4E,0.0
uKxj0ztxkQ0,0.0
n4Ce3rYkuEQ,0.0
ae_Isyek5Ac,0.5256
H4ICGi3BaS4,0.0
3UOwKacq3Ao,0.0
XLKZhe2UKi4,0.0
PCpKPgxwroc,0.4019
DsHXYMdXzy4,-0.3612
z7NeBs5wNOA,0.0
ZfzqBCC30as,0.0
1yva4RZW_s0,0.0
qNgLrPkp2y4,-0.4019
wKlMcLTqRLs,0.0
JiKox8nkCOc,0.3612
Xexl4Tq8wBs,0.0
6oEtF8FdqpA,0.0
brBYzbZiImc,0.0
GJEqIZbv87Y,0.0
sWKEBAXd-Lw,0.4019
y8MBhYsGu4c,0.0
CLiU-VjGsvs,0.0
xTLUYda-0O8,0.4767
LHBvK-MiHyY,-0.5719
myCNIuPZ5y4,0.0
bZ-wCP4tjrg,0.0
qWBfKb3u0OI,-0.4019
xvzz1IxUaNg,0.0
A1AUdaH-EPM,-0.4767
Sx0xnbPGkDk,0.0
edSag1DjlCI,0.0
akDH-Wpj-iw,0.0
plM5Hp5uyLs,0.4019
u-RNJBIDCLU,0.4588
7KPK5sMar5w,0.0
kYDF2AIXdfc,0.0
irqcnMk4flE,-0.1027
0bACSPzN1xY,0.0
o_NbDdBq0pU,0.4767
PbViVDGsDLU,-0.4019
fJ9X5DSnVms,0.0
ouQHa-o5J-w,0.0
Thv5bNNNRzU,-0.9001
A9SXSgXRHYo,0.0
wmAOe_klMKY,0.0
4ALy6I1J1uo,0.0
Fi1PmtREPZ4,0.0
lzK7dqdH3PQ,0.0516
iZ_CgE75HuM,0.0
SoWSuxBy6oo,0.0
UcqBgXCxddE,0.0
8BIcAZxFfrc,0.0
xQc5Feyl2GE,0.0
z-UJW2BZY0U,0.0
Jk-FtgGV8I8,-0.4019
NwEH9Ui4HV8,0.0772
dUGU0pgYBSU,0.296
lXz9TpKGd5g,0.0
6BN1riwLjfY,-0.4215
kJdy5K1DYYA,0.0
_MBiP3G2Pzc,-0.2263
SFzPzsxRKgI,0.0
n2dOGcQyH1E,0.0
OsDH0tChwFk,0.2023
5_O8fDvUCTc,-0.25
873cZKQvlgA,-0.3818
04URF8dos-E,0.0
YUkrdZMKzAM,0.4019
KhT0NxCayEg,0.0
FLBCqJh5R24,-0.7717
yVNpnKI9JTY,0.6369
ueyHqgEuOJQ,-0.1027
3IOthQJwKzQ,0.2023
XLIzifsRUjY,0.0
U_gw5i93T5I,0.0
DJJMbKOIQAk,0.0
uBWCY0yF_5g,0.25
WtgGzKRHT-Y,0.0
7bxEU5Jb9vI,0.0
MWePrOuSeSY,0.0
Gk9T7ngEijs,0.0
Jw92hIfj75A,0.0
1Y6K8Q2QQS4,-0.34
9vLgVubjWVs,0.0
5lXbpgU9OWk,0.296
DAPkOxRnh4c,0.4767
jQ95xlZeHo8,0.4019
OEDhfj71L-Q,0.0
XaK8b87myKg,0.0
uiLJxg72ljQ,0.0
so2iVd7FxXY,-0.0258
yYvyZIGH04k,0.0
2wCsr5aK0_w,0.0
AMssGwFLgro,0.0
YnAUy4BM0w8,0.0
fu09PRd_j-I,-0.0258
TqEZQxP1azM,0.0
Dc5Czy6mGEw,0.6597
4Cyaur7X-WI,-0.4019
tW1-h1ytJf4,0.0
vSLdzdwlb_I,0.0
sC9Iz_z7Dso,0.25
ZSHpFUxOgBI,0.0
dFe0g4BDtFY,0.6249
VKWhjEZ4Bgc,0.0
qDXo83OtzgE,0.0
mX1F1jXbfUk,0.0
XUAsU_zQVMo,0.0
FpEfOkBaHlc,0.25
PaT__mzkHbA,0.0
8eoJTdXHPDY,0.0
i_j5jOadcVc,0.431
OR36jrx_L44,0.4767
o8TpZk-ITiM,0.0
mx88khQVkGk,0.0
QX7shfjuBe8,0.0
62JUI-v7pIs,0.0
4KZWR_0Wyqg,0.0
XEDda93M_mg,0.0
5pu_D8YgE_g,-0.4019
haBENW96T5g,0.743
lvkP45x4ElE,-0.2263
E28LfTbhEiA,0.0
CMzXfOv5Io0,0.0
J8X-SZfCWPw,0.3724
iclWth_VvBs,0.4019
sGXl7TR6BDE,0.743
0H-6iIyQ9Bs,0.0
FU5nUEfCDdI,0.0
jskrIjwIxsk,0.8658
1pHD09XY5mM,0.0
pgxWbldQVkE,0.0
Iy3jYIqRIJg,0.0
T1HQKB2txgY,-0.5994
p4e8hYQcyj8,0.6486
T9j6rQ4rtQY,0.296
qImjs_LS33M,0.765
oSU9570V5D4,0.0
cnWQWa7U29s,0.0
VweAtdc3dyM,0.0
DFRA3vX2Eh0,0.0
8wBwBY28wBQ,-0.1027
q8hrFwfhwNw,0.4404
wtrI_i0ba_g,0.0
i3Vy2BPmMS4,0.0
zatA90699qs,0.0
wqSqdnOTvI8,0.0
4a8-uNbD_34,0.5574
n87yaF37QEc,0.4019
4yAAOI6JUsM,0.0
lUv77d0estc,0.0
aoXRwT6DSHU,0.4939
VJHa9xk16Hw,0.0
8AdjmyHM57U,0.0
ESWScbGOB4I,0.5859
OtwOz1GVkDg,0.4019
kAtMKiqW1kM,0.0
NgfL5hziD3o,0.6369
XsICy5_uAgs,0.0
yKzWbDPisNk,0.0
ybPgmjTRvMo,0.3182
RuV8AddbXIs,0.34
crHrXydfwb0,0.4588
S0w6carvS8k,0.3612
aM9bZqyeX8c,0.0
bgV26ol51UM,0.0
5aMfZp-SCtg,0.5106
2Ux8a9-eV7M,0.4939
-MUgIFZ4rc4,0.069
E-FvExDAqh8,0.0
p4J59GY8DR4,0.0
6Lsv358dCrA,0.4404
J4U7RqomKTQ,0.0
eLlenCZMSTM,0.4588
2jS07j4mL-0,0.8519
XACZSy3lre4,-0.2263
ycCN3qTYVyo,0.0
lk4N7VlzzKE,0.0
uv2vqK8luyY,0.128
M8RVRIXQE6w,-0.5423
g2zA4yslXqc,0.0
RY6bDMO0IwA,0.0
NqMcxk-DsQM,0.4404
2FdFANMCu2o,0.0
AIXgLR4wFuU,-0.3612
IzH8atgPQww,0.0
KmDGvquzn2k,0.0
0ayzc6_DzI8,-0.4767
k7q2A3ic0-w,0.0
ine7xIlLxgc,0.0
DO_sneeTZDQ,0.2023
Y2_wvlyEtPQ,0.34
y8btkdFFg8o,0.0
0ICfbbacQ_I,0.0
SJ93HTeKc98,0.0
6ko5gyFwtf8,0.743
furBVlWOfT8,0.0
dKCdV20zLMs,0.0
O0vCz2KWMM0,0.0
rr9Ct9ebCco,0.0
02Wex_dtFIs,0.0
gI7jAPLsUd0,0.0
6fy7gUIp8Ms,0.0
cXClmauUTTs,-0.2263
H0Eayro5LQk,-0.4767
SgqZY0JQgBU,0.0
0idZghw97dc,0.0
Uu9nD8WQW1U,-0.4588
k3_Gmyp3Mgo,0.0
i1mpKhJGq-k,-0.3612
