video_id,sentiment
VhQYdADfCVE,-0.25
4FNpOm6jNKA,-0.25
gGIsHA1UIQk,-0.25
h2f5bh5bRhg,-0.25
v0cfWrZELUg,0.0
Gu8rLQdEbFI,-0.25
7DmNbYeTYzU,0.0
nWb-A9vrj88,-0.25
OkyHxcRDRjo,0.0
cTF4Oij9Dto,-0.25
YzNO9TDrU50,0.6369
v3f7ILy-0fE,0.0
KY_auO8rmU0,-0.8481
1CLu6C9CfCs,0.2732
2DJG7lVa5Xg,0.0
nL7TxdAT5CI,0.0
0r7GHBmnvCs,-0.7506
AGvZd0RhafM,0.4019
utoST3q9G8Q,-0.3182
hsZDiz0mxiw,0.0
FIfbshpv3h8,-0.3818
OR9tKleuOGQ,-0.25
qUaw761pVaE,-0.1027
Oh008JpcnFs,0.0
nv9ATCAME6E,0.0
6KsOO3GxlI4,-0.5574
OOVozuhyI7A,0.0
ArOnt16f1uQ,0.0665
-ufc8XkLmjs,0.1027
25n-68-sF24,-0.25
uKphrLPWy8E,-0.5106
3sxob3R7h7E,-0.836
naYIb4DyIAI,-0.25
btsUzJ90yTE,-0.7269
FNsBRqt_ak8,0.0
im3Adz_cJ28,0.0
SOyKt-_baGg,0.0
8P9fU_NKOxY,-0.7269
kvK9NFD3shU,0.0
8iTboidZcVI,0.0772
pxGxB4-fCP4,-0.25
u1b8DZpaCHM,-0.4019
QuiMXhQOKy4,-0.25
HxB99FedHN8,0.0
-jZEQ1EOo1I,-0.1531
LSsT4VcEIwg,-0.6249
5b4v_Mk4wBg,-0.3818
O1NP0Cn-vd4,0.2732
cq-MlhqB3iY,0.0
2vesNNJTUL8,-0.4939
MU66wh1X918,-0.4767
nrtp5Un53Ec,0.0
-cmpnyOF2ls,-0.9231
af22qZotvRc,0.4404
0OpLATU_Xus,-0.7184
DW1Nt2I6zxU,-0.5106
HkjS0aHws-c,-0.5267
MhseaklyVFw,-0.25
Xg9xh9DkVV8,0.0
NCcLwvYHZ-w,-0.1531
jGmC1JhY5g0,-0.25
J4b7mTvea2M,0.0
UbddRsXtcao,0.0
d4CONzdYxCg,-0.25
XwA28NTC5oc,-0.6249
76Yy3mKDBR8,-0.25
-6WM6-UatDI,-0.6249
jfyAl4de-To,-0.296
5Em2Sx3PMYA,0.0
uhkkL136KpU,-0.4767
SIGvs7avNYA,-0.25
8Sy-ghUvKdE,0.0
Cz-revNIid8,0.0
8UGn9OVniJk,-0.7906
cBLYlosOPX0,-0.25
OOr0zyvctkw,-0.25
cgI5CcfXtk4,-0.7269
AiY73Tfu_L8,0.0
HIpCRBbB5OY,-0.5106
dy_B2Mf7BKU,-0.25
GpbfhqreKoI,-0.25
KjKgMcaUVSo,-0.6249
OvwhLbSZf18,-0.25
vnlVk-6ZhrQ,-0.25
aEesCR7a-88,0.0
5Dx_pJezTSg,-0.25
fhyFKibtGyY,0.0
QMaRDr13Zjc,-0.25
CbVGsSJ15EQ,-0.6808
8QhPr7I0PBQ,0.0
M9JohoyLZ9s,0.2263
yyML-esBU3w,-0.5106
pp3id4ccTfw,0.1027
L99NF3Y9Pbk,-0.3612
cro2_DWWats,-0.802
z801vFbuZNc,-0.5106
ziRsDJ01G_k,-0.25
Sznp7J-dfJY,0.0
5p-x99gnGwU,0.0
o5MNSTY8HpY,-0.7096
Br3AdnMyJNc,-0.4215
YbeiS3GpNMo,0.128
yJ2M-68AL1A,0.0772
432K0I4FkHc,0.2263
Jx3Dbynu_f0,-0.25
JCeCn-uHhlA,0.0
-7FZSs6DR9Q,0.0516
-0kmjwYd3Ug,-0.25
D2EWMxI4ebY,0.0
5znOAnJQv7c,-0.25
I3nSurT1ZAM,-0.25
gSo9LS-jbQ0,-0.7269
pO-ecdoEt70,0.0
KHkWqYkVuAA,0.0
3EIF_P0CYQw,-0.1531
QefwotO_SGU,-0.25
8FAvAyv3aqM,-0.34
N0l7aQ3KVio,-0.25
42-SQT7Y34I,-0.6124
r-huf9iKGLE,-0.6486
FQnyN6OD4k0,-0.6249
iVkyvD21ABg,0.4939
wdrn-CdjTCY,0.128
buo7aL93oWU,-0.5267
I3B8-aM85Nc,-0.25
bN9Gf9sGgtY,0.1531
2v8SA0M7yLU,-0.2263
Ak_nYL-5VYk,0.0
ri62kVxhHio,0.34
o970hNo15G0,-0.6808
hXRx3bOksi0,-0.5709
qoGwiA2st68,-0.25
sadhcOT6axg,0.0
Ehcq7ezD-o0,-0.25
vmAI6-DnpIE,-0.128
IYsCn-g7UuU,0.0
gr482dOlQyU,-0.5859
77GK6I9kP08,-0.25
kfIbmFIbBM8,0.4404
Y-O54ruKiek,0.0
IdyqDsyyNso,-0.6908
qIghfff7IqE,-0.6249
RF1FeSOh9OE,-0.25
hi83dD9n30c,-0.25
Li6ONIfqKUU,0.4404
ewOygjVWd74,0.0
fhKYwXlMwuI,-0.25
rTnK8rVUWO8,0.4939
fmM4tIZdySc,0.0
yChwecIJs0A,-0.25
U-i3O4ZG3jo,-0.1531
Y_AKtWfBYSY,-0.6249
L4s-aYCPSFc,-0.7269
mxMnIHHT0gs,0.0
03S6Ux-gblg,0.0516
jjRrwBV83KA,0.0
tQ7Ku67DE1A,-0.5267
g7XvwEt_sU4,-0.25
T1rhB5Oo8Ls,0.0
27yGCm80J8c,-0.25
WYZXmxu4U4c,-0.3818
gYw8oYqesp8,-0.25
WR9zvSF_rXY,0.2263
TJb1uKzpoVM,0.0
WNpzSMvsRnw,0.0
ncnHeFuokAk,0.0
WdbuyI4fra0,-0.3182
1iSlcF6r4ow,0.0
Yz1k8DlVluI,-0.25
l2k7HDr7eRw,-0.1531
EQR1pY86Lps,-0.25
sb0wJ3npMIo,-0.3182
ZYXWvIg8zvM,0.0
1v7ZSTqYXlI,0.128
HiATCjx7rB4,0.0
c1mjgSrmvpw,-0.25
625AL_lT7MQ,-0.7783
Piz92Chwgs8,0.0
45yLOPaGGTY,-0.25
WymrUvo0IJA,-0.2263
2mZul6JJZgs,0.0258
NgcPEVPa8vo,0.0
4K5eCOfEDwg,-0.25
5wK6tS6XRaM,-0.25
5uaIKP3eLek,0.4019
6MNARIEwpo0,-0.25
85sPtIetu-4,0.4215
1nbPWP3S1kw,0.0
0BnJ2xj0Gdk,0.0
gL9-bqIpn0A,0.0
uUQF1emFcOA,-0.25
sBQ2gmEHFWs,-0.25
i9dthmrJBns,-0.25
YVOjkZGltqw,0.0
QGaW3MS4yF8,0.0
U3_vR7xTGWI,0.0
KjMEE6ruadE,-0.25
j4WrXRqYuoQ,0.5106
u9ikMo11TBA,-0.5859
DF2BV_opxIk,-0.296
B4sp6etg-II,-0.5719
ydrT8JNiMNE,-0.296
P-NLf0fpnq4,-0.6249
NdThxchhW_0,-0.25
unX9umglw7M,0.0
LB6JfBMe05E,-0.5859
XbMp_8trXWU,-0.5574
wPC4mKXcPus,0.0
eBukXaaeWUY,0.0
Yp5Bi_feN28,0.0
MTfspzTIK5Q,0.0
Tj46uhBWfrc,-0.6249
jxWWBaenvI8,-0.6249
4EyXdky3Ecs,-0.6369
iGU6fLZyKUc,-0.25
_bnZTZicLS4,-0.1779
Eol3t-n4LKE,0.2263
MleVeyRdjlE,0.0
vJf0LyFlRP4,-0.25
s5WKXVzwCxk,-0.25
d-2-Hg5Vm8w,0.0
YVl_ctYA0Cc,-0.5106
ILXYnrLmfDI,-0.2023
XyKPaZt3uBw,0.0
EEfjlL_8Ii4,-0.25
R18tDVOZS4Y,-0.3182
55VrH6-3Nv4,-0.4939
5TAKhPMAKd8,-0.6249
WciU13lgD8w,-0.4005
BcKp_bpbX1I,-0.25
WlfUU_X_2G8,-0.25
Lkt21v6bbRQ,-0.25
BB1C0oJCuXQ,-0.25
Hi-wzBo5HZw,-0.25
J5d53i2ZBQ8,-0.25
3IQkgqC4xOE,-0.1531
AFDLWo3zayk,-0.25
yJ-etV14wwY,0.128
1K0e_O-QDms,0.4404
k4UVYhSswSw,-0.25
VoVnj3vLaVw,-0.4588
wiydv1hIFlc,0.0
t43cHcOstcc,0.128
JKsWJYejtbk,-0.765
gohjcp3u6zA,-0.0772
MGNcsnxHDI0,-0.5106
l81ijjX94oI,-0.6249
zKCMlM29Xl4,0.0
bFb4OwWA-4I,-0.25
Er42TifOuI4,-0.25
6HHgZ4cdkfU,-0.25
CbYaZOUjHn8,-0.5106
32j8_MItp18,-0.6249
ZGYs34shH2Q,-0.25
EjsNWciKG3g,0.0
pEJ8_Paw9KQ,0.0
Bm6jK4eA-9c,0.0
BR6gY7GTUYk,-0.128
1MX34LT2o3E,-0.7269
q56EWiWQOpw,-0.4215
327vkCgaVzk,0.1779
ZPUKVVh65Pk,-0.25
5IDsg604Nh4,-0.25
2OPDggs7IVg,-0.25
h709UKZaZYI,-0.1531
_G2g_MhumwM,-0.5106
17rmMQKgz9Q,0.0
ep7PTGA92HQ,0.1779
0XmMPQMCsjk,0.0
AQMPE5YNi9c,-0.25
X0vAIyKYf4o,-0.25
3ep0NI8oee4,-0.5106
ZL1dfoutbKw,-0.6124
oQcv8VzGYog,0.0
5h8F08sv7tM,-0.2732
WX-8vEne_Vk,0.128
kk0KurwD_vw,-0.5719
rvv8L3NWm7o,-0.25
z1bmdF5Wkvg,0.0
3q4Zy9gXWRk,0.0
Sg2wifJtVGo,0.4404
RMt2eytuTmU,-0.7269
baof85PdUK4,-0.25
NX-pckqSpcU,0.4767
MZK3p6YbzLs,-0.25
ty4eljDZTAw,-0.25
PVDF6XrxksM,-0.25
T5cxyMST2OM,-0.25
f__EUpu7k-Q,-0.5994
raWw7xEpmCE,0.4019
3uDXqgrlTYw,-0.25
NuUPxRCDbek,0.0
LkodhOd6_uI,-0.25
iD2xI6ROZ7E,-0.3612
Ft3V5jNNOP4,0.5267
Rcy_0ojAktA,0.5574
us8SmPDrcOM,0.0
zbJVP0MoavM,0.7003
I0qLet2Bwyk,0.0
fQnziKGP2Dk,-0.5994
BRUhHJlfWMY,0.4404
VeeFpB4pKX4,0.0
YrD06NK59aM,-0.25
Sd_qJSvF4_I,-0.25
nSjF_ffy7YM,-0.4767
87wHT2zjq0g,-0.25
09LAbT1PWcg,-0.25
RGB9x6O_JrI,-0.25
uVNsBdb-MNI,0.0
zUQzEqxitRw,-0.6369
v75jxhW4gWQ,-0.25
G-g0kd78rBQ,-0.128
A-7rtwFW4Xk,0.0
qR3nFLOExAc,-0.3818
Cho-YfLOrXE,-0.25
8JAIqKbJ3s4,-0.6249
LhihBXZR5hM,-0.25
FeY5xq6fvd0,-0.6249
z_zzJAv2_OI,0.6249
laMxGAARseE,0.0
Wrt74P38J8Y,0.4767
TtA15zqKj_s,0.128
iHicirbDN_8,-0.4215
4zXO8YGW_jw,-0.25
mIPWFdFCqSM,0.0
fNdLUfXhh48,0.0
xOTmggDLmrM,0.0
ZKB05g8k-c4,0.0
cRTxlQd1uKg,0.0
Pgr8-hMM_co,-0.4215
b_nT4wzLR0Y,-0.2263
68oVo-p__Os,-0.4404
7HaWUsG7OsM,-0.25
EoyMEFz1ihw,0.0
zykiw6DaDa4,0.0
EO8glHZGHpk,0.0
_5Z4NascMPU,-0.4404
VXLVIfQHeSI,0.2023
jg4692vBe4Q,-0.6249
McVyZialfic,0.1783
29iwl6e06e8,0.0
HD1t4VBQBBU,-0.1531
sOyHzUrCjYw,-0.25
2MiDoKYKdFQ,-0.34
8M9Ack29DCI,0.0
-pS9nhYlvmw,-0.25
U8c3mfIiRc4,0.0
aiTeA5epWb8,0.0
VOJRNusgk2g,-0.1531
EkeLAh7lK5U,0.0
q6gdMAyh7T8,0.3818
wMg7mNwLwBk,0.0
5bk9t3DkaZw,0.0258
5r6i-aALAqg,-0.25
qPdpYD-ZbE0,0.0
2OtocYYowSI,0.4019
5nKMz3M1e2o,0.0772
VpeEnSqnxH0,0.1779
SEmrRerQ5JU,0.0772
X4ZbcN3wmCY,-0.25
Oa29t7VW3yw,-0.25
wXYRZ-0_0x4,-0.3818
bFgANwQiVY8,-0.25
TV-aanSapZk,0.0
qfC3_PBkaDM,0.5574
3O7Of3PYKJk,-0.0516
Tg9UJ3ptkK4,-0.6597
FqViXP0_fvs,-0.4804
CaQrx08cHTI,0.0
q38JWtb7a7k,0.6369
vC48DZg74EA,0.0516
xVqxzWG6XEI,0.0
wSQEXXS7mCA,-0.25
482jMpJui1s,0.0
UOJjat9PzNQ,0.4939
dHlzN-dtVl8,0.0
lS0wzYqMGh8,0.2023
zENWm24AmqI,0.5106
Of-bSRuW4OI,-0.25
F_0OwQNhLfQ,0.1779
CyX_vxGzM40,-0.5267
y-ruXV7t_Es,0.0
XNZGVNiN8nM,-0.5859
S94w9fKsj4c,0.0
HyBotvjYvfI,-0.6249
