video_id,sentiment
SSo_EIwHSd4,0.0
yubzJw0uiE4,0.0
hYip_Vuv8J0,-0.34
M576WGiDBdQ,0.4019
KQ7rn3oi-Pc,0.0
qOVAbKKSH10,0.0
gyMwXuJrbJQ,0.0
kHybf1aC-jE,0.0
pSTNhBlfV_s,0.0
EH6vE97qIP4,0.0
3xGLc-zz9cA,0.6369
2yJqjTiwpxM,0.0
QphJEO9ZX6s,0.0
bBC-nXj3Ng4,0.0
V_SW9LjPUC0,0.2023
3DTa7J6Oads,0.0
YrHCD7nx29o,0.0
Pl8OlkkwRpc,0.0
w7HDA8gUbpQ,0.0
8Ee_OhLKv6E,0.3182
93E_GzvpMA0,0.0
r43LhSUUGTQ,0.0
GqWc-6ibbio,0.0
RplnSVTzvnU,0.0
G7OWIorSgwU,0.0
NKgXEq2VKwY,0.0
VA-46Goc0e4,0.0
cshgMRGcc3s,0.0
_160oMzblY8,0.0
QCvL-DWcojc,0.0
JPGNvKy6DTA,-0.1531
qF7dkrce-mQ,0.0
GVN0Ddr3xig,0.0258
k53LUZxUF50,0.0
zGDTt9Q3vyM,0.0
GgaUyrq8-gY,0.0
X06TQOOBrhM,0.0
PKhAmNWME5M,0.0
euj4zcpdrWA,0.0
DA49Dh1-NPY,0.0
uGPC9wNTBbw,0.0
YJyXfjbBmc8,0.0
5auv_xrvoJk,0.0
P6vYyqHG54Y,0.0
dn1QsirJ8gk,0.0
jB2hbGb-0_s,-0.5994
tz6oNl8ojiA,0.0
hyje-Jy_-rU,0.4404
OwnFf5oZil8,0.0
FDfqs4Bx-MM,0.0
ipwxYa-F1uY,0.4019
roO0tIpYk6Q,0.0
5x7OXCKKJiI,0.0
coQ5dg8wM2o,0.4019
e0z3rVoIzb4,0.6369
8o9QxMxhTp8,0.0
MKwa-BqnJDg,0.0
e8NKbusx-Nc,0.0
MBCeuieZGwM,0.0
rO2LSBDekvE,0.0
sIxlWKGQKkQ,0.0
rWTwcySGvrE,0.0
2rgbOv_ab4c,0.0
AFdV530ZkWA,0.2732
UqQMSVfugFA,0.0
Axtrr6RT7xo,0.4019
A6WBZFs7fPA,0.0
Voc1kfo9vXc,0.0
H-Z5ZYq6zio,0.0
u5HgPV54z_I,0.0
Dh7OyB5lJ08,0.0
YpS0zoJ9wCU,0.0
2iF73cybTBs,0.0
RT7x0lQvSLk,0.0
ZbHLNinXy9E,0.0
P2izCyFt_d0,0.296
3_CYeEL9hwI,0.0
sDNN0uH2Z3o,0.0258
OFL2DsiU3uc,0.0
jMihd-gqb6I,0.0
vjwBfVRQPt4,0.0
My14yOFlbmk,0.0
0O2E9bCpKDk,0.0
WnEYakUxsHU,0.0
xy9yxeaFP74,0.0
0JuRzN6T70I,0.0
SMEOKDVXlUo,-0.5859
vPMDpb9ho4s,0.0
uULy2rc6YDc,0.0
Wn_Kb3MR_cU,0.4019
rcNg9KsXuMc,0.0
PpC-B1ohVxQ,0.0
dl8Hl91siM8,0.4939
Xq0zpHPBq1Y,0.0
8AtGrwSN8Nc,0.0
G3psxs3gyf8,0.0
ZOlNtEmaiTs,0.6369
RaQKTgGyyyo,0.4019
OSkn5qZws3w,0.0
mr2l_QWebxY,0.0
6SGbc8eJzEY,0.0
4oB6BnYtxbk,0.0
0uLFakqctJQ,-0.7712
TIDLH2ZOf54,-0.4404
XYOCK4uF7XA,0.0
csEgF-jLeB8,0.4754
znwOhOtm6go,0.2732
o1ugNnMyeZc,0.0
YBHeDvgA0bQ,-0.7096
70m_s6ltfGU,-0.6908
thFp32bJBhI,0.0
KARxDX5DTgY,0.0
f-gvVi3JMlY,0.0
HMdwbq1JJT0,0.1779
v0V_zkng4go,0.0
lKi8OtMb7yY,0.0
LpjEXnmB1zs,0.0
pJHC7Ruzg3w,0.2023
jKYhLpHJv8U,0.0
M2FZ_xO9RwU,-0.4019
u-vrdPtZVXc,0.0
P95nMoz8dno,0.0
giv2f1FebFA,0.0
7ctdLdX6WCQ,0.6369
J8I6yFT_zB8,0.296
myLx6o5on70,0.0
mKCcki6azHo,0.0
ui3Dtn9tgJE,0.0
0ITPtnSHK94,0.6486
bN3seZiVJmk,0.0
OEJGQD1OuKA,0.0
IB47WJMwFfQ,0.0
w-NdQECb6sU,0.0
l7N1i3nmbAY,0.0
qk4gZrBR9CU,0.0
V0JdeRzVndI,0.0
vokEw1wBKl8,0.0
0HppDzMemjE,-0.1531
36ubP5Ydh-A,0.0
n4pK5vz1l_U,0.0
q54j35z3fPQ,0.0
LsAooaGkKjM,0.0
lXRYdKbOOJI,0.0
OJDmnvXwHC0,0.0
VDFsUCXpMCk,0.0
xUmpCNIz_Fw,0.2732
Yn8WGaO__ak,0.0
rCjVfuR93dk,0.0
9iQb4l0aDuE,0.0
ggbZ8YedpBE,0.0
