video_id,sentiment
HHf8t982RWY,0.0
dcBXmj1nMTQ,0.0
LxgMdjyw8uw,0.0
G4H1N_yXBiA,0.0
dIsjcG7hTmo,0.0
uynhvHZUOOo,0.4767
EtW2rrLHs08,0.0
febBRv2Vftk,0.0
-Vm_gabtIA8,0.4019
ZAB3plABtnU,-0.6369
yiw6_JakZFc,0.0
5FHlzGOsueE,0.0
nExh4k83tVo,-0.3818
ifrHogDujXw,0.0
9PbxMoqt6x8,-0.2732
wCIeAqusDuk,0.1531
qFixRRbIjYg,-0.5574
1_Ow4sU2p4w,-0.3612
heIZzpDA0mY,-0.7269
mdqR9gJN4NM,0.0
QK7g6pgaC7I,0.4215
QPDndldl5CI,0.3612
tcj9IGY6Etg,0.4019
g6H9Q8wB4h8,0.0
CAB5IMaiag0,0.0
SDRxfuEvqGg,-0.2263
I79-EDGIkp4,0.6369
R3JsEsWmzog,-0.296
QlQ-MEZgRGY,0.0
ndYH2PLyCUA,0.2732
PeYJTluQ5tM,0.3182
jGwGbAS7i9w,-0.8271
cn9PhiDJp-A,0.0
ZfFvLJyPf3o,0.0
6zFQsNfLhuI,-0.3818
Al35NHMAaAU,0.0
WkvPdUtYhX8,0.6908
qUfeHUiyY5Y,0.4019
-D_Np-3dVBQ,-0.1027
PtP-sBbeL2A,0.4939
wbR-5mHI6bo,-0.0258
ipVxxxqwBQw,0.3182
vpTHi7O66pI,0.0
dZ6XTVADtf4,0.1531
MtA_lKXCT_E,0.0
hatkGFTPyUE,-0.0772
NGbXcRwtyyU,0.0
Wp-WiNXH6hI,0.0
EXkbdELr4EQ,-0.4019
qnT7IYDNXcQ,0.6597
5YcvKvxWaCE,-0.3182
tlWuP7wESZw,0.0
f1rxv1yPQrc,0.0
R7FAAfK78_M,0.3182
SaIHzBXk78g,-0.34
t1V0Qu_rfks,0.4215
63vi6Yl-ulo,-0.6486
XTpnYo6IloM,0.25
uvqU_L5PZtk,0.0
GSIRedbcGYE,-0.4019
jAa58N4Jlos,0.0
2ZGSSb4I43M,-0.1531
es2zp9ziKes,0.0
xZ8N10-WXjM,-0.5859
5bhBvHNrcSs,0.25
fDlikIfpdR4,-0.3818
i4Hnv_ZJSQY,-0.5095
bxl_lLy67ZE,0.4767
2WNPmecZlS8,0.0
uMxsfImpaYM,0.0
A7ktYbVwr90,0.0
uqwvf6R1_QY,0.0
vy3gMVGwjuc,0.0
6iM3kHSRNu8,-0.5719
e6eeiLoXXB0,-0.2732
N1cdCUZNh04,-0.2263
VJc4KxGZhXk,0.1779
zZkpuglrHy0,-0.4767
8tj_2507rv4,0.0
dFMMssyRsWo,-0.2023
N6t6QHQtdVw,0.4404
dC7A9FHLreI,-0.2023
DkZ7BJQupVA,-0.6696
EGCYrK9ZC7k,0.0
JgvDuLcL4yQ,0.2732
YlkfMYgWUtA,0.0
PKGZdok74f8,-0.2263
XRKwjdjPe7I,0.0
pLU8v8fAw7s,0.0
STFoSxqFQXU,0.0
sN-y_DJTA3Q,0.5994
VTfgNFz1DBM,0.0
9ydDNU3-ay8,0.0
rzQKEkE5uJA,0.0
OWXoRSIxyIU,0.1531
jMB6FWUS41U,0.0
m3hHi4sylxE,0.3182
xKCuDxpccYM,-0.6771
EuwMB1Dal-4,0.0
4R_9ibLeQT0,0.0
G9_d2W5ECQU,0.0
exG0C3KB444,0.0
SY9NjD_5WWo,0.0
KrIRwws7LGQ,-0.4588
7vOwjNTDwBE,0.0
vjZnUl3OkCI,0.0
n9Ej5E47TNI,0.0
vBjabNusoKM,0.1531
Y3gqoDUtmt4,0.7003
SiCvGQnweAg,-0.0258
t9o7S7qNYSU,-0.6908
Zk0k_-EB3X8,0.0
1MG0SYNAgtE,0.0
hLIaMR_I56o,-0.2732
uPxDnb2-aVI,0.0
w4O4jK-lZrI,0.0
ffjIyms1BX4,0.0
e8Np-fg8hnY,-0.5859
o-TMOeCDeus,0.0
z6JVmhKsHDo,0.0
Kl5ctZhyxm0,0.0
