video_id,sentiment
6FwktojgS6Q,-0.5994
8hOJFqawlPU,-0.4215
7pswciaJHA4,-0.0772
uMWAfbPSzYY,0.0516
9gz5wI07Doo,-0.5994
-Acs4iWERZ4,-0.3612
hRqzwJJyJkg,0.0
GLguz8Fmirc,-0.5574
lFF1wEBBrtI,-0.5994
JgZ7liA4zd4,-0.6249
eQYAQeuqnS4,-0.5106
penkruUXjvo,0.0
4svkR46CesI,0.3818
fSOTJcUob0A,-0.5994
KsNgHpYOaUg,-0.6597
kezAqHaDg2E,0.0
_Eluqg6yNFw,-0.3182
MR3RT9-2E8w,0.0
8eraNZHM1to,-0.4019
5YVnP00RdHg,-0.5994
TkLKIaNgDdI,0.0
gLviYFq3IFA,0.0
3Uzjp85iClk,-0.6486
HSZ7-OH23ag,-0.5994
wb_IjkTXjRw,-0.3182
Ue-EvH4Rqnw,-0.6597
EcStrLEvizU,0.0
3f4VPTPcxjo,-0.5994
wAWQ_FHzfHw,-0.5994
vCbsM7HiLJE,-0.3182
-jSvT9Xo4cA,-0.296
3QIvZ4BMwQM,-0.2263
QXiOVwAzVxc,-0.0516
fDQZLyUU2D4,0.0
wMKY0nkpR6U,-0.0516
rc00JlRf54w,0.1027
dfIm0kP4I7U,0.0
laszdRd6AJ8,0.0
AwOCzvdSqwk,0.753
cIdxAy4GhZQ,0.0
fgnQlyG6y-g,0.0
8zIx0Nn7CNA,0.3818
ohl3ZBCGoeI,0.0
6u_HX71ca-A,0.0
KmYa5IAxAfU,-0.4588
sl7sHwhu6pA,-0.6369
D06gGT-pkiA,-0.5994
DzZN3rmN_IE,0.0
zf1fL_mah84,0.0
EZcAT1uq1QY,0.0
XT72CgEJQNQ,-0.6486
GZ-k3oblIM8,0.0
rMkC6MeN5gU,0.0
iq3KHu7ibLU,-0.6486
haHEZ2gA684,-0.7488
21uOgV0Klzk,0.25
Tng_q1yZFgU,0.0
bMQCBFwI7O0,-0.7783
-7Y9sgbFja4,-0.5994
n9YsQeUp1qY,-0.4019
2FhIbyKJpaQ,-0.1531
xPqQy_sxhbQ,0.0
cZ1E7Kv4KvY,0.0
g1wdSjc4dis,-0.4588
ORPH-nzpm1g,-0.5994
PWCjPaJLY5I,-0.5994
kOCxS0btDXw,0.0516
WTXJkTGu7o8,-0.5994
IzXIov983ME,0.0
eAI4G8vqUCE,-0.6486
pN9nE48XKBw,-0.5994
J4EJechgkJY,0.0
YkzlsOnbCvA,0.4019
rEa0kO1QuK4,0.0
Qsiq87InDE8,0.0
aVy_HSAT4S8,-0.5574
oZjrbADEc5g,-0.296
xd1pXw1DmsA,0.4847
ULlGqrBHhsk,-0.5994
ANzaLU0MDHI,-0.5994
4U7BvpzdN-w,0.0
-_kKboxpR34,0.0
YsyKjAsz_yg,-0.5574
iyXoQ3UdwOk,-0.5994
HqzGK8bkpus,-0.6597
bt4eafvv_mY,-0.5994
6wIU3NDPu0Q,-0.5994
HwHtu3yCKtY,-0.5994
DXWUVSeWdsw,-0.5994
0yN9JREW6Hc,0.0
gV9b6WmEfC4,0.0
PO3zW704sVM,-0.5994
jcyyq--B8OA,-0.7506
jsjRlr3uwCA,-0.5574
tizsFEuXodk,-0.5994
m_XqqgnUWpE,-0.5994
wqtCN_N1U-Y,-0.5994
79TArBItZP4,0.0
IF017zfAG7k,-0.5719
tzOlP-OYFns,-0.5994
wsfiVU1Ed3I,0.3818
RJRFSCUOkjg,0.0
JbnO1SBNmrw,0.0
e1vcGnqLl60,-0.5994
7lp7RaVc_cA,-0.5994
UuWqlGZgEVo,-0.8074
xYZIcWU4lO8,0.0
zEwnBpZ0TVU,0.0
VW8HMKk3r5Y,0.0
OSRQnF2fJ3U,-0.3818
Gp2BNHwbwvI,0.0
MMLsO3U5pi4,-0.5574
WgeFLW7U65k,-0.5994
3eEq3R8S7FY,0.0
wqYB9fJ8Fcs,0.0
S5QX7AX_qsI,-0.8442
NrP_erwutME,-0.875
8tL-jgcCjks,-0.5574
CGtcaCaRkAo,-0.7003
ILVYD2BY1mo,-0.8591
AZkf45IYqnk,-0.4588
X_tjsgVdK-A,-0.6705
wTRSlZEq_l0,0.0
AXr6e_uzDVk,-0.5994
HCg-6dNtBN8,0.0
VRq4wBLUxoI,-0.5994
XYKMw0iYT4E,0.0
KHHcTNggZrI,-0.5994
6IOd-73kXdc,-0.5994
l_YJ7-N3XYI,-0.7906
EbFp0ba0h9k,-0.5994
fk0xjeNxHbE,0.3182
EcJ7KjLfMfc,0.0
vEOgsRUnWdU,0.0
Ys8txD6r18g,-0.5994
GjoAzB5HJtU,-0.5574
BjFllXhAP5Y,-0.7717
gepaRTrSdO8,-0.5994
3tLvs0vShOE,-0.5994
_6gb7ds8nFs,-0.5574
XxRdV0Vftrk,0.0
a2Quq71FeQs,0.0
goiz-jO6bCY,-0.5574
Mij7Sh0KeOo,0.0
IMaUIbLdT9U,-0.5574
O9dP-sWm1kM,-0.5994
K-qQm0zxOyo,-0.5994
wbksnMdz0wI,-0.5994
p8blOqK90PM,0.0
qsvsT7nOKvQ,0.0
UCtKd1LClHs,-0.2023
BeTurYZuY4A,0.0
G2vkwnFepe0,-0.5994
Peajsl3qd4U,-0.3182
z1P2RNZNcsM,0.3182
BzPCUjiwAPo,-0.5574
ZEclJhdcOzk,0.3818
t5M2hDE3WVo,-0.3182
FuDHZ7u2DCA,-0.5994
m2O534ZL04w,-0.6887
ZqObtA5euww,-0.5994
PfcBukmWByM,0.0
W2l8QUSrT0A,-0.7717
m2ysBhvm6XE,-0.5994
SPyMlTdYCqQ,0.0
V-XR55ZAF-Q,0.0
OSITTsFjIl8,-0.0772
MjcYPlcAO6Q,0.0
DhRWMr04bJs,-0.5574
u4IaQGZoihc,-0.5994
dsG0_k4Gbys,-0.2263
zI1oBTRZfSA,-0.5994
2w7hKlxz-t8,0.0
kc-OPynxnDg,0.0
P-nwlNRyCI4,-0.5994
zpZ95u3x58E,0.1798
N4Cv3ISk24M,-0.5574
gaSS5FP2VSs,-0.6908
9u56d3rO0B8,0.0
M9vlR4AIDnc,-0.0258
DrFkclD_kN8,0.0
uOHgcAqkmmo,-0.5994
sDg1l74Pk3Q,0.1476
jN0mnyeov7g,-0.5574
skRQRYLxQMw,-0.7184
bNVkD49-o1g,-0.5994
96DtiTOp498,-0.0516
RnoC7lpNBcY,-0.5994
GepEgtUQfsk,-0.5574
CXCYHt8shXU,-0.5574
edgz85xKcs0,0.0
H-TsgTfp3yk,-0.6369
wBDLRvjHVOY,0.0
oHrftNgaRYk,0.4939
JJUcVp3zKuI,-0.8442
z_NHL4Xxfig,-0.5994
jRHV5wZdj-I,0.4019
ZdtEpv1Y7Ic,0.3182
fP27hJhQ984,0.0
IL6-0mDZoGc,0.0
v2-0FPNDZQ8,-0.7269
