video_id,sentiment
YE24PEPxBgI,0.0772
QtjY-SsjBZY,-0.0258
ijayrVdrgNo,-0.6908
Q0tEGo7ueNs,-0.8442
JvpZm0QAKLc,-0.8074
bkLgBdzu-78,-0.5267
hDgY3w-nIFc,0.0
zXAXgSVvH8Q,0.0772
gPFWLP9_R3k,-0.1531
jUQu5TlgLjY,-0.6597
1r-u7FNUtXQ,-0.1531
G4PrvVfa6dE,-0.0258
FVGlTtyDQfY,-0.1531
jMiewX97mWY,-0.2263
R53p6s4oWKU,-0.5574
iGlcM2J90hE,0.0
XQHa2aXTHrI,-0.5574
_SmquvgWVaE,-0.1531
ldISsPXTnI8,-0.0258
Ve8S0rGd9-c,-0.886
s2hXoPMznfE,-0.0258
LoJTAZjlmHk,0.0
GG1GB7bZkI8,-0.6249
JeRrxj8dTuQ,-0.5994
E0e99w2sCzA,-0.296
aKUV0E83LjU,-0.8074
ovFPHKjIQWs,-0.5574
0d_AEd1UelA,-0.296
Rn-nZWhjOXo,-0.7964
6RcPYARmhqE,0.0
MyCnSXFslHo,-0.3612
eaml9K08OyY,0.0
GAY-oQBey90,-0.6705
1CjE7J4ig_4,0.34
bdvVfuLMnDY,0.0
RUuD1TH-kbg,-0.6908
yrWdCQiabV4,-0.743
OZqvslc_ZMc,0.1531
cmYACEAFb8I,-0.7269
cPdjMTauo3Y,-0.1531
TfDpyyMwCik,0.0
G7AuKw-yo8E,-0.8126
G8q0B7nR-ns,0.0
h94DMw6Xmk8,0.0
MdZESZq6HKE,0.0
55wLozgej4g,-0.5209
Zalzp1alNQw,-0.1531
sBcRjJ_zgQA,0.0
jXsuc1vtnBA,-0.4019
NuXsvGVqegA,-0.34
sltDtWQOQQM,0.0
Y5rxe-tRYkQ,0.0516
Nd67a5uOMKA,-0.6705
XUlwwDgKOnM,0.0
Vjp5Tcgxn7k,0.0
gTK_q2O0zZ0,0.0
kWHj4LzMiak,0.0
tbe82uw9Hms,-0.4215
hvrvXHMU5ZY,0.0
5QBAUUYkqkI,-0.1531
ykH3LD6vTzc,0.0
tr8LpByJROs,0.1531
t3fku8lTTz8,-0.8442
dfF6ZHsAHjA,-0.3612
UQZ5-eYObt4,-0.4939
T84qEvD96rg,0.0
bkBeQAnAiXY,0.0
XGcDbo9xMaA,-0.765
_DTfE7EtSIo,0.0
Apuhj_G90QQ,0.0
fl1DvuOI01U,-0.4215
6ke2leudWEo,0.0
b0YqtQ7J5Sk,-0.6705
3ups2fybp10,-0.2732
QMLgRYB8hJk,0.128
5C73JZv2Wpw,-0.34
5PzrrT2M5sM,-0.6908
hZcBYnT1yQA,0.0
JMUMJNBwI5o,-0.0772
B-yHStTyojA,-0.7003
Nd6oPaEXajk,-0.836
s5mi1b8ekqQ,0.0
Cq6aRHzmGdg,-0.6908
HiftV8AZYDk,0.1531
vuTYHctfF5o,-0.1531
OVq9SFwSmao,-0.4019
qrdgzrK35pg,-0.7351
7rwm_MH6coc,-0.7003
Lydujn8BEiE,0.0
M6kBLvX5yro,0.0
9acXA2_T3V4,-0.8779
oTEfF5_TrUQ,-0.891
m0jkhUbSa-c,0.25
oXInE9JuvU4,0.0
tMgWfmBC4kw,0.0
bWVDgsndC40,-0.1531
IWbA2brcEbg,0.0
nKecwmnHC2s,0.0
pSIF8T2OQ9c,0.0
pQI8kmS54eQ,0.1531
vgrohePMDmg,0.0
D1n5FtJumlg,-0.7003
nZK2SSpFygA,-0.8176
nJuaDWPuFTc,0.0
OGJMC55t42Q,-0.5994
ZfHVyVvA4m4,-0.6908
gYARTux-LE0,-0.7096
RNBjkQ5x_p8,0.0
gnTGoch_aDo,-0.7351
RvWP5_aWlsM,-0.7003
FbuJ69uChjU,-0.743
2q7v3AnQUNo,-0.1531
cZKb7-Ar6pc,-0.6705
FHGf4FCApok,0.0
cOlFPsZMMfw,-0.5267
kY3s9XApif4,-0.8176
YiWcwbrZX5M,-0.7351
26f42tQdvDw,-0.836
KEj-Y36krXc,-0.34
WEJ9GSzaXTU,0.0
MyhK9hP_qgE,0.0
GZMdt1RDGVE,0.0
4ceTEPzcgVQ,0.2263
NOY81-m70gA,0.0
5DpauioXOt0,-0.8658
hOZbNjVWdKU,-0.5719
-nuY5ie26RI,-0.6908
WBrbTP3LeKw,-0.6705
APoj5NpzOA8,-0.34
ThbnPuu9SSs,0.0
zb_fdoe2Id8,-0.7906
ix3En1qKJNI,-0.7003
4pbTV2_N1Sg,-0.7717
1IqxUY14l8I,-0.6705
ZgWVH_KF8Dk,0.128
Pw1a0ZCWxHs,-0.8555
bhm0cBiSF6Y,-0.6908
S0GVL8omNB8,0.128
pLp1G4YQOIU,0.0
PcXEHQ9KY7Q,0.1531
hpKPSdsGoxQ,-0.3818
1b5gcyXyXwQ,-0.9118
E4XNcAZaeSQ,0.0
hOJDewD4Qhw,-0.4019
tnozroXZC3A,0.0
ZDoenSI9zKs,-0.6597
abSjYSyimbY,0.0
xnLxXbBTFD8,-0.6597
mm48swwALnc,-0.9081
w51I_t6R_kE,-0.836
UL8gcqobMAY,0.0
h5mWLMTa1qA,-0.5106
czEgldD05cI,0.0
ZgSiu6cj4B8,0.0
DKGIaRcUdKE,-0.1531
RwKft_Aqokc,0.128
j1bpnLUl8gs,-0.2732
sZ92-geeYBo,0.0
CqHTvYRM-y0,0.0
qaXjUC4Yu8c,-0.7579
L7glZvrN7BY,-0.5994
58ufMk6QAaU,0.0
