video_id,sentiment
1aP7FE0ws0s,0.4215
46CAKyyObls,0.0
DQw5NtBPll4,0.0
Q7kPSzYsR6Y,0.0
nJESuhKk_zM,0.0
CSJKzhvx8nU,-0.5859
lH-m_-kzvvo,0.0
0IICuw38zE4,0.4019
YLIS68YfMYU,0.0
v62C-riEZ0I,-0.6124
cHhiDXrk5Do,0.0
HCWMHTl9ux4,0.0
hnxDJKheI44,-0.2732
dWgWP-EU-Gw,-0.6908
cIEuYflHuTc,0.0
QtWP0KDx2hA,0.0
LkJAHFJSDto,-0.4215
wmoxE1sJc1c,-0.4019
Lg3Yztn22R8,0.0
eXlG93Tz8_g,-0.296
i_SpWzv2cVw,-0.5267
MXDP27O54_Y,-0.2263
A1F6-OMmufM,0.0
clgYLEM-hG0,-0.2584
fjSID4CLRrE,0.0
GPBagXouCvU,0.0
2NAhl4Hi_LE,0.0
53m4RlBzhOk,-0.2263
T6YGxCkS3BM,-0.3612
61EqSsVnm5w,0.0
HA2DWMHgLnc,0.0
3qEno6P6PSQ,0.0
4IMDmpYkY-E,0.0
L-KLjB_Olko,0.0
mt6-aSIX2Bk,0.0
bI2vhCV8JZw,0.0
3gWhxI5LqU8,0.0
VO-sIk1htVQ,0.0
L7ExnUvqxpw,0.0
hvOKWeW_Fog,0.4404
jV20dWObhBY,0.0
rpcMwiTx86w,-0.2263
oULMv-bopN4,0.0
cUV8h7f-mAg,0.0
S5Xzagfvv-g,-0.5859
otiDjYtQlgE,0.0
QTCmkIxve0c,-0.5106
69OFP3K-BUI,-0.4877
KmihqVmKGT4,0.0
q6ydDq4878c,-0.5267
onjEieXFYgs,0.0
yYtxxMX9-jo,0.5859
FGY6K3lahBA,-0.4767
HzQycpY4RqU,-0.6808
AL3S_1x5_uA,0.0
3KO8iVBic-0,0.0
jCuSsbsZsSs,-0.5859
y8-v3BkwmJU,0.0
1rrjJyTYbWI,0.0
LkH2r-sNjQs,-0.5423
72QdD58JiUs,-0.2263
-v17_7ojPNg,0.0
4Bol3Cdln5g,0.0
pjKXvqSNIkk,-0.5859
Y15D19usS0g,0.34
svEuG_ekNT0,0.0
ijjwS6h-PyU,0.0
qTGrNAw8Ekk,-0.3612
PDFzO_X9vo4,0.0
YSreS7_zX7E,0.0
vPriOpIek0E,-0.5859
UeRkdZz_Clk,0.0
oKyJas9DShE,0.0
HTc3LRLM8gU,0.0
rJI_cwAt9y0,0.0
90O-q7dgS-I,0.0
zEWYhRYshK0,0.1027
SJZItdQOR1s,-0.4215
xQmfLDeghpI,-0.4019
yj6KpT23UnQ,0.0
ofZOWzd4YjE,0.4939
cOVYUkLh8Qw,0.4939
mQsNkt9yuKI,0.0
q2VRcpP1I1s,0.0
BGdIHlqJAU8,0.0
dRjdkTcqizQ,0.0
2pVwt3-RZxI,0.0
hNFueUCOQDc,0.0
HAl2JJjbu0c,-0.4767
jblC2Ooog2U,0.0
rscduTc3oys,-0.2263
4g0TYwgfQOc,0.4717
J8AHHbiic98,-0.5267
MF62gzBoQuQ,0.0
_QoThsSmMJA,0.0
Zgs3-_sXPsg,0.1027
mfb0D3P9org,0.0
Si7dntPP3S4,-0.6486
Q88so45WKjk,-0.7096
ZfenoKfibJE,0.0
GLgUG8lPHzE,0.0
t244U1TqPwE,-0.2263
8ZxQ5GThciI,0.4939
IZotfTLCins,-0.2732
41P0xr22SXQ,0.0
SC9TvDX6R08,0.128
zAcR6qoNO9o,0.0
s7scSfpwnqw,0.0
y62k3eFoMZc,-0.4939
augKOxUZWE8,0.0
8hKXl7KD2m0,-0.6369
ZegSmm9Jkmo,0.0258
saWPdEDa_R8,0.4215
UhRBX9oYz1A,-0.2263
x0ARaJQQbas,0.0
P5vwrzaQOUQ,0.0
TffQa4KGeuo,0.0
moDwlGWjGe8,0.0
igWKPlD5MiI,-0.296
40o4ONuR3mA,0.0
N2b5Vh3KF4A,0.0
mizD483gFxw,0.0
JaxisLq4krg,0.0
pT_bX9rkqvg,0.0
5qWt1wSUMLg,0.0
DQDfAQo20k8,0.0
HK8d3cUXMGc,0.0
6Z8cRXpuQDM,0.0
guS4-iShCNQ,0.4404
UJdTEvhXELA,-0.3182
Q5FNKoQWDHE,-0.1531
ryEwPqRMFXU,-0.5423
S8flK6wE8Cg,-0.8442
9AhucgvQzGI,0.0
0muLhWNJVjQ,0.3724
L86lAdEGQ0U,-0.34
npRzgcUqVfQ,-0.5423
mhT4LEcSqnU,0.0
md7i1YZ9Puo,-0.5859
Co91BdP_G_o,0.0
-88fOpUQw_A,-0.5859
ckH0RDVueo4,-0.3612
VxbrlCzthec,0.0
Uixa2JtNCUg,0.5209
fF4ZbTvyjbg,-0.3182
P7tta7OKJSk,0.0
2vmrvyMeLmE,0.296
ami4y706qvU,0.0
UxtSSbXiYng,0.0
89Q8OK6p9aE,0.0
YtqIpWMezGw,0.0
b4dLYd2E-_c,0.0
BbCmq0jPUxY,0.0
phH2lTDAN9o,0.128
RD_f8UhNtLs,-0.5267
nYd9EkZadDw,0.0
OR3UMT2ZSjY,0.0
oou9INxAcA8,0.4404
cfglyweLjqc,0.25
8au6UGaO7zs,0.0
BQ0LBdheupI,0.0
7xgiSjwlWL8,0.0
tNnl5ol3P2g,0.0
DiBqdzs1shY,0.3182
8Up73bFTsQg,-0.6908
AjPCOim0jgI,0.0
G_aSatgbsM8,0.0
H4MvbmSoSw8,0.0
HUNeozupEf4,0.0
fvXGmwVVQeM,-0.5859
Sq81MXCmcMs,0.34
wWvj-6OJRtw,0.0
t1TpR53yPHU,0.0
8YI5hGucHSg,0.0
jJSKCHNsmfI,-0.743
MjUNVO2Whkw,-0.5106
3sUyFLWT3Y8,0.0
mX4KbcGt-Us,-0.4019
8gkwiUcqMzg,0.2023
Oui5_FnaZBc,0.0
qMED6Y_wCIw,0.0
5jPkQc_NXLQ,0.0
34CEjFwz6rQ,0.0
ik7SxHGA4PY,-0.5859
stTKMtKTVxc,-0.1779
nhjwWyvuKvY,-0.2263
7cIktf7_Izo,0.0
