video_id,sentiment
GVc6Euwy-g4,-0.0516
oJdWbJp-9I4,-0.2732
Zg_CIVgHTCo,0.0
AGe1x786mHk,-0.5267
ziYak1cIJQc,0.0
pXx_0mN5Kn4,0.0
PX9WJasHpG4,0.0
y57ka2koMh0,0.0
LMKxOFY3qpQ,0.0
s__YT_0d8ZY,0.0
s8yp53T45kM,0.0
NmJt9BMe1YU,-0.2732
yGrt6MTTqCQ,-0.34
4oFXn1uj6b4,-0.1531
YO6JBg5Irnk,-0.2732
md-B0ioXprI,-0.0772
T85qy0aXK2k,-0.0516
eKKeaoHONWQ,0.2263
PSb8FcZ_-pQ,-0.6124
hFk6DgQfh8s,-0.1531
7anFsay6ors,0.0
7F44eSgDtj0,0.0
54IVdcMDgNo,-0.6808
A5SKmZxVwnA,-0.541
SytZ_xPo6z8,0.0
WuPpHQIhHfM,-0.3182
ePIimSKn_vk,0.2235
taJ7_YJjzcw,0.0
78q8mgTfCfI,0.0
FDmnv0e77wg,0.0258
shNpRzE-HKU,-0.4956
vEDNOHKH93A,-0.1531
uN1zbJ6Ckeg,-0.1531
1UiIwCE1yW4,-0.4215
_ZH2fCWzCN4,0.0
eQK9fL1Ed9s,0.0
cr0BS-rKM54,0.0
xUnXFl1U6js,0.0
PfAqU20idjU,-0.2732
voeYMQldU0w,0.0
hoFt-bIHe7I,0.0
dsHkc7uV5sQ,-0.296
7UyGE0HIBLE,0.25
gR_6gDrBI24,-0.5423
Wq7JfnZCTfU,0.0
v291CTvM1cI,0.0
Yrl-NR71iuc,0.0
G7ihtlYsZlU,-0.2732
ORFNpsGSEwI,0.0
ZH4GruHu5Pg,0.0
abSoQcDccZw,0.0
8KOY5PQdR7c,0.2023
c2th4K9sdSk,0.0
CyZgopmt-ZM,0.0
J3jFlSAlkrU,0.2023
XdKX3a5jIo8,-0.2732
fB1afkAaVKk,-0.296
KUwq8dDb7r4,-0.6249
lM94ubT_pzA,0.0
AQbmpecxS2w,0.4847
5FcEjVyFXVE,0.0
C-VjqMZRCTg,-0.5994
E0hNxj3k_nw,0.0
gkwHhlMM9WU,0.0
W31lJVf1pRQ,0.0
Bp2qbEMLxOE,0.0
zgij2mv1cag,0.0
IVZuUeg-pZU,0.4767
9DqLRjAdIGo,0.481
j653lt1K60E,-0.3581
jRxpG_hli2E,-0.5994
jvjAUjocivU,0.0
VPbEX9_obwc,0.0258
3TJdrn4na_E,-0.2732
qVxA9LPTyaY,0.0
XdY7l3qvnmo,0.2732
9DJuycT--fs,-0.128
mlLGGj4gZqw,0.0
XY8kgPEjSJ4,0.4588
DyULPswOtts,0.0
Pz7wQFxOaZI,0.0
3joupvREek8,-0.7003
g98hlyZbqlU,0.0
OR6cmJ-TSaY,0.0
bfSfLc8xlOY,0.0
NItt0Y7fQew,0.25
E7xZ-ws5N9I,0.0
QhuOTHRc6js,0.0
qFyg_rYI2CA,0.0
7FNWR0WJZZg,0.0
GgA6OqJ6TY0,-0.4019
KdoTahnaiZo,0.5859
63rGh9IlZRg,0.0
DPZyvGNyBl0,-0.4588
Pq5sxV9tRB4,0.0
DenKUHx1S0E,-0.5574
D9Lo4gdUBD8,0.3818
Grzs5C429sI,0.0
x7iC8AwOIhY,0.2732
ZBwgg5Sy_84,-0.6369
B3pqMHJ6wSo,-0.296
MrNHNrAmJd8,0.0
WcCLRKaPstk,0.0
NdSlbvVwAOk,0.0
JCYT5ASu2Z0,0.0
zWGBlJFBAys,0.0
Z-F3FgfbBEY,0.128
n5mINmshSso,0.0258
cgAwmNdXcks,0.3182
e1-YgKrYgBE,0.0
sgri5w6mYTY,-0.0516
OcQeYDpX0s4,-0.128
Hecr1SwGAdk,-0.296
EJtaI3DwnA0,0.0
T7GABP-noAE,0.0
LYcnTS8JW4Y,-0.5267
Zd5JxR67IUU,-0.802
Q7dXflJSXbk,-0.1027
_OgSMPmj09M,0.4767
2Ce2HLR3aaE,0.0
JL19_UiTJhQ,-0.5574
2IgQG70QYac,-0.3612
ZY4sSY1UVNw,-0.2732
ngtiFX8qxgg,0.0
fTsFPzUSe7w,0.0
6I_Gdgv4JCw,0.0
nJzX4V1gIOc,0.0
CAvL4tqEP8Q,0.0
eQvvIRyNGSk,0.1139
LC03govl2vE,0.0
yhYBM0jcsWU,0.0
IHnxT6OJmjs,0.2023
sDxL2XwbLi8,0.0
CvrMU2DzmO4,0.0
nJ2xpBPwGI8,-0.7184
1lj6KFXeKHc,-0.2732
