video_id,sentiment
pyUQP-R48yg,0.6249
8KB62ySUVcE,0.1779
xj1xDfJ3D_o,0.1779
FUripP2c5dE,-0.1531
AXTys4QQvlo,0.7269
WjuxxBRP-hM,0.6249
yQ4IuoJL8g0,0.6249
3J4r74YlCZE,0.0
AYG6iKt6Owo,0.0
9QPyPy3ifwg,0.0
1XX88B9QR_Q,0.25
_kSigGDhlXA,0.1779
xF63xhZ-X4w,0.6249
UrFWkoGMbi0,0.6249
3kqf5hgRwqw,-0.8225
IOn_gL3HpJo,0.4939
vnBduzGRtHU,0.128
I2mx-hZQWF0,0.6249
4PfZlxhvdkM,-0.6486
IoHVnWmHhFU,-0.8442
SOahJtcq91c,-0.1027
sB7TsLfHLGM,-0.34
eidisPTsMyE,-0.7845
V2spdl5OUj4,0.6249
gAMBsFUnGb0,0.0
CxUoWEGojwc,0.6249
aVA0-XgN80A,0.4404
hLX0I0XiYoE,0.6808
Cjlte4xVu_Q,0.6249
ixF6pDTInak,0.6249
OjBGADt2jdY,-0.6124
IvI2YJA1pm8,-0.7184
4fRSLY7ZYO0,0.6249
nEQxv0OQ4Y4,0.6249
wubP6CIKAc4,0.0516
674kFkrggZ4,0.1779
k3bWN0MiYKA,-0.4019
mc2TAjeok10,0.6808
v5Y3DGzWAzw,-0.7717
rZVlqVrz9Bc,0.7579
zD5ayknDVJc,0.6249
I3-7fJX7m3M,0.6249
Qtv74QgJibE,0.6249
sefo_-QZZ9k,0.6249
LQQAhvnhPWg,-0.6808
L07RcsSLt4s,0.0
iEB7CiEuk44,0.6249
lcChIH7l5zE,0.6249
E4v097IOr9A,0.6249
maxEnHrG9wQ,0.7783
CqSylNeHjI0,0.128
rHoerys1jw8,0.6249
o5MNSTY8HpY,-0.7096
zUSlOmu15jE,0.6249
sJ32nkEV1zw,-0.9042
4WVKsNNASUY,0.6249
fe2b09H-TfI,-0.8074
XmEvn5j0z7Q,0.836
LOhjHwrk5Nc,0.0
UhJvV4qSC3U,-0.5267
SCs_1WT2LzU,-0.7783
7deTQz2YMxI,-0.5719
Y5VXExIHrZM,0.0
2Md3wAZSVb4,0.0
jwhnYTwDxU4,0.2732
XNJLpsAAGDo,-0.7845
mE4UhROjVxM,-0.8591
qwB-BJgza0o,-0.8126
PQKgDFA96us,-0.6808
1Lf7_iIE7w0,0.2263
LQiqlG_wpz4,0.6249
Xh4m9cfkYo0,-0.7351
ls8x3JzL_rk,-0.6124
UYK_9gH7d7U,0.0
ZVjxrij2W2Q,0.2263
n8mMW8f_19c,-0.5106
VUbxVfSqtt8,0.6249
mHcVYEKFjp8,0.6249
GOt3WljFM7o,-0.802
lP5rv7_SW1g,0.0
S_E6feZVjyE,-0.3612
PGUApnrJfH0,0.6249
Y2eJ_MRQ3OE,0.6249
UkO2ZkxdzoA,0.6249
L4gvHnpiwpc,0.0
QLH1-H0lBf0,0.6249
S1QR2Vl97WI,-0.4767
L_YCzrB6UOQ,0.6369
HnGDQJcCRLk,0.0
TUGplcrQx18,0.6369
Y_REAzKPFrs,0.0
1icsroWbKJU,-0.5267
-0nGeHIbvts,0.6249
tRIytjRNucs,-0.8271
HncFO8Sujvk,0.0
KdKWGgCnYX4,0.0
vzR8aoDQ8W8,0.6249
DT1Ee1AQqhI,0.8271
nr7P8a5MCWg,0.4588
gogCccQsum4,0.3182
bGBE4LH30jg,0.4215
QsiH_we4K0I,-0.296
ssKsRsDu-as,0.0
1ZcHSfdl1_M,0.6249
R1et4QjhQ8Y,0.0
JcBKjIdpbqo,0.4295
d_fHkt4EURA,-0.5574
IOer0Oy-pyA,0.7717
HOab0eMgyJE,0.0
yT2iysFEsrM,0.6249
aSU4dziByyo,0.765
D7QdcDSLTfY,0.6249
_k4ekuFwGIM,0.6249
dgCPd4qoKXw,0.0
lxVq4U5jkAw,0.6249
LRPAYzIzy_A,0.0772
G1umsL-GhYM,0.0258
Z_0iFBJPWoY,0.0
XCs1_uRmL94,0.6249
9fr7Zh2Twbk,0.6249
gX0ZqT5JFIw,-0.5859
edyzX41nEnM,0.6249
cK-zzj8L7Mc,0.4404
N1cE6JLiqA4,0.6249
UkxDUaFdz6w,0.1779
dskVval50AE,0.34
l2gkQBvomq8,0.0
RPN9Pn8PvI4,0.6249
YxezPMSjAlU,-0.5423
apnH_5VTCCk,0.6249
EKa9dZiufLM,0.0
VULFUKUf_ks,0.0
9DfgsM8mgA0,0.4019
FEhdgkNpReM,0.1779
wwhEsm1neHE,0.6486
mrFiwjhLVbw,0.4767
0fUk0rtUDUY,0.6249
19B2HZejCoQ,-0.3818
Q2M_mBj0Q1M,0.6249
asUpBdDlyPA,0.8625
EHrqFde2Aek,0.6249
M7-itrUUxvE,0.2263
uXipalRQIg4,0.0
dwgsbZ1MsAE,-0.3182
rfaxtACt7TA,0.6249
4C5gCoElaL4,0.6249
-EzgfBMVwFQ,-0.3818
hDXJ9OUco04,-0.1531
nrtYQuJQiHg,-0.4019
WfAYsyXcKR8,0.1779
2wWTXbAU2KQ,0.0258
U_1n0hi_pz4,0.743
DREmnsungVM,-0.4939
EICp1vGlh_U,-0.3182
X_tzrg8e1d0,0.6249
XMGxxRRtmHc,0.0
YdxfoMCfi2E,0.128
hParR3-4mgQ,0.2732
be9D06BG6u8,0.8481
WhQzig1XZq0,0.4168
4CqDfLX26SM,0.6249
TESRV38mDc0,0.0
ZqBX-vPV-sI,0.6249
HsdC0zWLA3Q,0.6249
ToUPgntSfZw,0.6249
lil0z6MD9yg,0.128
6txTouUTVvg,0.6249
xF0AW1Y-qTU,0.7783
DJLPNKi-AGE,0.6249
Q8iCbuvA1-g,0.0
OfsrjxAjO3w,0.34
VwN2z9H8wNU,0.4019
qhFc3AbdIxQ,-0.5574
BA-9s4p4MpY,0.6249
Ofg1llnTxh0,0.6249
UWDiVPnS1tg,0.0
fnhXuVEtA2A,0.6249
piwdZ5c3DVc,0.128
WVwg_v2mlRo,0.1779
xAtD9DyBoQ0,0.0
yCDgaQaJLmk,0.6249
05seE9lfU2U,0.6249
6ITDwip2wno,0.6249
anNWIoRflPY,0.0
WNGOIVdjL4s,0.6249
uFOEiwGOMSg,0.0
L2AtTfW99B4,0.6249
o6nHgmwUEP0,0.0
HNCFndhE7Xw,0.6249
cduFJ30KcCg,0.6249
fVoQ613cRSM,0.6249
Bpt-HL0FWvM,0.4767
pA97dubN8i8,0.6249
pEYjxVMXDVY,0.6249
9JfYsugxHb0,0.1796
-gtgbIzNPrc,-0.25
-WenQQW8jyk,0.7906
kr67U_PIwCA,0.6249
H9HPp6DxA3Q,0.6249
V30XeuZW84U,-0.8074
wbWB1sfqWx0,0.6249
2dVOW21zQxU,0.6808
OywsoSC7O8Y,-0.296
WFFSoT2QwQU,0.128
9Rf8H4r3ybA,0.6249
RmdRCbtWY0E,0.6249
wNPMtPrAp_4,0.6249
nmnAW9wYDPE,0.6249
PXNmcC19NJs,0.6249
8SMLQzvFiNw,0.0
-QJZW7VNzhY,0.6249
rwzRjeExMaw,-0.0772
Sx6iAfmgHmE,0.6908
f9jLJhSZDrM,-0.6296
ecCYcCL6yDU,0.0
2dg4fAb8Iew,0.0
_BxNY7X8sCE,0.0
1-LRKoAQUR8,0.7096
UbKhuN8tWLI,0.0
WsNtN5FHJA4,-0.624
R_xkB6S87OA,0.0
JNbh8F0_92g,0.6249
U1DzbJBmf9E,0.6249
OEPrMpjWv5A,0.0772
SUMMBS6fIyA,0.765
Y6Yp28Fyjnk,0.0
lNOn4hpXTAg,0.6249
kKVmv8gxT-I,0.6249
puOzVAGcChU,-0.6249
fh4uQeoi5wY,0.2023
FDebNswITeM,0.6249
WbbheoIq4Qc,0.0
9hXDP0hb0uc,0.6249
kwt_iOUx1VM,0.6249
E0V5BjLDfVo,-0.3182
f9zHymqYYYc,-0.4588
-P_ldteuKWc,0.7506
9T3nCj_e2s0,0.0
A5q2nhK66GQ,0.6249
oKRus5JP0XY,0.6249
PcWWZIt8Fz4,0.1779
3AFZu5Njts0,0.8622
SktqqJQ9Whg,0.6249
ZszQB1Yy0qw,0.6249
B0r41lLOVnM,-0.0516
wekjPZPcBns,-0.5267
U5pQQbu0hc4,-0.7184
9kGtJPouAOg,0.1779
HQuDXsSxgl4,0.8779
19eTJu2koRI,0.6249
EujGQOrGFi0,0.4767
05dqEj9Y3cA,0.0
EU5vCAR2V_I,0.6249
IWDlbU9cmiw,0.7506
9OUmaLCZaZ0,-0.6124
gg-GyGZeU24,0.4215
yRt5Xp8OMmA,0.6249
nsqauodcM5Q,0.0
RnN0XxScjVk,0.0
0c7AzetunMA,0.0
1ddAK4sM_Eo,0.4404
cHrqjoykzhc,0.5267
