video_id,sentiment
_g4vy7H8bdo,0.0
WLoPNgIp6go,0.4588
Wz6DrQeQ5rI,0.0
HflVmQ20oUM,0.0
aPflB7_XXaY,0.0
QR7WjcRRz64,0.4404
Tb07GjcEug8,0.0
I-9UxsWEi2k,0.0
9StwCFJ38Sc,0.0
BkFlRIDtzUY,0.0
Uw4sNuF8zSI,0.0
jRfq9RbCD_Y,0.0
yS22GxsrHAY,0.0
WPPVeyeM7Tg,0.4588
36lAV8mibOE,0.7003
cd4fYncwbj4,0.0
IPzhcBk0two,-0.296
VK_MBnAi_hU,0.0
Lw0nZEw8IIk,0.0
yC_nGu5Luh8,0.0
0KDPsNuJXw4,0.7184
rznC52oPBuY,0.4588
KJSXX4msf-U,0.0
I9iagX6d0Og,0.2732
L9f-RQC8LTo,0.0
3DxnjCbuips,0.0
hLB6vQuB9ag,0.5994
4BFzt5i1jXA,0.2732
mT9Vbb7WDMo,0.0
Vs9YUUhBQGg,0.0
2QM8f4TX3vE,0.7184
oQmDk8Z2IMs,0.2732
QewZR7474h4,0.0
Td_BpE4DDXA,0.0
6FBKAzSs7Pg,0.4588
RG5BEoejrJw,0.0
bgI8pqezB-c,0.0
_GC59u3-WuI,0.0
yeTh-6e4AQM,0.0
kTEP23tUQeM,0.0
6T_-DiAzYBc,0.0
r3DDO8n1NPY,0.0
U57e8qDR6gc,0.0
cfe6yuH4s_o,0.4404
sGAmK4BxUMU,0.0
sjU9tEobw78,0.0
RKWCVehqGBg,0.4404
ou7NitF6gkU,0.0
7TXEZ4tP06c,0.0
prfYjiYyCA8,0.0
DN-7RsH2WWk,0.7003
lSSYciuiKSA,0.0
-6F5q_5HC3o,0.0
UW6H5dAPuhY,0.4588
qW2tHSfBsrI,0.4215
sx2fHwPpssc,0.0
zqNZ9df0tho,0.0
WoV4f1ncE7U,0.0
WLNpcmpeRek,0.0
izTznw3IGuw,0.5719
CaszZ2QdYQY,0.0
azOnZ8H6E8g,0.0
jSMKyNT73Uw,0.7003
GvAaVrEdsWQ,0.0
s6RS_anFcZM,0.4404
aau6xZgIu1A,0.5859
14ArBXBdg_o,0.0
CGXCyzcXsYk,0.6249
TIgI6VWxPto,0.0
zl9IgIp58uo,0.0
HCHe7BLnzpE,0.4404
a1NT7aWr_ow,0.0
S0Otk5ua9kw,0.7096
PiJkRJgjFBs,0.0
Q_dpP6MyWQA,0.0
u6MtOor1aU8,0.743
6SKkS_1geZ0,0.4404
oufXsVM1oIQ,0.2732
cYaWGIvcOVY,0.5413
K-efsa6XdUs,0.4404
599uU5TSqnY,0.0
V95RFYztT20,0.0
eexXC3tDbfI,0.0
wy2-3BxdtYY,0.2732
oQYOe85USNE,-0.1779
1gTJQOChf94,0.0
jyFbSSVXgGw,0.0
QPTVz9at9pI,0.0
uDWxKQ-vHbU,0.7003
Gu6eyI26D84,0.0
gl0VUHLJuls,0.4215
zY1269CaCFk,0.0
cvESbL06ETM,0.0
rcWUFyIUuXo,0.0
Jp2APGqxH24,0.0772
hxIWRPMI4Rw,0.0
kPOEM65BIMU,0.0
gA2UtJJ9y50,0.4404
6f2ZldW1sOI,0.0
_HyaCTgzYUE,0.0
r6cJl89axqY,0.4588
BLGMfxbPDB8,0.4404
DCwBkGN5iMM,0.7003
IQlVBewbrUg,0.4588
ewMksAbgdBI,0.0
tlanNyZCsR0,0.5859
36XXD8y7Yxg,0.0
fGqtZbdjhNU,0.0
hHew1AMPRZA,0.7351
GfbpU9Y6ltA,0.4404
RL_c5CRJUko,-0.2023
sCqQ3d1k3Vc,0.0
NQ6M0O7N-4o,0.0
lIOjk00njxM,0.0
CNb2cV24wr0,0.0
vzaUdSnUWS4,0.2732
Ri9jiOQvBXU,0.4404
vSFcn1U4wNI,0.0
sPMVkJAVhG4,0.4404
iNhN4rPWwCI,0.0
Idwupd8vuBE,0.0
j7CjkMtWJrw,0.0
3O38qaBUIC0,0.0
jBfMs-YskHo,0.0
vUSWfeY7xAs,0.0
lfgaJQ3z3nE,0.0
GUTH6hEt3cs,0.0
I9ITUf0ZQtM,0.0
53rZ7cOroKM,0.4404
i_pQWFkZJrc,0.0
1DcjB5l4LWE,0.0
NLWNOafqfh0,0.0
K2EBkXrnh0s,0.4404
S8DfLCsWxc0,0.0
zjDELz2xsFg,0.0
5QQJ6mMWoFY,0.0
cbXNhucBbYU,0.6369
uLj0cBVpbGU,-0.1779
8ukc_HXD9_E,0.0
ilKDb75gE2A,0.0
h8x-IMYbFk0,0.4588
3id_ky_Bh8g,-0.128
LvcfIJg8ivE,0.4005
g1Fu31Ge01o,0.0
