video_id,sentiment
PTSJC9Tmt4E,0.0
VNqNnUJVcVs,0.0
1gHbwT_R9t0,0.0
thxbiR-XfJo,0.0
9hdqiHcH2tw,0.0
xM9S4QiEHEY,0.0
ae4OigBcEiU,0.0
Q7yvvq-9ytE,0.5106
RywkkwO78m8,0.0
06bvdFK3vVU,0.0
_-HhCwYD7rc,0.0
8HYMb3MgQRg,0.0
Dd-FAyHdpxI,-0.5574
UzIKWnZJ29s,-0.5267
DYrA6xbPjkg,0.34
YjWn23pEl3k,0.0
32X88HMae0I,0.0
xVMFOvxaxW8,0.0
erA3WQE9Zes,0.0
lBmvUUGw91g,0.0
TdVKZkfAkpk,0.743
e5ACN9iF8Jw,0.0
YSAz-Ot3Mco,0.0
_trulM9Ht4E,0.0
26UkTow1RRo,-0.7783
mYB1JP-gfLE,0.0
hrAdayUh6-4,-0.4019
MYnjzsjeMK8,-0.8126
iwku5Alsi04,0.0
VTAyGLEk_FE,0.0
XHBZkek8OSU,0.0
ODBbSgvi57c,0.0
KyD8VIK032o,0.0
su-fmoZUkF8,-0.5574
8hjc1OTNR3U,0.0
wClJlarfyhE,0.0
T4WjyTV98lg,0.0
m4kM5zwxThE,0.0
hLPPE3_DVCw,0.0
_bHqBy92iGM,-0.5574
AQl8h7Aa75s,0.0772
amJoVWAakos,0.5574
313icHT2XF8,0.0
P4l9Y5OHqpk,-0.5267
sMrohO8TIPc,0.4927
4gS6yZwUWjs,0.0
vUzGV4F7He8,0.0
MzfOzOWPnuQ,0.128
qtJYpzRfKjM,-0.5267
umo6pMCkcXs,-0.0258
JDy95_eNPzM,0.0
fg71tqpsVXY,-0.5267
IwJzsE8CvzQ,0.0
QsvwswQl6Vo,0.0
7ae_XdFEQDw,-0.7906
iYZbQIXoVMY,0.0772
tC5RalYWZ5Y,0.4019
Ey3wOsl1Mjc,0.0
6t_n6N_Yzzs,0.0
pwKztOAd_BU,0.0
X8f--Ljgrh4,0.0
pfXHsuaAWeE,0.0
6Ghzi_bIpbM,0.0
gcNKIGAodj8,0.0
p33NtCtIjrM,0.0
n_OBLfdh3Ew,0.4019
IZ2cAPx9ML4,-0.128
0ZDShOguxz0,0.1779
3S6HQGHqQa0,0.0
8OnJCqtTxsA,0.0
jSjk_r0pmms,0.0
xU_F0DC_fQw,0.0
meQ330BnSZA,0.0
53vLQnuV9FY,0.0
c3mkDJT64gc,0.0
kB-4_ku0cJM,0.0
3oz7k7Wn_vo,0.0
L6q47RPpOiA,0.0
QkttvftqA6g,0.3818
_jAwkQ6AMWs,0.0
z2f3O0C2_y0,0.4939
Aj6Kc1mvsdo,0.0
Jwb5jUyr0jE,0.0
bKRUepwK5QI,0.0
CGjFAe018oA,0.0
dOH1plzCZ3M,0.0
491vRzKbkw4,0.0
