video_id,sentiment
hmiiRnW1EaE,-0.3818
P5ZlzY5C_jg,0.0
sThZ4TZ_Py4,0.25
OuZDNakM7QU,0.0
0srVchY9Z4A,0.0
pGN2-MfKg9c,0.1531
F6T5EAj1g_4,0.1531
QlTNO3UgAs8,0.0
vjCWuESRvN8,0.1531
I1QViH5oja0,0.0
uorN-D01Viw,0.0
YCw_dYSIeP4,0.5267
QT0MRSJ33EA,0.0
fLhLoWICOA8,0.0
kScOL1FyJ5o,0.0
u902YaGyI9s,0.1531
jVVzbgbb4CU,0.0
pg5QXdjTpX4,0.0
kpIGHuky6xA,-0.3612
PnMcVOAzYz8,-0.5574
7L0Jl0voe8U,-0.4019
kajUcGIvywU,0.0
pwrVvzaZWOE,0.0
lWemP4LM0Cg,-0.4019
S-NNXrU8nNo,0.0
ZGy6nM7L1dw,0.1531
2qrK27PM5RQ,0.5719
NMI4sDjP2HA,0.0
AfOgIfWOWO4,0.0
Ag01CpYYaZ0,0.0
4NclFGav65E,0.0
iVZwKnBadLM,0.1027
jzihWSvZPWU,0.4215
anE2U-q8mxM,0.0
hSKCUPremj4,0.0
aLijtnMLRg0,0.2023
kwoEUPMwZ8I,0.0
4hzL1ETjrOk,0.0
x-e-Erg5irA,0.0
N0hrTDMWIuI,0.0
QDbaqB7tfUY,-0.4019
S57C1nAGOHQ,0.0
avvNRswHDks,-0.4019
xy6luRXTfDk,0.0
l4gKnAM-PA0,0.0
PCnFykaEtxY,0.1531
dutjKK2KzB8,0.0
R1jBzAlDpMs,0.1531
TV_WNwqMVfA,0.0
2QGHaWxPZCY,0.1531
KBt8AHU_mAQ,0.0
xJEYPdNwNCE,0.0
bJq-QpDwKqo,0.2732
lIQJZRxG40Y,0.0
g6Md-6AyJvI,-0.4019
xE56G-6UuM8,0.0
mKAIzzeJsTo,-0.4019
MRu3faIkRcI,0.0
IJSVN55kZBY,0.1531
0orWMWRnH88,0.34
gkMv3JUCfvg,0.0
Fy2Pzqq-nr4,0.25
BGg62hYrymI,0.1531
cJ5sDMdzVRs,0.0
IP5qt9pHB_c,0.0
0MD7Jjl3iKk,0.0
DOM0jRQQNmE,0.0
6jk9S67MHaQ,0.0
amS6S_QLHzo,0.0
o_DAh-cO6L0,0.2732
Ilo1bgZUcdY,0.2023
DQW6ds-M0qI,-0.3818
fhYPc6smawU,0.0
6nAYv2CWJOE,0.0
3Gl3gjL2600,0.0
89M3fJt53mQ,-0.1027
TGqIu5FJpV0,0.0
4E9h-XbClds,0.0
FfnXPXVPKJk,0.0
iwWNAiy1ekA,0.1531
daGfYN5kgcE,-0.4404
nMMQvZil7wE,0.0
HdH4Wek5EwI,0.0
cmzVUOKnfr8,0.0
jDMRPWPxtaY,0.0
xoXEFdzLNOw,0.0
YoSs-9o82oI,0.3182
cUbzWjNqtmo,0.0
LmEnFVEZwyY,0.0
do1mY71LBBI,0.1531
G5OtF_H4d1s,-0.6597
ol2Qg6mwW_A,0.5423
7tM2ZszyUqg,0.0
7ywDnOx7FdI,-0.1326
wUtjCcZa4Bs,0.0
8tCl1d5sTdU,-0.1779
SVHkiHZMEEc,0.0
s8R3EXXlKxg,0.0
VIY7ZJ85Yv0,0.0
Mnn4vjwzr-M,0.0
8ENUkzRMf6M,0.1531
JJ6YlOhNuAo,0.0
XWqkNxom8vc,0.0
SFKxRlCzZU4,-0.4391
TpA2wkSjcW0,0.0
BY74zCQObr4,0.0
_vthMuZzoXg,-0.4019
5HtD-2Aevlk,-0.8176
AmfetXakOsc,0.2263
PVZIttwymLY,-0.6249
N4ITMVZU34E,0.0
GYU07DwuWgI,-0.6369
YRNXEcUIsaU,-0.4019
4H66pDhczzw,0.0
PbzxFdWGL4o,0.0
vtZBoZ2XF7A,0.0
eqLlDERd3HA,0.0
V4Ub2D65Bww,0.2584
1bLXu-_Xgm4,0.1531
ZGYkH6aAbc0,0.0772
HzovYySfgs8,0.0
ViXDcuU9iP0,-0.5574
RLdAjusTjvA,0.4404
bgZAv-CtZWU,0.2023
JMNFWiEONfI,0.0
NTKBEUdI59M,0.0772
LLQFCAR4log,0.0
WqWbp5Igd1k,0.0
lfOR9f2v1Yc,0.0
FIDN2vYRJUE,-0.8074
q7N6ehxfrKs,-0.6369
aJSXVYLeJEc,0.0
YolPqgiV7bU,-0.6249
4rcMdF5ncoU,0.1531
1YVj2NioEI8,0.0
RZgQIRrmQxs,0.0
cpX1Cbl7Dtw,0.0
NA_913whZ98,-0.4939
kr7NwROUZrs,-0.128
HHRp_T0-0wc,0.0
Rh7d2D7JVLI,0.0
Ns7X7nq58mw,0.0
wzun_dfBACw,-0.4404
w77fMtZPv-4,-0.4939
xBHnSFi6rMo,0.0
Az_KJBowdX4,0.0
Jr9sEPP2i_A,0.0
Vo-p66DULFk,0.0
ypwZ8iQlpbk,-0.4767
h81uUFEhsJw,0.0
1XUsx15EpaY,0.0
-39cy8XaNIU,0.0
KHOcTG2yCio,0.0
swt2LvvxE54,0.34
jnwqJaqVudw,0.0
3KWkcB-6FM0,-0.7351
kbAGUfiZV2A,-0.2732
bwzbQPfqqY4,0.0
0Gj-bDlEJl8,-0.4019
jNvDkt9u3IA,-0.3612
yUbLw7HXQnQ,0.0
7435lrxNgNs,0.0
YETc8DbH6vg,-0.25
sRxR8u4bSHE,0.0
8GKgoCoMKhE,-0.2263
_17IYAQzMJY,-0.5574
V_9RuNWt_hw,0.0
bp_ryUx2_GY,0.0
AWZE-4EBxEQ,-0.6249
CRYPWHNGSH4,0.4019
oSwZ_BckDvc,-0.4939
73Vc0PD4yPg,0.8126
9MTibohq_cY,0.0
5G68RRogrEI,-0.8074
aJAijGQ5mWQ,-0.4404
hyaZtgW18I8,-0.2263
4T2ZALwNXOw,0.0
KbtSpB0quMw,0.0
Dy7fElXqRAk,0.6369
s49P_Wv35BA,-0.34
Qr02Z6I_a4Y,0.0
HGo9Yagch08,-0.3818
vHfz1Qn-50s,0.0
ihbZkGxjS6Q,0.0
FUFZ6DPG5LU,0.0
_izq564uD14,0.0
HN7VwKhA_x8,0.4404
1aHOdjsC3jk,0.0
UDQTwLQmmus,-0.34
6cnIwHI2H4c,0.2732
wjH8fCKLnos,0.0
5nqIetZd4Mg,0.0516
Nd36zD6uMsk,-0.296
W_k21oxExKA,-0.34
JHRIXCZrjbI,0.0
c6MPh6wE3Ks,0.4404
QBsAHrCkPxU,0.0
1bIEtED9q9g,0.0
JTsxPhgGqbs,-0.3182
9GIIasejkN4,0.0
Zxj00OT-Jbs,0.0
Rq9eHx7QS-s,0.0
gReL5Ja3Ip4,0.0
lgBrsvCIU_c,0.0
zxspeyIMgpo,-0.0516
xmvdlfFP4VM,-0.6124
_mpXOor13Sw,-0.3182
wwRRGOMqdH4,0.0
yun1tYksmg4,0.4404
4Nf_izbrzpw,0.1531
9R8KGwBTNYI,0.0
7iiFxOmsuz0,0.0
e1rmoufSbdI,-0.7003
jWkH6K4_xEg,0.0
RCNZNgH5yB0,0.0
pahGE3NDe5o,-0.6369
drjzchjW9n8,0.4404
BFl1dBKCoAA,-0.25
71P8OIc0e4w,0.0
vbi_J4_n-rE,-0.5719
adN80bca8iQ,0.0
280LuPoAzek,-0.7351
BQphd_fnK1w,0.1531
hRcwlmTY9cY,0.1531
jTJ-yQkS_Cg,-0.4767
jW7j77D9ewk,-0.4019
wcxA369qJhc,0.0
IbHliAngX0w,0.1531
5M8pdUsDD14,-0.1027
0kInguZ5OK0,0.0
TClHxKIpq1A,0.4404
l7VYbR80DAE,0.0
_gKnlnLF5RE,0.0
dM5QhqnLvu8,0.0
TyadOYENM64,0.0
A1JxYY6NklY,0.1531
Q3hwqeY3n0Q,0.0
2d13z-gbnMM,0.0
TFA7olTnqas,-0.3182
ONphgh87mlI,0.0
zMeSoLaU71E,-0.7351
OzZ1gU7hUNo,0.0
_p7WrHAz-8Q,0.7506
H8-DPzKaTPM,0.0
QDxs7l6xE-Y,-0.4404
pt3cPQ_wn5A,-0.128
J8v69Vs0RTU,0.0258
utxt__SPWXo,-0.4767
q2VEqvfz1y8,0.0
lErPk6nbNeM,0.4404
r2Beybui0V4,-0.7402
IKHypLLL79c,-0.0772
7c6jmjkI6_U,0.0
RgnHcx6VvPM,0.0
SdG_aDMxO2g,0.0
Cpw7iAoGBzI,-0.4767
EMYu0qsBGAE,-0.4215
DjpoHhf_AQw,-0.4767
lJqKoQnTp2M,0.0
yU-JwmBYZes,-0.4019
627wBREa76A,-0.2732
IZ1Lkt_j60g,0.5423
ErkzKi9diPE,0.0
L1iukWJyCM0,0.0
rOSagKik7ik,0.6369
vyPDbzgGAYw,0.0
Ok4CJjiHU80,0.128
cvLOki8JvU4,-0.3182
zLaQXGGYAIg,0.6369
DKt7iYS2Sgw,0.4215
nfUEnPIEJPk,0.0
NErQbGcd6fo,0.2023
xmeWKoPDstQ,0.128
zEqMZs6p6EI,0.0
f5g8jUFz-YM,0.296
1OwAN_38K3g,0.0
6K035a49aJk,-0.4404
tY_8ONojntM,-0.5423
cQ_rInNP00M,-0.7506
iYYYe42BGBg,0.0
ASgpDXR1nZs,-0.2732
8vi53uDoV9o,0.5267
DW3oMJDs0Wc,0.7783
l3b-1x9xvMg,-0.3182
I0qgYPEfQxg,0.0
U88uOLBwjHc,-0.5267
1ZZ5DgbwA7Y,0.1531
ZLpxFbir31U,-0.4588
gdZORGKRqdo,-0.743
lSp132r1who,-0.4767
GK11cgg8m8Y,-0.3818
FMYtDBn0zvw,-0.4767
yF9C6CSf-e8,0.0
N4T9bkIRqac,-0.296
DYEvLi0L-Tw,0.5574
0AC3diB49hE,0.0
ckVZRpDInlE,0.0
zDKu01g4Q3s,0.2023
gnvvUAaRYlg,0.0
x5GTRNZHhIE,-0.296
nA8oIcZwcTA,-0.4588
WXxJHpS0BOc,0.1531
8dQjkaR7ixo,-0.5267
uXjxY1VyDVA,0.0
vjkFu-GONnY,0.0
zSiKZNyqCWw,-0.5994
dhY5XEOw8xI,0.4404
yj7vPG6NijI,-0.0772
M45tcLwGqaQ,0.0
gsr4uFRYrXw,0.0
OyWUVl1RUTI,0.1531
7bxq8SPP6uA,0.6808
x0QxIpzEQ7Q,-0.4019
CbGXbeDgOqU,0.0
Afc9offPVoY,0.0
hxhpM5Y5hL4,-0.5563
AF-_vSXJhkE,-0.296
vL28XnJPHNg,-0.3182
eA-2An__JaA,0.0258
ceDO2gbsKwE,0.0
Otjyrh4E8Ow,0.3612
0_0RFzWbbpY,0.3182
e-bk_omBY7o,0.0
JY-gPujlC3M,0.0
9HUGmnrZJ4o,0.4404
w3ZsS6u6aTQ,0.0
EQy8aN3ZpzI,-0.802
_9oNxsyEz3c,-0.2732
F5CV_rLwv8Y,-0.743
c9Ej4QSvOag,0.4019
lNoOLuatUMo,0.0
XK9JNMurdMY,0.0
cmig-mtVM-g,-0.7269
Nbbei9vedq4,0.0
zjfTSH1KNxY,0.0
JG36XwEc2s4,0.0
PSIUVvuxlOQ,0.0
VIItMPqsZqc,-0.3182
_YltC_g_0B0,0.6369
kRCq5oF3res,-0.4019
0OiewLztl28,0.0
6m--GkJ0ozI,0.5719
J7cRRR3ny-s,0.0
0ypSwAtzLeI,0.6486
p_wGg4CzCJk,0.0
kULUNFLMha8,0.0
RgIJxq--MS4,0.0
x0FNBuSBXMc,0.0
polnQsdHcA4,0.0
F11BFfvxX8Y,0.0
wKH2z3sUBQs,0.0
rTgkDOcP4pY,0.6369
KEnYEPf5S7w,-0.5719
krIQoud-Xcc,0.0
6DFIyoP-QhA,0.4404
D0VAYdks1bw,-0.5719
0QRECOoU3tw,-0.1531
zR5scXB8-KA,0.0
z9QqhtwsOTM,0.0
n1tZFAaD7B4,0.0
OkpOCgsdRSY,0.0
DEhBX0gjdYg,0.0
AnO2W0JNdDU,-0.4261
